Link: ;https://www.instagram.com/p/CQYrmTjnjJp/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;ma_lena_3;Was Menschen anderen Menschen antun kann ohne dafür bestraft zu werden;2021-07-14T08:37:08.000Z;0;-
2;constanzesaam;Hast du daran gedacht politisch korrekt, so wie es die Nazis als korrekt empfinden, zu schreiben ! Ich bin überzeugt die Frontpost wird kontrolliert!;2021-06-23T11:22:07.000Z;0;-
3;beatrice_englaender;😢;2021-06-23T10:59:04.000Z;0;-
4;fotera65;Ich habe mit dem Briefeschreiben angefangen, als ich 9 Jahre alt war und meine Oma in Chile zurück blieb. Sie hat meine Fehler auch berichtigt und darauf geachtet, dass ich meine spanische Muttersprache nicht verlerne. Die Briefe brauchten ca. 3 Wochen dahin, die Antwort zurück etwa 7 Tage . Als sie starb, schickte man mir eine ganz besondere Schatzkiste als Geschenk meiner lieben Grossmutter: meine Briefe der letzten ca. 50 Jahre! Da lag mein ganzes Leben in Briefe gefasst und ich las über Dinge und Gefühle , die ich schon fast wieder vergessen hatte...;2021-06-22T21:55:00.000Z;5 likes;-
5;spengler_tftraining;❤️;2021-06-22T21:48:13.000Z;0;-
6;clowndoktor;❤️;2021-06-22T17:30:55.000Z;0;-
7;sanusaradmz;Ich fühle mit dir liebe Sophie❤️;2021-06-22T16:40:48.000Z;0;-
8;ulischwarzerschmetterling;Liebe Sophie, bestimmt bekommt er deine Briefe . Vielleicht bekommt er gleich mehrere gleichzeitig und wie froh wird er dann sein , in diesem Grauen ein bisschen in eine tröstliche Norrmalität flüchten zu können. Deine Briefe werden ihn am Leben halten . Die Seelen der armen Männer und Jungen an der Front brauchen jede liebevolle Zeile um nicht zu verzweifeln. Eine Beziehung die man nur mit liebenden Gedanken erhalten kann, wo Kommunikation und Berührung so derart durch die Situation beschränkt ist, ist sehr sehr schwierig. Das kennen wir eigentlich nur von Männern die Fernfahrer,Seemann , Montagearbeiter oder ähnliches sind. Ich gebe dir aber zu bedenken und das aus eigener Erfahrung das man (auch bei Anwesenheit des Partners) zu zweit furchtbar einsam sein kann . Auch das löst Zweifel aus und viel Kummer. Wenn man dann noch kleine Kinder hat... ich habe es ertragen , bis er sich wegen einer anderen Frau getrennt hat. Bedenke das euer Feind nicht von euch gemacht wurde und alles andere als begehrt wird von deinem Schatz. Schreib ,schreib so oft du kannst . Sende ihm Zeilen die den Überlebensmut stärken und die düsteren Bilder in seinem Kopf betäuben. Mach weiter Sophie❤️;2021-06-22T08:31:19.000Z;78 likes;-
9;ines_s_2;💕;2021-06-22T07:58:54.000Z;0;-
10;nataschamadeo;Kopf hoch, Sophie! Liebe kennt keine Grenzen und keinen Postweg! 😍;2021-06-22T07:51:20.000Z;0;-
11;vancaro_zimmermann02;Hallo liebe Sophie, ich kenne diesen Schmerz nur all zu gut. Ich vermisse auch Menschen die mir sehr wichtig sind. Aber meist sieht man sich wieder und manchmal sogar schneller als erwartet. Nicht die Hoffnung aufgeben und wer weiß, vielleicht kommt dein nächster Brief an.❤️😊😉;2021-06-22T06:36:07.000Z;0;-
12;cal0106;❤️🇨🇭❤️🇨🇭;2021-06-22T06:11:49.000Z;0;-
13;netratz;🔥❤️;2021-06-22T04:38:09.000Z;1 like;-
14;cal0106;❤️🇨🇭❤️🇨🇭;2021-06-22T04:31:12.000Z;1 like;-
15;raul_mccallister007;❤️;2021-06-22T04:26:30.000Z;1 like;-
16;nikivero555;😮;2021-06-22T03:31:47.000Z;1 like;-
17;philosoph95;Bete für deinen Fritz.;2021-06-21T22:23:23.000Z;3 likes;-
18;ela_beh127;Es ist furchtbar jemanden zu vermissen, wo man nicht weiß, ob und wann man sich wieder sieht. Die Sehnsucht zerfrisst einen. Auch wenn es den Schmerz gerade nicht kleiner werden lässt, fühl dich ganz lieb umarmt @ichbinsophiescholl 🤗❤️;2021-06-21T20:53:18.000Z;4 likes;-
19;simonis_daniel;Ich finde dieses Projekt sowas von toll. Hut ab für eure Arbeit. Ich schaue sehr gerne weiter eure Posts. Liebe Grüße aus dem Odenwald;2021-06-21T20:33:45.000Z;8 likes;-
