Link: ;https://www.instagram.com/p/CaZ49i_MZWg/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;arcspaces;@ichbinsophiescholl eindrucksvolles storytelling zum lebendigen lernen von Geschichte - herzlichen Dank. Woher stammt das Zitat von inge? Wo finde ich die Quelle?;2022-03-01T05:37:17.000Z;0;-
2;sarahsahara7;Wir haben hier in Dortmund auch eine Geschwister Scholl Schule, Berufsschule;2022-02-28T13:33:20.000Z;0;-
3;katharina.wyss;"Ich kenne den Namen Otl Aicher schon sehr lange (ich war Grafik Designerin) und bin bewegt und positiv überrascht, dass er mit der Familie Scholl verbunden ist.
Ich liebe sein Design und seine Schriften!";2022-02-28T08:51:03.000Z;0;-
4;yaqamar;Weiss wer, was in den Jahren zwischen ihrer Entlassung aus dem Gefängnis und der Heirat war?;2022-02-26T18:50:53.000Z;4 likes;-
5;thisisnaadja;Ich kannte Otl Aicher schon aus meinem Gestaltungs Studium an der Hochschule für Gestaltung in Schwäbisch Gmünd, die nach dem Vorbild der Ulmer Schule gegründet wurde. Ich wusste allerdings nie, dass er in Zusammenhang mit Sophie steht;2022-02-26T14:16:58.000Z;6 likes;-
6;gabi_f_aus_w;❤️;2022-02-26T12:47:18.000Z;0;-
7;yaseminmoor;Wir schreiben das Jahr 2022 und ich hoffe so sehr das das Licht wieder gefunden wird🙌❤️;2022-02-26T11:35:22.000Z;0;-
8;buecherkammer;❤️;2022-02-26T10:43:59.000Z;0;-
9;_kiim.stefanie_;Ich finde dein Account ,sehr interessant und informativ ,weil ich diese zwei Geschwister in Geschichte in der Schule habe .jedes Mal was neues dazu lernen.<3;2022-02-26T10:38:59.000Z;0;-
10;crimsonbutterfly93;Man verfolgt dieses unglaublich tolle und wichtige Projekt hier auf Instagramm und zum Ende hin bricht wieder ein vollständig sinnloser Krieg auf der Welt aus. Warum wird aus Geschichte nicht gelernt... es gibt keine Gewinner.. es gibt Millionen tote und Millionen Menschen die kein Zuhause mehr haben. 😐 Das ganze hat so einen bitteren Beigeschmack..;2022-02-26T10:35:38.000Z;0;-
11;jasmins_files;Wie stand Inge zu ihrer Schwester Sophie?;2022-02-26T09:45:49.000Z;0;-
12;rastasun;Hat Inge von dem Wiederstand der Geschwister gewusst?;2022-02-26T08:54:34.000Z;2 likes;-
13;patrick_0694;Das Zitat ist in diesen Stunden aktueller den je.;2022-02-26T08:51:40.000Z;1 like;-
14;veministin;Eins der traurigsten Dinge daran ist, dass einer deren Söhne mittlerweile Corona-Demos organisiert auf denen er anfangs weiße Rosen verteilt hat. Der Spiegel hat darüber berichtet.;2022-02-26T08:24:31.000Z;3 likes;-
15;hannah.krauskopf;Beeindruckende Geschichte. ❤️;2022-02-26T08:23:04.000Z;2 likes;-
16;wednesday0710;❤️;2022-02-26T07:41:17.000Z;0;-
