Link: ;https://www.instagram.com/p/CVvTSiUMAFd/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;andrea.nsw;❤️;2021-11-02T19:17:44.000Z;0;-
2;veryinsignificantperson;👏👏😔😔;2021-11-02T16:50:00.000Z;0;-
3;soundstudiomax;Schade das man nicht mal auf Fragen eine Antwort bekommt :(;2021-11-02T16:25:19.000Z;1 like;-
3-1;ichbinsophiescholl;@soundstudiomax #TeamSoffer Solltest du dich auf deine Frage bezüglich der Zusammenfassung beziehen, so können wir in diesem Fall noch keine konkrete Antwort geben. Die hier dargestellten Inhalte werden aber weiterhin noch zugänglich bleiben!;2021-11-02T16:56:03.000Z;2 likes;3
3-2;soundstudiomax;"@ichbinsophiescholl Das ist doch eine Antwort das hätte man darunter posten können ;)";2021-11-02T16:57:51.000Z;0;3
4;princessin33;Gibt es auch ein Buch zum lesen oder vl gar einen Film;2021-11-01T23:48:10.000Z;1 like;-
4-1;ichbinsophiescholl;@princessin33 #TeamSoffer Weiterführende Informationen findest du in Maren Gottschalks Biografie „Wie schwer ein Menschenleben wiegt – Sophie Scholl“, erschienen im C.H. Beck Verlag. Unter dem Link in der Bio haben wir weitere Einblicke gelistet. Viele Grüße!;2021-11-02T08:39:01.000Z;6 likes;4
5;david_hugo;🤍;2021-11-01T23:27:56.000Z;2 likes;-
6;bijangma;Was genau machst du in Freiburg? (Ist dokumentiert wo sie überall in Freiburg war?);2021-11-01T20:17:07.000Z;1 like;-
6-1;ichbinsophiescholl;@bijangma #TeamSoffer Es ist wenig dokumentiert, was Sophies Arbeit für die Weiße Rose zu diesem Zeitpunkt in Ulm angeht. Während Hans und Alexander an der Front waren, handelte Sophie im Alleingang (vgl. Gottschalk, S. 246). Sophie Scholl beschäftigte sich sehr mit der Frage nach möglichen Unterstützer:innen für die Weiße Rose. Sie könnte also auf einer ähnlichen Reise (zum Beispiel auch in Freiburg) auf der Suche nach weiteren Unterstützer:innen gewesen sein, es gibt dafür allerdings keine Belege.;2021-11-03T16:02:24.000Z;1 like;6
7;esony.4ever;You are so brave! My admiration for you courage .;2021-11-01T20:13:22.000Z;3 likes;-
8;anjamuller565;"Unser Resilienztrainer würde jetzt sagen dass sich da neben dem "" normalen grossen Stress"" auch noch viel aufeinanderfolgender Mikrostress aufbaut...immer vorsichtig sein, die Reise planen, vorsichtig in Gesprächen sondieren ob man vertrauen kann, die Dinge die man kauft oder mitnimmt gut im Auge behalten...kein Wunder dass man da abends total müde ist..❤️❤️";2021-11-01T18:45:08.000Z;1 like;-
9;jeanlucpiriou9122;Mut Sophie❤️;2021-11-01T18:33:13.000Z;2 likes;-
10;mel__bel__;Du bist so bewundernswert stark und mutig!;2021-11-01T18:16:47.000Z;3 likes;-
11;spengler_tftraining;Ach Sophie…. ❤️;2021-11-01T18:01:12.000Z;3 likes;-
12;sumpfdotterbluemchen;Du bist eine mutige, starke Frau! Pass gut auf dich auf!;2021-11-01T17:03:38.000Z;4 likes;-
13;rauvikel;Liebe Sophie, wie machst du das mit den Übernachtungen? Schläfst du im Zug oder kannst du auch mal bei deinen Kontakten bleiben?;2021-11-01T16:27:28.000Z;4 likes;-
13-1;ichbinsophiescholl;@rauvikel Der Name von Professor Muth öffnet mir tatsächlich so einige Türen. Die Kontakte sind sehr hilfsbereit und empfangen mich mit großer Gastfreundschaft!;2021-11-01T17:05:40.000Z;14 likes;13
14;giusy79_;Du schaffst das Sophie du bist eine starke Frau. Aber sei auf der Hut 🙏;2021-11-01T16:27:26.000Z;4 likes;-
15;martin_hell_;Es ist so viel Neues, was dich überflutet . Auch die Angst, wen kann ich vertrauen. Es ist viel Last, die du auf dich nimmst. Doch du hast ein Ziel. 🤍🤍🙏🕊🕊🕊🕊🙏;2021-11-01T16:22:36.000Z;6 likes;-
15-1;ichbinsophiescholl;@martin_hell_ Und jedes Mal lerne ich, die Menschen besser einzuschätzen. Doch das anfängliche Risiko und die Ungewissheit lassen mich nur selten entspannen!;2021-11-01T17:07:34.000Z;6 likes;15
16;danimue1985;Durchhalten und immer dran denken, wofür diese erschwerliche Reise auf dich nimmst ❤;2021-11-01T16:09:52.000Z;8 likes;-
16-1;ichbinsophiescholl;@danimue1985 Das Ziel habe ich klar vor Augen. Und die bisherigen Stationen waren auch mit Erfolg gekrönt. Natürlich bestärkt und motiviert mich das, aber wenn ich kurz runterkomme und zu mir finde, merke ich, dass diese ständige Anspannung doch kräftezehrend ist...;2021-11-01T16:27:12.000Z;25 likes;16
