Link: ;https://www.instagram.com/p/CPtElDbrHQY/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;miosfima;Von wem ist die Zeichnung? 😊;2021-06-12T09:47:24.000Z;4 likes;-
1-1;ichbinsophiescholl;@miosfima #teamsoffer Sie stammt von unserer lieben Illustratorin Édith Carron und wurde, wie alle anderen Illustrationen, auf der Basis von Originalen Sophie Scholls erstellt. Diese hier beispielsweise ist dem Original ziemlich exakt nachempfunden. Liebe Grüße! 🌼;2021-06-12T10:28:25.000Z;14 likes;1
1-2;miosfima;@ichbinsophiescholl Sehr interessant! Herzlichen Dank für die Info! ☀🌿;2021-06-12T10:47:46.000Z;1 like;1
1-3;holululu3;@ichbinsophiescholl hallo liebes #teamsoffer. Wo sind denn die Originale von Sophies Zeichnungen zu finden? Gibt es dazu ein Buch? Liebe Grüße und danke für den tollen Account. 👏;2022-01-12T16:03:36.000Z;0;1
1-4;ichbinsophiescholl;"@holululu3 #TeamSoffer Richtig, es gibt ein Buch, das Texte und Zeichnungen von Sophie Scholl enthält. ""Sophie Scholl - Lesen ist Freiheit"" von Barbara Ellermeier.";2022-01-13T08:00:10.000Z;2 likes;1
2;team_moehrchen;Viel Spaß euch und wünsche gutes Wetter 😄;2021-06-09T16:19:25.000Z;0;-
3;fiona.christo;"@ichbinsophiescholl #teamsoffer Wer ist eigtl der*die Künstler*in der gezeichneten Werke?

Auch fände ich eine konkrete Einordnung in den historischen Kontext (was ist Fakt, was Fiktion? Welche Quellen liegen zugrunde?) im jeweiligen Post super wichtig!";2021-06-06T14:49:57.000Z;5 likes;-
3-1;ichbinsophiescholl;"@fiona.christo #teamsoffer Liebe Fiona, die Illustratorin Édith Carron erstellte alle Zeichnungen und Illustrationen auf diesem Kanal auf der Basis von Originalzeichnungen Sophies. Diese hier beispielsweise ist dem Original ziemlich exakt nachempfunden.
Vielen Dank für dein Feedback! Da auch uns Transparenz unheimlich wichtig ist, arbeiten wir bereits daran, wie wir die Kontextualisierung sowie Quellennachweise, welche wir bisher lediglich in der Kommentarspalte untergebracht haben, noch deutlicher und transparenter machen können. Liebe Grüße!";2021-06-06T15:49:29.000Z;8 likes;3
3-2;baa_jana;@ichbinsophiescholl ich fände es gut, wenn es noch einen zweiten Account gäbe mit Blick hinter die Kulissen und einer Einordnung (z.B. auch Ausschnitte aus den Originalquellen);2021-06-07T16:18:04.000Z;3 likes;3
3-3;fiona.christo;@ichbinsophiescholl na dann bleibe ich gespannt 😉;2021-06-07T16:44:20.000Z;0;3
4;ulrikemunner;Liebe Sopie,ich war heut auch mit dem Rad unterwegs. Ich wünsche Dir,spannende Erlebnisse. Grüsse den Pastor, fühlt euch umarmt.;2021-06-06T14:28:08.000Z;4 likes;-
4-1;ichbinsophiescholl;@ulrikemunner Wie schön! Die Grüße werde ich ausrichten und lieben Dank! 🌼;2021-06-06T15:14:24.000Z;2 likes;4
5;michllex;Sind die Bilder die von den Gesichtern gepostet werden wirklich das Gesicht der Sophie oder gibt es da draußen wirklich wen der sie ähnlich sieht weil so bunte und genaue Bilder gab es damals nicht von den Geschwistern @ichbinsophiescholl ?;2021-06-06T07:45:23.000Z;3 likes;-
5-1;ichbinsophiescholl;@michllex #teamsoffer Die Schauspielerin Luna Wedler ist die Darstellerin von Sophie Scholl. Den Rest der Besetzung findest du unter dem Link in der Bio.;2021-06-06T08:50:31.000Z;4 likes;5
6;hanno_ho;Dieser Account ist absolut respektlos, klar kann man über Scholl reden, aber auf diese Art nicht.;2021-06-06T07:44:52.000Z;2 likes;-
6-1;_stairwaytohell_;@hanno_ree Wie meinst du das?;2021-06-06T14:34:42.000Z;0;6
6-2;hanno_ho;@_stairwaytohell_ der Geschichte von Sofi Scholl wird man mit einem merkwürdigen und teilweise humoristischem, teilweise ernst gemeinten Instagram account, der sie spielt nicht gerecht. Ich finde es respektlos;2021-06-06T16:08:19.000Z;1 like;6
6-3;_stairwaytohell_;@hanno_ree Die Fakten sind nach meinem Wissen bisher jedoch alle wahr. Jeder hat seine eigene Art der Verarbeitung deutscher Geschichte. Lass den Followern dieses Accounts ihre.;2021-06-06T16:11:02.000Z;4 likes;6
7;arisk.prvt;Ich hoffe du bleibst Fritz treu🤔;2021-06-05T18:21:54.000Z;0;-
8;gwen_gloeckchen;Lasst es euch richtig gut gehen! 😉;2021-06-05T13:41:24.000Z;1 like;-
9;tinlemar;Die letzten beiden post haben, mMn gezeigt, dass jeweils Hintergrundinformationen zur Fiktion benötigt werden oder sie in die belegte Historie eingeordnet gehören. Könntet Ihr das bitte machen? Vielen Dank.;2021-06-05T13:36:45.000Z;23 likes;-
9-1;ichbinsophiescholl;@tinlemar #teamsoffer Der letzte Post basiert auf einem Brief vom 30.5.1942 von Sophie an Lisa Remppis. In diesem fragte Sophie auch nach Lisas Zelt. Dass Sophie Gefühle für Alex entwickelte, ist historisch belegt.;2021-06-05T14:19:38.000Z;47 likes;9
9-2;tinlemar;@ichbinsophiescholl Danke für Eure Antwort u. Einordnung. Genau dieses fehlt mir, z.B auch bei der akt. Zeichnung. Die Trennung zwischen Fiktion u. Historie klärt sich hier leider oft erst durch Nachfrage im Nachhinein.;2021-06-05T14:28:23.000Z;35 likes;9
9-3;em_vaupunkt;@ichbinsophiescholl (#teamsoffer) schreibt bitte diese Textquellen/Literaturhinweise unter die Beiträge. Und gebt auch die Künstler der geposteten Bilder bzw. Zeichnungen an.;2021-06-05T15:34:07.000Z;37 likes;9
9-4;ichbinsophiescholl;@em_vaupunkt #teamsoffer Der Brief findet sich in Hans und Sophie Scholl: Briefe und Aufzeichnungen, Fischer Taschenbuch, S. 256. Die Information zu Alex ist aus Maren Gottschalk: Wie schwer ein Menschenleben wiegt. Sophie Scholl. Eine Biografie, C.H. Beck, S. 221.;2021-06-05T15:38:43.000Z;41 likes;9
9-5;osisamoni;@ichbinsophiescholl das gehört unter den beitrag und zwar immer!;2021-06-05T18:13:53.000Z;11 likes;9
9-6;sylkewatter;@ichbinsophiescholl Wäre es nicht möglich, diese Zusatzinformationen zb als 1. Kommentar von #teamsoffer unter den jeweiligen Post zu geben? So wird die Illusion erhalten und man bekommt dennoch die nötigen Zusatzinformationen;2021-06-05T19:29:36.000Z;16 likes;9
9-7;frank_graf;Ich finde diese Quellenangaben für absolut notwenig um aus der Story keine Seifenoper zu machen;2021-06-06T08:02:20.000Z;11 likes;9
9-8;__.everywhere;@ichbinsophiescholl Bitte in die Caption und nicht erst irgendwo in die Kommentare. 😉;2021-06-06T10:35:26.000Z;3 likes;9
9-9;lagrancostanza;@ichbinsophiescholl Ich würde mich der Bitte nach Quellenangaben und einer Kontextualisierung bei jedem Post, nicht erst auf Nachfrage, anschließen.;2021-06-06T12:03:33.000Z;6 likes;9
9-10;fiona.christo;@ichbinsophiescholl ich fände es wirklich praktischer, wenn diese Einordnung direkt im Post passiert, man kann es ja grafisch vom Rest abtrennen. Aber nicht jeder liest alle Kommentare (wahrscheinlich die wenigsten).;2021-06-06T14:48:14.000Z;4 likes;9
9-11;axelanova;@ichbinsophiescholl Bitte genaue Angabe an welchem Datum der Brief an wen geschrieben wurde, da ich das Zitat in meiner Ausgabe nicht finde. Vielen Dank.;2021-06-07T11:14:37.000Z;1 like;9
9-12;ichbinsophiescholl;@axelanova #teamsoffer Der Brief wurde am 30.05.1942 von Sophie an ihre Freundin Lisa Remppis geschrieben. Liebe Grüße!;2021-06-07T16:23:19.000Z;1 like;9
9-13;axelanova;@ichbinsophiescholl Vielen Dank. Nur findet sich der Inhalt des Posts nicht im Brief. Kein Hinweis auf Alexander Schmorell.;2021-06-07T21:15:35.000Z;0;9
9-14;ichbinsophiescholl;@axelanova #teamsoffer Die Information zu Alex ist aus Maren Gottschalk: Wie schwer ein Menschenleben wiegt. Sophie Scholl. Eine Biografie, C.H. Beck, S. 221.;2021-06-08T07:43:36.000Z;11 likes;9
10;imkebender50;Eine Muschel mit zwei Perlen , Sophie ... so kostbar ist die Freundschaft für dich !!!;2021-06-05T11:43:53.000Z;1 like;-
11;gabyd166;Ich wünsche dir /euch schöne Momente für Herz (😉) und Seele 💚🥰;2021-06-05T10:35:55.000Z;1 like;-
12;angi_glamsquadmuc;@superb_lunatic_69 wegen Leuten wie dir ist das wichtig. Weil dadurch Parteien wie die AfD wieder möglich werden und die menschenverachtende Sprache zurück ist im Bundestag. Und sich dadurch Menschen ermutigt fühlen, wieder genauso zu handeln wie damals. Wieder wird alles Nicht-Deutsche verteufelt, Juden beleidigt, Linke angegriffen. Die rechtsmotivierten Gewalttaten nehmen exponentiell zu. Es passiert mitten unter uns. Weil Leute wie du keinen Bock haben, ihr kleines Dasein zu hinterfragen und sich stattdessen was auf eine rein zufällige Herkunft einbilden. Was hast du geleistet? Persönlich? Außer hier geboren zu sein?;2021-06-05T09:50:18.000Z;24 likes;-
12-1;flo_9_n_3;@angi_glamsquadmuc Was ist daran so verwerflich Stolz auf seine Nationalität zu sein? Zu dem Rest habe ich bereits einen Kommentar verfasst;2021-06-05T09:51:20.000Z;0;12
