Link: ;https://www.instagram.com/p/CPEDziwHX6H/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;gromov.domino;...nackt);2021-06-25T18:08:13.000Z;2 likes;-
2;jojo.cxss;Ich finde es so toll was du so machst und erreichst ❤️❤️👏;2021-06-24T16:05:05.000Z;1 like;-
3;hlr_luca;Er tut seine Pflicht auch wenn es nicht seine Überzeugung ist. Darauf kann man stolz sein;2021-06-08T12:04:57.000Z;0;-
4;plasa_gemeinschaft;"Ich kann das so gut nachvollziehen...

Als Afghanistan Veteran, der seine Geliebte während des Kampfeinsatzes verloren hat, kann ich euch sagen...diese innere Zerissenheit ist eines der tragischsten Dinge, die im Menschen überhaupt vorgehen können und es lässt einen nie wieder los, dieses Trauma.

""Wo kein echter Frieden ist, kann es auch keine echte Liebe geben""";2021-05-26T17:10:04.000Z;1 like;-
5;jasmin_lissy_146;Ich finde es voll toll was ihr gemacht als Projekt macht weiter so😊;2021-05-23T21:29:27.000Z;0;-
6;eileenah16;@tanja.honest #esistkompliziert;2021-05-23T15:10:18.000Z;1 like;-
7;frederikklewitz;Voll unrealistischer mist hätte Sophie Scholl Insta gehabt hätt se auch Arschfotos und Rabattcodes gepostet;2021-05-22T17:10:22.000Z;0;-
8;_.stef_.anie_;Absolut tolle Idee 😍 Daumen hoch;2021-05-22T11:46:00.000Z;0;-
9;rimbanette;🙌;2021-05-22T11:43:50.000Z;0;-
10;christina.ags;liebe ist kompliziert..;2021-05-22T09:55:31.000Z;2 likes;-
11;jewels_pleasure;❤️;2021-05-22T08:38:14.000Z;0;-
12;yewa_;Voll schade dass es an keiner einzigen Stelle probz an @eva.stories gab;2021-05-21T21:46:20.000Z;10 likes;-
12-1;ichbinsophiescholl;@yewa_ #teamsoffer @eva.stories war auf jeden Fall eine Inspiration für dieses Projekt. Darauf verweisen wir immer wieder in Kommentaren und dms und @eva.stories ist der einzige Account, dem dieser Kanal folgt! :);2021-05-22T12:19:56.000Z;78 likes;12
13;koss.martin;Ich muss wirklich sagen dass es ein sehr gutes Projekt ist und ich jeden Post Der kommt erwarte die Art das es aus der Sicht der sophi geschrieben ist ist sehr interessant ihre gedanken zusammen mit den orinalen Zeugnissen zu kombinieren ist wirklich sehr gut gelungen.;2021-05-21T15:22:20.000Z;1 like;-
14;wilde.herzen;unfassbar gut @pepepiccolo;2021-05-21T13:45:19.000Z;0;-
15;benritter292;Ist das nicht diese Jana aus Kassel?;2021-05-21T13:24:17.000Z;0;-
16;sebastian.1986.nbg;Luftwaffe😍;2021-05-21T13:21:19.000Z;0;-
17;harvelein;Gab's im Reich eigentlich gutes Internet?;2021-05-21T12:45:19.000Z;0;-
18;gut_programmierter_npc;Ist das eine kacke.😂;2021-05-21T12:18:25.000Z;0;-
19;moon_me_and_i;Und dann ist er auch noch so nett zu ihr;2021-05-21T11:06:42.000Z;0;-
20;leeza.da;Wahnsinn! Dieses Projekt ist einfach der absolute Hammer! Großen Respekt an alle Beteiligten, an die klasse Schauspieler, an die Ideengeber*in das Ganze auf Instagram zu bespielen.... wirklich einfach klasse! Das beste an Content, was ich hier seit Jahren gesehen habe!;2021-05-21T09:49:42.000Z;0;-
20-1;leeza.da;@leeza.da *Schauspieler*innen;2021-05-21T09:50:14.000Z;0;20
