Link: ;https://www.instagram.com/p/CTHPDUQjAOg/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;adrians_instastube;Schmeckt das denn? Man ist ja immer für neue Rezepte offen. Aber ja ich meine nur XD;2022-01-05T22:30:51.000Z;1 like;-
2;sarashealingjourney;"Meine Uroma hat 2 Kriege überlebt. Meinen Uropa habe ich nie kennengelernt. Nachdem Krieg kam die DDR in der es auch nicht immer alles gab. Ich bin mit Uromas Geschichten über den Krieg aufgewachsen und obwohl ich in Kriegszeiten noch nicht gelebt habe und beim Mauerfall erst 1 Jahr alt war bin ich in einem Umfeld aufgewachsen in dem im Keller locker 50 kg Kartoffeln und diverse Eingemachte Produkte gelagert haben damit in Notfällen nimmer etwas da ist. Eintopf und Suppen gab es bei uns auch locker 3-4 mal pro Woche. Viele Jahre in denen nicht alles verfügbar war und ein Haus in dem es auch im Jahr 2000 noch kein fließend warmes Wasser gab, mit Holz und Kohle geheizt wurde und die Toiletten Gemeinschaftsklos im Garten waren haben uns auf jeden Fall kreativ werden lassen was Ernährung, Baden, etc betrifft.
Zeitgleich bin ich dadurch sehr genügsam. Wohne zu 2. auf 30 qm. Es ist manchmal etwas eng aber ich weiß den Luxus einer normalen Heizung und von fließend warmen Wasser sehr zu schätzen";2021-08-31T09:39:32.000Z;3 likes;-
2-1;sarashealingjourney;@sarashealingjourney *immer nicht nimmer;2021-08-31T09:40:29.000Z;1 like;2
3;brusseecharlie;Mmmmm;2021-08-30T16:43:30.000Z;0;-
4;my.kind.of.pics;Weitere mögliche Zutaten: Petersilie, Schnittlauch, Löwenzahn.. Giersch, wenn es denn sein muss..;2021-08-30T10:13:07.000Z;0;-
5;ilkafuessel;Hoffentlich geht das Salz nicht aus, ansonsten wird es sehr fade. 🍲;2021-08-30T06:34:59.000Z;0;-
6;arisk.prvt;Sieht lecker aus 😋;2021-08-29T16:47:21.000Z;2 likes;-
7;robert_scheib;Unterschätztes Powerfood. Wintergemüse mindestens genau so Energiehaltung wie Shiasamen aus Südamerika aber wesentlich umweltfreundlicher. 👊🐺💚;2021-08-29T14:39:29.000Z;0;-
8;tobiaskreuzfahrer;Ernsthaft sowas kocht meine 93 jährige Oma auch noch, evtl. mit Brühwürfel.;2021-08-29T14:15:00.000Z;0;-
9;episode_husky_mladjo;Bitte noch mehr Kochvideos danke;2021-08-29T14:01:04.000Z;0;-
10;langejoana;@die_derudis bzw. Die Kartoffeln von Anfang an klein schneiden, das dickt dann auch anders an. Ich bin, ehrlich gesagt, mit Kohleintopf aufgewachsen und ich bin noch gar nicht sooo alt. Und ich mache ihn immer noch... Allerdings würde ich Gemüsebrühe zum würzen nehmen.;2021-08-29T13:35:56.000Z;0;-
11;julian__ke97;@mimi_1609;2021-08-29T13:02:59.000Z;0;-
11-1;mimi_1609;@julian__ke97 mag keinen Kohl…;2021-08-30T09:22:08.000Z;1 like;11
12;carin_0203;Und all diese Zutaten hattet Ihr noch kaufen können? Ich hätte gedacht, dass Öl und Mehl da schon sehr knapp waren;2021-08-29T13:00:42.000Z;0;-
13;robert_scheib;Unterschätztes Powerfood. Wintergemüse mindestens genau so Energiehaltung wie Shiasamen aus Südamerika aber wesentlich umweltfreundlicher. 👊🐺💚;2021-08-29T07:07:55.000Z;0;-
14;slothmarbletree;Einfach nur ekelhaft dieses gefühlstriefende Mitleiden auf diesem Pseudoprofil - und das noch mit einer Kunstfigur & BR Redakteurin. Abgeschmackt;2021-08-28T22:46:26.000Z;0;-
15;schliense;Freunde, ich hab euch wirklich lieb, aber musstet ihr fertige Kartoffeln ausm Glas nehmen und konntet echt nicht die paar selbst schälen? 🤔🥺;2021-08-28T22:36:24.000Z;2 likes;-
16;leseladen;Könnte man nicht noch einen Hauch von Speck 🥓 dann wird es ein Sonntagsessen…;2021-08-28T22:15:01.000Z;1 like;-
17;tinnef_ploerren_und_klimbim;Was meinst du, warum es nichts anderes gab?;2021-08-28T21:30:04.000Z;0;-
18;uwe.neuber;Ich frag mich ja die ganze Zeit, wo ihr die ganzen Requisten her habt 😍😮👏;2021-08-28T20:49:28.000Z;4 likes;-
18-1;katja.rufa;"@uwe.neuber Die für die Requisiten zuständig sind, stöbern oft über Wochen und Monate, durch Geschäfte, über Flohmärkte oder im Internet, bis sie das passende gefunden haben.
Und manchmal sieht man eine Requisite im Fernsehen und denkt sich, das kenne ich doch irgendwo her.";2021-08-28T23:01:28.000Z;4 likes;18
