Link: ;https://www.instagram.com/p/CP8sHAGqI3A/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;hauptstadtlady50;Ein Moment voll Leichtigkeit haltet in fest liebe Sophie. Wünsche euch einen entspannten und gesunden Samstag Abend 🙋🌙🍸.;2021-06-12T16:51:39.000Z;0;-
2;c79mueller;"Die gestrige Story hat mich wieder sehr berührt! ""Gott ist mein Begleiter, aber entscheiden muss ich selbst."" - so starke Worte am Lagerfeuer. Man kann die Gefühle, die Not aber auch gleichzeitig Entschlossenheit wirklich nachspüren. Großartig dargestellt 👏❤️";2021-06-12T13:13:18.000Z;0;-
3;kathleen.sghf;Ich liebe das was ihr hier alles berichtet. Das ist so jetzt und echt. Geschichte im Hier und für alle....❤️;2021-06-12T08:28:59.000Z;0;-
4;c79mueller;"Die gestrige Story hat mich wieder sehr berührt! ""Gott ist mein Begleiter, aber entscheiden muss ich selbst."" - so starke Worte am Lagerfeuer. Man kann die Gefühle, die Not aber auch gleichzeitig Entschlossenheit wirklich nachspüren. Großartig dargestellt 👏❤️";2021-06-12T05:30:54.000Z;0;-
5;therealfaceofbeth;Was ist denn jetzt mit Fritz? Habe ich etwas übersehen?;2021-06-11T18:22:40.000Z;0;-
6;nadinekleinen84;Männer sind große Kinder.😂;2021-06-11T17:59:59.000Z;0;-
7;nadinekleinen84;😂😂😂😂;2021-06-11T17:59:35.000Z;0;-
8;sophie_caro_;Es ist so wichtig, mal aufzutauen und alles für kurze Zeit zu vergessen! Gute Erholung;2021-06-11T15:20:21.000Z;1 like;-
9;netratz;🔥❤️;2021-06-11T15:10:49.000Z;0;-
10;sylkewatter;@ichbinsophiescholl Sophie könntest du vielleicht erklären, wie das Fingerspiel in deiner aktuellen Story funktioniert? Ich kapier das nämlich Null 🙈;2021-06-11T14:41:53.000Z;3 likes;-
11;_frolleinschnabelstedt_;Ihr Lieben, ich wünsche euch unbeschwerte Tage! Ich hoffe, dass sich dein Bild von ihm vll doch noch ändert?! Fühl dich aus der Ferne feste gedrückt! Deine Julia;2021-06-11T14:39:52.000Z;2 likes;-
12;isabeljordanu;"Sophies, Hans' und Alexs letzter Sommer......M.L.King hat mal gesagt, sinngemäs"" wenn wir nichts haben, wofür wir auch sterben würden, leben wir umsonst......ich muss immer an diesen Spruchvdenken, wenn ich diese Posts sehe";2021-06-11T12:40:34.000Z;2 likes;-
13;ulrikeruest;Typisch Mann🤣🤣. Sie bleiben immer Kinder🤣🤣🤣;2021-06-11T11:59:54.000Z;2 likes;-
14;stier1967;Wieder ein sehr schönes Video!!😊;2021-06-11T11:42:42.000Z;1 like;-
15;haiko.buechel;So einen schönen Weiher haben wir auch in der Nähe des Dorfes. Nach Ende des Krieges, als die Russen kamen, wurden da viele Deutsche Mädels von Rotarmisten vergewaltigt 😢😢😢... Meine Oma erzählte mir stets unter Tränen von diesen ekelhaften Bastarden. Das werde ich nie vergessen...;2021-06-11T11:31:29.000Z;2 likes;-
16;bahareh_azargoun;"Sophi wo ich mir denke daß ich dich von dein Vergangenheit lese, wūnsche ich mir daß du mehr Storys und Beiträge posten soll

Ich hab angst daß deine Vergangenheit nicht mehr sehe";2021-06-11T10:57:57.000Z;1 like;-
17;anettehaas.offiziell;🙌 ich bin von eurer Aktion begeistert - auch wenn mich dies sehr traurig macht;2021-06-11T07:42:16.000Z;1 like;-
18;smalltalk201;Wenn man euch so sieht, sind Krieg, Hass, Leid und Tod so weit weg...genießt den Sommer ❤️;2021-06-11T07:25:13.000Z;2 likes;-
19;alexesawatzkiplasticienne;Es ist wichtig, Kind zu bleiben!;2021-06-11T07:16:14.000Z;2 likes;-
20;fraeuleinloulou;Ist ihm da fast ein: Au, Alter! rausgerutscht😂?;2021-06-11T06:37:28.000Z;9 likes;-
20-1;thats_not_me;@fraeuleinloulou 😂 Jap, tatsächlich. 🙊 Manche Sachen kann eben auch ein Schauspieler nicht so einfach abschalten. Und wenn der Rest der Drehtruppe es nicht mitbekommt und man noch nen weiteren take dreht, dann passiert sowas eben. 😄 #sehrgutaufgepasst 👍🏻;2021-06-11T08:49:59.000Z;3 likes;20
21;der_filmmax;☺👌🏼;2021-06-11T01:08:23.000Z;1 like;-
22;odetteanagonzalez;Tema??;2021-06-10T23:44:59.000Z;3 likes;-
23;callekee9;👏👏👏;2021-06-10T23:03:55.000Z;1 like;-
24;__marisa.____;mega cool, genießt die Zeit 😍;2021-06-10T21:30:01.000Z;1 like;-
