Link: ;https://www.instagram.com/p/CTCr9VfswAo/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;earthling_2020;Wer Macht besitzen möchte, muss sich sehr tief bücken um sie aufzuheben! #ragnar #Vikings;2021-08-28T10:19:27.000Z;0;-
2;leseladen;Hülsen für Munition herstellen ist schon heftig - wenn man sich vorstellt, das fast jede dann Menschen töte… 😢 und wenn man das sabotiert einen einfachen Soldaten schwer verletzen oder sogar töten - was für ein Gewissenskonflikt! 😢;2021-08-27T21:40:13.000Z;0;-
3;patricia_the_best_years;Oh ja, Macht bekommt den wenigsten... 😥 sehr traurig! Besser als andere zu sein, ein ganz ureigener Drang und sooo gefährlich 😔👎🏽 macht mir Angst!;2021-08-27T20:12:35.000Z;0;-
4;anjamuller565;Oh je..bitte nimm Dich in Acht vor ihm !!!;2021-08-27T19:09:38.000Z;0;-
5;laura18498;Hat Friedrich eig eine Kriegsverletzung, weil sein eines Auge immer geschlossen ist?;2021-08-27T09:15:43.000Z;0;-
6;chiangelus;Das traurige daran ist, dass der Mensch fast 100 Jahre in der Zukunft kaum was daraus gelernt hat;2021-08-27T07:50:24.000Z;2 likes;-
7;heros_jani;Ihh man muss arbeiten.;2021-08-27T07:14:26.000Z;0;-
8;giusy79_;Willst du den Charakter eines Menschen erkennen, so gib ihm Macht!;2021-08-27T06:13:06.000Z;0;-
9;lexpl8;Die Produktion sabotieren, aber klug und heimlich! (Lerne die Regeln, damit Du weißt, wie und wo Du sie brechen kannst...);2021-08-27T06:06:25.000Z;0;-
10;businesscoachchristoph;"Macht fördert oft das Gute oder das Schlechte - auch heute. Glücklicherweise wurde die Welt aber insbesondere Deutschland von den Nazis befreit.
Ich kann nur jedem empfehlen „… trotzdem Ja zum Leben sagen“ von Viktor Frankl zu lesen. Ein jüdischer Psychologe, der aus seiner Zeit im KZ berichtet. Ich habe selten ein Buch gelesen, das auf der einen Seite so fesselnd und gleichzeitig so erschütternd war…";2021-08-27T05:47:57.000Z;4 likes;-
11;michi.rom.8.31;",,Gib einem Menschen Macht und er zeigt dir wie er wirklich ist""";2021-08-26T21:57:28.000Z;10 likes;-
11-1;ichbinsophiescholl;@michi.rom.8.31 Leider steckt viel Wahres in diesem Spruch...;2021-08-27T06:22:04.000Z;2 likes;11
12;dor_fkind8790;@madleen.st;2021-08-26T21:52:10.000Z;0;-
13;chocolatefudgestudios;🤍;2021-08-26T21:12:00.000Z;0;-
14;pumpkinqueen27;Nichts dauert ewig und auch wenn du es dir kaum vorstellen kannst, der Krieg geht vorbei. Für einige schon sehr sehr bald...;2021-08-26T19:44:47.000Z;0;-
15;schnattente;Konntest du den anderen Arbeitern Brot mitbringen?;2021-08-26T19:26:57.000Z;0;-
