Link: ;https://www.instagram.com/p/CYBburusFKK/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;ansgarwfl;Habt ihr noch Holz man kann auch Birkenäste oder andere Äste verwenden die brennen schön und halten warm;2022-01-12T05:56:52.000Z;0;-
2;millerhamburg1;So schlecht ist dieses Plakat nicht und eine Greta Thunberg hätte es heute eigentlich erfreuen müssen.;2022-01-07T12:12:30.000Z;0;-
3;vfl.wolfsburgfans;Wahnsinn, gestern erst gefragt wo die Nazis ihr Benzin her bekamen, wenn doch der Suez Kanal und somit das Öl aus dem nahen Osten in britischer Hand waren. Heute die Antwort gefunden, danke :).;2021-12-29T21:18:47.000Z;0;-
4;zamhoidnla;Danke für eure zeithistorischen Beiträge!;2021-12-29T14:49:51.000Z;0;-
5;anni_meyer_1985;Hast du schon mal etwas von der Kochkiste gehört? In der Kochkiste kannst du kurz aufgekochte Lebensmittel wie Kartoffeln oder Gemüse garziehen lassen. Vielleicht kannst du so etwas Kohlen sparen...;2021-12-28T19:52:07.000Z;0;-
6;changed.by.popular.demand;Sag mal @ichbinsophiescholl: müssten wirklich nicht alle frieren? Ich könnte mir vorstellen, da gäbe es schon die ein oder andere Bevölkerungsgruppe, die auch dann frieren müsste, wenn jetzt kein Krieg wäre.;2021-12-28T18:12:17.000Z;3 likes;-
7;antjehud;Der Begriff Kohlenklau hat bis in meine Kindheit überdauert. Dachte immer, da geht es um Ernergiesparen.;2021-12-28T18:09:37.000Z;0;-
8;riso5400;Sieht aus wie ein Biber.;2021-12-28T17:25:52.000Z;0;-
9;florian.doebbeling;Soweit ich weiß, ging es beim Kohlenklau um das Sparen von Energie allgemein.;2021-12-28T17:09:55.000Z;1 like;-
10;max_van_s;Druckluft bis heute ein thema in firmen. Da sind Schläuche rissig usw das sind kosten die müssen nicht sein. Druckluft teuer in der herstellung und nur 1mal verwendbar;2021-12-28T15:57:14.000Z;0;-
11;betsabehz;Wenn sie bloß selbst damit anfangen würden Kohle zu sparen und afhören würden die Kohle für den Krieg zu verbrennen, wären die Plakate gar nicht notwendig gewesen 🤦‍♀️🤦‍♀️🤦‍♀️;2021-12-28T14:54:52.000Z;1 like;-
12;emily.erdbeere007;Das Brettspiel hatte meine Großtante und hat es tatsächlich mit mir noch gespielt. Als Kind war mir natürlich nicht klar welchen Hintergrund das hatte 😮;2021-12-28T14:16:43.000Z;5 likes;-
