Link: ;https://www.instagram.com/p/CQA6smjghPW/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;legend.mika;Wer ist Hans;2021-10-28T09:56:42.000Z;0;-
2;ans.for.you;Liebe Sophie! Es ist total ok mehrere Personen gleichzeitig anziehend zu finden oder sich zu verlieben. Ich bin selbst Polyamor und könnte mir nichts schöneres vorstellen. Alles Liebe, Nasti;2021-08-24T19:12:46.000Z;0;-
3;schoolsven;😍😍😍;2021-08-12T12:26:44.000Z;1 like;-
4;ich_mag_finn_nicht;Ach herjeeee;2021-06-25T08:18:27.000Z;1 like;-
5;kudrow.perfection;Diese vielen blauen Augen👀💙;2021-06-13T23:28:52.000Z;3 likes;-
6;pia_claraa;0;2021-06-13T21:08:27.000Z;0;-
7;tmgoers;Liebe ist frei. Monogamie ist Zwang des Patrichat.;2021-06-13T17:36:47.000Z;2 likes;-
8;lenayoga_teachertrainings;😂;2021-06-13T17:02:38.000Z;0;-
9;fit4ref_bremen_oldenburg;Es ist so toll, wieviele Gedanken ihr euch um die Umsetzung macht. Schauspielerisch ist es auch eine absolut super Leistung. Ihr macht Geschichte wirklich erlebbar. Sophie wächst einem richtig ans Herz. Sind schon ähnliche Folgeprojekte geplant?;2021-06-13T11:21:11.000Z;9 likes;-
10;netratz;🔥❤️;2021-06-13T02:30:32.000Z;1 like;-
11;1uzie;sophie scholl, du siehst sooo fresh auf dem bild aus;2021-06-12T23:37:06.000Z;0;-
12;rebella2.1;"@ichbinsophiescholl es ist nicht verboten jemanden gut zu finden. Das was man nicht hat ist oft interessant.
Aber mit Fritz weißt du was du hast und anscheinend habt ihr ja schon einiges zusammen durchgestanden";2021-06-12T22:24:06.000Z;0;-
13;darth_vato58;Sophie 😍😍😍😍;2021-06-12T21:04:28.000Z;0;-
14;raul_mccallister007;❤️;2021-06-12T21:00:00.000Z;0;-
15;anjamuller565;Das liegt auch an der schlimmen Zeit in der Du lebst liebe Sophie. Mach Dir keinen Kopf und genieße den Sommer.;2021-06-12T18:16:57.000Z;0;-
16;schokolanta;Vielleicht hätte sie einfach gern beide Männer in ihrem Leben gehabt statt einer Entscheidung. Ich finde, das wäre großartig gewesen.;2021-06-12T18:16:49.000Z;2 likes;-
17;wakki01;Das Herz sagt ja und der Verstand sagt nein. Du fühlst dich mit Alex eindeutig wohler, er bringt dich zu Lachen. Du bist noch so jung, höre auf den Herz und genieße die Zeit. Aber sage es auch Fritz, er hat ein Recht auf die Wahrheit... ❤️;2021-06-12T17:49:10.000Z;0;-
18;matthiasv.branca;Ihr macht das toll. Danke dafür!😍;2021-06-12T17:46:49.000Z;0;-
19;galkas_art;Wenn man so mit seinen eigenen Gefühlen beschäftigt ist, dann merkt man gar nicht, wie sich die Welt verändert hat. 1942 gab es Jugoslawien gar nicht mehr. Also auch keine Jugoslawinnen. Und ich nehme an, dass selbst davor eine Bezeichnung als Kroatin, Serbin etc. passender wäre. 😂 Ansonsten lese ich fast jeden Eintrag mit Begeisterung. 👍💐🙋‍♂️;2021-06-12T17:34:40.000Z;0;-
19-1;floral__yoongs;@galkas_art tatsächlich gab es jugoslawien bis 2003 😇 hab’s nur gerade gesehen. Bin selbst Kroate und würde nicht gerne als Jugoslawe bezeichnet werden aber damals war es tatsächlich noch so;2021-08-12T09:12:20.000Z;5 likes;19
19-2;xxmj1997xx;@galkas_art bis 1945 gab es das Königreich Jugoslawien;2021-08-12T13:14:14.000Z;1 like;19
19-3;galkas_art;@ena____ @floral_yoongs Ok, ich habe mich verrechnet. Wir sind in der Geschichte im Jahr 1942. 2-3 Jahre vorher da gab es das Königreich Jugoslawien ja noch. Gab's damals auch schon die starke Trennung in Kroate, Serbe etc.? In Deutschland gibt es diese Trennung nur noch zum Spaß. 😅🙋‍♂️;2021-08-12T17:35:44.000Z;1 like;19
