Link: ;https://www.instagram.com/p/CS4RyXJjEfg/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;ohhh.schau.mal;💔❤️😂🙈;2021-08-25T23:08:52.000Z;1 like;-
2;zeitverschwender;Thumbs up für die Bildbeschreibung! 👏;2021-08-25T13:51:36.000Z;2 likes;-
3;nellybochem;Ich nie einer Vater gehakt immer traurig;2021-08-24T15:54:58.000Z;1 like;-
4;theresahenkes;Deutlich produktiver und vernünftiger als Alkohol 😊;2021-08-24T11:10:12.000Z;1 like;-
5;lifeofkadi;Putzen oder Pferdestall misten hilft am besten 🙈;2021-08-23T12:32:51.000Z;0;-
6;michaela_mathy;😮😢;2021-08-23T11:37:46.000Z;0;-
7;bitteallemalruhigsein;Sorgen machen ist wie im Schaukelstuhl sitzen: es hält dich beschäftigt aber bringt dich nicht weiter... von daher macht sie das mit dem Bügeln schon gut, so passiert wenigstens noch etwas effektiv.;2021-08-23T11:19:25.000Z;0;-
8;schoolsven;Das ist aber sehr praktisch. So hat man gleich gebügelte Sachen 😃🥰❤️;2021-08-23T11:10:52.000Z;0;-
9;vineyard.snail;Beim bügeln kann man prima seinen Gedanken nachhängen. Leider wälzt man oft Probleme oder macht sich Sorgen 😬# ich Bügel auch!;2021-08-23T01:31:13.000Z;1 like;-
10;dontbleed;Schade, dass sie nicht tanzt;2021-08-23T00:31:25.000Z;1 like;-
11;ankegopfert;Hilft das wirklich gegen Sorgen?;2021-08-22T21:54:25.000Z;1 like;-
12;xsenuu;Inge was ist aus deiner Ballett Karriere geworden?;2021-08-22T21:50:35.000Z;0;-
13;femme_fucked_up;Backen ist auch gut für die Nerven, das hilft mir immer. Aber in eurer Lage wahrscheinlich grad sehr schwierig. 😕;2021-08-22T19:50:14.000Z;2 likes;-
14;mathiasnetzer91;"Ist es möglich, dass diese Inge Scholl in Hofs bei Leutkirch begraben wurde?
Dort hab ich kürzlich ein Grab mit dem Namen entdeckt.
Vielleicht kann mir jemand weiterhelfen.";2021-08-22T18:26:09.000Z;1 like;-
14-1;sweishau;@mathiasnetzer91 die Familie Aicher (Otl Aicher und Inge Aicher-Scholl) lebte seit 1972 in Rotis, das gehört m.W. zu Leutkirch-Hofs;2021-08-22T19:53:22.000Z;3 likes;14
15;tuugce6258;War Inge nicht mal in Australien als Austauschschülerin an einer Ballett Schule?!😂;2021-08-22T16:46:11.000Z;0;-
16;helmutkeimel;Gute Idee.;2021-08-22T16:13:46.000Z;1 like;-
17;hauptstadtlady50;Jede(r) geht auf seine Art mit Sorgen um und es hat noch einen positiven Effekt.;2021-08-22T16:06:06.000Z;3 likes;-
18;1.favseries;Wird wenigstens die Hausarbeit fertig 😂;2021-08-22T16:01:38.000Z;3 likes;-
19;books4ever62;Nützliche Art, mit Sorgen umzugehen🔥😂;2021-08-22T16:00:56.000Z;2 likes;-
20;katharina.helling;"Ein Brief aus Russland an Professor Huber vom 17. August 1942, unterschrieben von Hans Scholl, Alexander
Schmorell, Willi Graf und Hubert Furtwängler ist währenddessen auf dem Weg zu Prof. Huber: Er (Hans Scholl) berichtet über seinen
Aufenthalt in Rußland, schildert seine Verärgerung über die Verdammung
zur ""Inaktivität in wesentlichen Dingen, die Ausweglosigkeit"". Warschau mit
seinem Ghetto habe ""auf alle einen sehr entschiedenen Eindruck
gemacht"". Er weiß nicht, wo er anfangen soll, Rußland zu beschreiben, es sei grenzenlos so wie die Heimatliebe seiner Einwohner, die das Leid zu
reinigen schiene. Von seinen drei Freunden sei ihm der russische
besonders wertvoll, er versuche, die russische Sprache zu lernen und sie
würden abends die Russen besuchen.
// Vom Warschauer Ghetto aus wurden die polnischen Juden seit dem 22.07.1942 in das Vernichtungslager Treblinka deportiert. Ob die Studenten die Deportationen mitbekamen und das Ziel kannten, lässt sich abschließend wohl nicht mit Gewissheit sagen, da es unterschiedliche Quellenlagen/Zeitzeugenberichte gibt.";2021-08-22T15:58:08.000Z;5 likes;-
21;andrea.woeste;Ich putze immer um Stress abzubauen oder um zu entspannen. 🙈;2021-08-22T15:52:31.000Z;3 likes;-
22;anjamuller565;Das ist einfach klasse!!!;2021-08-22T15:42:04.000Z;2 likes;-
23;aninmandarina;Jeder geht anders damit um, ich fange an zu backen um mich abzulenken oder Stress abzubauen . Eine Zeit lang, gab es tatsächlich tgl eine andere Sorte Kuchen 😄😄😄 oder muffins 😄😄;2021-08-22T15:20:35.000Z;1 like;-
24;raul_mccallister007;❤️;2021-08-22T15:15:33.000Z;0;-
25;david_melchior_;Wie heißt denn das Piano Stück ?;2021-08-22T15:09:39.000Z;4 likes;-
26;philicious_philici;"Beneidenswert wenn es ihr denn hilft. Tipp für Inge: eine moderne Dampfbügelstation ;-)";2021-08-22T15:02:17.000Z;1 like;-
27;honey_magnolia_;Mache ich auch. Und/ oder putzen. Klappt immer.;2021-08-22T14:59:46.000Z;1 like;-
28;ava.santimea;ich putze. das ist auch okay. 😅;2021-08-22T14:56:48.000Z;3 likes;-
29;nolle1801;Wow ihr habt ein elektrisches Bügeleisen 😮 Meine Oma hat eines aus Gusseisen, das immer auf dem Holzofen erhitzt wird.;2021-08-22T14:53:03.000Z;5 likes;-
30;heikegumz;"Am ""heutigen"" 22.8.42 wurde die 3. Deportation von jüdischen Mitbürger*innen aus Ulm umgesetzt. In der ""Reichspogromnacht"" 1938 war bereits die Synagoge niedergebrannt und jüdische Einwohner*innen misshandelt und eingesperrt worden. Ab 1939 waren die noch nicht ausgewanderten jüdischen Einwohner*innen in sog. ""Judenhäuser"" umquartiert worden. Die Deportation in KZs und Vernichtungslager fand 1941 und 42 statt. 118 Ulmer Juden starben dort. Nichts davon geschah ""im Geheimen"".

Robert Scholl war seit 1927 mit dem führenden Nazi Dr. Ferdinand Dietrich (SA Standartenführer, NSDAP-Oberbereichsleiter) befreundet, der als Kreisleiter für Öhringen und überzeugter Antisemit u.a. die organisierte Zerstörung jüdischen Eigentums und Deportation von Juden verantwortete. Ebenso war er verantwortlich für die Zwangssterilisation psychisch kranker und behinderter Menschen sowie Folter und Verfolgung politisch Andersdenkender.

Nach 45 hat Robert Scholls mit seiner Aussage dazu beigetragen, dass das Verfahren gegen Dietrich eingestellt wurde und dieser für seine Taten nie zur Rechenschaft gezogen wurde.";2021-08-22T14:51:55.000Z;60 likes;-
30-1;heikegumz;@heikegumz Quelle: Zoske (2021). Sophie Scholl. Es reut mich nichts. S. 196f;2021-08-22T14:52:59.000Z;11 likes;30
30-2;3asy.p3asy;@heikegumz vielen Dank für deine Infos 💞 wieso hat Robert Scholl denn für Dietrich ausgesagt, wenn er so andersdenkend war? 🤔;2021-08-22T15:15:07.000Z;8 likes;30
30-3;frauenvondamals;@heikegumz Liebes #teamsoffer @ichbinsophiescholl, bitte likt Heikes Kommentar, damit er oben erscheint! 🙏 Dieser Kontext darf nicht irgendwo im Thread versanden.;2021-08-22T16:52:14.000Z;12 likes;30
30-4;riso5400;@heikegumz das würde mich auch interessieren, warum Robert Scholl nicht gegen den Dietrich ausgesagt hat.;2021-08-22T17:24:53.000Z;5 likes;30
30-5;ichbinjuedin_ichbindeutsche;@heikegumz deine zusätzliche Infos sind sehr bereichernd, danke.;2021-08-22T17:43:49.000Z;4 likes;30
