Link: ;https://www.instagram.com/p/CaE2nndM931/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;_jvc0;@lanarhoades bist das du @_stvc0;2022-03-02T11:09:49.000Z;0;-
2;_geoengineering_frankenland_;wtf... so ne kranke scheiße hier..;2022-02-27T19:43:03.000Z;1 like;-
3;stephan.leo63;Das ist nicht Sophie Scholl.;2022-02-26T09:43:13.000Z;0;-
4;nadinekleinen84;👍👍👍👍;2022-02-23T19:02:37.000Z;0;-
5;lindakoprowski;"Gerade dieses Projekt hat mir gezeigt, wie wichtig der Ausgang dieser Geschichte ist. Es musste zum Schlimmsten kommen, sonst würde niemand mehr über die Weiße Rose reden. Es hat genau so passieren müssen, damit dieser wache und mutige Geist bis heute weiter getragen wird.
Weil Werte manchmal größer sind als wir selber.
Danke für dieses Projekt 🙌";2022-02-22T12:43:44.000Z;1 like;-
6;deraliauswien;"Deutschland braucht
dringend Nachhilfe in Sachen Erinnerungskultur. Das
Instagram-Projekt""ichbinsophieschol)""soll auf das
Thema aufmerksam machen, hat aber einige
Probleme bei der Umsetzung. Historische Quellen
und die ungeschönte Wahrheit klicken halt leider
nicht so gut. #zdfmagazin";2022-02-22T08:03:05.000Z;6 likes;-
7;natalia11rau;Was für ein einprägsames Experiment, das alles so darzustellen. Ich mache mir Sorgen um sie, mag gar nicht mehr schauen was als nächstes passiert. Sophie ist mir ans Herz gewachsen und selbst wenn man weiß was noch kommt, so ist es durch diesen Account einfach so echt geworden, dass man es richtig miterlebt.;2022-02-21T20:19:09.000Z;1 like;-
8;chrissi_owen;@owenjustin83 this is so brilliantly done 😢;2022-02-21T19:41:40.000Z;0;-
9;donjoshi34;Schäm dich;2022-02-21T16:14:22.000Z;0;-
10;white.ninja71;Eine bodelose Frechheit dieser Müll!!!;2022-02-20T22:21:24.000Z;1 like;-
11;frau_d_aus_nw;😢😢 Tu es nicht...geht wandern. Oder vielleicht habt ihr einen Magendarmvirus...alles. Aber bitte geht nicht....♡♡♡♡♡;2022-02-20T15:45:27.000Z;1 like;-
12;kosem.zero30;Das Profil hat mehr mit 2022 und junger hipster Kultur zu tun als mit 1933- 1945. Widerlich;2022-02-20T10:12:09.000Z;3 likes;-
13;miss_muc;Habe das Projekt von Anfang an verfolgt und fand es großartig! 🙌 mir hat es sehr viel gebracht und ich fand die Reels und Stories aus Sophies Sicht Klasse und total nachvollziehbar. Ich kann nicht verstehen, dass Jan Böhmermann eine ganze Sendung darauf verschwendet, das Projekt schlecht zu machen und abzuwerten. Quellenangaben und Fiktion hin oder her. Hat mich sehr traurig gemacht. ☹️;2022-02-20T09:29:52.000Z;0;-
