Link: ;https://www.instagram.com/p/CR9KHFJMm9n/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;wozufreizeit;❤️;2021-08-01T11:00:17.000Z;0;-
2;seinykay;Auf jeden Fall ist Künstlerin weniger gefährlich. Pass auf dich auf!;2021-07-31T22:59:29.000Z;0;-
3;netterholger;Wenn du Künstlerin geworden wärst, hättest du wahrscheinlich länger gelebt;2021-07-31T22:00:33.000Z;0;-
4;susanne_k_aeferchen;🙌🙌🙌;2021-07-31T15:31:35.000Z;0;-
5;abs_atoll;Widerspenstige und empfindsame Künstlerseelen braucht die Welt! Immer! Anspruchsvolle Kinderillus, wäre das nicht auch was für dich, Soffer? #ichbinsophiescholl;2021-07-31T13:37:03.000Z;0;-
6;casacarl_neu_ulm;❤️❤️;2021-07-31T11:54:10.000Z;1 like;-
7;rebeccanarinho;Total schön. Macht einen irgendwie ganz hoffnungsvoll;2021-07-31T11:17:34.000Z;1 like;-
8;netratz;🔥❤️;2021-07-31T11:02:06.000Z;1 like;-
9;ines_s_2;❣️;2021-07-31T10:14:39.000Z;0;-
10;_fuchsmama__;Eine Junge Frau zu sehen die noch so viel plante und dann durch jemanden einfach so zerstört wurde. Nur weil sie ihre „freie“ Meinung äußerte. Das trifft mich als Frau, als Mutter und als Mensch.;2021-07-31T10:05:21.000Z;3 likes;-
11;viv_895;"Ähneln die hier präsentierten Zeichnungen vom Stil her denen von Sophie Scholl?
Kann man ihre originalen Zeichnungen irgendwo sehen?";2021-07-31T09:01:20.000Z;0;-
11-1;ichbinsophiescholl;@viv_895 #TeamSoffer Sophie Scholl zeichnete hauptsächlich mit Bleistift. Häufige Motive sind Menschen, meist junge Menschen, oft mit geschlossenen Augen. Auch viele Skizzen von Babys und Kindern sind darunter und vereinzelt Tiermotive wie zum Beispiel Schlangen, Pferde oder auch ein Elefant. Sie probierte unterschiedliche Stile aus, so finden sich auch einige Scherenschnitte im Nachlass im Institut für Zeitgeschichte in München, wo hunderte Werke gesammelt sind. Barbara Ellermeier hat in ihrem Buch « Sophie Scholl - Lesen ist Freiheit » eine Auswahl von 15 Skizzen veröffentlicht.;2021-07-31T14:33:29.000Z;11 likes;11
12;sayyes_gluecksmomente_trauung;Diese Gabe zeichnen zu können solltest du dir bewahren ❤️;2021-07-31T07:03:50.000Z;2 likes;-
13;rakarahan;Will ich? Wo kann ich’s erwerben? 😳;2021-07-30T21:15:32.000Z;0;-
14;walterliehmann;Von Sophie Scholl sind etwa 500 Zeichnungen erhalten geblieben! Spatzen hat sie allerdings nie gezeichnet! Allerdings sehr oft Babies und Kinder, Landschaften und Tiere waren eher die Ausnahme, Pflanzen schon häufiger! Portraits ihrer Familie und Freundinnen und auch einige Aktdarstellungen finden sich auch in ihrem Nachlass im Institut für Zeitgeschichte in München!;2021-07-30T19:34:51.000Z;6 likes;-
15;ava.santimea;ich stehe gerade vor der Frage... soll ich es wagen, mich mit meinen skurrilen Zeichnungen und Comics selbst zu verwirklichen? ich glaube, man kann es nur probieren... ich finde, du bist auch dann eine Künstlerin, wenn du nicht aktiv Auftragsarbeiten anfertigst.;2021-07-30T19:24:58.000Z;2 likes;-
16;red_winona;Steh ich auffm Schlauch?! Wo ist denn Peter Pan? Aber du kannst wirklich toll zeichnen. Ich kann nicht mal nen Baum von weitem malen... Vielleicht kannst du dein Talent ja noch ausbauen.;2021-07-30T19:23:23.000Z;0;-
17;gwen_gloeckchen;Künstlern ist ein toller Zeitvertreib, heb ihn dir auf jeden Fall auf und genieße es, dir eine eigene, friedliche und schöne Welt zu erschaffen!! 👏🙌👩‍🎨🧍‍♀️;2021-07-30T18:57:04.000Z;2 likes;-
17-1;ichbinsophiescholl;@gwen_gloeckchen Das werde ich! Zeichnen ist mir genau deshalb so wichtig! 🖊;2021-07-31T14:11:15.000Z;1 like;17
18;tam1805;Ich fand die Schafe schon sensationell 😍;2021-07-30T18:42:45.000Z;2 likes;-
18-1;ichbinsophiescholl;@tam1805 Das freut mich! 🌸;2021-07-31T14:11:28.000Z;4 likes;18
19;a_buecherwurm;Tolles Bild;2021-07-30T17:47:59.000Z;1 like;-
20;hauptstadtlady50;Eine schöne Zeichnung 👏liebe Sophie, danke 🙏 fürs zeigen. 🙋‍♀️ 🌛🍸.;2021-07-30T17:35:21.000Z;1 like;-
21;kathastagram;"Pass aber auf, dass deine Kunst nicht verboten wird, oder als ""entartet"" gilt!🙌";2021-07-30T17:20:06.000Z;2 likes;-
21-1;ichbinsophiescholl;@kathastagram Zum Glück muss ich mir das in meinem Skizzenbuch nicht vorschreiben lassen! 🌺;2021-07-31T14:03:16.000Z;3 likes;21
22;felicitas.hecker;Erhalte es dir auf jeden Fall als Hobby! Ich habe leider zwei linke 👐. ..;2021-07-30T17:01:19.000Z;34 likes;-
22-1;ichbinsophiescholl;@felicitas.hecker Als Nebenbeschäftigung werde ich das Zeichnen auf keinen Fall aufgeben!;2021-07-30T17:07:24.000Z;21 likes;22
23;fraeulein_doro_loves_life;Vllt liegt daran dass der Spatz das inoffizielle Wappentier Ulms ist;2021-07-30T16:50:35.000Z;1 like;-
