Link: ;https://www.instagram.com/p/CWAyg1ZMVCw/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;nobsmops;❤️;2021-11-15T16:32:08.000Z;0;-
2;nanaline.nanseline;aber warum ist Wener denn in Ulm. wenn er in echt gar nicht da war?;2021-11-12T16:33:57.000Z;4 likes;-
2-1;ichbinsophiescholl;@nanaline.nanseline #TeamSoffer Dieser Kanal zeigt nur einen kleinen, jedoch sehr relevanten, Abschnitt Sophies Lebens. In der Zeit, welche hier mitverfolgt werden kann, war Werner bereits an der Front und dementsprechend aktuell nicht so präsent in Sophies Leben wie beispielsweise Hans oder Inge. Des weiteren ist über Werner Scholl deutlich weniger dokumentiert. Trotzdem war es uns ein Anliegen, ihn nicht komplett aus der Erzählung rauszulassen, da auch er eine sehr innige Verbindung zu Sophie hatte.;2021-11-12T16:47:19.000Z;6 likes;2
3;vero_nika_wishyouwerehere;😢😢😢😢😢😢😢😢😍😍;2021-11-10T14:06:39.000Z;0;-
4;tanjatak;Ich habe leider keine Geschwister. Als Kind habe ich es nicht so schlimm empfunden, aber heute ist es schade, dass ich mit niemandem meine Erinnerungen von früher teilen kann.;2021-11-09T19:41:03.000Z;0;-
5;chaosmama_on_tour;Mein Bruder habe ich ein Jahr nicht gesehen. Er war in Neuseeland.;2021-11-09T19:20:44.000Z;0;-
6;bianca_881990;Wo ist Elisabeth denn?;2021-11-09T18:42:36.000Z;3 likes;-
6-1;ichbinsophiescholl;@bianca_881990 #TeamSoffer Über Elisabeth Scholl ist nur sehr wenig dokumentiert. Sie machte 1939 ihr Staatsexamen am Ulmer Fröbelseminar und begann daraufhin eine Fortbildung als Säuglingsschwester in der Kinderklinik der Universität Tübingen. Von dort an wechselte sie häufig ihren Standort und arbeitete in diversen Familien und Kindergärten.;2021-11-09T19:11:22.000Z;13 likes;6
7;isa_izzyy;Ich war noch nie länger als 2 Wochen von meiner Schwester getrennt und ich kann es mir auch nur ganz schwer vorstellen. Ich hab sie so lieb! ❤️ @1412_teddy;2021-11-09T17:00:23.000Z;1 like;-
7-1;jessobeck01;@isa_izzyy Ich kann mir eine Trennung für längere Zeit auch echt schwer vorstellen😊❤️;2021-11-09T17:09:58.000Z;1 like;7
8;elli_hartmann;❤️;2021-11-09T14:52:59.000Z;0;-
9;laura_sophie25;Ich freue mich so für euch. Ich kenn das Gefühl. Mein Bruder und ich sind nie einer Meinung aber wenn er auf einer Freizeit /Urlaub /Klassenfahrt ist vermisse ich ihn auch sofort;2021-11-09T10:24:37.000Z;1 like;-
10;lukas.rct;Das längste waren glaub 4 Wochen, es ging also;2021-11-09T00:17:33.000Z;0;-
10-1;ichbinsophiescholl;@lukas.rct Aber auch vier Wochen können einem vorkommen wie eine Ewigkeit! Ich zähle jeden Tag, den meine Brüder an der Front verbringen mussten und noch immer müssen. Und jeder einzelne Tag scheint kein Ende zu nehmen, wenn man so voller Sorge ist.;2021-11-09T09:59:13.000Z;2 likes;10
11;_dream._.horse_;Ich bin aktuell von meiner Familie getrennt, da ich vor 3 Wochen ausgewandert bin. Ich werde sehr wahrscheinlich auch wieder zurück einwandern aber bis das so weit ist muss erstmal mein Jahr hier in Portugal vergehen😅 und Geschwister habe ich nicht von denen kann ich nicht getrennt sein dafür fehlen mir meine Tierealle sehr.☹;2021-11-08T23:16:15.000Z;0;-
12;hei_du.s;Ihr wolltet eine wahre Geschichte erzählen u macht daraus ne billige Doku soap mit euren eigenen Vorstellungen. Damit habt ihr euch leider total unbeliebt gemacht. Geschichte kann man nunmal nicht einfach verändern nur weil es den Damen u Herren besser passt. Wie wäre es gleich den Krieg zu streichen?? Den wollte bestimmt auch keiner von uns. Die ganzen Leiden! Ihr wollt autistisch sein u macht was billiges daraus. Geht für mich gar nicht! Hoff ihr überlegt euer weiteres Posten!!!!!!!!!!;2021-11-08T23:08:42.000Z;1 like;-
13;netterholger;Ich bin Einzelkind, aber ich kann es mir etwa vorstellen, lange voneinander getrennt zu sein;2021-11-08T22:31:06.000Z;1 like;-
14;_giftzwergh;Ich sehe meinen großen Bruder mit Glück 2 Mal im Jahr kurz. Wir leben beide seit einigen Jahren nicht mehr bei unseren Eltern und in unterschiedlichen Ecken Deutschlands. Gegenseitig besuchen tun wir uns auf Grund der Entfernung nie und deshalb sehe ich ihn nur, wenn er zufällig zur gleichen Zeit wie ich bei meinen Eltern zu Besuch ist.🙈;2021-11-08T22:29:42.000Z;1 like;-
15;maya._134;Mein Stiefuropa ist vor Russland gefallen. Möge er in Frieden ruhen! 😢❤️;2021-11-08T22:10:36.000Z;0;-
