Link: ;https://www.instagram.com/p/CSHdT-JM-tf/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;jbrezh;Versuche auch Flugblätter in den Raum Rosenheim zu bringen. Aber supervorsichtig. Dort gibt es schon länger Widerstand und viele Gerichtsverhandlungen aber eben auch viele Menschen, die den Krieg genauso verachten wie du!;2021-08-04T19:51:54.000Z;0;-
2;bangemannben98;Wenn Elsaß schon drin ist müsste doch Tirol usw auch auf der Karte sein;2021-08-04T15:59:09.000Z;0;-
3;juliane_plants;Brotpauspapier könnte helfen um das ganze zu markieren ohne die Karte zu bemalen;2021-08-04T11:43:55.000Z;17 likes;-
3-1;ichbinsophiescholl;@juliane_plants Ja, mit Butterbrotpapier könnte es klappen. Das wäre ein Überlegung wert!;2021-08-04T11:51:07.000Z;13 likes;3
4;schoolsven;❤️;2021-08-04T11:33:44.000Z;0;-
5;rararaquel;Seligenstadt bei Frankfurt steht sogar drauf 😍 viel Erfolg weiterhin! Ich hätte auch gerne geholfen!;2021-08-04T09:57:56.000Z;0;-
6;rockabolly;"In meiner Familie hier in der NS-Zeit in Offenburg leider nicht. Die Müllers hier sind Ortsgruppenleiter der NSDAP, in der Waffen-SS und einer ist sogar U-Bootkommandant.

https://uboat.net/men/commanders/842.html";2021-08-04T07:04:57.000Z;0;-
7;rockabolly;"In meiner Familie hier in der NS-Zeit in Offenburg leider nicht. Die Müllers hier sind Ortsgruppenleiter der NSDAP, in der Waffen-SS und einer ist sogar U-Bootkommandant.

https://uboat.net/men/commanders/842.html";2021-08-04T07:04:33.000Z;0;-
8;ha_eben2810;Pass auf dich auf.❤️;2021-08-04T07:01:13.000Z;7 likes;-
8-1;ichbinsophiescholl;@hakan_eben Das werde ich ♥️;2021-08-04T08:53:46.000Z;2 likes;8
9;pinke_zicke;Ich bin gerade sehr begeistert dass Kandern auf der Karte ist. Das kleine Städchen ist gerade mal 5km von meinem Wohnort entfernt. Und soviel ich weiß, gab es hier einige die gegen das Regime sind;2021-08-04T06:43:07.000Z;2 likes;-
10;doris.dirnbauer;Wie kam’s eigentlich zum Namen „weiße Rose“?;2021-08-04T05:19:25.000Z;0;-
11;netratz;🔥❤️;2021-08-04T04:56:24.000Z;1 like;-
12;voll.muttiviert;Wahnsinn wie einfach das heute ist durch Social Media, genau die Menschen zu finden die man finden möchte ❤️;2021-08-04T04:53:15.000Z;8 likes;-
13;attusgermanicus;Mit Elsass und Lothringen, es muss eine ganz neue Karte sein.;2021-08-04T02:48:17.000Z;0;-
13-1;anettehenry66;@attusgermanicus habe ne Karte von 1892 gefunden, wo diese Gebiete genau so eingezeichnet sind;2021-08-04T07:09:01.000Z;1 like;13
14;tramanon25;Versuche es mal in Wien;2021-08-03T23:17:57.000Z;4 likes;-
14-1;ichbinsophiescholl;@tramanon.offical Danke für den Tipp!;2021-08-04T08:55:31.000Z;0;14
15;ava.santimea;ich würde tendenziell immer Städte mit größeren Universitäten versuchen... es gibt zwar auch unter Studenten Nazis, aber normalerweise denke ich, wer an einer Uni etwas lernen will, hat mindestens genug Grips um diesen Krieg zu verachten... viel Glück 🍀;2021-08-03T21:41:15.000Z;3 likes;-
15-1;sommer1333;@ava.santimea ...und die Burschenschaft um die Ecke so: gnihihihi...;2021-08-04T05:20:32.000Z;0;15
15-2;tobi__or__not__tobi;"@ava.santimea
Ich tippe die studentischen Bewegungen sind prinzipiell viel leichter für Populismus zu begeistern. Auch, wenn er natürlich nicht als solcher Ausgewiesen wird. Es wird viel mehr auf das „soziale Gemeinwohl“ verwiesen. Da kann man meist schlecht gegen argumentieren, denn es geht immerhin um das Gemeinwohl.";2021-08-04T08:04:32.000Z;1 like;15
15-3;heikegumz;@ava.santimea Leider nicht. Bei den Professor*innen und Studierende gab es fast keine organisierten Widerstandsgruppen - u.a. deswegen wird so viel über die Weiße Rose berichtet, es gab sonst wenig unter den Studierenden. Vielmehr haben größere Teile der Professor*innnen- als auch der Studierendenschaft tw. schon vor 1933 deutliche Sympathie gegenüber Hitler und der NS-Ideologie bekundet und sind bei dieser Haltung auch bis 45 geblieben.;2021-08-04T09:03:53.000Z;2 likes;15
15-4;ava.santimea;@heikegumz man wird doch immer wieder enttäuscht... danke für die Aufklärung 🌷;2021-08-04T09:33:25.000Z;2 likes;15
16;juanelmandez;Von wann ist die Karte?;2021-08-03T21:05:39.000Z;1 like;-
16-1;anettehenry66;Ich habe auf Wikipedia eine Karte von 1892 gefunden, die genau die gleichen Gebietsbezeichnungen hat;2021-08-04T07:06:49.000Z;0;16
17;wie_der_fisch;@ichbinsophiescholl schau auch in Ehingen vorbei. Ist zwar nicht auf deiner Karte abgebildet, liegt aber sehr nah an Ulm dran. Wir unterstützen dich!!!;2021-08-03T20:20:36.000Z;3 likes;-
17-1;ichbinsophiescholl;@wie_der_fisch Ehingen! Das ist ja gleich um die Ecke! Danke für eure Unterstützung! 🖤;2021-08-03T20:45:39.000Z;2 likes;17
18;milla_altvtr;Wie hätte sich wohl alles entwickelt, hätte es das Internet schon gegeben?? 🤔🤔🤔;2021-08-03T19:59:37.000Z;7 likes;-
18-1;__gremlinkeeper__;@milla_altvtr die Nazis hätten ihre Hetze und ihren Hass noch schneller aussähen können, ähnlich wie heute. Doch auch der Widerstand hätte sich stärker vernetzen, organisieren können. Man hätte mehr Aufklärung betreiben können. Man hätte vielleicht erkannt, dass viele das so garnicht wollten, doch einfach das Gefühl hatten alleine machtlos dagegen zu sein.;2021-08-03T21:24:44.000Z;7 likes;18
19;annie_henning_bayern;Sicher in jeder Stadt in Deutschland und Österreich;2021-08-03T19:56:27.000Z;1 like;-
20;motoguzzisport;penso di si;2021-08-03T19:32:19.000Z;1 like;-
21;nicolewackernagel;Sei wachsam und vorsichtig!🙄🙏;2021-08-03T19:23:29.000Z;7 likes;-
21-1;ichbinsophiescholl;@nicolewackernagel Ich bleibe so vorsichtig, wie ich kann!;2021-08-03T20:46:58.000Z;12 likes;21
22;timonlegex;Schau von die höchste Kirchturm in Ulm herum, vielleicht können sie dann aufklären... 😄;2021-08-03T18:12:21.000Z;6 likes;-
22-1;ichbinsophiescholl;@timonlegex Ohja, vom Ulmer Münster aus kann man bestimmt sehr weit sehen!;2021-08-03T20:50:43.000Z;10 likes;22
23;einwildesizza;Gilt Freiburg nicht als Studentenstadt? Vielleicht hast du da Glück… Dort gibt es aber leider auch viele Nazis, schließlich wurde die örtliche Synagoge niedergebrannt soweit ich weiß…;2021-08-03T17:55:04.000Z;3 likes;-
