Link: ;https://www.instagram.com/p/CQiZabVHoYJ/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;frau.pizza;@pat_kre_90 ich glaube, das ist die Schauspielerin aus der Serie und dem einen Film. Hab ich erst garnicht erkannt;2021-07-19T15:09:29.000Z;1 like;-
2;bastianmoessner;fetzig;2021-07-14T19:47:01.000Z;0;-
3;mary2ana;glaube flugblätter bringen ned so viel ... widerstand sieht anders aus schwester ❤️;2021-06-29T23:24:43.000Z;0;-
4;evgeny_antonovic;❤❤❤;2021-06-29T10:50:39.000Z;0;-
5;nzs_sind_muell;Flugblätter sind eine sehr gute Idee vielleicht schafft ihr es so auch in den Köpfen der Leute zu bleiben!;2021-06-26T22:19:15.000Z;1 like;-
6;trebor0404;❤️❤️;2021-06-26T21:12:53.000Z;1 like;-
7;leni.ha_;ich denke ihr könnt mit den flugblättern einiges verändern, es müssen nur mehr leute darauf aufmerksam werden und einsehen das es das richtige ist. Ich hoffe ihr schafft das!;2021-06-26T21:03:17.000Z;1 like;-
8;janagaebler;👏;2021-06-26T20:22:49.000Z;1 like;-
9;annablu72;Ihr gebt der Hoffnung und dem Glauben and das Gute eine Stimme. Macht weiter aber seid auf der Hut!;2021-06-26T19:29:02.000Z;1 like;-
10;kims.fashionable.life;Ich wünschte ihr hättet es geschafft!;2021-06-26T19:22:13.000Z;0;-
11;ofenbergerle;Wer kämpft kann verlieren. Wer nicht kämpft hat schon verloren - Bertolt Brecht;2021-06-26T19:18:42.000Z;1 like;-
12;jumpin52;❤️❤️;2021-06-26T16:31:59.000Z;2 likes;-
13;tatianaafanaseva559;❤️;2021-06-26T15:11:25.000Z;1 like;-
14;__marisa.____;Ich hoffe, dass die Flugblätter die Augen der Menschen öffnen, aber leider ist es auch sehr schwierig, die zu verbreiten, ich drücke die Daumen!!!;2021-06-26T09:38:28.000Z;1 like;-
15;andrejaniuk;😢;2021-06-26T07:06:28.000Z;1 like;-
16;darth_vato58;Even with a worried look Sophie you are beautiful 😍;2021-06-26T04:41:25.000Z;1 like;-
17;lisadeiglmayr;N;2021-06-26T01:42:19.000Z;0;-
18;silke.depka;Wenn Menschen, wie du und dein Bruder Hans nicht gäbt, die diesem Irrsinn widersteht, könnte man den Glauben an das Gute im Menschen verlieren...versucht bitte noch mehr Leute zu überzeugen. Und lasst euch nicht entmutigen!;2021-06-25T21:58:11.000Z;56 likes;-
19;doris.ernst1;M;2021-06-25T20:26:09.000Z;1 like;-
20;supersensi;Schmeckt es in der Mensa überhaupt?;2021-06-25T20:14:47.000Z;1 like;-
21;mimiblublu;"""Krieg kennt keine Sieger.
Aus dem Vater und dem Sohn
werden Gotteskrieger.
Krieg kennt keine Sieger.
Er verschlingt und gibt nichts
wieder, nur tote Krieger."" — Saltatio Mortis";2021-06-25T20:09:28.000Z;2 likes;-
22;alpenblick33;❤️👏;2021-06-25T19:22:27.000Z;2 likes;-
23;yogangji;"In meiner Jugend gab es einen Spruch, der noch immer tief verankert ist und den ich hoffentlich meinen Kindern weitergegeben habe: ""Stell dir vor es gäbe Krieg und keiner ging hin"".";2021-06-25T18:56:23.000Z;2 likes;-
24;shineewrld.collection;Wenn man einen einzigen Menschen dazu bringen kann sich selbst & seine Denkweise zu ändern, dann kann man die ganze Welt verändern💬🌎📝;2021-06-25T18:45:08.000Z;2 likes;-
25;elisamaria.sp;Yessss;2021-06-25T18:11:57.000Z;2 likes;-
26;angel_of_sunset;Es ist so traurig, dass wir alle immer noch nichts aus diesen vielen Kriegen gelernt haben…;2021-06-25T17:52:43.000Z;1 like;-
27;judoerr34;❤️;2021-06-25T17:49:04.000Z;2 likes;-
28;ava.santimea;ich glaube, ihr werdet mit diesen Flugblättern noch in die Geschichte eingehen. Widerstand gegen solche Grausamkeiten ist so wichtig! egal, wie klein und alleine ihr euch fühlt, jeder kann etwas verändern und auch ihr verändert schon was. ❤️;2021-06-25T17:49:03.000Z;2 likes;-
29;_yoga_tanz;Information ist auf jeden Fall der erste Schritt. Andererseits ist es je nach Ausmaß der Unterdrückung kein Selbstläufer. Also eine notwendige, aber keine hinreichende Bedingung. Und natürlich äußerst riskant ...;2021-06-25T17:37:57.000Z;1 like;-
30;anjamuller565;Ihr werdet sehr viel bewirken;2021-06-25T16:59:55.000Z;2 likes;-
31;lisa_gman;Meine Großmutter hatte diesen Galgenhumor im Krieg auch. Mit ihren 90 Jahren sprachen wir das erste Mal über den Krieg und sie erzählte, dass sie sich bei Fliegeralarm mit einer Freundin hinter einem Toilettenhäuschen versteckte und sie nur dachte 'wenn jetzt die Bombe auf das Häuschen fällt, sind wir voller Kacke' - das war ihr Wortlaut und ich glaube, es braucht manchmal Humor, um nicht durchzudrehen. So seltsam es für andere erscheinen mag.;2021-06-25T16:31:15.000Z;3 likes;-
32;crazygirl666__;Kriege waren für mich schon immer das unnötigste überhaupt. Egal ob es um Land oder Rohstoffe oder Religion geht. Sich gegenseitig umzubringen ist einfach das schlimmste und auch in unserer modernen Zeit hört dies nicht auf😔😔;2021-06-25T16:03:10.000Z;1 like;-
33;grievingchris;Nach traumatischen Erlebnissen (die in ihrer Natur emotional überfordernd für uns Menschen sind) ist es ganz normal in der Überforderung damit emotional klarzukommen zu lachen. Das heißt aber nicht, dass die Person es lustig findet. Vielmehr versucht sie in dem Moment zu überleben... Ordnung oder ein wenig mehr Klarheit zu schaffen, die uns Sicherheit vermitteln. Unser Nervensystem ist faszinierend. Und es ist sehr frustrierend mit Logik nichts an körperlichen Reaktionen ändern zu können.;2021-06-25T15:47:06.000Z;1 like;-
34;philipp2045;Leider gibt es immer noch Krieg :(;2021-06-25T13:33:12.000Z;2 likes;-
