Link: ;https://www.instagram.com/p/CPODxD9Hr1J/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;gabyfb28;Hola Sophie 👋🏼;2021-09-17T07:32:36.000Z;7 likes;-
2;panther1314;Ich finde dieses Projekt interessant. Wie die weiße Rose dieses Projekt finde würde.;2021-07-06T13:03:58.000Z;0;-
3;darth_vato58;Te queiro mucho mein Sophie!!! Besitos 🥰🥰 bebe;2021-06-12T21:06:25.000Z;0;-
4;reading_with_jules;Wo ist bitte der Vermerk auf das historische Zitat und der Kontext? Wann hat Sophie Scholl diese Sätze geäußert?;2021-06-01T12:46:37.000Z;0;-
5;elkeschildbach;Hab mich seit ich 20 war ( bin jetzt 51) viel mit Sophie Scholl und der Weißen Rose beschäftigt...auch die Filme von Verhoeven gesehen...Lena Stolze und Julia Jentsch haben sie toll dargestellt, aber das Instagramm Projekt find ich auch sehr gelungen....sie wird so nahbar....Gute Sache, euer Projekt!;2021-05-28T17:37:58.000Z;1 like;-
6;itsmrsanni;"Finde es komisch sich als Sophie Scholl quasi ""auszugeben""... irgendwie sitzt es einfach nicht richtig bei mir, es würde ja niemand auf die Idee kommen ein Profil über den verstorbenen George Floyd zu machen und zu tun als würde er Sachen posten... wäre es nicht moralisch vertretbarer ÜBER sie und nicht ALS sie zu posten???";2021-05-28T15:47:59.000Z;0;-
7;jxliensvb_;Mashallah😍😍;2021-05-28T08:16:14.000Z;1 like;-
8;h.zrei;Ich finde eurer Projekt echt gut, es ist so lebendig und so gut für uns junge Leute gemacht. Aber eine dumme Frage, wäre es nicht 1943 zu gefährlich gewessen einen Insta account zu habe ( wenn es Smartphone damals gegeben hätte)?;2021-05-28T07:09:09.000Z;23 likes;-
8-1;ichbinsophiescholl;#teamsoffer Lieber @h.zrei, ja, das wäre definitiv zu gefährlich gewesen und für die Menschen damals sicherlich nicht in Frage gekommen. Nichtsdestotrotz versuchen wir Sophies Geschichte auf diese Art und Weise zu erzählen, um sie dadurch so nahbar und authentisch wie möglich erscheinen zu lassen. Wir freuen uns, dass dir der Account gefällt und du Sophies Leben und ihren Widerstand so gebannt verfolgst. Liebe Grüße!;2021-05-28T07:47:47.000Z;56 likes;8
8-2;slytherinmuslima;@h.zrei ja das wäre es wohl :( das sieht man ja in den heutigen Diktaturen...;2021-05-29T22:34:56.000Z;1 like;8
9;galdrig;@momentary.hannes;2021-05-28T06:36:17.000Z;0;-
10;galdrig;@momentary.hannes;2021-05-28T06:35:27.000Z;1 like;-
11;andrea_adri_19;Weiss du, das du gut spielst?;2021-05-27T15:00:04.000Z;0;-
12;andrea_adri_19;Sophie lebt i. m. Herz.;2021-05-27T14:57:51.000Z;0;-
13;visions.of.ninon;Dieses wertvolle Projekt hat sein Ziel in der transparenten Kommunikation klar verfehlt, solange es hier User gibt, die nicht herauslesen, dass Sophie Scholl keine noch lebende Influenzerin aus einem Hipster-Viertel ist. Eure persönlichen Antworten im Namen von Sophie Scholl, und grundlegend fehlende politische Einordnung machen diesen Account zu einer totalen Absurdität. Das muss besser gehen!;2021-05-26T11:11:18.000Z;0;-
14;mehdi.black_rose;😍😍😍😍;2021-05-26T01:28:50.000Z;0;-
15;helmidiflaoui;So g'ourgeous🔥🔥❤️;2021-05-25T23:48:00.000Z;0;-
16;ego__mann;Irgendwie abartig diese Rehabilitation von Sophie Scholl ohne sich kritisch mit ihr und ihrer Geschichte auseinanderzusetzen. Sophie Scholl und ihr Bruder waren blühende Nationalist*innen. Sophie Scholl ist keine Anne Frank und sollte bitteschön auch nicht als Symbol des Widerstands oder als Postnationalsozislismus missbraucht werden.;2021-05-25T05:57:43.000Z;1 like;-
16-1;lilynnlee;@ego__mann man muss weder diesen Account gut finden noch die Geschwister Scholl auf ein Podest stellen, un anzuerkennen, dass sie selbstverständlich Symbole des Widerstands sind. Seine Meinung zu ändern, ein System als falsch zu erkennen, obwohl man darin sozialisiert wurde und aktiv zu versuchen, dieses System zu beenden ist Widerstand. Nur Anne Frank war Anne Frank, man kann wirklich nicht die Taten der einen Person als unbedeutend erklären, weil sie nicht eine andere, verfolgte und jüdische Person war. Das ergibt überhaupt keinen Sinn.;2021-05-25T10:10:26.000Z;1 like;16
16-2;peter6146;Stimmt;2021-05-27T22:02:05.000Z;0;16
17;bartssoep;❤️;2021-05-24T21:00:19.000Z;0;-
18;arisk.prvt;Dafür guckst du sehr ungemütlich;2021-05-24T15:03:10.000Z;0;-
19;archibaldkatzfusz;Das kommt mir vor wie Originalsophie, wäre es nicht angebracht Interpretation und Original formal deutlicher kenntlich zu machen?;2021-05-24T14:26:44.000Z;0;-
20;navitimer11;"@marieeinhorn Wusste gar nicht, dass das Projekt mit der Verhaftung enden soll. Aber vielleicht kann ja irgend eine empathische Sekretärin der Justiz das Handy von Sophie noch rechtzeitig vor einer Beschlagnahmung retten und mit dessen Hilfe weiter berichten. ;-) Selbst bei der Gestapo und der Justiz soll es einige Leute gegeben haben, die einen großen Gewissenskonflikt mit sich selbst ausgetragen haben. Wir sollten nicht vergessen: Ämter und Behörden wurden personell mit der NS-Machtübernahme ja nicht komplett neu besetzt. Viele haben dort schon zur demokratischen Ära der Weimarer Republik ihren Dienst verrichtet und waren anschließend gezwungen, sich der Nazi-Gesetzgebung unterzuordnen. Das wäre eine gute Gelegenheit, gleichzeitig auch diese Aspekte in die Lebensgeschichte von Sophie Scholl mit einfließen zu lassen. @ichbinsophiescholl-TEAM: wäre das nicht eine Überlegung wert? Speziell in dieser Phase wäre das Teilhaben an den Gefühlen und Ängsten von Sophie Scholl doch GERADE ganz besonders wichtig....";2021-05-24T12:16:02.000Z;1 like;-
