Link: ;https://www.instagram.com/p/CVVPQjDjtPm/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;ansgarwfl;Ich mache meinem Bruder manchmal Muffins;2021-10-26T10:45:40.000Z;0;-
2;cla.ra.marie;Finde super, dass ihr eine Bildbeschreibung dabei habt! 👏 Bitte beibehalten;2021-10-24T05:09:00.000Z;0;-
3;maxi__sun;"Gibt es dazu noch genauere Mengenangaben? Würde das gerne mal probieren ;)";2021-10-23T20:28:09.000Z;0;-
4;mein_weg_mit_endo;Jetzt hätte ich gerne das Rezept😍;2021-10-23T17:54:38.000Z;0;-
5;photography_by_ben21;@ichbinsophiescholl 🙊Aber ein wenig kletschig sah der aus. Habt ihr den vllt zu früh aus dem Rohr genommen oder war vllt die Temperatur zu niedrig\hoch?🤔🤔Oder kommt das wegen dem Honig 🍯;2021-10-23T17:41:02.000Z;1 like;-
6;barbiefch;Und all diese wertvollen Zutaten bekommt ihr so einfach, mitten im Krieg? Tauschware? 😮;2021-10-23T10:19:02.000Z;0;-
7;ines_s_2;❤️;2021-10-23T09:42:17.000Z;1 like;-
8;stephkk79;Oh ich liebe Honigbrot, habe es aber tatsächlich noch nie selber gebacken. Das werde ich jetzt mal schnell nachholen. Liebe Grüße an Inge;2021-10-23T00:58:14.000Z;2 likes;-
9;darmdoktor.deluxe;Lecker 😋☺️;2021-10-23T00:28:18.000Z;2 likes;-
10;maxxime.millions;Kann sie auch hashbrownies?;2021-10-23T00:22:47.000Z;0;-
11;sweet_and_fishi;Naja... Aufgegangen schmeckt schon mehr flauschig ... Aber wir alle lieben Inge;2021-10-22T22:21:22.000Z;0;-
12;deryanur_28;Die Zutaten zusammen mischen und für wie lange dann in den Ofen?;2021-10-22T20:15:40.000Z;1 like;-
13;christine.binggeli;❤️;2021-10-22T19:54:21.000Z;1 like;-
14;philosoph95;Honigbrot gehört für mich zwar eher in die Weihnachtszeit, aber last es euch trotzdem schmecken. Mal was süßes tut auch gut in diesen Zeiten.;2021-10-22T19:12:34.000Z;2 likes;-
15;tessa.dreher;Mmmm lecker - lässt es euch schmecken;2021-10-22T17:39:41.000Z;3 likes;-
16;kathrin.noreikat;Lasst es euch schmecken!;2021-10-22T17:08:49.000Z;2 likes;-
17;maryo_k;Hat die Inge eigentlich auch Instagram?;2021-10-22T16:51:00.000Z;0;-
18;katrinpruchniewski;Lecker, lecker.🌞;2021-10-22T16:07:07.000Z;2 likes;-
19;joey.forster;Wie heißt das Lied? 🎺;2021-10-22T16:01:02.000Z;1 like;-
20;anikalamade;https://youtu.be/grpcuxivnI4;2021-10-22T15:58:57.000Z;1 like;-
21;fraeulein_doro_loves_life;Stellst du das genaue Rezept noch in einen neuen Beitrag rein :);2021-10-22T15:49:48.000Z;9 likes;-
22;t0bi_schmidt;Da bekommt man doch gleich Hunger drauf 🙂👍;2021-10-22T15:43:57.000Z;4 likes;-
23;crasiemaisie.thephotobug;Manchmal wünschte ich es gäbe me one Weiße Rose, damit du mit Geschwistern alt werden könntest;2021-10-22T15:35:08.000Z;2 likes;-
24;beauty_girl_sale;Studiert Sophie nicht mehr oder gar sie Semesterferien? Was macht Inge beruflich?;2021-10-22T15:08:04.000Z;1 like;-
25;diandra_behrbalk;So Rezept merk ich mir fürs nächste Brot vor 🤫;2021-10-22T14:54:55.000Z;4 likes;-
26;schwartz.gj;Schön dass du und Inge soviel miteinander redet. Wie geht es eigentlich deiner anderen Schwester, Elisabeth? Man hört gar nichts von ihr.;2021-10-22T14:49:12.000Z;6 likes;-
27;ganzkleine_86;Was ist eigentlich mit Inge und Otl passiert nach Sophie's Schicksal?;2021-10-22T14:07:48.000Z;2 likes;-
28;hans.guckindieluft;Ich glaube, der ist noch nicht ganz durch! 😉 Nicht, dass es Bauchschmerzen gibt! 🤗;2021-10-22T13:38:03.000Z;9 likes;-
29;brombeer_eis;Für alle, die fragen, ohne zu lesen, hier das Rezept: man nehme, was da ist und bastle daraus etwas leckeres. Bitte, gern geschehen. So war das damals und bis heute in Hungerzeiten, Krisengebieten, Kriegen... so lernt man, wirklich zu kochen und zu backen.;2021-10-22T13:33:16.000Z;59 likes;-
30;gwen_gloeckchen;Leggalegga!! 😍👏🍞🍯;2021-10-22T13:30:06.000Z;2 likes;-
31;debbie.doli;Bin schon auf das Rezept gespannt ❤️;2021-10-22T13:24:23.000Z;1 like;-
32;katharina.helling;".
🗓 Das Auswärtige Amt in Berlin kritisiert am 22. Oktober 1942, dass Italien die Juden im Land und in den italienisch besetzten Gebieten vor Verfolgung schützt
~
„Betrifft: Italien und die Judenfrage.

Bei der Bereinigung der Judenfrage in Deutschland und in verschiedenen anderen europäischen Ländern wird die Regelung der Frage, wie die Juden italienischer Staatsangehörigkeit behandelt werden sollen und wie sich Italien selbst zu der Lösung des Judenproblems stellt, immer dringlicher. [...]

Italien ist in seiner Judengesetzgebung über schwache Ansätze zu seiner Lösung nicht hinausgekommen – auch der Krieg hat bisher keine Tendenz zur Verschärfung in dieser Richtung gebracht. Vielmehr scheint das Bemühen vorzuherrschen, jeder einschneidenden Maßnahme aus dem Wege zu gehen. Viele Einzelzüge – Verharren von Juden in wirtschaftlichen Schlüsselstellungen, zahlreiche Genehmigungen zur Italianisierung jüdischer Namen, Rückgängigmachen früherer Judenausbürgerung usw. – zeigen die Vorsicht auf diesem Gebiet. Praktisch bedeutet es dagegen nicht sehr viel, daß auf der anderen Seite die faschistische Partei neuerdings eine verschärfte Propaganda gegen die Juden entfaltet und dadurch wenigstens stimmungsmäßig den Boden vorbereitet [...].

Italien muß die italienischen Maßnahmen und Gesetzgebung an unsere Grundsätze und Maßnahmen angleichen. [...]“
〰️
Quelle: https://die-quellen-sprechen.de/14-028.html";2021-10-22T13:24:03.000Z;13 likes;-
33;_julia_maier_;Kannst du vllt das Rezept hier posten? 🔥;2021-10-22T13:21:51.000Z;2 likes;-
34;mrs.happy_mind;Das sieht so lecker aus und vor allem sind da keine Eier drin 😍 Kann Inge das Rezept verraten? 🤭;2021-10-22T13:21:38.000Z;3 likes;-
35;__mary_blood__;Ein genaues Rezept wäre toll 😍;2021-10-22T13:21:37.000Z;2 likes;-
36;giusy79_;Guten Appetit! 😍;2021-10-22T13:21:04.000Z;2 likes;-
37;majokipako_;Inge kann gut backen und kochen 👏;2021-10-22T13:21:02.000Z;29 likes;-
38;juliazeilfelder;Frag Inge mal bitte, welches der Zutaten am schwierigsten zu bekommen war... oder am teuersten. Danke;2021-10-22T13:19:22.000Z;4 likes;-
39;thisendlesslostparade;An die Zutaten zu kommen ist doch sicher während des Kriegs nicht einfach, oder?;2021-10-22T13:16:06.000Z;17 likes;-
40;dr_schroedinger;Habt Ihr ein genaues Rezept?;2021-10-22T13:16:02.000Z;4 likes;-
41;schnickidd;Hey Sophie, frag doch mal Inge nach dem Rezept. 😋 Dankeschön!;2021-10-22T13:14:52.000Z;1 like;-
42;j3nnif3rskl3in3w3lt;Also erstmal: einen guten Appetit! 😊 aber ich hab mich trotzdem gefragt, hatte man immer diese Zutaten zuhause oder musste man lange darauf sparen??;2021-10-22T13:13:14.000Z;6 likes;-
43;salut.katie;Meinst du, die liebe Inge könnte uns mal das genaue Rezept geben?;2021-10-22T13:12:19.000Z;30 likes;-
44;fraeulein.philo.sophie;Das sieht klitschig aus, wie zu kompakt, feucht, nicht aufgegangen.;2021-10-22T13:11:13.000Z;8 likes;-
45;die_freundin_von.meinem_freund;"Schmeckt das wirklich so gut;) sieht ein wenig aus wie Leberkäse";2021-10-22T13:08:43.000Z;5 likes;-
