Link: ;https://www.instagram.com/p/CS_JjYaswBu/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;angelikahannoschock;Oh je Du Arme 😢;2021-08-25T17:27:41.000Z;0;-
2;dasgeli;Meine Oma musste ihre Ausbildung als Schneiderin abbrechen um in der Munitionsfabrik zu arbeiten.;2021-08-25T16:29:46.000Z;0;-
3;hauptstadtlady50;Sei unbedingt vorsichtig liebe Sophie, dieser Friedrich scheint mir nicht vertrauenswürdig zu sein.;2021-08-25T16:18:52.000Z;0;-
4;annibuggi_91;Aber warum wurden für die Arbeit Russen eingesetzt wenn ich fragen darf? Russland und Deutschland waren doch verfeindet? 🤔;2021-08-25T16:06:27.000Z;1 like;-
4-1;hauptstadtlady50;@annibuggi_91 hallo, es waren Zwangsarbeiter:innen. Frauen und Heranwachse, die aus den von Deutschland besetzten Gebieten verschleppt wurden und in Fabriken und in der Landwirtschaft unter unmenschlich Bedingungen arbeiten mussten.;2021-08-25T16:18:01.000Z;4 likes;4
5;alt_rima;Ich wünscht mir heute von Menschen so einen Widerstand;2021-08-25T15:05:58.000Z;2 likes;-
5-1;angi_glamsquadmuc;@alt_rima ja bitte! Gibt wieder so viel braunen Mist und Neo Nazis sogar im Bundestag. Widerstand gegen AFD, Pegida, die rechte Querdenker Szene! Ich hab so oft gegen Nazis demonstriert, aber irgendwie kommen die immer mehr hoch;2021-08-26T11:00:57.000Z;0;5
6;nadine_travelsusa;Was ist denn mit Friedrichs Auge? Wird das noch thematisiert? Brauch er deshalb nicht an die Front und darf Zwangsarbeiterin schikanieren?;2021-08-25T14:40:18.000Z;5 likes;-
7;rumpelpumpel72;Sei tapfer, Sophie! Hast du mal überlegt Deutschland zu verlassen?;2021-08-25T14:39:01.000Z;1 like;-
8;rinki_mania;Leider geben Menschen oft vor etwas zu sein, was sie nicht sind... Was ist mit Friedrichs Auge?;2021-08-25T13:10:10.000Z;3 likes;-
8-1;sarah._sammy;@rinki_mania Hab ich mich auch schon gefragt... 🤔;2021-08-25T14:07:11.000Z;0;8
9;felicitas.hecker;Wenn du den Russinnen hilfst, ist das schon mal ein Anfang! 👏 Lass dich nicht erwischen. ..;2021-08-25T12:57:38.000Z;1 like;-
10;alexesawatzkiplasticienne;Courage!;2021-08-25T12:43:03.000Z;1 like;-
11;http.nessiiii;Mit was werden die Patronen gefüllt ?;2021-08-25T12:38:51.000Z;1 like;-
11-1;hadrian1998;@http.nessiiii mit Schießpulver, was sonst.;2021-08-25T16:18:58.000Z;0;11
11-2;http.nessiiii;@hadrian1998 kann ich ja ned wissen chill ma;2021-08-25T18:35:10.000Z;0;11
12;red_winona;Schade, dass es so gefährlich ist, den Ablauf irgendwie zu sabotieren. Kriegsdienliche Arbeit verrichten zu müssen(!) wenn man mit Herz und Seele dagegen ist, stelle ich mir psychisch ermüdend vor. Vergiss dich nicht. Vielleicht sind dort mehr, die wie du sind......;2021-08-25T12:20:00.000Z;1 like;-
13;netratz;🔥❤️;2021-08-25T11:34:42.000Z;0;-
14;__andrea__n__;Euer Projekt ist der absolute Wahnsinn! Auch wenn man weiß, dass die Zeit damals so unglaublich schlimm, schrecklich und brutal war, durch eure Arbeit kommt alles nochmal so viel emotionaler rüber, vielen Dank dafür! Bitte sammelt eure Beiträge und Videos für den Geschichtsunterricht! Hut ab und vielen Dank 😊 ❤️ und Sophie: du bist so eine unglaublich mutige junge Frau, es ist unvorstellbar wie du das hinbekommst! Ein absolutes Vorbild für alle!;2021-08-25T11:07:01.000Z;3 likes;-
15;autorin_carolin_helm;Hoffentlich füllt sie keine Patronen mit Brot. Ich kann den Frust verstehen, aber wenn die Soldaten keine funktionsfähigen Sachen bekommen, steht vielleicht deren Leben auf dem Spiel.;2021-08-25T10:36:12.000Z;0;-
15-1;heikegumz;"@autorin_carolin_helm Die Weiße Rose hat in ihrem 3. Flugblatt (noch ohne Sophie Scholl) zu konkreten Widerstandshandlungen aufgefordert. Hierbei zuerst genannt: ""Sabotage in Rüstungs- und kriegswichtigen Betrieben"". Insofern wäre es im Sinne der Weißen Rose gewesen, wenn sie es getan hätte.
Die Zwangsarbeiterin hätte allerdings sehr leicht mit dem Leben bezahlen können: Die Sicherheitsbehörden betrieben einen immensen Aufwand zur Überwachung und Terrorisierung der Zwangsarbeiter*innnen. Schon der Verdacht z. B. auf Sabotage oder Arbeitsverweigerung konnte zu KZ-Inhaftierung oder über die Sondergerichte direkt mit dem Tod bestraft werden.";2021-08-25T12:00:49.000Z;3 likes;15
15-2;heikegumz;@heikegumz Quellen: 3. Flugblatt https://www.bpb.de/geschichte/nationalsozialismus/weisse-rose/61019/flugblatt-iii Zur Situation der Zwangsarbeiter*innen: https://www.ns-zwangsarbeit.de/de/alltag-zwangsarbeit/themen/wer-leben-will-riskiert-das-leben/;2021-08-25T12:02:02.000Z;4 likes;15
16;hannasabina3;Was passiert, wenn du die Patronen heimlich nicht füllst? Fällt das auf? Oder dass du sie so manipulierst, dass sie im Einsatz unschädlich sind?;2021-08-25T10:31:11.000Z;1 like;-
16-1;philosoph95;@hannasabina3 Man muss dann aber auch bedenken, dass wenn das auffällt natürlich zu erst die Zwangsarbeiter in Verdacht kämen würden.;2021-08-25T14:11:25.000Z;1 like;16
17;anjamuller565;Was ist das auf dem Foto?;2021-08-25T10:28:24.000Z;1 like;-
18;egon_schielte;Vielleicht kannst du ja was anderes in die Patronen füllen? Damit die dann zum Schluss nicht funktionsfähig sind?;2021-08-25T10:08:15.000Z;11 likes;-
18-1;ichbinsophiescholl;@egon_schielte Aber was, wenn sie Stichprobenartig die Patronen testen? Das scheint mir doch recht gefährlich...;2021-08-25T11:01:12.000Z;26 likes;18
