Link: ;https://www.instagram.com/p/CSboLbxsIKM/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;koledclo;Ich mag Inge;2021-10-27T09:17:31.000Z;0;-
2;mishalemishale;"Inge Scholl ""Die Weisse Rose"" haben wir damals in der Schule gelesen - das war das erste Mal, dass ich davon hörte. Seitdem sind diese mutigen Menschen für mich unvergessen geblieben und Sophie Scholl neben Hannah Arendt mein grösstes Vorbild. Ich verehre sie sehr für ihren Mut und ihre Entschlossenheit. Ihr ""Ich würde es genauso wieder machen!"" hat mich bleibend beeindruckt.. ❤️";2021-08-14T20:24:40.000Z;0;-
3;mariontremontels;❤️❤️❤️;2021-08-13T14:40:56.000Z;0;-
4;missjuliacm;Inge und ich haben am gleichen Tag Geburtstag!;2021-08-13T06:22:45.000Z;0;-
4-1;ichbinsophiescholl;@missjuliacm Was für ein Zufall! 🖤;2021-08-13T07:17:43.000Z;1 like;4
5;melli270686;Ich gehe immer mit 2 ehemaligen Kollegen und mittlerweile Freunde zum 🍨 Eis essen in eine Cafeteria. Diese Tradition machen wir schon 3 Jahre lang. Ich finde es immer schön. Und meine Tradition ist es an diesem Tag nicht arbeiten zu gehen. Wenn es natürlich der Dienstplan erlaubt ☺ Dann mache ich das schönste aus diesem Tag. Entweder schön frühstücken oder Kaffee ☕ Nachmittags mit meinem liebsten oder abends was schönes essen gehen im Restaurant.;2021-08-13T03:36:10.000Z;0;-
6;1.favseries;"Ich versuche immer unerkannt herum zulaufen, weil ich die “gewollte” Aufmerksamkeit nicht mag.
Wenn einer weiß, dass man Geburtstag hat, kommt dann immer die gezwungene Gratulation.
Menschen die ich nicht wieder sehe, sage ich auch immer das falsche Datum 🤭😂";2021-08-12T18:57:17.000Z;0;-
6-1;ichbinsophiescholl;@1.favseries Clevere Taktik!;2021-08-13T07:47:23.000Z;1 like;6
7;ava.santimea;schön die gute Inge so lachen zu sehen. ❤️ für mich sind Geburtstage meist eher schmerzvoll und voller trüber Erinnerungen, daher versuche ich nicht groß zu feiern sondern den Tag einfach in Ruhe zu verbringen und mir selbst etwas Gutes zu tun. die schmerzvollen Erinnerungen werden so Jahr für Jahr besser. alles gute an euch!;2021-08-12T15:22:15.000Z;1 like;-
8;netratz;🔥❤️;2021-08-12T03:22:03.000Z;0;-
9;gockel_blume;"Ich bin froh, wenn ich meine Ruhe am Geburtstag gab.😅 Stresst mich irgendwie die ganze Aufregung. Mittlerweile bin ich erwachsen, da steh ich drüber, dass ich eben introvertiert bin. Aber als Kind waren Geburtstagsfeiern nix Schönes für mich ubd trotzdem ""musste"" ich hin.";2021-08-12T02:56:06.000Z;1 like;-
10;flo04641;Herzlichen Glückwunsch zum Geburtstag Inge👏;2021-08-11T21:46:36.000Z;1 like;-
11;euliilii;Ich überlege schon die ganze Zeit, woher ich die Schauspielerin von Inge kenne... Hat sie nicht bei dance Academy mitgespielt?;2021-08-11T21:42:42.000Z;0;-
11-1;ichbinsophiescholl;@euliilii #TeamSoffer Das hast du richtig in Erinnerung. Maria Dragus hat bei Dance Academy mitgespielt.;2021-08-11T22:01:30.000Z;6 likes;11
12;eine_ina;"Meine jüngere Schwester hat einen Tag vor mir Geburtstag. Wir versuchen fast immer zusammen zu sein. Um fünf Minuten vor Mitternacht stoßen wir dann immer nochmal auf sie an. Und um Mitternacht auf mich.
Meine Mama bekommt einen Strauß Blumen, weil: sie hat die Arbeit ja gemacht. Ich kann nichts für meinen Geburtstag ☺️";2021-08-11T20:26:50.000Z;13 likes;-
12-1;ichbinsophiescholl;@eine_ina #TeamSoffer Ein wirklich sehr schöner Brauch! Und toll, dass Mama auch immer etwas bekommt!;2021-08-11T22:04:26.000Z;12 likes;12
13;lischens.welt;Ich versuche, an meinem Geburtstag Urlaub zu haben. Und mein Verlobter versucht es auch. Dann machen wir gerne einen Ausflug, gehen wandern, genießen Wälder und Berge. Aber vorher macht er mir einen großen Kaffee. 🙃;2021-08-11T20:20:55.000Z;1 like;-
