Link: ;https://www.instagram.com/p/CPLRi48nrz7/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;petrumila;Auch eines meiner Lieblingszitate ❤️;2021-08-10T12:57:24.000Z;0;-
2;_.ma._rco_;@ichbinsophiescholl - Hut ab vor allem die Hauptdarstellerin treibt mir immer wieder Gänsehaut auf den Körper. Da ich die Geschichte von sofi Scholl zwar schon oft gelesen oder gesehen habe aber das hier ist persönlich. Man fühlt sich persönlich mit ihr verbunden und durchfühlt die Angst, die Wut die Verzweiflung und dieser Zeit. Ein grandioses Projekt das diese wunderbare Organisation „die weiße Rose“ wie in eine Zeitreise bringt als wie wäre man dabei. Und was diese Menschen emotional auf sich genommen haben. Das sind für mich wahre Helden der Geschichte. @lunawedler Wahnsinnige Leistung ❤️;2021-05-28T20:52:52.000Z;15 likes;-
2-1;ichbinsophiescholl;#teamsoffer Lieber @_.ma._rco_ es freut uns, dass du das Projekt mit so viel Herz verfolgst! Schön, dass dir auch die Arbeit der Schauspieler:innen gefällt.;2021-05-29T09:54:54.000Z;11 likes;2
2-2;monikamarchlewski;@_.ma._rco_ du hast sowas von Recht, denn mir geht es genauso. Diese Angst fühlt man förmlich, und ich denke dann: Was würde ich machen, wenn ich in dieser Zeit gelebt hätte. Ein super tolles Projekt;2022-01-15T12:58:20.000Z;1 like;2
3;andrea_adri_19;Du hast einfach gut gemacht... Du spielst wie die besten d. besten.;2021-05-27T14:58:33.000Z;1 like;-
4;helmidiflaoui;Really nice one''~`•••✓✓✓✓✓✓✓✓✓✓✓✓✓✓✓°;2021-05-25T23:54:20.000Z;0;-
5;therudex_123;@glittlecoin 🤣🤣🤣👍👍👍;2021-05-24T08:04:41.000Z;0;-
6;anne_von_adebar;Was würdest du mir von Maritain empfehlen, Sophie?;2021-05-23T23:47:43.000Z;8 likes;-
6-1;ichbinsophiescholl;@anne_von_adebar Eines meiner liebsten Zitate stammt aus einem Brief von Maritain an den Künstler Jean Cocteau. 💭;2021-05-24T08:07:33.000Z;4 likes;6
6-2;anne_von_adebar;@ichbinsophiescholl Welches denn?;2021-05-24T16:37:48.000Z;0;6
7;barbara_brigitta;Meine erstes Buch , war das große rote von Wilhelm Busch....viele kleine Texte und die Bilder 👍....z.b. die fromme Helene ....was die für einen Unsinn anstellte... das witzige war ... mein 1 Jahr jüngerer Bruder hatte das gleiche Buch ... und konnte noch nicht lesen... wir hatten immer die gleiche Seite... so ging es stundenlang.... ich las vor und er schaute nur die Bilder... das war soooo schön 🤣;2021-05-23T22:23:22.000Z;0;-
8;michellelynnhrt;War auch mein erstes Buch und ich hatte fürchterliche Albträume davon. Grausames Buch 😰;2021-05-23T17:41:04.000Z;0;-
9;silvia1lola;🎉🌸💛;2021-05-23T15:32:34.000Z;0;-
10;navitimer11;@ Kristinebilkau und @ichbinsophiescholl: Ich denke, dass der Schwerpunkt dieses Projektes sich auch weiterhin darauf konzentrieren sollte, die EMOTIONALE Brücke zwischen damals und heute im Blick zu behalten. Filme und Literatur zu diesem Thema gibt es mehr als genug. Und ich bin mir sicher, dass jeder, der diesbezüglich noch etwas in die Tiefe gehen möchte, auch ganz sicher etwas passendes finden wird. Viel wichtiger ist das Aufzeigen der Tatsache, dass Studenten von damals nicht anders gefühlt und getickt haben, als heutzutage. Die Identifikation mit Sophie Scholl (alternativ mal anstelle von irgendwelchen Influencern o.ä.).... und was passiert, wenn eine Demokratie irgend wann mal nicht mehr selbstverständlich ist, weil man auf populistische Versprechen hereingefallen ist. Miterleben... nachempfinden.... allein das sollte dieses Projekt leisten. Nicht mehr, aber auch nicht weniger.;2021-05-23T14:18:41.000Z;0;-
11;gwen_gloeckchen;Ich lese auch gerne! 👏😍📚;2021-05-23T11:14:44.000Z;0;-
12;phoibe_farraige;Ich mag den Struwwlpeter nicht. So richtige Zeigefinger-Pädagogik. 🤢 Ich mochte Michel aus Lönneberger, Pipi Langstrumpf und Bimbo will einen Vogel haben.;2021-05-23T10:15:47.000Z;0;-
13;sugarandpain;❤️;2021-05-23T08:55:34.000Z;0;-
14;minni_maggie;"Meine Oma hat mir auch immer ""der Struwwelpeter"" vorgelesen als ich klein war 😊. Ich wusste gar nicht, dass das Buch so alt ist 🤓";2021-05-23T07:34:20.000Z;0;-
15;tintenbluete;Das Buch war auch eines meiner ersten Bücher. 😊📚;2021-05-23T06:57:52.000Z;0;-
16;tintenbluete;Das Buch war auch eines meiner ersten Bücher. 😊📚;2021-05-23T06:56:09.000Z;0;-
17;linn_pusteblume;Eigentlich hätte man Kinder nicht mit dem Struwelpeter erziehen sollen...;2021-05-23T01:11:27.000Z;0;-
18;mirrors.musical;Eines der gruseligsten Bücher die ich je gelesen habe. 😂;2021-05-22T23:37:42.000Z;0;-
19;ikramova316;❤️👏;2021-05-22T22:44:03.000Z;0;-
