Link: ;https://www.instagram.com/p/CSZiAkJDAXF/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;rehm.gerd;🙌;2021-08-14T20:27:50.000Z;0;-
2;gockel_blume;"Hör grad zufällig ""I dont like Mondays""... ""I wanna shoot..."" 😥";2021-08-12T12:28:59.000Z;0;-
3;th5555lu;❤️;2021-08-12T10:09:12.000Z;0;-
4;wiesenurmitn;Da waren frauen noch echte frauen und heute tragen sie boyfriend-jeans......;2021-08-12T08:10:12.000Z;0;-
4-1;lisajunex;@wiesenurmitn 🤦🏼‍♀️;2021-10-21T16:23:07.000Z;3 likes;4
5;fifty_four_and_more;Diese Frisur 😍;2021-08-12T07:05:28.000Z;0;-
6;annaisabel_r;Gerade gegoogelt: Sieht immer noch wunderschön aus!;2021-08-11T20:11:24.000Z;1 like;-
7;annaisabel_r;102 ❤️🙌;2021-08-11T20:00:23.000Z;1 like;-
8;travel.laddie;und Traute lebt immer noch :);2021-08-11T11:48:55.000Z;2 likes;-
9;ichbinjuedin_ichbindeutsche;Traute ist eine starke und inspirende Frau, die ihre Haltung auch durch ihre Kleidung zeigt. Danke für die Erinnerung.;2021-08-11T11:19:55.000Z;1 like;-
10;ines_s_2;❤️;2021-08-11T09:43:36.000Z;0;-
11;johnxpa;Ihr Gesicht erinnert mich an einer Person namens Eva. Ich hoffe ihr geht’s gut..;2021-08-11T09:31:20.000Z;0;-
12;angelina.kusuma;Can we please have the English subtitles pleaseeeee;2021-08-11T07:52:25.000Z;0;-
13;stephan.r.vogel;Gab es damals schon Filterzigaretten? Sieht man hier im Video.;2021-08-11T07:15:48.000Z;1 like;-
14;saira.iram.rajput;Du bist eine Inspiration Traute. Schöner Mensch innen und außen 💙💜;2021-08-11T06:48:08.000Z;2 likes;-
15;katrinpruchniewski;Noch eine tolle Frau. ❤️;2021-08-11T05:04:13.000Z;1 like;-
16;katrinpruchniewski;Noch eine tolle Frau. ❤️;2021-08-11T05:03:59.000Z;1 like;-
17;__whitebird_;Traute ist echt wunderschön! Und sie wirkt so stark und selbständig! Eine geballte Ladung Frauenpower;2021-08-11T01:43:11.000Z;1 like;-
18;merle.mie;Das ganze Projekt ist einfach unglaublich! Ich verfolge es jeden Tag und finde es gerade raus gesagt einfach cool und unglaublich interessant! Ich weiß jetzt schon wie mir die Tränen in die Augen schießen werden, wenn wir am Ende angekommen sind… gerade weil man so mitfiebert und es von ganzem Herzen unterstützt und like Disney auf ein Happy End wartet;2021-08-10T22:14:30.000Z;1 like;-
19;the___phenom;What's with all the anti-Nazi propaganda drama..;2021-08-10T21:30:50.000Z;0;-
20;jenchillt;"Ich habe fast jedesmal Tränen in den Augen, wenn ich eire Beiträge sehe… entweder aus Trauer und/oder Ehrfurcht.
❤️🔥❤️";2021-08-10T21:24:29.000Z;1 like;-
21;siggilein_on_travel;Sehr gut gemacht 👏👏👏👏;2021-08-10T21:19:38.000Z;1 like;-
22;cocodebruycker;Hamburger for the win! 🦾;2021-08-10T21:07:57.000Z;0;-
23;a.agarius;Warum trägt die Unsolidarische keine Maske?!;2021-08-10T20:30:26.000Z;0;-
24;vschn;❤️❤️;2021-08-10T20:20:34.000Z;0;-
25;prinzessinsalz;Ich würde sehr gern mehr zur Entwicklung von Trautes Gaderobe erfahren! Gab es da bestimmte Inspiration?;2021-08-10T20:13:26.000Z;1 like;-
26;aliyaarts;Sehr schön 😍;2021-08-10T20:11:53.000Z;1 like;-
27;mummygrace350;❤️❤️❤️;2021-08-10T19:15:19.000Z;2 likes;-
28;rebeccahempel;Ich liebe die Musik! Wo gibt es den Track zu hören?☺️❤️;2021-08-10T19:11:15.000Z;4 likes;-
28-1;ichbinsophiescholl;"@rebeccahempel #TeamSoffer Das ist „Lee Miller“ von Jessica Dannheiser.
Liebe Grüße!";2021-08-10T19:39:57.000Z;22 likes;28
28-2;rebeccahempel;@ichbinsophiescholl daanke🙌❤️;2021-08-10T19:41:29.000Z;1 like;28
29;_yoga_tanz;Bei Kleidungsstil muss ich mich zurück halten 😊😉;2021-08-10T19:10:17.000Z;0;-
30;dafu29;Diese Musik dazu ist soo schön 😊 von wem ist die denn?;2021-08-10T19:10:05.000Z;3 likes;-
30-1;ichbinsophiescholl;"@dafu29 #TeamSoffer Das ist „Lee Miller“ von Jessica Dannheiser.
Liebe Grüße!";2021-08-10T19:40:48.000Z;22 likes;30
30-2;dafu29;@ichbinsophiescholl Vielen Dank 😊 Ich finde es so schön und interessant zu sehen wie Sophie Scholl gelebt hat. Wie mutig sie war und ich bin jetzt schon traurig wenn der Kanal endet. Diese Art Geschichte rüberzubringen ist wunderbar. Danke dafür ❤️;2021-08-10T19:52:15.000Z;5 likes;30
31;berlinesque;ooooh ... traute lebt ja sogar noch, grad gesehn ❤️;2021-08-10T19:07:26.000Z;2 likes;-
32;eeehhmacalena;Lafrenz ist der Nachname meine Urgroßmutter aus Hamburg. Ob da wohl eine Verwandtschaft ist? 😍;2021-08-10T19:00:38.000Z;4 likes;-
32-1;ettol_7;@eeehhmacalena Traute lebt sogar heute noch. ❤️;2021-08-10T21:16:31.000Z;4 likes;32
32-2;nico_schmo;@eeehhmacalena das würde ich direkt überprüfen lassen 😮🙌;2021-08-10T22:21:30.000Z;0;32
32-3;kerstin_deern;@eeehhmacalena Das würde sich mit Experten für Ahnenforschung sehr leicht herausfinden lassen.;2021-08-14T07:33:35.000Z;1 like;32
33;miikeesschhh;Warum rauchen alle???;2021-08-10T18:31:04.000Z;0;-
33-1;jessiefuchs1806;"@miikeesschhh das war damals ""normal""";2021-08-10T19:07:13.000Z;0;33
33-2;katharina.helling;"@miikeesschhh Die Nazis waren grds gg das Rauchen und haben die Kritik am Rauchen auch rassenideologisch „überformt“ (à la Fortbestand der Rasse.. und eingeschleppt von.. schleichendes und süchtig machendes Rassegift)
Die Zigarette war damals darüber hinaus tatsächlich auch ein Symbol der Emanzipation der Frau. Also auch vor dem Nationalsozialismus.
Kaum überraschend daher, dass die Nazis ab 1933 mit Kampagnen à la „Die deutsche Frau raucht nicht.“ aufwarteten oder hängten Plakate auf, auf denen die Volksgenossen ermuntert wurden „Frauen, die auf der Straße rauchend angetroffen werden, an ihre Pflicht als deutsche Frau und Mutter zu erinnern.“
Das ist mehr als antifeministischer Akt, denn als Maßnahme der Gesundheitsvorsorge zu werten. Es wurden Bezüge zur verabscheuungswürdigen „Bordellkultur“ hergestellt und sowas wie „das wirklich deutsche Mädel“ ist auch ohne Zigarette attraktiv.
Um den „Volkskörper“ gesund zu erhalten, wurden im Laufe der Zeit auch sehr strenge Regeln bzgl der Reklame für Tabakwaren erlassen. Der Bezug von Zigaretten war allg streng reglementiert (nicht so für Wehrmachtsoldaten, flapsig: Drogen an der Front sind ok). Und für Frauen aus den vorher genannten Gründen noch mehr (außer sie arbeiteten in der Industrie..) und grds erst ab 25 (bis 55 - Männer ab 18, Wehrmachtsangehörige unabhängig vom Alter) - die Regeln wurden ja aber immer wieder angepasst, das sind die von Jun 42.
Rauchen war damals also tatsächlich, gerade bei Frauen, auch ein Akt des Aufbegehrens (was es gesundheitlich natürlich nicht besser macht)…
Ob dies bewusst/unbewusst bei Traute oder Sophie Einfluss auf ihr Rauchverhalten hatte, weiß ich aber natürlich nicht.

https://www.ifz-muenchen.de/heftarchiv/1998_1_2_merki.pdf - v. a. S 24 bzw 6 des pdf";2021-08-10T20:32:29.000Z;5 likes;33
34;sperling.dani;🤘;2021-08-10T18:29:00.000Z;0;-
35;pabefotografie;Traute lebt immernoch 😍❤️;2021-08-10T18:27:43.000Z;3 likes;-
36;frankbergfloh;"Dieses Format, dass man mitfiebert, obwohl/weil man das Ende kennt, ist großartig. Nochmals möchte ich meine Bewunderung für diese Idee zum Ausdruck bringen. Ich hoffe, dass viele Menschen dadurch das Grauen der Naziherrschaft besser verstehen; vor allem die wenigen, die immer noch Sätze anfangen mit ""es war ja nicht alles schlecht unter den Nazis..."".";2021-08-10T18:25:46.000Z;48 likes;-
36-1;ichbinsophiescholl;@frankbergfloh #TeamSoffer Freut uns, dass du so gespannt dabei bist und das hoffen wir ebenfalls! Liebe Grüße!;2021-08-10T18:37:46.000Z;11 likes;36
37;gwen_gloeckchen;Hallo Traute! Ich mag dich auch sehr gerne! Pass schön auf dich auf, ja? Liebe Grüße, Gwen Glöckchen 🍀;2021-08-10T18:20:13.000Z;4 likes;-
37-1;ichbinsophiescholl;@gwen_gloeckchen Wenn ich sie mal wieder sehe, richte ich es ihr aus! 🌼;2021-08-10T18:36:39.000Z;6 likes;37
37-2;ettol_7;@gwen_gloeckchen Sie lebt heute noch. 🤗❤️;2021-08-10T21:11:36.000Z;5 likes;37
37-3;gwen_gloeckchen;@ettol_7 Das ist ja wunderbar!! 👏 Danke für die Info, liebe/r ettol_7!;2021-08-10T22:01:24.000Z;3 likes;37
37-4;ettol_7;@gwen_gloeckchen *liebe Lotte (ettol rückwärts)😉 Sehr gerne😘! Ich habe mich auch sehr gefreut, als ich das hier vorhin in den Kommentaren gelesen habe und konnte es erst gar nicht glauben. (Ich habe mir dann auf YouTube ein Interview mit ihr angeguckt😊.);2021-08-10T22:24:03.000Z;7 likes;37
37-5;gwen_gloeckchen;@ettol_7 Das werde ich jetzt auch tun! Danke für den Tipp, Lotte! Hab noch eine gute Zeit! Gwen Glöckchen 🍀;2021-08-11T16:15:36.000Z;1 like;37
38;valijacoca;❤️;2021-08-10T18:11:41.000Z;2 likes;-
39;stefancienzo;Sie ist wirklich sehr schön.;2021-08-10T18:10:49.000Z;57 likes;-
39-1;ichbinsophiescholl;@stefancienzo Und einen tollen Kleidungsstil hat sie ebenfalls! 🌸;2021-08-10T18:20:26.000Z;46 likes;39
39-2;stefancienzo;@ichbinsophiescholl stimmt!;2021-08-10T18:24:54.000Z;3 likes;39
39-3;marinahilscher;@ichbinsophiescholl ich finde das Oberteil mit den Blüten wunderschön! Gibt es das zufällig irgendwo zu kaufen 🙈;2021-08-11T08:56:49.000Z;5 likes;39
39-4;annasarahorit;@marinahilscher ha, das hab ich auch schon gedacht. Aber ich nehme an das hat der Kostümdesigner extra hergestellt;2021-08-12T13:06:27.000Z;0;39
40;sirena_rosa;I want to thank you for making weekly IGTV’s in English now. I’m able to follow the main storyline in Deutch but I sometimes have trouble with understanding details in the spoken stories. The weekly summary really helps to see if I got it all down right. It’s such an interesting story and project!;2021-08-10T18:03:48.000Z;38 likes;-
40-1;ichbinsophiescholl;@sirena_rosa #TeamSoffer We are also really glad to have launched our weekly IGTV-Summary in English now. Thanks for your interest and best regards!;2021-08-10T18:19:29.000Z;18 likes;40
41;anjamuller565;Ich bin auch sehr froh dass Traute noch lebt.;2021-08-10T17:59:56.000Z;2 likes;-
42;dr.volkertiemann;Wenn die Zeit stehen bleibt, uns das Leben noch Tage, Monate Jahre schenkt ... das ist wunderschön.;2021-08-10T17:58:54.000Z;1 like;-
43;michaela_hanauer;Danke, ihr mutigen Vorbilder!;2021-08-10T17:49:58.000Z;4 likes;-
44;mejuliett;die Schauspielerin ist wunderschön ☺️;2021-08-10T17:15:51.000Z;5 likes;-
45;loyalforhumanity;Die echte Traute lebt sogar als letztes noch habe vor kurzem ein Interview gesehen, sehr herzzerreisend sie sie über die weiße Rose in alten Taten sprach❤️;2021-08-10T17:08:39.000Z;3 likes;-
45-1;loyalforhumanity;@loyalforhumanity alten Tagen aber alten Taten passt auch😂;2021-08-10T17:09:08.000Z;1 like;45
46;bianca.nawrath;❤️🙌;2021-08-10T16:47:25.000Z;3 likes;-
47;wene_beinhart;Ein langes Leben sei ihr beschieden. 🙏;2021-08-10T16:46:34.000Z;1 like;-
48;motoguzzisport;heute 102 Jahre Respekt!;2021-08-10T16:37:36.000Z;2 likes;-
49;luna.ardt;🥰;2021-08-10T16:36:57.000Z;3 likes;-
50;emsworld_____;Ich liebe Trautes Characterdarstellung hier 😍 sie ist ein wundervoller Charakter;2021-08-10T16:30:06.000Z;6 likes;-
51;hauptstadtlady50;Eine inspirierende Frau, danke für die Erinnerung.;2021-08-10T16:29:48.000Z;3 likes;-
52;sabileinb;Traute ist echt toll, ich bewundere sie und ich finde es wunderschön dass sie noch lebt!;2021-08-10T16:15:24.000Z;2 likes;-
53;such_a_precious_jewel;Hab auf YouTube ein tolles Interview mit ihr gesehen wo sie fast 100 Jahre alt ist . Wahnsinn !!;2021-08-10T16:07:18.000Z;2 likes;-
54;ava.santimea;tolle Frau... #TeamSoffer weiß die echte Traute eigentlich von eurem Projekt oder wurde sie sogar mit einbezogen?;2021-08-10T16:04:04.000Z;40 likes;-
54-1;ichbinsophiescholl;@ava.santimea #TeamSoffer Ähnlich wie dir war es auch uns ein Anliegen, dass Traute Lafrenz als einziges noch lebendes Mitglied der Weißen Rose von diesem Kanal erfährt. Dementsprechend hat die Redaktion versucht, über die Weiße Rose Stiftung Kontakt zu ihr aufzunehmen, was jedoch nicht geglückt ist. Sie ist mittlerweile 102 Jahre alt und ob sie überhaupt etwas von diesem Kanal weiß, können wir leider nicht mit Sicherheit sagen, wünschen es uns jedoch sehr. Liebe Grüße!;2021-08-10T17:13:29.000Z;122 likes;54
54-2;kisusaaa;@ichbinsophiescholl ❤️;2021-08-10T17:54:18.000Z;0;54
54-3;prinzessinsalz;@ava.santimea Soweit ich weiß lebt sie sehr zurückgezogen, es gibt ein relativ neues Interview, aber auch das war wohl sehr schwierig zu bekommen. Verständlich - aber was sie zu dem Kanal sagt würde ich auch gern wissen!;2021-08-10T20:14:49.000Z;7 likes;54
54-4;wiesenurmitn;@prinzessinsalz Sie ist 102 jahre alt. Ich wuerde es verstehen, wenn sie ihre ruhe will.;2021-08-12T08:11:48.000Z;0;54
55;ohhh.schau.mal;❤️;2021-08-10T15:59:27.000Z;2 likes;-
56;jljdd_90;🔥🔥🔥;2021-08-10T15:55:36.000Z;2 likes;-
57;d_bea_te;ihr seid so unfassbar mutig, das kann man sich heute gar nicht vorstellen... man meint immer man wäre damals anders gewesen, dass dann aber in dieser zwingenden Lebensgefahr zu tun ist überaus bewundernswert. Heute darf man auch schon wieder keiner anderen Meinung sein, es gibt die Wortneuschöpfung Verschwörungstheoretiker. Dabei ist oberstes Gebot in der Wissenschaft Diskurs. Man muss nicht einer Meinung sein, aber man sollte unterschiedliche Aspekte betrachten und nie nur 1 Quelle glauben. Auch das habt ihr uns gelehrt.👏😍 Danke dafür;2021-08-10T15:51:49.000Z;8 likes;-
57-1;katharina.helling;"@d_bea_te Doch, man darf anderer Meinung sein. Niemand landet wegen einer anderen Meinung im Gefängnis/KZ. Und wenn man die Debatte verfolgt werden immer verschiedene Stellen gehört und viel Kritik geäußert. Aber man muss Widerspruch ertragen. Auch und gerade dann, wenn man wissenschaftl Position vertritt, die einem breiten wissenschaftl Konsens widerspricht.
Und dass es am Ende nicht immer so kommt, wie man es persönlich für richtig hält, hat damit nichts zu tun.";2021-08-10T16:16:30.000Z;37 likes;57
57-2;katharina.helling;@zuagroastebayrischeschwaebin ich würde gerne das ‚wissenschaftl‘ vor ‚Position‘ streichen und durch ‚eine‘ ersetzen. Hab das vor‘m Posten leider nicht nochmal durchgelesen..;2021-08-10T16:53:16.000Z;4 likes;57
57-3;d_bea_te;@zuagroastebayrischeschwaebin danke das du zuhörst, das ist das Wichtigste. Letzteres kann sich ja noch weiter entwickeln und nicht Alle müssen eine Meinung haben, das ist ja klar.;2021-08-10T16:55:22.000Z;1 like;57
57-4;katharina.helling;@d_bea_te was meinst Du mit letzteres? Dass es so kommt wie man es sich persönlich wünscht? Ich glaube das ist ein unerfüllbarer Wunsch, weil es eben unendlich viele verschiedenen Meinungen gibt. Und quasi die Kombination dieser Meinungsvielfalt in jeder Person unterschiedlich ist. Du wirst kaum jmd finden, der in wirklich allen Fragen mit Dir übereinstimmt. Andere Positionen zu ertragen, ist auch ein Teil einer Demokratie.;2021-08-10T17:02:58.000Z;3 likes;57
57-5;katharina.helling;@zuagroastebayrischeschwaebin und die Grenze des ‚ertragbaren‘ gibt das Grundgesetz vor und da hat - in allen Bereichen - das Bundesverfassungsgericht immer wieder bewiesen, dass sie da sehr genau hinschauen (und grds internationale Gerichte, wenn das denn mal nötig sein sollte).;2021-08-10T17:07:09.000Z;3 likes;57
57-6;ichbinsophiescholl;"@d_bea_te #TeamSoffer Heute darf man sehr Wohl anderer Meinung sein und diese auch frei kundtun, ohne mit vergleichbaren Konsequenzen zur damaligen Zeit rechnen zu müssen!
Verschwörungstheorien gibt es ebenfalls schon sehr lange und diese werden sogar in der Wissenschaft behandelt und diskutiert.";2021-08-10T18:00:37.000Z;39 likes;57
57-7;d_bea_te;@zuagroastebayrischeschwaebin alles gut, nicht so viel reininterpretieren.;2021-08-11T07:09:03.000Z;0;57
57-8;d_bea_te;@ichbinsophiescholl was könntest du hier auch anderes sagen. Ich wollte hier keine dramatischen Diskussionen auslösen, habe nur darauf hingewiesen das es im Moment einen für mein Empfinden nicht mehr so freien offenen Dialog gibt, den es in einer Demokratie geben sollte. Und meine Bewunderung für den Mut ausdrücken, den die Mitglieder der weissen Rose damals hatten, die zweifelsfrei einem hohen Risiko ausgesetzt waren.;2021-08-11T07:13:35.000Z;0;57
57-9;katharina.helling;@d_bea_te und doch haben wir hier sehr offen und ohne Dramatik gesprochen. Nur was ‚das letztere war‘ ging für mich halt nicht hervor.;2021-08-11T08:55:17.000Z;2 likes;57
