Link: ;https://www.instagram.com/p/CacCG6_smEX/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;schickyvonne;Was passierte mit MarieLuise Jahn?;2022-02-28T18:49:08.000Z;0;-
2;aufbirkenlund;😢;2022-02-28T09:45:24.000Z;0;-
3;nutzername__einfuegen;Wenn man bedenkt in welcher Situation man in der heutigen Zeit is und wie es damals war nh;2022-02-28T08:18:10.000Z;0;-
4;svemahei;Wo findet man die Stolpersteine?;2022-02-28T05:31:15.000Z;0;-
5;weltgebetstag_hessen;😔;2022-02-27T18:35:51.000Z;0;-
6;das_1x3_des_gluecks;🙌;2022-02-27T14:09:17.000Z;0;-
7;barisca_mvb;😢;2022-02-27T05:03:44.000Z;0;-
8;_lumalou_;Warum unterscheidet man zwischen hingerichtet und ermordet?;2022-02-27T01:59:59.000Z;0;-
9;anoush.ca;Wieso war Traute in den letzten Tagen vor Sophies und Hans Gefangennahme so inaktiv in der weißen Rose ? Oder wirkte das nur hier so ?;2022-02-26T21:28:22.000Z;0;-
10;janirasombrero;Hier kann man noch mehr nachlesen. https://www.stolpersteine-hamburg.de/?MAIN_ID=7&BIO_ID=231;2022-02-26T21:12:52.000Z;0;-
11;jawiesodasdenn;Warum habt ihr kein Bild von Hans leipelt hier eingefügt? Bei Wikipedia ist doch eins verfügbar? Sogar das seiner Mutter?;2022-02-26T20:48:31.000Z;4 likes;-
12;jawiesodasdenn;Besonders bitter ist, wenn man im Nachgang sieht, dass die Befreiung zeitlich nicht mehr weit war.;2022-02-26T20:42:52.000Z;0;-
13;stellaluna222;😥🕊️🙏🏼;2022-02-26T20:30:14.000Z;0;-
14;mirawho;Ein bewundernswerter Mann - ich habe mein Abitur an der Hans leipelt schule Donauwörth abgelegt und so schon früh von seinem Leben und Wirken erfahren dürfen! 🙌;2022-02-26T18:55:34.000Z;6 likes;-
15;_danja.z;Wieso wurde er denn zum Tode verurteilt, wenn er nur wegen der Geldsammlung festgenommen wurde?;2022-02-26T18:08:21.000Z;3 likes;-
16;misshb7;Sind die dann in Neuengamme umgebrachtes worden? Wir waren gerade dort und und wurde bei der Führung von den Anhängern der weißen Rosé berichtet.;2022-02-26T17:30:13.000Z;2 likes;-
17;fiona.christo;Ich habe Marie-Luise Schultze-Jahn vor einigen Jahren bei einer Lesung getroffen. Eine beeindruckende Frau.;2022-02-26T16:14:01.000Z;6 likes;-
18;misses_biggs;😢;2022-02-26T15:28:39.000Z;0;-
19;heikegumz;"Eine weitere Schlüsselperson des sog. Hamburger Zweigs war Margaretha Rothe, geb. 13.6.1919.
Von der Gestapo wurde sie als ""agitatorischer Mittelpunkt einer losen Vereinigung von Staatsfeinden"" bezeichnet.

Margaretha, genannt: Greta, Rothe nahm 1938 ein Medizin-Studium in Hamburg auf. ""Die Hamburger Universität wurde im Herbst 1939 für einige Monate geschlossen, und Margaretha Rothe ging zusammen mit Heinz Kucharski und Traute Lafrentz an die Berliner Universität, wo sie ebenfalls Kontakte zu Oppositionellen hatten. Für das Sommersemester 1940 kehrten Margaretha Rothe und Heinz Kucharski nach Hamburg zurück.

Margaretha Rothe stellte mit einem Druckkasten für Kinder Flugblätter her, die sie in U-Bahnen und Telefonzellen verteilte. Unter der Schlagzeile ""Gegen Hitler und den Krieg"" veröffentlichte sie so die Sendezeiten und Frequenzen des ""Deutschen Freiheitssenders"". Von Traute Lafrentz, die ihr Studium in München fortsetzte, erhielt sie Flugblätter der ""Weißen Rose"", die sie abtippte und vervielfältigte, damit sie anschließend von ihrem Freundeskreis verbreitet werden konnten. …
🔽";2022-02-26T14:00:24.000Z;35 likes;-
20;aimeegneist;"einfach furchtbar
So mutige Menschen";2022-02-26T13:18:06.000Z;0;-
21;heike_rohmann;"Weitere Personen aus dem Hamburger Netzwerk der Weißen Rose, die die Haft nicht überlebten:
Kaethe Leipelt
Elisabeth Lange
Reinhold Meyer
Margaretha Rothe
Frederick Geussenhainer
Margarete Mrosek
Kurt Ledien
John Gluck und Heinz Lord starben 1952 bzw. 1961 an den Folgen der Haft.
R.I.P.";2022-02-26T13:04:34.000Z;23 likes;-
22;neukoellntravel;🖤;2022-02-26T11:54:49.000Z;0;-
23;troostplaetzchen;🖤;2022-02-26T11:53:28.000Z;0;-
24;_anne_hess_;❤️;2022-02-26T11:52:06.000Z;1 like;-
25;nichtsophiescholl;"Hans Leipelt begründet in seinem Gnadengesuch seinen Widerstand gegen das NS-Regime, indem er schildert, wie er als Sohn einer nach NS-Definition jüdischen Mutter in den vorangegangenen Jahren das Unrechtsregime erlebt hat:

""Die Diskriminierung meiner Mutter, die als Mensch wie als Staatsbürgerin untadelig dasteht. Ich erinnere nur daran, dass sie im ersten Weltkrieg ihr Studium unterbrach, um freiwillig im Lazarett zu pflegen und sich dabei eine schwere Schädigung ihrer Gesundheit zuzog. Und deren Seelenadel in steter selbstaufopfernder Liebe und Fürsorge für die Ihren und schweigendem, starken Ertragen des physischen und psychischen Leidens sich offenbarend, mein ganzes Leben erwärmt und erhellt hat.

Die Deportation meiner Großmutter, einer mehr als 70jährigen, altersschwachen Frau, die mir nur Liebes erwiesen und ganz gewiss dem Staat nie geschadet hat, noch ihm zukünftig hätte schaden können.

Das über fast all meine übrigen Verwandten hereinbrechende Unglück - Verlust der Stellung, des Besitzes, der Wohnung und schließlich Deportation -, das wiederum Menschen traf, von denen ich ebenfalls nichts als Güte erfahren hatte, und von deren Schuldlosigkeit in jedem üblichen Sinn, von deren menschlicher Hochwertigkeit und von deren Staatstreue ich mit gutem Grund überzeugt sein durfte.""";2022-02-26T11:48:27.000Z;57 likes;-
26;anjanischelwitzer;Krieg ist Verrat an den Menschen, die ihn erleiden & erdulden müssen! 🔥Danke🌺 an alle Menschen, welche für den Frieden aufgestanden sind & aufstehen!👏;2022-02-26T11:39:57.000Z;6 likes;-
27;nichtsophiescholl;"„Wäre nicht Inge gewesen, die immer alles über ihre Geschwister gesammelt hat, vielleicht wären Hans und Sophie auch vergessen worden. Es wäre ihnen nicht anders ergangen als all den Menschen, die auch versucht haben umzudenken, an die sich aber kaum noch jemand erinnert. […] in vielen Familien gab es keine Inge."" so Traute Lafrenz, aktiv im Kontext der ""Weißen Rose"" zur Ungerechtigkeit der kollektiven Erinnerungskultur.

Was schon für die - nach NS-Verständnis – allesamt ""arischen"" Mitglieder der ""Weißen Rose"" zutrifft, gilt um ein Vielfaches mehr für Hans Leipelt, der nach Festnahme und Hinrichtung des engeren Kreises der im Widerstand aktiven Münchener Studierenden ihre Arbeit fortzusetzen versucht. An ihm zeigt sich im besonderen Maße die Ungerechtigkeit der Erinnerungskultur: Denn Hans Leipelt ist zwar - wie die Geschwister Schwoll - evangelisch, doch nach NS-Definition ist er ""Halbjude"". Die einzige engere Verwandte, die die NS-Zeit überlebt, ist seine jüngere Schwester Maria, die 1946 in die USA emigriert.
In der kollektiven Erinnerung beider deutscher Staaten wird seiner jahrzehntelang kaum gedacht.";2022-02-26T11:29:12.000Z;83 likes;-
28;flockifb;❤️😢;2022-02-26T11:23:57.000Z;1 like;-
29;martina_k_max;Wieso sind die Hamburger Widerstandskämpfer bei uns in Süddeutschland eher unbekannt?;2022-02-26T11:23:13.000Z;14 likes;-
30;claudi_nuen;😢😢😢;2022-02-26T11:19:23.000Z;1 like;-
31;nyaguldberg;🤍🤍🤍;2022-02-26T11:19:07.000Z;2 likes;-
32;nichtsophiescholl;"""Wir besaßen das Flugblatt, aber die, die es geschrieben hatten, waren von den Nazis hingerichtet worden. Wer sollte jetzt den Menschen die Augen öffnen? Wer sollte jetzt die Wahrheit sagen über das verbrecherische Regime? Die, die es gewagt hatten, waren nicht mehr am Leben. Aber wir hatten das Flugblatt. Was sollten wir tun?
Wir wussten es. Ganz spontan entschlossen wir uns: Wir müssen weitermachen. An die Gefahr dachten wir nicht.""

Marie-Luise Jahn über ihre und Hans Leipelts Entscheidung zur Fortsetzung des Widerstand";2022-02-26T11:16:16.000Z;91 likes;-
33;fr_derike;Wer war denn Hermine Baron?;2022-02-26T11:09:04.000Z;2 likes;-
34;heikegumz;Wen zeigt denn das Foto?;2022-02-26T11:07:10.000Z;19 likes;-
35;sandylein1983;Ja tragisch :-( kämpften für Gerechtigkeit und mussten dafür sterben;2022-02-26T11:05:02.000Z;1 like;-
36;schneewittchens_stiefschwester;Unfassbar wie viele im Nachgang dessen noch sterben mussten 😢;2022-02-26T11:03:48.000Z;33 likes;-
37;sonjasetout;😢;2022-02-26T11:03:35.000Z;2 likes;-
38;monika_lmt;👏❤️;2022-02-26T11:03:25.000Z;1 like;-
39;shettygang_vom_ponyhof;🤍;2022-02-26T11:03:23.000Z;2 likes;-
40;hade1961;❤️;2022-02-26T11:02:36.000Z;1 like;-
41;captain.freddie;Tolle Berichte über mutige Menschen ❤️ weiter so!;2022-02-26T11:01:05.000Z;16 likes;-
42;hejaoktay;😢;2022-02-26T10:59:08.000Z;2 likes;-
