Link: ;https://www.instagram.com/p/CWN3nuIsZjZ/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;schoolsven;😍❤️;2021-11-14T23:55:51.000Z;0;-
2;beatrice_englaender;Genießt es 🥰🥰🥰;2021-11-14T16:56:33.000Z;1 like;-
3;claudmaine;Ich bin gerade bei meinen Kindern, die beide in Bayern studieren. Seit sie ausgezogen sind, sind diese Womos (wonderfull Moments) sehr selten uns ich genieße es sehr 🥰;2021-11-14T13:50:54.000Z;0;-
4;irene.garbe3;1-2mal im Monat;2021-11-14T09:43:25.000Z;0;-
5;carine3girls;❤️;2021-11-14T00:37:37.000Z;0;-
6;fresh_rie;Ich wohne bei meinem Vater 😊 mein Mutter und meine Schwestern sehe ich alle paar Wochen, wenn ich mit meiner Mutter zum Essen verabredet bin oder meine Schwestern und ich uns gegenseitig besuchen 😊;2021-11-13T23:14:15.000Z;0;-
7;hi_its.me.steffi;Ich jeden Tag, weil ich noch bei meinen Eltern+Schwester (12 Jahre) wohne.;2021-11-13T22:29:09.000Z;0;-
8;franzib.aus.dd.an.der.e;Da ich ins Ausland gezogen bin und aufgrund der aktuellen Coronasituation momentan nur sehr selten 😢;2021-11-13T22:15:36.000Z;0;-
9;vikis_music;Hab keine Geschwister, bin ein Einzelkind, aber meine Oma kann ich immer wieder besuchen gehen weil sie fast nebenan wohnt. Meine Eltern sind zwar geschieden, aber ich verstehe mich mittlerweile mit beiden.;2021-11-13T19:55:47.000Z;0;-
10;chris_d1969;Ich seh meine Mutter einmal in der Woche und telefoniere jeden Abend mit ihr. Wir haben nur noch uns. 😊;2021-11-13T19:34:44.000Z;2 likes;-
10-1;ichbinsophiescholl;Schön, dass ihr so eng zusammenhaltet!;2021-11-14T09:17:35.000Z;1 like;10
11;hamburg_liebt;Romme?;2021-11-13T18:36:42.000Z;0;-
12;its_miri_chri;Wo ist denn Elisabeth?;2021-11-13T18:14:45.000Z;1 like;-
12-1;ichbinsophiescholl;@its_miri_chri #TeamSoffer Über Elisabeth Scholl ist nur sehr wenig dokumentiert. Sie machte 1939 ihr Staatsexamen am Ulmer Fröbelseminar und begann daraufhin eine Fortbildung als Säuglingsschwester in der Kinderklinik der Universität Tübingen. Von dort an wechselte sie häufig ihren Standort und arbeitete in diversen Familien und Kindergärten.;2021-11-14T09:18:55.000Z;9 likes;12
13;iris.g.aguilera;Ich sehe meine Familie in Deutschland alle 2 Jahre...zumindest versuchen es wir. In dem Jahr das ich es nicht nach Deutschland schaffe versucht eine meiner Schwestern nach USA zu kommen. Ich geniesse die Zeit immer.;2021-11-13T17:19:54.000Z;0;-
14;missfrieluise;Meine Eltern sehe ich glücklicherweise öfter aber meine Schwester viel zu selten🥲;2021-11-13T17:17:14.000Z;0;-
15;netzel.andrea;Mein Bruder wohnt mit hier im Haus, es gehört uns mit meinem Mann zusammen. Und meine Mutter kommt entweder jede Woche oder alle 14 Tage zu uns;2021-11-13T16:32:16.000Z;1 like;-
15-1;ichbinsophiescholl;@netzel.andrea Da scheint ihr ja auch einen guten Zusammenhalt zu haben - wie schön!;2021-11-14T09:20:25.000Z;5 likes;15
16;xxblackl;Nur am Wochenende weil ich in Stuttgart Berufsvorbereitungsjahr mache;2021-11-13T16:14:22.000Z;0;-
17;yvonnejaenich;Eltern oft(da sie im Nachbarort wohnen),den jüngeren Bruder alle paar Wochen ,den älteren alle paar Monate,da er weit weg wohnt.;2021-11-13T16:05:16.000Z;0;-
18;ava.santimea;man weiß nie, wann es das letzte Mal ist... meine Mutter hab ich vor über 9 Jahren das letzte Mal gesehen, meinen Vater sehe ich ca 2-3 mal im Jahr.;2021-11-13T15:45:21.000Z;0;-
18-1;ichbinsophiescholl;@ava.santimea Oh, das ist lange her. Trennt euch die Distanz?;2021-11-14T09:27:32.000Z;2 likes;18
18-2;ava.santimea;@ichbinsophiescholl nein, das hat andere Gründe. ich habe den Kontakt abgebrochen um mich vor ihr zu schützen.;2021-11-14T12:21:58.000Z;1 like;18
19;honey.bee.vicky.1984;Alle paar Wochen sehe ich meine Mum, ich wohne bei München sie bei Stuttgart❤️;2021-11-13T15:41:31.000Z;0;-
20;die_aelblerin;Ich sehe meine Familie auch nur ca 3x im Jahr, aber das ist völlig in Ordnung für mich, man hat ja heutzutage auch WhatsApp, um sich auf dem Laufenden zu halten ^^;2021-11-13T15:40:36.000Z;0;-
21;florence_in_bloom;Ich sehe meine Mutter gar nicht mehr und bin sehr froh darüber. Ich finde es aber wunderschön den Zusammenhalt und die Liebe in anderen Familien zu sehen. Das macht mich sehr glücklich 😍;2021-11-13T15:03:04.000Z;16 likes;-
21-1;ichbinsophiescholl;@florence_in_bloom Ich hoffe, dass du dennoch Menschen in deinem Leben hast, die dir liebevoll zur Seite stehen. Für mich ist Otl beispielsweise wie ein Familienmitglied, auch wenn wir nicht verwandt sind.;2021-11-13T15:10:50.000Z;13 likes;21
21-2;florence_in_bloom;@ichbinsophiescholl Das ist so ja. Ich habe nämlich ganz großartige Freunde. ❤️;2021-11-13T15:15:02.000Z;5 likes;21
22;anja_oblosb;Ein schönes Foto. Selbst in dieser schlimmen Zeit gab es Momente der Freude und Entspannung. Anders hätte man es wohl auch nicht ertragen können. 🥲;2021-11-13T14:38:20.000Z;0;-
23;tessa.dreher;Spieleabend 🤩, sag Bescheid ich komm dann auch;2021-11-13T14:13:36.000Z;1 like;-
24;plathonia;"Ich frage mich schon seit ein paar Wochen, wie deine Familie eigentlich zur Zeit den Lebensunterhalt bestreitet. Hast du dazu schon etwas geschrieben? Wohnen, Essen, Fahrkarten kosten ja Geld.
Hast du dazu schon etwas geschrieben?";2021-11-13T14:08:42.000Z;6 likes;-
24-1;ichbinsophiescholl;@plathonia Wir werden uns auf jeden Fall einschränken müssen. Vater kann künftig wohl höchstens noch als Buchhalter arbeiten. Manchmal frage ich Fritz um Hilfe und er überweist mir dann etwas Geld. Aber ich fühle mich nicht wohl bei dem Gedanken... hoffentlich ist der Krieg bald vorüber und das Berufsverbot damit erledigt.;2021-11-13T14:39:56.000Z;9 likes;24
24-2;katharina.helling;"@plathonia Hans ist außderdem als Sanitätsunteroffizier eingezogen. Christoph Probst schreibt am 18.05.1940 von einer Aktiven-Besoldung von ungefähr 70 Reichsmark monatlich. Er wurde wie reguläre Offiziersanwärter besoldet. Dies dürfte bei Hans auch der Fall gewesen sein.
Der Vater erhält in Kürze ein Berufsverbot (Sophie schreibt Fritz dazu am 19.11.1942 und schreibt ihm auch, dass die von ihm schon angebotene Hilfe in finanzieller Beziehung nun von Nöten sein wird...). Das wird hier aber bestimmt demnächst dann auch thematisiert werden.";2021-11-13T14:48:49.000Z;5 likes;24
25;kleinerdracheiris;Viel zu selten, da sie nicht in der Nähe wohnen 😔 Durch die Pandemie ist es noch schwieriger geworden...;2021-11-13T14:03:42.000Z;0;-
26;evie_lu;Welche Spiel spielen Sie?;2021-11-13T13:58:12.000Z;0;-
27;karinamelone3484;Wer spielt denn Werner Scholl? ☺️;2021-11-13T13:46:17.000Z;0;-
28;ocgermanicus39;"Mit dem Film von 1982 "" (5 ) letzte Tage"" wird auch auf irgendeine Weise eine Leichtigkeit des ganzen Dramas vermittelt, wie auch mit diesen, ""aktuellen "" Szenen, ihres Lebens ! Mit zuviel Fiktion, was nur in der Vorstellung existiert macht man mit solch niemals vergessenen Zeiten und Menschen wie die Geschwister Scholl es wirklich waren, die wirklich etwas bewegen wollten. .kein großes Gaudi!";2021-11-13T13:45:50.000Z;4 likes;-
