Link: ;https://www.instagram.com/p/CaZrTAMs1mK/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;physio_casual;Wer kam da aus Offenburg?;2022-02-28T05:46:56.000Z;0;-
2;the.free.vivi;Hab das zdf magazin royale vom 18. Februar gesehen. Ich hätte mir Fußnoten und Quellenangaben gewünscht...;2022-02-27T10:36:52.000Z;0;-
3;bettyviktoria;Kommen noch Infos zu Hans Leipelt?;2022-02-27T06:21:52.000Z;1 like;-
4;dorothee_bue;Ist bekannt was aus Fritz wurde?;2022-02-27T00:29:53.000Z;0;-
5;philosoph95;Wieso wird hier verschwiegen, dass Hans Hirzel bei den Republikanern war?;2022-02-26T20:59:57.000Z;1 like;-
6;anne122814;@ichbinsophiescholl Haben alle die Gefängnisstrafen überlebt? Wurden Grimmiger und co. nach dem Krieg entlassen?;2022-02-26T14:05:59.000Z;0;-
7;soia19;😢😢;2022-02-26T12:50:08.000Z;0;-
8;heike_rohmann;"Informiert doch bitte auch mal über den sog. ""Hamburger Zweig"" der Weißen Rose. Viele haben nicht überlebt.";2022-02-26T10:35:33.000Z;1 like;-
9;neukoellntravel;🖤;2022-02-26T10:22:02.000Z;0;-
10;julchensbuntewelt;Was passierte mit Gisela?;2022-02-26T06:43:47.000Z;8 likes;-
11;peter.itsme;Haben die Knöpfe auf der Karte eine bestimmte Bedeutung? Z.B. bedeutende Herkunftsorte einiger Personen?;2022-02-25T21:26:00.000Z;0;-
12;barisca_mvb;😢;2022-02-25T20:35:17.000Z;0;-
13;ju_miou;Wie grausam: Du wirst inhaftiert und währenddessen wird deine jüdische Frau deportiert und umgebracht. Diese Qual wiegt wahrscheinlich schwerer als der eigene Tod. Unfassbar erschütternd!;2022-02-25T20:13:19.000Z;6 likes;-
14;fromp_withlove;Woher wussten die das alles?? Hat da jeder jeden verpetzt?;2022-02-25T20:08:04.000Z;3 likes;-
15;susanne_k_aeferchen;🕊️🕊️🕊️🕊️;2022-02-25T17:55:51.000Z;0;-
16;barisca_mvb;😢;2022-02-25T17:23:59.000Z;0;-
17;sebfischer2;Danke für die Dokumentation über die weiteren Unterstützer.;2022-02-25T17:17:04.000Z;0;-
18;neflite_art;wenn nur das Geburtsdatum angegeben ist, kann man davon ausgehen, dass die Personen noch leben (wenn danach was von Mord steht sind diese Personen leider nicht gemeint)?;2022-02-25T16:34:36.000Z;2 likes;-
19;ramona.bohm.315;Wie unterschiedlich die Länge der gefängnisstrafen doch für die gleiche Sache ist.;2022-02-25T16:22:59.000Z;0;-
20;franzgoe59;Nie wieder!;2022-02-25T16:17:19.000Z;0;-
21;kevvv_xx;für wen steht der Knopf bei Gmünd/Aalen?;2022-02-25T15:15:47.000Z;0;-
22;misses_biggs;😢;2022-02-25T14:55:22.000Z;1 like;-
23;bettine1960;"""Sippenhaft"" betraf aber nur die Familie Scholl und nicht die Eltern und Geschwister der anderen? Und Anneliese Graf und Angelika Probst wurden nach der Untersuchungshaft freigesprochen, weil sie erwiesenermaßen gar nichts wussten?";2022-02-25T14:53:33.000Z;4 likes;-
24;susianne_;😢;2022-02-25T14:52:40.000Z;1 like;-
25;doncamillo76;😢😢;2022-02-25T14:51:50.000Z;0;-
26;auf_neuen_pfaden_unterwegs;💙💛☮️🌏🙏🕊;2022-02-25T14:50:29.000Z;1 like;-
27;x.laurii.x.x;@ichbinsophiescholl Was wurde eigentlich aus Hansi Hirzel? Er hat doch auch von den Vorhaben gewusst und sich beteiligt (falls ich das nicht falsch verstanden habe).;2022-02-25T14:44:17.000Z;1 like;-
28;hawaii070502;🖤;2022-02-25T14:42:00.000Z;1 like;-
29;miriamweitmann;Ob wohl irgendein tieferer Sinn besteht, warum Sophie und Hans binnen 5 Stunden verurteilt UND hingerichtet werden, und es bei anderen Wochen und Monate dauert? Der zeitliche Ablauf schockiert mich zutiefst, vor allem, dass die Eltern erst informiert werden, als es schon zu spät war. Unfassbar;2022-02-25T14:40:49.000Z;35 likes;-
30;st3ffi80;werden die Livevideos noch gespeichert? Konnte die zweite Livesendung leider nicht verfolgen;2022-02-25T14:28:25.000Z;9 likes;-
31;tine._.b;🖤;2022-02-25T14:28:16.000Z;0;-
32;jenniferfeargus;Tragisch alle diese Schicksale;2022-02-25T14:22:53.000Z;0;-
33;landschaftsliebhaberin;Wenn ich all das lese was noch passierte bleibe ich sprachlos zurück;2022-02-25T14:19:04.000Z;0;-
34;sandylein1983;so traurig was damals war, hab gestern die akte grüniger gesehen, weiss nicht ob euch der name was sagt er war ein landsmann von mir also schweizer und half den juden zur flucht und hat 1938 urkunden gefälscht damit sie in der schweiz bleiben können und nicht zurückgeschickt werden! leider wurde er etappt aber nicht hingerichtet.;2022-02-25T14:09:30.000Z;9 likes;-
35;sonnenschein1976;😢😢 so schlimm;2022-02-25T13:57:53.000Z;1 like;-
36;annika_wtt;Was bedeutet „Zuchthaus“?;2022-02-25T13:55:25.000Z;3 likes;-
37;miss_marinamiller;Das ist doch Wahnsinn gewesen! 😢;2022-02-25T13:47:05.000Z;5 likes;-
38;sabine_schmieder79;Wer hat denn in Offenburg gewohnt?;2022-02-25T13:44:18.000Z;0;-
39;ulrikeke68;❤️;2022-02-25T13:38:29.000Z;1 like;-
40;_anne_hess_;❤️;2022-02-25T13:37:29.000Z;0;-
41;liehtug;Wie erging es Otl?;2022-02-25T13:28:41.000Z;5 likes;-
42;tristanx_;😢;2022-02-25T13:20:50.000Z;2 likes;-
43;lenchen009;Sehe ich das richtig, dass bis auf Jenny Grimminger alle hier aufgeführten Personen noch leben?;2022-02-25T13:20:28.000Z;6 likes;-
44;showbix;Just watched the rise of the nazi in the U.K. 🇬🇧and they talked about Sophie a story the world should know;2022-02-25T13:20:21.000Z;2 likes;-
45;connireuter;Ist alles noch beklemmender aufgrund der aktuellen Situation. 😢;2022-02-25T13:18:59.000Z;54 likes;-
46;connireuter;❤️;2022-02-25T13:18:33.000Z;0;-
47;b_i_s_c_h_u;Was mich so interessiert, wie ist es raus gekommen das die weiße Rose Unterstützer hat? Haben Hans und Sophie in ihren verhören gestanden, oder haben sie andere verraten?;2022-02-25T13:17:54.000Z;17 likes;-
48;avivalavivaina;So blöd es klingt, aber unterm Strich hat die Weiße Rose mehr Schaden angerichtet, als dass sie irgendwem genutzt hat. So viele Verurteilungen und Hinrichtungen von aktiven Mitgliedern und Mitwissern, aber am Krieg und an der Unterdrückung der Juden hat sich nichts geändert. Tragisch.;2022-02-25T13:16:53.000Z;9 likes;-
49;jeannedarc91;Wie wurde mit den Urteilen nach Kriegsende umgegangen? Wurden die Strafen aufgehoben/angepasst oder weiter fortgeführt?;2022-02-25T13:16:14.000Z;15 likes;-
