Link: ;https://www.instagram.com/p/CTXfON3METC/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;maria.dietlein;@ichbinsophiescholl welche Bücher hat Sophie im Laufe ihres Studiums gelesen? ❤️;2022-02-26T19:00:01.000Z;0;-
2;fussballnerd_luana;"ich habe folgende:
„ricordati chi sei“ (erinnere dich wer du bist)

„Ogni respiro è una seconda possibilità“ (jeder atemzug ist eine neue chance)

„Tutto ciò di cui hai bisogno è amore“❤️
(alles was du brauchst ist liebe)";2021-09-11T18:40:11.000Z;0;-
3;evaschmidt8202;"Mein Lebensmotto ist:""Don't cry over spilt milk"" das hat mir schon oft geholfen in meinen 68 Jahren";2021-09-05T12:50:55.000Z;0;-
4;mrs.zeus_in_the_classroom;“Wenn man es nicht aus vollem Herzen macht, kann man es gleich sein lassen!”;2021-09-05T11:50:21.000Z;0;-
5;kurtgaudi;Es gibt nix gutes, außer man tut es.;2021-09-05T09:01:04.000Z;0;-
6;mirja_kunstkerze.de;„Mut ist nicht die Abwesenheit von Angst, sondern die Erkenntnis, dass es wichtigeres gibt“ (König von Genovien);2021-09-05T06:50:22.000Z;0;-
7;svea.on.insta;"""Liebe deinen Nächsten wie dich selbst."" Bibelzitat. Eine sehr weise Aufforderung. Wer hatet, kann sich selbst nicht ausstehen.";2021-09-05T06:48:08.000Z;0;-
8;little_miss_d90;"Meine mama sagt immer ""der mensch wächst mit seinen aufgaben "". Der Spruch hat mir schon oft geholfen dinge anders zu sehen und die dinge besser anzugehen, wenn ich mal nicht wusste, wie ich etwas angehen soll";2021-09-05T00:29:27.000Z;0;-
9;corazon._.loco;"""und was ist, wenn Gott Dich nach Deinem Tod fragt:"" Wie war es im Himmel?""";2021-09-04T21:44:30.000Z;0;-
10;coco_virejas;In der Ruhe liegt die Kraft 😉;2021-09-04T20:16:40.000Z;0;-
11;meinsmonster;Ich habe auch einen der mir in den letzten zwei Jahren immer wieder geholfen hat nach vorn zu sehen ~you are the key to the life that you seek~;2021-09-04T20:14:00.000Z;0;-
12;meinsmonster;I;2021-09-04T20:12:30.000Z;0;-
13;daniela.unity_;"""On ne voit bien qu'avec le cœur, l'essentiel est invisible pour les yeux. | Man sieht nur mit dem Herzen gut, das Wesentliche ist für die Augen unsichtbar"" (Antoine de Saint-Exupéry in ""Le Petit Prince | Der kleine Prinz"")";2021-09-04T19:51:18.000Z;1 like;-
14;berger_perk_partner;Sophie: dein Kanal ist klasse - berührend, nachdenklich ... viel mehr;2021-09-04T17:53:49.000Z;0;-
15;louwanda1158;Niemands Knecht, niemands Herr!;2021-09-04T16:54:49.000Z;0;-
