Link: ;https://www.instagram.com/p/CWEK2fXMuwx/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;yogangji;❤️;2021-11-13T08:18:29.000Z;0;-
2;veryinsignificantperson;😔😔😔;2021-11-11T11:30:41.000Z;0;-
3;chiangelus;Ich war ja skeptisch wg dem Projekt. Aber bisher, woow, Respekt.;2021-11-11T08:08:21.000Z;1 like;-
4;alicia_masha5;❤️;2021-11-11T07:25:43.000Z;0;-
5;meerliebe.ratzie;😢;2021-11-10T21:07:06.000Z;0;-
6;georgfox_art;❤️❤️❤️❤️;2021-11-10T19:53:55.000Z;0;-
7;sims_next_topmodel;Unvorstellbar, wie schlimm das alles gewesen sein muss😢;2021-11-10T16:51:06.000Z;0;-
8;ephraims_tochter_langstrumpf;Ich war gestern mit meinen Kindern Stolpersteine putzen. Meine älteste ist 8 und schon gut „kindgerecht* aufgeklärt, was das anbelangt. Es ist so wichtig das das niemals in Vergessenheit gerät.;2021-11-10T16:40:11.000Z;1 like;-
9;christine.binggeli;🙌;2021-11-10T13:23:17.000Z;0;-
10;birkenhofmarling;Sophie du hast SO recht !;2021-11-10T10:51:09.000Z;0;-
11;fabulous2bee;#nazisrausausdenparlamenten #keinenmillimeternachrechts #noafd #niewieder #keinvergessen 🕯🕊;2021-11-10T09:59:42.000Z;1 like;-
12;ines_s_2;❤️🔥;2021-11-10T09:27:55.000Z;1 like;-
13;ggeorge71;Es ist Gut, wenn gerade Jüngere diese paranoide Staatsinszenierung so eindringlich wahrnehmen können. Aber darüber nicht vergessen, dieser Antisemitismus wurde auch nach dem Ende der faschistischen Ära latent und bewusst geduldet und nicht verfolgt! Siehe Horror KZ Arzt Mengele z.B. Dieser Vergessensvirus lebt noch heute! Auch nach Hanau. Drum sind solche geschichtlichen, authentischen Repliken Gold wert.;2021-11-10T08:52:17.000Z;0;-
14;7251_caroline;Ich schäme mich für die Leute die dabei zugesehen und auch noch geklatscht haben!;2021-11-10T08:37:24.000Z;0;-
15;ichbinsophiescholl;#TeamSoffer Die heutige Pandemie-Situation mit der Hitler-Diktatur zu vergleichen ist nicht angebracht. Solche Aussagen widersprechen nicht nur jeglichen Fakten, sondern sind außerdem respektlos gegenüber den unzähligen Opfern der damaligen Zeit. Wir behalten uns daher vor, entsprechende Kommentare zu entfernen.;2021-11-10T08:13:55.000Z;339 likes;-
15-1;frank.piwecki;@ichbinsophiescholl 👏;2021-11-10T18:27:29.000Z;0;15
16;mikksillamaa;Leider war mein Heimatland, Estland, offiziell judenfrei. Glückligerweise haben einige Juden/Jüdinnen diese Katastrophe übergelebt. Leider gab es sicherlich weniger als 10 Überlebender.;2021-11-10T07:29:30.000Z;0;-
17;andrea_windi;🖤;2021-11-10T06:34:08.000Z;0;-
18;eggi0383;Wusste man damals, dass Deutschland den krieg begonnen hatte? Oder war es mehr eine Vermutung bzw ein offenes Geheimnis?;2021-11-10T06:32:10.000Z;0;-
19;juliajumpshigh2;Ich kenn das als Reichskristallnacht warum heist es nun progrome;2021-11-10T04:54:26.000Z;0;-
19-1;sn_brndt;@juliajumpshigh2 weil das Wort Kristall das Geschehen einfach komplett verharmlost. Ein Kristall ist was schönes, glitzerndes, gläsernes. Dadurch wird eine Verknüpfung zu den fallenden Kronleuchtern und herumliegenden Glasscherben suggeriert und damit oft nur noch an zerstörte Gebäude gedacht und ausgeblendet, dass in der Nacht auch ca 1.500 Menschen getötet wurden.;2021-11-10T07:35:42.000Z;2 likes;19
20;siglindekallnbach;🐞;2021-11-10T04:28:43.000Z;0;-
21;sur_pris_e;Es ist erschreckend. Bei uns stand auch eine Synagoge. Während ringsherum alles schon am 9.11. brannte, wehrten sich die Feuerwehr und die Bürger, sodass die Synagoge erst einen Tag später brannte. Diese Menschen sind genauso Menschen wie wir und haben eine Würde, die es zu beschützen gilt!;2021-11-10T04:14:34.000Z;0;-
22;atelier.rotkehlchen;Ich bin heute bei Dunkelheit durch die Hauptstraße unserer Altstadt gefahren. An jedem Stolperstein brannte eine Kerze. Es waren viele Kerzen, für so eine kleine Stadt.;2021-11-10T03:25:21.000Z;1 like;-
23;steffivonnorf;#ichbinsophiescholl wir hätten mehr Heldinnen wie dich gebraucht! Danke das du so gekämpft hast.;2021-11-10T01:10:21.000Z;1 like;-
24;felicitas.hecker;Mein Gott hat übrigens eine jüdische Mutter. Das sagt für mich eigentlich alles zum Thema Antisemitismus!;2021-11-09T23:55:06.000Z;0;-
25;bo_sabine.sb;😢;2021-11-09T23:01:00.000Z;0;-
26;hannicharly;Heute ist hier in Wien ein Denkmal enthüllt worden, auf dem die Namen aller jüdischen Bewohner Wiens, die verschleppt und ermordet wurden, eingraviert sind . Initiiert von einem Überlebenden dieser Nacht . Es ist sehr berührend, diese vielen Namen zu lesen .;2021-11-09T22:59:19.000Z;10 likes;-
26-1;annie_henning_bayern;@hannicharly wo?;2021-11-10T09:29:12.000Z;0;26
26-2;hannicharly;@annie_henning_bayern Es steht auf einer Grünfläche vor der Nationalbank im 9. Bezirk, Ostarrichipark, nahe dem alten AKH !;2021-11-13T19:11:11.000Z;0;26
26-3;annie_henning_bayern;@hannicharly danke;2021-11-13T21:11:27.000Z;0;26
27;m.elani.eee;😯😞😡;2021-11-09T22:13:04.000Z;0;-
28;mpk_08;@ichbinsophiescholl aber es gab doch den Überfall auf den Sender Gleiwitz?;2021-11-09T22:05:22.000Z;0;-
29;paalke_dietrich;😢😢😢;2021-11-09T22:04:29.000Z;1 like;-
30;changed.by.popular.demand;Und leider ist erst in diesem Sommer, im Juni, ein Brandanschlag auf die neu aufgebaute Synagoge in Ulm verübt worden. Der Täter ist immer noch nicht gefasst. Antisemitismus ist weiter ein Problem bei uns und wir dürfen die Augen nicht davor verschließen.;2021-11-09T21:27:43.000Z;4 likes;-
31;astridiata;Wir werden immer weiter erinnern!;2021-11-09T21:27:19.000Z;0;-
32;paulasteurer;💔😢;2021-11-09T21:26:18.000Z;0;-
33;annibuggi_91;Hatten denn die Bürger bis zum Ende des Krieges wirklich keine Ahnung was mit den Millionen von juden passiert ist? Ich kann mir das immer ga nicht vorstellen, das muss doch irgendwie nach außen getragen worden sein 🤔;2021-11-09T21:22:20.000Z;0;-
33-1;nichtsophiescholl;@annibuggi_91 doch viele wussten das. @ichbinsophiescholl sagt heute in ihrer Story ja selbst, dass man es wissen kann, wenn man es will.;2021-11-09T21:41:05.000Z;4 likes;33
33-2;nichtsophiescholl;@annibuggi_91 noch dazu: die Konzentrationslager wurden auch gar nicht „versteckt“, dass es sie gab, wusste man. Und was passierte wurde auch weitergetragen. Fritz, Sophies Freund, hat ihr z.B. im Sommer 1942 in einem Brief geschrieben: „Es ist erschreckend mit welcher zynischen Kaltschnäuzigkeit mein Kommandeur von der Abschlachtung sämtlicher (im Original unterstrichen) Juden des besetzten Rußland erzählt hat.“;2021-11-09T21:44:01.000Z;3 likes;33
33-3;hw_silvanloehrer;@annibuggi_91 hitlers willige vollstrecker von daniel goldhagen gibt da gute antworten drauf;2021-11-10T18:58:30.000Z;0;33
33-4;ichbinsophiescholl;"@annibuggi_91 #TeamSoffer Die Kenntnisse der Deutschen vom Holcoaust und dem systematischen Mord an Jüd:innen waren länger umstritten, jedoch spielt diese Aussage in das revisionistische Narrativ der “ahnungslosen Deutschen” hinein. Stattdessen belegen Untersuchungen, dass die Deutschen eine Menge über die Machenschaften des NS-Regimes wussten und natürlich auch darin involviert waren. Die Konzentrationslager und andere Vernichtungslager waren oft in und an Städten gelegen, deren Bewohner:innen die Lager und auch die Geschehnisse dort mitbekommen haben. Zudem wurden in Tageszeitungen etc. eine Vielzahl an Berichten über die KZs veröffentlicht, die auch in Teilen der deutschen Bevölkerung damals Anklang fanden.
Weitere Infos zu diesem Thema findest du zum Beispiel im Bericht ""Holocaust - Die Lüge von den ahnungslosen Deutschen"" bei Panorama (ARD).";2021-11-11T09:51:41.000Z;0;33
34;olivergaa;Diese Schande wird unser Land auf ewig begleiten.;2021-11-09T21:14:39.000Z;1 like;-
35;pet2737;"Wenn es einen Gott gibt,muss er mich um Verzeihung bitten .
(Geschrieben an einer Mauer von Auschwitz ) vergesst es nie. Nie!!!";2021-11-09T21:12:40.000Z;0;-
36;jahuhu78;Erinnerungen aufrecht erhalten. Auch wenn die heutige Generation nichts dafür kann, Sie können helfen, dass es in Ihrer Zukunft nicht in Vergessenheit gerät!❤️;2021-11-09T21:12:15.000Z;2 likes;-
37;julia_ynjn;😔🙏;2021-11-09T21:10:50.000Z;0;-
38;markus.c.stein;😢;2021-11-09T21:03:01.000Z;0;-
39;italiadree;Direkt in meiner Nachbarschaft sind auch 4 Personen deportiert worden. Jeden Tag komme ich an dem Haus vorbei, jeden Tag habe ich die Bilder vor Augen, obwohl ich sie gar nicht selbst gesehen habe. Wie gut, dass es Menschen gibt, die den Widerstand wagen;2021-11-09T20:51:31.000Z;1 like;-
40;alin.chen.313;Ich finde es gut, dass das Thema auf diesem Kanal thematisiert wird! Auch wenn die Reichsprogromnacht 4 Jahre vorher stattfand;2021-11-09T20:43:22.000Z;0;-
40-1;amelie.mariie;@alin.chen.313 davon ist hier in der Erzählung ja auch die Rede😀;2021-11-09T21:19:03.000Z;1 like;40
40-2;alin.chen.313;"@amelie.mariie ja ich weiß. Aber sonst erzählt ""Sophie"" ja in der Regel, was gerade passiert, also im Jahr 1942 😀";2021-11-09T21:23:11.000Z;0;40
40-3;amelie.mariie;@alin.chen.313 mag dieses Mal aber daran liegen, dass sich dieses schreckliche Ereignis jährt.;2021-11-10T07:36:55.000Z;1 like;40
41;umichler;Unvorstellbares Leid 🖤 und unvorstellbare Taten 😭;2021-11-09T20:29:50.000Z;2 likes;-
42;dorihamann;💔;2021-11-09T20:15:21.000Z;0;-
43;heleneschmid;😢;2021-11-09T20:14:20.000Z;0;-
44;jennylevanael;😔🖤;2021-11-09T20:13:41.000Z;0;-
45;baulsche;Ich denke an die weißen Rosen. Kämpft weiter! Ihr schafft das!;2021-11-09T20:07:00.000Z;3 likes;-
46;la_la41997;Und immer noch gibt es Holocaust Leugner in jeder Altersgruppe 😢;2021-11-09T19:57:38.000Z;3 likes;-
47;barbara.elisabeth.7712;Das darf nie vergessen werden, aber es darf auch nie wieder passieren;2021-11-09T19:56:25.000Z;10 likes;-
48;sommerschaf;Einer der dunkelsten Momente in unserer Geschichte und es wird noch Schlimmer. Was würden wir heute machen, wenn Synagogen brennen oder Moscheen???;2021-11-09T19:54:48.000Z;1 like;-
48-1;fenster.nach.israel;@sommerschaf Es brennen heute Synagogen! Zumindest gibt es Anschläge auf Synagogen. Fenster gehen nur nicht zu Bruch, weil sie aus Panzerglas sind!;2021-11-09T23:41:00.000Z;2 likes;48
49;i_s_i_h;🖤;2021-11-09T19:52:45.000Z;1 like;-
50;kinderrechteforum;Was damals passiert ist ist unbeschreiblich 😶...es liegt an uns allen, dass so etwas nie wieder passiert. ❤️;2021-11-09T19:41:56.000Z;14 likes;-
51;lxnx_xngx;Sowas muss man in Erinnerung behalten damit dies nie wieder passiert;2021-11-09T19:37:33.000Z;4 likes;-
51-1;ichbinsophiescholl;@lxnx_xngx Da stimme ich dir aus vollem Herzen zu!;2021-11-09T19:42:01.000Z;8 likes;51
51-2;lxnx_xngx;@ichbinsophiescholl mega das du dich so dafür einsetzt obwohl es sehr gefährlich enden könnte . Du bist so ein Vorbild;2021-11-09T19:42:43.000Z;1 like;51
52;willi1887hsv;Niemals wieder :-( Niemals vergessen 🖤🖤🖤;2021-11-09T19:37:04.000Z;1 like;-
53;stewan39;😥;2021-11-09T19:31:40.000Z;1 like;-
54;katiwunder;😢😢😢;2021-11-09T19:27:19.000Z;2 likes;-
55;printcess89;😢;2021-11-09T19:26:08.000Z;1 like;-
56;ilana_kah;Danke für die tolle Arbeit die ihr hier rein steckt! Fürs wach rütteln, zurück holen der Erinnernungen, aufmerksam machen etc. Ich bin heute mal wieder über einige Stolpersteine 'gestolpert' und es ist erschreckend wie viele es in meiner kleinen Stadt überall verteilt gibt.;2021-11-09T19:24:36.000Z;2 likes;-
57;dr_schroedinger;In Lübeck hab ich in einer der sieben Kirchen eine Ausstellung besuchen dürfen, die sich malerisch mit zerstörten Synagogen beschäftigt hatte. War sehr gut.;2021-11-09T19:22:38.000Z;0;-
58;niaa1204x;Ich kann einfach nicht glauben, das meine Oma zu dieser Zeit gelebt hat. Ich kenne alle ihre Geschichten vom Krieg aber immer wenn ich Bilder oder Filme sehe, wird mir die Realität des erzählten klar. Das ganze ist nicht ausgedacht oder 500 Jahre her, das ganze war so nah bei uns. Ich verstehe nicht wieso nicht mehr Leute Ehrfurcht haben und erst recht nicht wie Menschen das gut finden können was damals passiert ist.;2021-11-09T19:22:33.000Z;45 likes;-
