Link: ;https://www.instagram.com/p/CTNMYNLjp2D/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;adrians_instastube;Mal abgesehen vom NS Regime denke ich war die damalige Zeit noch ziemlich angenehm im Sinne von kein Sozial Media. Während heute alle nur noch auf die Handy starren und kaum noch wissen was es bedeutet etwas zu unternehmen. Wie Kino besuche oder so. Heute gibt's ja Netflix XD.;2022-01-05T22:29:02.000Z;0;-
2;zongzonx;"""Hans und seiner aktuellen Flamme"" 😂";2021-09-02T01:58:15.000Z;4 likes;-
3;dr_schroedinger;Solche Momente braucht es immer. Ein Stück vom Himmel (Glück/ Frieden/ Liebe…) braucht es einfach immer wieder. Diese Momente können einem zeigen, man lebt, man gibt nicht auf, wir sind/ ich bin hier…;2021-09-01T05:37:45.000Z;4 likes;-
4;dorothee_griesbeck;Ist es Otl Aicher, von dem hier die Refe ist?;2021-08-31T11:38:01.000Z;1 like;-
4-1;renespitz;@dorothee_griesbeck ja;2021-08-31T15:21:55.000Z;2 likes;4
5;ines_s_2;❤️;2021-08-31T11:26:22.000Z;1 like;-
6;themichellek;Es sind die kleinen Momente ❤️;2021-08-31T10:45:23.000Z;3 likes;-
7;ichbinjuedin_ichbindeutsche;Genießt jeden leichten Moment.;2021-08-31T09:38:29.000Z;4 likes;-
8;miss_miller__journey;Warum ist Otl nicht im Krieg?;2021-08-30T21:27:23.000Z;4 likes;-
9;felicitas.hecker;Ich denke, gerade in Krisenzeiten brauchen wir das Glück. Schön, dass sich die beiden gefunden haben und als Paar zusammen blieben. Trotzdem tut mir Sophie leid! Ich hätte ihr ihre Liebe mit Fritz auch gegönnt!;2021-08-30T21:19:07.000Z;6 likes;-
10;photony54;❤️;2021-08-30T20:19:02.000Z;2 likes;-
11;duracelline;Unbeschwerte Momente sind in solchen schweren Phasen (wie z.B. im Krieg) wichtig, um mental stabil zu bleiben. Ich gönne es ihnen. Sicher ist es für Sophie schwer, aber sie kann gönnen 🙌;2021-08-30T19:23:30.000Z;7 likes;-
12;kayflemming;Adi verliert und wir werden unterdrückt!!!;2021-08-30T19:02:05.000Z;3 likes;-
13;schwaabli;Es ist sehr schwer mit anzusehen wenn man selbst alleine ist. Sie sind so verliebt. Ich glaube in Ulm werden sie noch viel zusammen erreichen…;2021-08-30T18:52:51.000Z;1 like;-
14;coco_delrey_;When the world was at war before we just kept dancing 💃🏼🙏🏻;2021-08-30T18:11:48.000Z;4 likes;-
15;kimberlanski;So schön, dass die beiden zusammen geblieben sind. Das hat Inge Scholl so verdient, nach der ganzen Tragik in der Familie.;2021-08-30T17:46:36.000Z;7 likes;-
16;emsworld_____;Die Beiden sind ja wirklich süß zusammen ❤️;2021-08-30T17:37:50.000Z;8 likes;-
17;paticosorio;🥺🥰;2021-08-30T17:37:28.000Z;0;-
18;tessa.dreher;Was ist das für Musik?;2021-08-30T17:35:05.000Z;1 like;-
19;galuschkamarkus;Tja das wäre schön;2021-08-30T17:30:50.000Z;1 like;-
20;palandtine;Wie sind die beiden mit dem Altersunterschied von 5 Jahren umgegangen?;2021-08-30T17:25:36.000Z;5 likes;-
21;1.favseries;Hat die Schauspielerin die Inge verkörpert auch insta??;2021-08-30T17:24:42.000Z;1 like;-
22;mamamulle;😢;2021-08-30T17:11:35.000Z;3 likes;-
23;ingalindie;Wie kommt es, das Otl nicht im Krieg dienen muss? Oder hat er nur gerade Heimaturlaub?;2021-08-30T17:08:54.000Z;29 likes;-
23-1;heikegumz;@ingalindie Auch Otl Aicher dient im Krieg. 1942 ist er als Soldat in Russland. Da aus August/ September ein Briefwechsel zwischen Sophie Scholl und Otl Aicher existiert, bei dem sie aus Ulm und er aus Russland schreibt, würde ich vermuten, dass sein hier dargestellter Besuch bei den Scholls zu dieser Zeit Fiktion ist, oder @ichbinsophiescholl #teamsoffer ?;2021-08-31T06:39:30.000Z;10 likes;23
24;tibordin20;🎼~ ᕕ(ᐛ)ᕗ🎶✨💗;2021-08-30T17:06:30.000Z;0;-
25;e.natalie.c;Uff.. Das anzusehen war grade bestimmt schwer für dich. :(;2021-08-30T17:03:42.000Z;2 likes;-
26;sun.nature.quotes;❤️;2021-08-30T17:03:12.000Z;1 like;-
