Link: ;https://www.instagram.com/p/CSJ1eJuMzZb/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;annaisabel_r;Immer wenn ich hier reingucke, muss ich gegen die Tränen kämpfen, weil Ihr so tolle Menschen seid und die Zeiten, in denen Ihr lebt, so grausam. Danke, dass Du Deine Gedanken und Erlebnisse postest!Ich habe Bücher über Dich und Deine Mitstreiter gelesen, aber durch Deine persönlichen Mitteilungen kann ich alles viel direkter nachvollziehen und sehe Dich als Menschen. Ganz großes Kompliment an alle, die daran mitwirken! Genau das braucht Deutschland, damit diese Geschehnisse nicht in Vergessenheit geraten und wir nicht wieder dieselben Fehler machen.;2021-08-08T20:32:57.000Z;1 like;-
2;netratz;🔥❤️;2021-08-08T06:10:02.000Z;0;-
3;1.favseries;Was das Unterbewusstsein doch für eine Macht über unser Handeln hat… von der Liebe mal ganz abgesehen;2021-08-05T16:36:02.000Z;0;-
4;gabyd166;Ehrlich, Sophie? Zeichne ein Selbstporträt 😉;2021-08-05T15:10:48.000Z;0;-
5;schoolsven;😍;2021-08-05T13:55:58.000Z;0;-
6;theonlyfridge;Kleiner Sneak peak, sie/du wirst Sterben Sophie;2021-08-05T13:27:50.000Z;0;-
7;eproyal_;Bewundernswert wie du dich gegenüber deiner meinung nicht hast beirren lassen. Ich liebe deine Art, wie du aber vorallem oft deine Freunde in Schutz genommen hast. Das hat zwar nichts mit dem Portrait zutun, trotzdem sagt es so viel über dich aus. :)!;2021-08-05T13:26:52.000Z;0;-
8;caio_0305;Meteu essa?;2021-08-05T12:25:06.000Z;0;-
9;lavendel_in_pink;Guten Tag. Ist Sophies Schwärmerei für Alex Tatsache oder schmückt sie die Geschichte nur aus?;2021-08-05T10:40:44.000Z;12 likes;-
9-1;ichbinsophiescholl;@lavendel_in_pink #TeamSoffer Sophies Schwärmereien für Alexander Schmorell sind belegt. Er hatte ein eigenes Atelier, in dem Sophie ein paar Tage mit ihm arbeitete. Da er ihre Gefühle aber nicht erwiderte, geschah nichts weiter. Nachlesen kannst du das Verhältnis in Maren Gottschalks Biografie auf S. 220f., liebe Grüße!;2021-08-05T11:21:32.000Z;69 likes;9
9-2;lavendel_in_pink;@ichbinsophiescholl danke für die Info.;2021-08-05T11:24:45.000Z;1 like;9
10;rotlichtdrittel;Lief jetzt eigentlich was mit Alex? 🤨;2021-08-05T10:19:49.000Z;0;-
11;maxi__sun;Wieso war Inge sowieso so komisch zu dir? Sie schien mir von oben herab auf dich zu blicken und dich so zu behandeln. Versteht ihr euch nicht so gut?;2021-08-05T06:50:33.000Z;1 like;-
11-1;ichbinsophiescholl;@maxi__sun Inge hat sich in der Situation wohl nicht so wohl gefühlt. Mir war auch nicht besonders wohlig. Eigentlich verstehen wir uns gut! Nur behandelt sie mich wie ein kleines Kind, seitdem ich hier bin.;2021-08-05T08:24:03.000Z;2 likes;11
11-2;maxi__sun;@ichbinsophiescholl das ist sehr schade. Vllt kann sie sich nicht so gut auf Veränderungen einlassen. Hast du mal mit ihr darüber gesprochen, wie ihre umgehensart auf dich wirkt?;2021-08-05T13:50:17.000Z;0;11
