Link: ;https://www.instagram.com/p/CSwjGOKjgaO/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;bir_git_58;Sophie, die Auszeit gönnt dir jeder. Schließlich braucht der Mensch auch was schönes im Leben. Ich bin froh, dass ich nicht die einzige bin, die keine Straßenbahn sehen kann.;2021-08-22T01:40:19.000Z;0;-
2;clamam_ch;das Münster in Bern 🇨🇭 sieht sehr ähnlich aus. alles Gute 🍀;2021-08-21T10:50:10.000Z;0;-
3;nellybochem;Meine familie haben in de DDR gewonht;2021-08-21T07:51:32.000Z;0;-
4;nellybochem;Meine familie haben in de DDR gewonht;2021-08-21T07:45:45.000Z;0;-
5;sandranuerk;❤️;2021-08-21T05:55:11.000Z;0;-
6;kleinerwolf77;Meine Heimatstadt - dort bin ich aufgewachsen 😍;2021-08-20T18:01:36.000Z;0;-
7;fraushohreh;Nein trotz schrecklichen Kriegen, die Erde dreht sich weiter immer wieder und überall - lass uns alle Kriege beenden!;2021-08-20T17:28:55.000Z;0;-
8;nessa_fo;Ulm ist einfach so so schön - auch heute noch 😍;2021-08-20T14:22:09.000Z;0;-
9;saendieskywalker;Wo ist die Straßenbahn aus der Bildbeschreibung?;2021-08-20T12:20:47.000Z;0;-
10;saendieskywalker;Wo ist die Straßenbahn aus der Bildbeschreibung?;2021-08-20T12:20:46.000Z;0;-
11;gabrielelange2000;Unbedingt Kraft tanken, in der Natur, am Fluss, an Plätzen die Dir Kraft geben ❤️;2021-08-20T07:11:26.000Z;0;-
11-1;ichbinsophiescholl;@gabrielelange2000 Die Sonne und das Rauschen der Donau hilft!;2021-08-20T08:45:59.000Z;6 likes;11
12;fusselshirt;Da bin ich heute noch gerne um ein bisschen die Welt zu vergessen. ☺️ Und es sieht eigentlich noch genau gleich aus.;2021-08-20T07:05:10.000Z;0;-
13;wilfriedmatthies35;Ich bin (Jahrgang 1935) seit 1943 Sophie Scholl Fan, da hatt mich meine Mutter schon über diese Vorgänge aufgeklärt. Viele Jahre später hatte ich die Gelegenheit ihr Grab in München zu besuchen. Es hat mich tief ergriffen. Vielen Dank für Ihre Serie.;2021-08-20T05:54:22.000Z;7 likes;-
14;fradigt;Een kleine pauze nemen om een oorlog te voorkomen... Ja konden de mensen dat maar. We blijven hardleers! Leider fehlt mein Deutsche Sprache.. ❤️;2021-08-19T23:01:57.000Z;2 likes;-
15;farreaza0608;😢;2021-08-19T22:14:32.000Z;0;-
16;hanggy;Ich kann die strassenbahn nicht sehen…;2021-08-19T21:23:37.000Z;3 likes;-
17;casacarl_neu_ulm;❤️;2021-08-19T20:53:42.000Z;0;-
18;kerri_kreativ;Das ist nicht irgendein Kirchturm. Das ist das Ulmer Münster! Und liebe Sophie, manchmal muss man Pause machen und abschalten um wieder Kraft zu haben um weiterzumachen!;2021-08-19T20:30:16.000Z;2 likes;-
19;itsdacidgo8lin;Ich liebe diese Serie!;2021-08-19T20:14:35.000Z;1 like;-
20;hauptstadtlady50;Liebe Sophie, du kannst dich doch nur für den Wiederstand einsetzen wenn du dir auch eine Pause gönnst. Davon dass, du in deinem Zimmer sitzt und leidest geht es niemanden besser. Vielleicht kommst du in der kleinen Auszeit auch auf neue Ideen. 🙋‍♀️🌛🍸.;2021-08-19T19:43:53.000Z;2 likes;-
20-1;ichbinsophiescholl;@hauptstadtlady50 Ich hoffe, dass andere Gedanken mir dabei in den Sinn kommen!;2021-08-20T07:12:13.000Z;5 likes;20
21;csennfeld;Finde es toll, was ihr macht. Aber mit jedem Tag der vergeht, wird mir flauer im Magen.;2021-08-19T18:48:12.000Z;2 likes;-
22;carinazinkeisen;Du darfst dich auch mal aufladen;2021-08-19T18:41:40.000Z;2 likes;-
23;ichbinjuedin_ichbindeutsche;Du hast selbstverständlich das Recht auf Atempausen, Sophie denn nur so findest du die innere Kraft und Gelassenheit für den Wiederstand.;2021-08-19T18:32:31.000Z;3 likes;-
24;nicschnap;It’s my hometown. I have not been gone in ages. The Danube was always a great place to relax. I actually remember an evening sitting with my mum and your sister inge at the river chatting. One lovely summer night at least 30 years ago.;2021-08-19T18:12:00.000Z;2 likes;-
25;rassambla;Meine Heimatstadt ❤️;2021-08-19T18:11:08.000Z;3 likes;-
26;gull.weig;Was würde es ändern, wenn Du Dich in Deinem Zimmer verschließt und leidest? Davon ginge es niemandem, dem es furchtbar schlecht geht, besser. Deshalb genieße die Zeit (ich sag immer Akku aufladen) und freu Dich an allem schönen. Dafür dankbar bist Du auch, dafür kenne ich Dich inzwischen gut genug. Und leider kommen im Leben auch immer wieder Zeiten, in denen man sich mit den schönen Erinnerungen stützen muß.;2021-08-19T17:51:18.000Z;2 likes;-
27;ganzmuenchen;Das mit der Bildbeschreibung für Blinde ist ja gut gemeint: aber wo bitte fährt da eine Straßenbahn in dem Film?;2021-08-19T17:42:02.000Z;6 likes;-
27-1;anettehenry66;@ganzmuenchen hab gerade durch die alten Posts gescrolled. Sieht ganz so aus, als sei es die Beschreibung der Aufnahme vom 14.8. 🤔;2021-08-19T20:54:50.000Z;2 likes;27
28;koala_spirit;Du machst das schon richtig ❤️. Die Seele muss zwischendurch auftanken! 🤗;2021-08-19T17:05:15.000Z;2 likes;-
