Link: ;https://www.instagram.com/p/CSCoRbtobh2/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;clarathepet;"Schade....Das ist spießig und ""altdeutsch"" muffig";2021-08-09T08:02:45.000Z;1 like;-
2;clarathepet;Kennt Ihr das auch,dass Sonntags keine Wäsche gewaschen werden sollte?;2021-08-02T15:35:30.000Z;5 likes;-
2-1;schmidldavid;Oder an bestimmten Feiertagen?;2021-08-04T15:02:16.000Z;1 like;2
2-2;clarathepet;@monifee7 völlig veraltet.Vater hatte eigenes großes Grundstück mit selbstgebauten Hahs,und Ihn war das egal...;2021-08-07T08:43:34.000Z;0;2
3;hauptstadtlady50;Danke 🙏 für diesen Wochen Rückblick liebe Sophie 🙋‍♀️ 🌞 😍.;2021-08-02T11:46:08.000Z;1 like;-
4;ichbinjuedin_ichbindeutsche;Genieße einfach die leichten Momente, denn die Grauen des Regiems wird dich nur zu schnell einholen.;2021-08-02T11:12:07.000Z;6 likes;-
5;ines_s_2;❤️‍🔥;2021-08-02T10:46:16.000Z;2 likes;-
6;ichbinsophiescholl;#TeamSoffer Vergleiche der Repressionen im Nationalsozialismus mit den Maßnahmen zur Eindämmung der Corona-Pandemie werden von uns entfernt. Derartige Vergleiche widersprechen historischen Fakten und verharmlosen das NS-Regime. Bitte unterlasst solche und ähnliche Relativierungen.;2021-08-02T10:22:45.000Z;156 likes;-
6-1;petram1302;"@ichbinsophiescholl 👏👏👏leider wird bei uns in Spanien auch sehr leichtsinnig mit dem Begriff ""Nazi"" umgegangen von Rechtsgesinnten . Nicht nur von den ""Negacionistas"", also Coronaleugnern, sogar Frauenrechtlerinnen werden hier als ""Feminazis"" beschimpft.... sehr sehr traurig";2021-08-02T10:45:06.000Z;9 likes;6
6-2;jnffr.rdr;@ichbinsophiescholl traurig das man so etwas überhaupt sagen muss und das so etwas damit verglichen wird!😡;2021-08-03T03:13:40.000Z;4 likes;6
6-3;parents4future_darmstadt;@ichbinsophiescholl danke für Eure klaren Worte.;2021-08-03T06:22:07.000Z;4 likes;6
7;sayyes_gluecksmomente_trauung;Was gibt es wunderbare res, als sich wieder wie ein Kind zu fühlen;2021-08-02T06:18:10.000Z;6 likes;-
7-1;schmidldavid;@sayyes_gluecksmomente_trauung Tabaluga;2021-08-04T15:02:40.000Z;0;7
8;blue_morpho_peleides;Die Kehrwoche gibts hier heute noch. Die Flädlesupp auch - heutzutage sogar in der veganen Version. Obwohl es die zu Kriegszeiten sicher oftmals gezwungenermaßen auch schon als vegane Version gab weil es nicht immer alles gab an Zutaten. Geschmacklich merkt man das aber am ende nicht. :);2021-08-01T20:30:52.000Z;10 likes;-
9;we.love.saarland;❤️❤️;2021-08-01T19:59:33.000Z;5 likes;-
10;astrid_barbara;@inah33 @julzn94;2021-08-01T19:42:25.000Z;4 likes;-
11;pabefotografie;@ichbinsophiescholl wie finden eigtl die Nachfahren von deiner Schwester und Fritz das Projekt:);2021-08-01T18:31:06.000Z;14 likes;-
12;golakstylee;🙌🙌;2021-08-01T18:30:55.000Z;5 likes;-
13;golakstylee;❤️❤️;2021-08-01T18:30:54.000Z;4 likes;-
14;ulmstagram;Kehrwoch‘ isch imma 👆 schön dass Du wieder in Ulm gelandet bist ♡;2021-08-01T18:13:44.000Z;5 likes;-
