Link: ;https://www.instagram.com/p/CWVgNyuMRr0/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;lena.aurnhammer2020;Wo wohnen denn traute und Alex sonst könntet ihr ja sicher wenn ihr nett fragt bei einen von ihnen ein paar Nächte bleiben?🔥❤️;2021-11-17T20:41:47.000Z;0;-
1-1;ichbinsophiescholl;@lena.aurnhammer2020 Danke für den Ratschlag, jedoch wäre das auch keine dauerhafte Lösung. Hans und ich haben gleich unsere erste Wohnungsbesichtigung und ich hoffe sehr, dass es klappt!;2021-11-18T12:21:26.000Z;1 like;1
2;peter.a.ho;Waren die Scholls wohlhabend? Oder ist es der filmischen Umsetzung geschuldet dass man sie und ihre Freunde so oft Tabak/Alkohol konsumieren sieht? Diese müssten doch eigentlich teures Gut gewesen sein oder nicht?;2021-11-17T17:58:03.000Z;2 likes;-
2-1;kathafuer;@peter.a.ho Unabhängig vom Preis waren diese Dinge denn so einfach verfügbar?;2021-11-17T18:28:53.000Z;0;2
2-2;ichbinsophiescholl;"@peter.a.ho #TeamSoffer Die Familie Scholl war nicht sehr wohlhabend, aber dennoch privilegiert, u.a. weil die Familie sehr sparsam war. Es wurde viel in die Bildung der Kinder gesteckt. Als Robert Scholl sein Geschäft aufbaute, war das Geld sehr knapp, sodass Inge sich vor Schulausflügen fürchtete, da sie kein Geld für einen Café Besuch hatte. Auch fragte Sophie, im November 1942, Fritz um Geld für die Familie. Nachzulesen in Gottschalk: ""Wie sehr ein Menschenleben wiegt"" S. 52 und ""Briefe und Aufzeichnungen"" S. 280f.";2021-11-17T18:30:13.000Z;1 like;2
2-3;peter.a.ho;@kathafuer das meinte ich, rar, und deswegen wenn überhaupt nur teuer (auf dem Schwarzmarkt) erhältlich;2021-11-17T18:42:13.000Z;0;2
2-4;kathafuer;@peter.a.ho Dann verstehe ich aber die Antwort von @ichbinsophiescholl nicht. Obwohl die Familie nicht wohlhabend war, konnten zu dieser Zeit gleich 2 Kinder studieren ohne nebenbei arbeiten zu müssen. Und für Alkohol und Zigaretten (Luxusgüter) war trotzdem noch Geld da?;2021-11-17T18:47:21.000Z;1 like;2
2-5;peter.a.ho;@kathafuer deswegen war ja meine Frage ob die Scholls wirklich wohlhabend waren oder ob jetzt nur so viel geraucht/getrunken wird, weil es im Film 'stimmiger' aussieht;2021-11-17T20:17:00.000Z;0;2
2-6;ichbinsophiescholl;"@peter.a.ho #TeamSoffer Sophie und Hans sowie die Mitglieder der Weißen Rose haben ab und zu gerne Wein zusammen getrunken. Auch bei Zusammentreffen u.a. im Atelier Eickemeyer mit Prof. Muth und Prof. Huber wurde viel Wein und Bier getrunken. Möglich ist, dass die Professoren bei verschiedenen Zusammentreffen auch eingelagertes mitbrachten. (Nachzulesen u.a. bei Gottschalk: ""Wie schwer ein Menschenleben wiegt"" S. 236f)";2021-11-17T20:39:44.000Z;1 like;2
3;michaela_hanauer;Auf dem Boden im Atelier schlafen und das im November!? Brrr, das ist wirklich zu kalt und zu auffällig! Ich hoffe, ihr findet schnell eine Wohnung, falls nicht, dann kommt zu mir, ich überlasse euch gern für eine Weile unser Sofa!;2021-11-17T06:45:14.000Z;1 like;-
