Link: ;https://www.instagram.com/p/CPidUXZKcq3/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;team_moehrchen;Was für ein aufgesetztes Lächeln...;2021-06-09T16:15:32.000Z;1 like;-
2;reading_with_jules;"Wieder fehlt der Kontext! Ja, nicht alle Frauen haben freiwillig diese Dienste übernommen. ABER die Mehrzahl tat es doch freiwillig! Hinzukommen die, die sich in ihr Schicksal ergeben haben. - hier aber den User*innen vorzuspielen die historische Person Sophie Scholl spiegelt den Großteil deutscher Frauen wider, ist völlig falsch und schürt den Trugschluss ""alle Deutschen waren im Widerstand""!";2021-06-06T13:28:31.000Z;3 likes;-
3;rumsfallera;Meine Oma war 41 Kriegerwitwe und war raus;2021-06-05T08:05:23.000Z;0;-
4;rumsfallera;Meine Oma war 41 bereits verwitwet und war insofern raus, weil sie den Hof ihrer Eltern mitführte. Sie war richtig wütend auf die Nazis, vor allem, weil ihr mein Opa viel vom Frankreichfeldzug erzählt hat. Sie hat mir vor ihrem Tod Opas Briefe und seine Fotoalben gegeben. Auch meine älteren Onkel erzählten mir sehr viel, als sie noch lebten. Ich hab das Glück, dass meine Mama viel mitbekommen hat und heute noch so klar ist. Ebenso, dass bei uns darüber gesprochen wurde.;2021-06-05T08:05:19.000Z;2 likes;-
5;rumsfallera;Meine Oma war 41 bereits verwitwet und war insofern raus, weil sie den Hof ihrer Eltern mitführte. Sie war richtig wütend auf die Nazis, vor allem, weil ihr mein Opa viel vom Frankreichfeldzug erzählt hat. Sie hat mir vor ihrem Tod Opas Briefe und seine Fotoalben gegeben. Auch meine älteren Onkel erzählten mir sehr viel, als sie noch lebten. Ich hab das Glück, dass meine Mama viel mitbekommen hat und heute noch so klar ist. Ebenso, dass bei uns darüber gesprochen wurde.;2021-06-05T06:35:35.000Z;1 like;-
6;puffelgrumi;@chiara_spilka genau so stell i ma de person x von unserer dipl arbeit vor;2021-06-04T17:33:00.000Z;0;-
6-1;chiara_spilka;@theresa_haugeneder Ja fix, da war die Person x dabei...😅;2021-06-05T06:16:16.000Z;1 like;6
7;cat_kar_2.0;Mich würde interessieren, woher ihr diese Haltung von Sophie Scholl habt. Und was genau die da „verabscheut“ @ichbinsophiescholl;2021-06-03T15:32:17.000Z;2 likes;-
8;molly_lolly_thebeagle;Den kurz Film habe ich damals in der Schule gesehen;2021-06-02T10:04:15.000Z;0;-
9;leon0305;@jasmin1710_t;2021-06-02T08:12:19.000Z;0;-
9-1;jasmin1710_t;@leon0305 wtf😂;2021-06-02T11:44:11.000Z;0;9
10;leon0305;@jasmin1710_t;2021-06-02T08:12:06.000Z;0;-
11;antiquarianbooks;Die meisten Menschen damals sind aus ihrem Örtchen nicht heraus gekommen, und schon gar nicht ins Ausland. Damals gab es so etwas wie Tourismus, Urlaub, Schüleraustausch etc. nicht. Da war sogar so ein Hilfsdienst spannend und eine Möglichkeit mal etwas anderes zu sehen. Meine Oma ist Jahrgang 1921 und hat ihre ganze Jugend im NS-Regime verbracht. Noch heute, obwohl sie es ja besser weiß, kann sie die Versprechungen und Verlockungen dieser Diktatur nicht völlig hinter sich lassen. Daran kann man sehen wie stark der Einfluss der Diktatur auf die Menschen war. Wir, die wir auf das Geschehen als Nachgeborene schauen, sollten uns daher nicht dem Irrtum hingeben wir hätten es besser gemacht oder wären alle im Widerstand gewesen.;2021-06-02T05:16:45.000Z;1 like;-
12;antiquarianbooks;Die meisten Menschen damals sind aus ihrem Örtchen nicht heraus gekommen, und schon gar nicht ins Ausland. Damals gab es so etwas wie Tourismus, Urlaub, Schüleraustausch etc. nicht. Da war sogar so ein Hilfsdienst spannend und eine Möglichkeit mal etwas anderes zu sehen. Meine Oma ist Jahrgang 1921 und hat ihre ganze Jugend im NS-Regime verbracht. Noch heute, obwohl sie es ja besser weiß, kann sie die Versprechungen und Verlockungen dieser Diktatur nicht völlig hinter sich lassen. Daran kann man sehen wie stark der Einfluss der Diktatur auf die Menschen war. Wir, die wir auf das Geschehen als Nachgeborene schauen, sollten uns daher nicht dem Irrtum hingeben wir hätten es besser gemacht oder wären alle im Widerstand gewesen.;2021-06-02T05:16:29.000Z;1 like;-
13;meister_anja;Bedenkt man, dass die überzeugten BDM-Frauen dann fleißig für Volk und Führer Nachwuchs gebaren, der dann ihren verquasten Erziehungsideen und der menschenverachtende Naziideologie ausgeliefert war, auch nach 1945, dann versteht man, warum das über uns Kriegsenkel bis ins Heute schmerzlich nachwirkt.;2021-06-01T20:46:20.000Z;0;-
14;mondgeschoepf;@katrin.hasr schau dir mal den Account an. Das ist eine Kampagne, bei der der Insta account von Sophie Scholl nachgestellt wird wie er wäre, wenn es damals insta gegeben hätte;2021-06-01T19:48:00.000Z;1 like;-
15;heike.tzt;Manchmal uberlege ich, was ich gewesen wäre, wenn ich damals gelebt hätte....ich denke , ich wäre eine Krankenschwester gewesen .... hätte ich mich aufgelehnt gegen das Regime ? Ich glaube, ich hätte den Mut nicht gehabt ....;2021-06-01T18:01:57.000Z;0;-
16;anke2_8;"Das habe ich mich irgendwie immerschon gefragt, wie kann man so nach dem ""totalen Krieg"" geifern mit der nicht unmöglichen Option, das eigene Leben zu verlieren und auch noch andere Leben zu löschen. Es ist mir bis heute ein Rätsel. Da sieht man mal wieder, was Ideologie anrichten kann, voll Unbedarftheit den eigenen Untergang und denen von anderen Menschen in Kauf nehmen. Was für eine Verblendung.";2021-06-01T13:26:40.000Z;0;-
17;elkesiebert;❤️;2021-06-01T08:31:15.000Z;0;-
