Link: ;https://www.instagram.com/p/CSBjt4asg_J/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;ponselneumann;"Das hört nie auf, man bleibt immer Kind-ich bin 57 und meine Mutter mit 90 ""gängelt"" mich wie früher, wenn ich bei ihr zu Besuch bin. Man muss es als Zeichen der Liebe nehmen, außerdem merke ich, dass sich die Geschichte mit den eigenen Kindern wiederholt..😮";2021-08-02T10:22:23.000Z;0;-
2;sterneschauerin;Liebe Sophie, egal wie alt die bist, du bleibst das Kind deiner Eltern. Als Grüne Dame erlebte ich mal im Krankenhaus, wie eine Mutter mit 102 Jahren ihren 75-jährigen Sohn so richtig schimpfte. Ich glaube, er fühlte sich damals auch klein, obwohl er als pensionierter Oberstudienrat bestimmt mit beiden Beinen im Leben stand.;2021-08-01T20:42:25.000Z;2 likes;-
3;abbyneezer;Mein kleiner Bruder wird immer mein kleiner Bruder bleiben, obwohl er mittlerweile Vater ist und mich um einen Kopf überragt❤️;2021-08-01T18:32:12.000Z;1 like;-
4;philosoph95;Aber das Tischgebet hat sie natürlich nicht zu sprechen.;2021-08-01T16:29:00.000Z;0;-
5;katrinweber25;Sophie das kenne ich 🙈 das hat meine große Schwester auch mit mir gemacht 🤣 obwohl ich schon im Studium war 🤪;2021-08-01T15:40:17.000Z;1 like;-
6;windmuehleim;😂😂😂Fast überall das gleiche😂❤️;2021-08-01T14:45:59.000Z;1 like;-
7;seinykay;Ja, das kenn ich auch als Nesthäkchen der Familie ❤️;2021-08-01T13:42:32.000Z;2 likes;-
8;rpiakatharina;"Sobald man zuhause bei den Eltern ist, ist man auch wieder Kind.
Ich glaube , da können Eltern nicht anderes 😄";2021-08-01T12:38:45.000Z;2 likes;-
9;hauptstadtlady50;Kenne ich gut liebe Sophie. Bei mir waren es die Eltern und Großeltern, egal wie alt ich war irgendwie wurde ich behandelt wie ein Kind.;2021-08-01T12:35:13.000Z;18 likes;-
9-1;ichbinsophiescholl;@hauptstadtlady50 Das kann ich mir sehr gut vorstellen!;2021-08-01T14:42:53.000Z;14 likes;9
10;fvp_;Mal davon ganz abgesehen ist »Pimpf« aber ein sehr schönes Wort. ☺️;2021-08-01T12:12:00.000Z;2 likes;-
11;re_gina_nana;"Kleine Schwestern werden immer ""die Kleinen"" bleiben...Geschwisterliebe eben 💕...auch wenn's nervt, ist eigentlich nicht böse gemeint...";2021-08-01T11:46:22.000Z;4 likes;-
12;ulmi2018;Bei mir gibt sich mein jüngerer Bruder nun viel erwachsener als ich, die Rollen haben sich getauscht;2021-08-01T11:38:50.000Z;2 likes;-
13;hanse1993;Kauf aufjedenfall bitcoin. Lohnt sich;2021-08-01T11:36:41.000Z;0;-
14;monie.xoxo;Mit 21 denkt man, man weiß wie der Hase läuft. Mit 23 merkt man, dass man mit 21 keinen Plan hatte. Mit 25 merkt man auch mit 23 fehlt einem noch ganz viel.. usw. Deine ältere Schwester ist einfach schon 2 Schritte weiter. Normalerweise muss jeder selber Erfahrungen und auch Fehler machen, aber in so einer ungewöhnlichen und vor allem gefährlichen Zeit sind manche Fehler eventuell die letzten.;2021-08-01T11:13:42.000Z;2 likes;-
15;d.annypunkt;Vielleicht braucht sie das Gefühl gebraucht zu werden...würde sie dir zugestehen erwachsen zu sein, könnte die Gefahr für sie bestehen überflüssig zu sein;2021-08-01T11:04:38.000Z;2 likes;-
16;btrix1411;Das ist bei den älteren Geschwistern immer so, da bleibt man immer klein 🤷🏼‍♀️;2021-08-01T11:03:01.000Z;3 likes;-
17;autorin_carolin_helm;Als große Schwester muss ich sagen, dass mir das loslassen schwer fällt. Ich liebe meine Brüder über alles und will sie nach wie vor beschützen, auch wenn wir alle längst erwachsen sind.;2021-08-01T10:52:35.000Z;3 likes;-
18;fov.01;Vielleicht will sie dich behüten? Mit ihren Regeln hofft sie, dass dir nichts passiert. Bestimmt fühlt Inge, dass mit dir eine Veränderung passiert ist und sie hast einfach Angst vor dem was kommen wird.;2021-08-01T10:41:11.000Z;2 likes;-
19;astridvodafkircha;Wir großen Schwestern sind so 🤷. Wir sind ja auch so groß geworden, pass auf Deine kleine Schwester auf, nimm Deine kleine Schwester mit, hilf Deiner kleinen Schwester bei diesem und jenen und sonst noch was....☺️;2021-08-01T10:33:39.000Z;5 likes;-
20;liaaluuck;Ich als große Schwester bin auch manchmal etwas zu überfürsorglich meiner Schwester gegenüber. Das liegt aber daran, dass ich sehr früh eine Art Mutterrolle für sie übernommen habe und ich weiß wie es ist, wenn man niemanden hat. Ich will nicht. Dass die das Gefühl hat, alleine zu sein oder dass sich niemand für sie interessiert. Früher war das noch wichtig. Heute ist es anders und das muss ich einfach noch lernen und loslassen 🙈;2021-08-01T10:05:24.000Z;2 likes;-
21;beatrice_englaender;Ist wohl in allen Familien so... Wird sich auch niemals ändern. Genieß die Zeit mit deiner Family 🥰;2021-08-01T09:35:46.000Z;3 likes;-
22;kirschkernzeit;Kleine Schwester sein ist sicher nicht immer einfach... Grosse Schwester sein auch nicht.;2021-08-01T09:34:26.000Z;6 likes;-
23;eva.buecherfrau;Inge wird Sophie auch über ihren Tod hinaus dominieren und lange das Bild bestimmen, das sich die Nachwelt von ihrer kleinen Schwester machen soll!;2021-08-01T09:25:01.000Z;2 likes;-
24;hbecki232;Das kenne ich auch von meiner älteren Schwester, Sophie. Behaupte dich!;2021-08-01T09:22:00.000Z;2 likes;-
25;lemarenox;Wenn man heim kommt, ist man immer wieder das Kind 🤷🏼;2021-08-01T09:20:43.000Z;2 likes;-
26;gwen_gloeckchen;Ging mir damals auch so, allerdings wars meine Mutter, die einen von A nach B jagte... Und dann wars nie richtig oder gut genug. Heute lebe ich allein und tue was MICH glücklich macht... ❤️😊;2021-08-01T09:16:48.000Z;5 likes;-
27;betsy_st;"Das lässt nach und kommt im hohen Alter wieder, weil Eltern dann ein bisschen wieder „Kind“ werden. Und sie fangen wieder an, die selben Rituale einzuführen.
Als mein Vater mit 89 wieder anfing, morgens am Fenster zu stehen und zu winken, wenn ich zur Arbeit fahre, dann versetzt es mich 50 Jahre zurück.
Und seit etlichen Jahren werde ich wieder gefragt, wann kommst du wieder zurück und ruf an, wenn du angekommen bist…… manchmal nervt das total. Aber so verschieben sich eben die Dinge - das Leben halt🍀";2021-08-01T09:16:44.000Z;7 likes;-
28;corsacorsa90;Habe drei jüngere Schwestern, ich behandle sie manchmal auch noch so, als ob sie noch klein wären 😅❤️;2021-08-01T09:13:21.000Z;4 likes;-
29;sa.bri.nana;Ganz genau, für Geschwister ist es meist schwieriger, während die Kinder sich gefühlt durch die Pubertät emanzipieren von den Eltern, gelingt es bei Geschwistern weniger.;2021-08-01T09:02:20.000Z;3 likes;-
30;de_kleene_ich;Zu Hause bei den Eltern ist und bleibt man Kin, egal wie alt man ist 🤷‍♀️;2021-08-01T08:57:34.000Z;3 likes;-
31;sonni_side;😆 Geschwisterliebe;2021-08-01T08:54:38.000Z;3 likes;-
32;steffi_roeper_peitz;"Das kenne ich auch. Ich war immer die ""Kurze"" 🙂, eben halt die Jüngste.";2021-08-01T08:51:06.000Z;3 likes;-
33;katrinpruchniewski;Ja, größere Schwestern sind manchmal so. Ich hab auch Eine.😅;2021-08-01T08:49:07.000Z;3 likes;-
34;burchardtanke;Trotz allem ein schönes Foto !;2021-08-01T08:44:28.000Z;6 likes;-
34-1;ichbinsophiescholl;@burchardtanke Und der Kaffee!;2021-08-01T09:08:54.000Z;12 likes;34
35;giusy79_;Für große Schwestern sind die Jüngern Geschwister immer klein. Weil sie ein unheimliches Beschützerinstinkt haben. Aber auf Dauer nervt es, immer wie Kleinkind behandelt zu werden.;2021-08-01T08:44:27.000Z;3 likes;-
35-1;ajkwack;Mein Bruder ist irgendwann erschrocken, wie erwachsen/ selbstständig ich schon bin. Aber das beschützen und helfen bleibt.. Wurde nur abgeschwächt durch seine eigenen Kinder :);2021-08-01T10:55:50.000Z;2 likes;35
36;ilovecatsmorethanppl;Ich bin bei meinem kleinen Bruder ähnlich, wir sind 11 Jahre auseinander und der Gedanke dass ihm was passieren könnte... Aber sie müssen selbst ihre Erfahrungen und Fehler machen, auch wenn ich ihn über alles liebe;2021-08-01T08:35:17.000Z;5 likes;-
37;kiwi3791;Es gibt viele Beispiele, das große Schwestern und Brüder etwas tolles sein können und ein ganz besonderes Miteinander als Familie schaffen bis ins Erwachsenenalter wie bei meinem Mann und es gibt das Gegenteil. Wie überall im Leben. Ich hab’s in meiner Familie aufgegeben.;2021-08-01T08:32:31.000Z;8 likes;-
37-1;ichbinsophiescholl;@kiwi3791 Ich hoffe, dass wir uns baldig wie die Erwachsenen behandeln können, die wir nun sind.;2021-08-01T08:54:52.000Z;18 likes;37
38;golakstylee;😍😍;2021-08-01T08:28:13.000Z;2 likes;-
39;golakstylee;👏👏;2021-08-01T08:28:04.000Z;1 like;-
40;aboura94;Sei froh dass du Familie hast die da sind. Dieses Geschenk hat nicht jeder 😢;2021-08-01T08:25:00.000Z;5 likes;-
41;mel_marple;"Siehe auch: Depeche Mode, die B-Seite der Single ""Strangelove"" von 1987 mit dem Instrumental-Song ""Pimpf"". Zitat aus dem englischen Wikipedia: ""There are two B-sides for ""Strangelove"", both instrumental. ""Pimpf"" is a dark instrumental that is mostly piano, named after a magazine of the Hitler Youth organisations. ""Pimpf"" later shows up as the final track on Music for the Masses.""";2021-08-01T08:21:34.000Z;3 likes;-
42;naemi1990;So sind große Schwestern. Meine ist leider genau so. Was leider auch zu Konflikten führt. Sie sorgen sich eben.;2021-08-01T08:17:09.000Z;3 likes;-
43;patrese44;Man muss froh sein, wenn man noch echten Bohnenkaffee bekommt und nicht nur Muggefugg. Aber braun ist er wenigstens...;2021-08-01T08:16:42.000Z;2 likes;-
44;ganitram0208;"Ich habe das Wort ""Pimpf"" in meiner neuen Heimat Vorarlberg als Dialektwort kennengelernt und bin ganz erstaunt, dass es einen Bezug zur NS Zeit hat 😮 Sehr interessant!";2021-08-01T08:15:22.000Z;6 likes;-
44-1;caermile;@ganitram0208 ich bin Vorarlbergerin, kenne das Wort eben auch aus unserem Dialekt und wusste auch nicht, dass es da einen Bezug zur NS Zeit gibt 😱;2021-08-01T08:38:03.000Z;2 likes;44
45;irisdacea_;Große Schwestern wollen oft nicht wahrhaben das die kleine Schwester nun auch groß ist, deswegen bleiben sie so mütterlich. Das kenn ich auch sehr gut;2021-08-01T08:15:12.000Z;7 likes;-
46;felicitas.hecker;Inge hat später das Buch geschrieben. Wie stand sie damals zur Weißen Rose? Wusste sie was?;2021-08-01T08:14:21.000Z;7 likes;-
46-1;green_brown_eyes;@felicitas.hecker Wahrscheinlich nicht, Hans und Sophie wollten sie bestimmt schützen (vor der Sippenhaft ging das leider nicht...);2021-08-01T08:22:06.000Z;4 likes;46
46-2;ichbinsophiescholl;@felicitas.hecker #TeamSoffer Inge vermied das Thema die Weiße Rose. Sie vermutete Hans dahinter, hatte aber vor allem Angst. Mehr dazu in Maren Gottschalk: Wie schwer ein Menschenleben wiegt, S. 236 f.;2021-08-02T10:18:23.000Z;0;46
47;rosi__bosi;Das kenn ich. Meine kleine Schwester wurde von unserem ältesten Bruder lange wie ein kleines Kind behandelt, obwohl sie bereits 21 wird, einen Beruf ausübt und ein wirklich verantwortungsbewusster und selbstständiger Mensch ist.;2021-08-01T08:13:34.000Z;10 likes;-
47-1;ichbinsophiescholl;@rosi__bosi Ich wünschte, Inge könnte es genauso sehen!;2021-08-01T09:10:19.000Z;5 likes;47
48;_rafe_21;Joa so ging es mir mit meiner gr sis aus immer dieses bemuttern 😅;2021-08-01T08:08:25.000Z;5 likes;-
49;golakstylee;👏👏;2021-08-01T08:06:01.000Z;4 likes;-
50;golakstylee;😍😍;2021-08-01T08:05:42.000Z;3 likes;-
51;golakstylee;👏👏;2021-08-01T08:05:39.000Z;3 likes;-
52;ichbinsophiescholl;"#TeamSoffer Schon immer gab sich Inge Scholl besonnen, verantwortungsvoll und mütterlich und wird damit als Gegenentwurf zu Sophie beschrieben. Sie sorgte sich häufig um ihre jüngere Schwester und nahm sowohl persönliche, als auch familiäre und haushaltsbezogene Pflichten sehr ernst. Mehr über Inge Scholl und ihre Beziehung zu Sophie ist nachzulesen in Inge Aicher-Scholls „Die Weiße Rose“ (1952).
Der Begriff ""Pimpf"" kam mit der bündischen Jugendbewegung von Österreich nach nach Deutschland. Die Jugendbewegung bezeichnete damit ihre jüngeren Angehörigen. Später wurde der Begriff vom nationalsozialistischen Deutschen Jungvolk übernommen.";2021-08-01T08:02:37.000Z;232 likes;-
52-1;katharina_alcantara;@ichbinsophiescholl ich liebe eure Arbeit !;2021-08-01T08:05:24.000Z;14 likes;52
