Link: ;https://www.instagram.com/p/CPBa7dTnZDz/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;mr.damion13;🌈;2021-10-11T09:34:13.000Z;1 like;-
2;yuvedofoundation_live;Make love – not war? Kam das nicht erst 25 Jahre später?;2021-05-26T10:37:02.000Z;3 likes;-
3;ecocats1990;Make Love, Not War! ❤️ Auch 2021 immer noch aktuell, leider. 😮 Dachte man nicht damals vor 80 Jahren nach Kriegsende, dass wir so etwas Grausames nie wieder zulassen würden? 😔;2021-05-24T13:04:55.000Z;0;-
4;kattaakaen;Meine Meinung am besten in einer gruppe❤️😘;2021-05-22T19:54:45.000Z;0;-
5;netterholger;Ja, das ist doch eine schöne Idee Sophie!!;2021-05-20T20:28:02.000Z;1 like;-
6;jo.hanna.1056;Halt dich an deiner Liebe fest denn sie ist stärker als Krieg.;2021-05-20T13:20:16.000Z;0;-
7;dzifavode;@agnesritli;2021-05-20T07:51:44.000Z;1 like;-
8;tinlemar;ich würde es mir wünschen, wenn es noch eine historische Einordnung der Episoden gäbe, damit wäre eine deutlichere Einordnung der Historie u. der Fiktion möglich. Vielen Dank.;2021-05-19T20:31:00.000Z;2 likes;-
9;miiiischaaa;Lösch😐;2021-05-19T20:28:25.000Z;0;-
10;krautkills;cringe;2021-05-19T20:24:41.000Z;0;-
11;drei_teile_lemmy;Und ich Idiot hab mich immer gefragt warum das mit dem Faschismus so schlimm war. Es fehlte an Liebe. 🙈;2021-05-19T18:48:55.000Z;1 like;-
12;humans_sucks_;"@ichbinsophiescholl, hey (Sophie😉), mein Großvater der jetzt- (1942) in deinem Alter ist, feiert heute seinen 21. Geburtstag... Ebenfalls an der Ostfront, weshalb ""feiern"" wohl nicht der richtige Ausdruck ist... Unglaublich für welchen Wahnsinn ( ""Vaterland"")] unsere jungen Männer dort regelrecht verbraten werden😢. Da kann man für Fritz und meinen Großvater (er heisst übrigens Hans😉) beten, obwohl ich selbst nicht einmal religiös bin. ❤️🙏🏻🖤";2021-05-19T17:58:35.000Z;1 like;-
13;i.lins;Liebe @ichbinsophiescholl, du verrätst dich nicht selbst! Lieben ist menschlich! Ich frage mich allerdings, ob dich Fritz wirklich so gut versteht...kannst du auch mit ihm offen über alles sprechen oder musst du dich verstellen und eine Seite von dir zurückhalten?;2021-05-19T17:16:53.000Z;0;-
14;__c.herrelle;👏;2021-05-19T16:50:21.000Z;0;-
15;leo.buchberger;Im Gegenteil. Liebe kennt keine Grenzen. Und wenn du zu deinen wahren Gefühlen stehst und danach lebst, bist du dir immer treu.;2021-05-19T16:42:04.000Z;0;-
16;beatrice_englaender;Guter Plan! 👏👏👏;2021-05-19T16:14:37.000Z;0;-
17;vacaymodefox_ff;@ichbinsophiescholl Wir müssen versuchen unsere Probleme mit Worten zu lösen und jedem ein Ohr schenken damit sowas nie wieder passiert... Menschen die alleine im Dunkeln gelassen werden sind Knetteig für das Böse 😓;2021-05-19T16:14:28.000Z;0;-
18;herrhirsche;Genieße die Stunden mit ihm.;2021-05-19T15:29:14.000Z;0;-
19;juttahilpert;Super Projekt;2021-05-19T15:26:03.000Z;0;-
20;raiinaboff;you're amazing! Period. 😍🔥 you're so worth of shout out 😍 I wish your comment section was more active 😥I advise you to dm @intelligent._smm, from my experience they're the best ❤️;2021-05-19T14:43:32.000Z;0;-
21;marissee_nn_sextoon;unfair!😳 your account should get more traffic as your content is a real ❤️! contact guys from @smmriot, they can help you with it!;2021-05-19T14:40:03.000Z;0;-
22;wilspunky;Kurze Idee: Um den zeitlichen Kontext des Postings besser zu verstehen. Könntet ihr das vermeintliche Datum dazufügen? 2.10.19XY? Am Ende von Postingtextes oder klein im Bild damit man versteht wo Sophie zeitlich gerade ist? Ansonsten bin ich gespannt was ihr aus dem Projekt macht.;2021-05-19T13:39:23.000Z;1 like;-
23;addicted.to.sleep;Ich kann das hier irgendwie immer weniger nachvollziehen oder als Aufarbeitung/Annäherung an Geschichte erfassen. Auf der einen Seite lasst ihr hier eine fiktive Sophie in der Ich-Form auf persönliche Fragen antworten, auf der anderen Seite sagt ihr, dass die Verbrechen an Jüd*innen erst später Raum finden, weil das hier ja die Lebenswelt von Sophie darstellt. Ihr nehmt Euch also raus, fiktive Antworten auf Fragen zu erfinden, aber zeitgleich wäre es zu manipulativ oder geschichtlich falsch, zu diesem Zeitpunkt auf den Holocaust schon einzugehen? Mir erschließt sich diese Stilisierung als Heldin hier grade null, auch dieses in den Fokus legen der Beziehung zu Fritz und dass er ja der arme deutsche Soldat ist.;2021-05-19T13:38:21.000Z;25 likes;-
24;marcneton;Grimme Preis 2022.;2021-05-19T13:34:13.000Z;0;-
25;urbanjuiceconcept;🔥🔥🔥🔥🔥🔥🔥;2021-05-19T13:16:29.000Z;0;-
26;rap_sound_art;"Die verblendung gegenüber der Gehorsamkeit unter der Politik....""oh du süße versuchung"" wie schmecket dein Nektar so lieblich und fein doch nur die Zeit kann man teilen .";2021-05-19T12:36:52.000Z;0;-
27;adrianhenkeofficial;History repeats itself;2021-05-19T12:25:22.000Z;0;-
28;pancakepolitik;❤️;2021-05-19T11:52:09.000Z;2 likes;-
