Link: ;https://www.instagram.com/p/CXEDyYnsf_W/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;iisa__official_;😍😍😍;2021-12-08T20:49:48.000Z;0;-
2;lara.sophie.green;Gibt es eigentlich Informationen darüber, was nach der Hinrichtung von Sophie und Hans mit Inge passiert?;2021-12-07T17:18:36.000Z;1 like;-
3;die_aesthetin;"Ich liebe die Schlager aus der Zeit eurer Kindheit, zum Beispiel ""Wenn der Wind weht über das Meer, trägt er mein Lied in die Heimat"" oder ""Lebe wohl, gute Reise, und denk an mich zurück..."". Wahrscheinlich, weil es die Jugendheit meines geliebten Großvaters war. <3";2021-12-06T22:36:30.000Z;0;-
4;a.l.e.k.s.an;@bundeskanzlerin @noah.x07;2021-12-06T08:38:39.000Z;1 like;-
5;a.l.e.k.s.an;🔥🔥🔥;2021-12-06T08:38:15.000Z;1 like;-
6;seespferd;😍😍😍😍😍😍😍;2021-12-06T08:37:29.000Z;1 like;-
7;seespferd;😍😍😍😍😍😍😍😍😍;2021-12-06T08:37:27.000Z;1 like;-
8;noah_prz_123;🔥🔥🔥🔥;2021-12-06T08:37:15.000Z;1 like;-
9;alvino_015;🔥🔥🔥🔥🔥🔥🔥🔥🔥;2021-12-06T08:37:10.000Z;1 like;-
10;alvino_015;🔥🔥🔥;2021-12-06T08:37:07.000Z;1 like;-
11;seespferd;👏👏👏👏👏;2021-12-06T08:35:51.000Z;1 like;-
12;seespferd;🔥🔥🔥;2021-12-06T08:35:41.000Z;1 like;-
13;noah.x07;Starke Leistung;2021-12-06T08:34:36.000Z;2 likes;-
14;noah.x07;🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥;2021-12-06T08:34:21.000Z;1 like;-
15;morekhodovaa;ach, Konzerte sind meine Leidenschaft und Heilmittel in allen Fällen ❤️;2021-12-05T21:55:43.000Z;0;-
16;diemutige;In normalen Zeiten gehe ich jeden Monat auf ein Konzert mindestens;2021-12-05T17:11:34.000Z;0;-
17;jenni.fer_sch;Ohja, ich liebe Konzerte und Theater - immer eine schöne Auszeit vom Alltag;2021-12-05T09:14:50.000Z;0;-
18;_steffis_kleine_tierwelt_;Ja Konzerte Musik Theater ist wunderschön emotional und freudig;2021-12-05T07:38:48.000Z;0;-
19;tessa.dreher;Konzert! Oh Mann! Ich möchte auch wieder in ein Konzert! Ich war zuletzt Anfang März 2020. Wie sehr ich das vermisse. Ich hoffe, ihr habt einen schönen Abend und könnt für eine kurze Zeit das ganze Leid und die Sorgen vergessen;2021-12-05T06:20:39.000Z;0;-
20;big_buddha_official;Oh ich bin schon auf vielen Konzerten gewesen und hab auch schon einige gespielt. Aber eine andere Musik.;2021-12-05T03:17:44.000Z;2 likes;-
21;diana_wenzl;Hört sich nach einem schönen Mädelsabend an.;2021-12-04T21:26:08.000Z;0;-
22;evie_lu;*seit;2021-12-04T20:47:54.000Z;0;-
23;evie_lu;Ich bin nicht auf Konzerte gegangen zeit Jahren;2021-12-04T20:47:38.000Z;0;-
