Link: ;https://www.instagram.com/p/CVkCpuFsbPR/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;natadi90;Ich lebe in Offenburg 😊 Hast du da jemanden getroffen?;2021-12-21T15:44:40.000Z;0;-
2;saarii_iscrazy;Schon heftig zu lesen... wenn ich überlege.. gerade Stuttgart... dass sich das alles einfach tatsächlich hier in unserer Nähe abgespielt hat.. nur halt nicht in dieser Zeit... aber alleine schon dieser Gedanke... das ist so schlimm... dass die Leute da noch mitgemacht haben.. einfach unvorstellbar...😢😢;2021-12-12T01:19:02.000Z;0;-
3;_dream._.horse_;Ich kenne tatsächlich alle Städte die du besuchen willst! Allerdings war ich in bisher gar keiner von ihnen. Aber das ändert sich bestimmt irgendwann😊;2021-10-30T22:52:20.000Z;0;-
4;a_derian_creature;Ich komme aus einem Dorf zwischen Offenburg und Freiburg und studiere jetzt in Freiburg😊;2021-10-30T19:58:48.000Z;0;-
5;steffi_beine;Ich habe selbst 5 Jahre in Freiburg gelebt. Die Stadt ist wundervoll. Ulm ist ja Freiburg nicht unähnlich , daher wird es dir sicher gefallen. Hoffentlich hast du ein bisschen Zeit das Städle mit seinem Bächle und dem Münster zu erkunden. 😉;2021-10-29T18:38:22.000Z;0;-
6;franzi_kathi2000;Ich war schon oft in Ulm und Stuttgart und studiere zurzeit in Freiburg😊 Pass auf dich auf Sophie❤;2021-10-29T10:02:21.000Z;0;-
7;peppermintpatty14;Liebe Sophie, wo übernachtest du denn während deiner Reise? Bei deinen Kontaktpersonen? Ist es nicht für eine alleinreisende junge Frau schwierig unterzukommen?;2021-10-29T08:13:19.000Z;0;-
8;felicitas.hecker;@ Sophie: Freu dich auf Freiburg. Die Stadt ist schön. Bin dort mal im Urlaub durch gekommen. .. 😊;2021-10-29T06:30:32.000Z;0;-
9;felicitas.hecker;Komme aus NRW, deshalb ist mir die Gegend nicht vertraut. Mein erster Gedanke war beim Lesen: Ach ja... Elsass war ja mal deutsch...;2021-10-29T06:29:03.000Z;0;-
10;flashgamezocker;Nice, Freiburg. Meine Heimatstadt ^^;2021-10-28T21:30:46.000Z;0;-
11;sonjahaussmann;Ich bin in Ulm zur Berufsschule gegangen und komme aus der Ecke ❤ ich Liebe die Stadt und die Gegend;2021-10-28T19:10:28.000Z;0;-
12;caro92.2;Ich komm aus der Nähe von Karlsruhe und wohne jetzt in Ulm :);2021-10-28T17:54:45.000Z;0;-
13;dubravcicrenata;🤞🏼❣;2021-10-28T17:36:33.000Z;0;-
14;gwen_gloeckchen;In Freiburg war ich schon mal, ein hübsches Städtchen!❤️;2021-10-28T15:17:32.000Z;0;-
15;mercedessternchen;Ja, alle. Ich wohne zwischen Offenburg und Freiburg.;2021-10-28T15:06:56.000Z;0;-
16;rengolinesmith;Geborene aus baden-baden 🙈🙋🏻‍♀️;2021-10-28T13:50:25.000Z;0;-
17;st3psp5;Und er war tatsächlich Widerstandskämpfer !;2021-10-28T13:40:22.000Z;0;-
18;st3psp5;"Ich wohne direkt im Nachbarort von Baden-Baden . Bin gespannt, wen du da besuchen möchtest .
Leider weiß ich wenig über Widerstand hier in unserer Region .
Doch, der erste Bürgermeister nach 45 hier war Kommunist";2021-10-28T13:38:05.000Z;0;-
19;marenbeiner;Alle! ☺️ Viel Spaß und viel Erfolg!;2021-10-28T13:30:29.000Z;0;-
20;merzolga;Freiburg und Offenburg 😍;2021-10-28T11:24:46.000Z;1 like;-
21;heleneschmid;Ulm ist sehr schön;2021-10-28T11:24:44.000Z;3 likes;-
22;teabooksandmycats;Außer in Munster war ich schon überall. In Ulm habe ich 3 Jahre lang gewohnt, in Stuttgart habe ich studiert. Die Familie meines Vaters kommt aus Stuttgart, ich selbst bin allerdings nicht dort geboren, aber in der Nähe.;2021-10-28T11:12:13.000Z;1 like;-
23;buffi1409;Liebe Sophie, ich wünsch dir ganz viel Glück und Erfolg für deine Reise. Hab viel Spaß in den tollen Städten. Du/ ihr seid so tapfer. 💪 Es rührt mich jedes Mal, diese Story zu verfolgen, wenn man das Ende doch kennt 😢;2021-10-28T11:08:35.000Z;0;-
24;milkywayontour20;Schade das du nicht in Münster/NRW vorbei kommst, hätte dich gerne auf einen Kaffee eingeladen 😁;2021-10-28T10:57:46.000Z;0;-
