Link: ;https://www.instagram.com/p/CY37tMcMUzC/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;sarah.hfsr;😢;2022-01-19T14:27:06.000Z;0;-
2;sarah.hfsr;😢;2022-01-19T13:36:53.000Z;1 like;-
3;olivia.olivares_;War das der letzte Briefwechsel der beiden? @ichbinsophiescholl;2022-01-18T22:49:50.000Z;0;-
4;milkywayontour20;Erinnere Fritz in deinem Brief an die schönen freien Tage die ihr zusammen verbracht habt , damit es ihm zumindest ums Herz herum warm wird und er weiß, da ist jemand der immer an ihn denkt und liebt 😍;2022-01-18T22:22:34.000Z;0;-
5;caro_grr;😍;2022-01-18T21:29:47.000Z;0;-
6;autorstephanleenen;Abends immer den Polarstern am Himmel gesucht, um dich irgendwie nah zu sein.;2022-01-18T21:25:32.000Z;4 likes;-
7;autorstephanleenen;Mein Vater als Soldat in Russland und meine Mutter haben;2022-01-18T21:24:42.000Z;4 likes;-
8;crasiemaisie.thephotobug;Schade, dass Sophie es nicht selbst gezeichnet und an Fritz geschickt hat;2022-01-18T21:21:32.000Z;0;-
9;chriwetizi;Take on me 🎤;2022-01-18T19:19:23.000Z;0;-
10;tonia.z_07;Ich vin traurig das es vald vorbei sein wird 😢 war ein tolles Projekt❤️;2022-01-18T19:18:46.000Z;2 likes;-
11;christine.binggeli;🔥;2022-01-18T18:13:33.000Z;0;-
12;li_la_lisbeth;Wie erfährt Fritz denn davon, dass Sophie verhaftet und hingerichtet wird?;2022-01-18T18:01:37.000Z;5 likes;-
13;angelikaa21;Schreckliche Erlebnisse für ihn!!;2022-01-18T17:53:53.000Z;0;-
14;ellie.ella40;In einem Monat werden Sophie und Hans erwischt. 😢 Ich will es mir garnicht vorstellen. Wie schön wäre es gewesen, wenn sie überlebt hätten und wüssten, wie es wäre heute in Deutschland zu leben. Ein Leben ohne Nationalsozialismus und Diktatur.;2022-01-18T17:05:09.000Z;8 likes;-
15;katrinpruchniewski;"Ich kann mir nicht vorstellen, wie man sich da ablenken soll.
Mit Hans darüber reden?";2022-01-18T16:33:33.000Z;0;-
16;gwen_gloeckchen;Liebe Sophie. Ich kann mich @marenkarnatz Worten nur anschließen. Mir hat mal ein sehr kluger und netter Mann erzählt, wo Sterne sind, ist Hoffnung. Schau in die Sterne, da werden sich eure Augen und Herzen begegnen... Liebe Grüße, Gwen Glöckchen 💕;2022-01-18T16:04:29.000Z;2 likes;-
17;susikauslue;Das Bild gefällt mir voll, du kannst gut zeichnen! ✍️;2022-01-18T16:00:05.000Z;0;-
18;stina297;Wenn alles um uns vergeht, ist tiefer Glaube und somit tiefe Hoffnung von großer Wichtigkeit !!;2022-01-18T15:34:36.000Z;7 likes;-
19;marenkarnatz;Liebe Sophie, Fritz und Du können nachts die gleichen Sterne sehen. Vielleicht gibt das auch Dir Kraft und ein Gefühl von Verbundenheit, bei allem Grau und allen Sorgen! Ich bete für Euch!;2022-01-18T15:28:20.000Z;56 likes;-
20;darth_vato58;😢;2022-01-18T15:04:15.000Z;2 likes;-
21;thisisnaadja;Wer hat denn die grandiosen illus gezeichnet? 😍;2022-01-18T14:55:19.000Z;10 likes;-
22;julia_wadde;Schreckliche Vorstellung 😭;2022-01-18T14:42:42.000Z;0;-
