Link: ;https://www.instagram.com/p/CRywdG1MeGw/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;jurgengielsdorf;Gespeichert. Im übrigen....tolles Projekt;2021-07-28T17:21:01.000Z;0;-
2;gulia_dudu;Heute hört auch aber nur was sie hören wollen😮;2021-07-28T10:54:44.000Z;0;-
3;piamariko;@mariechristinenowak;2021-07-28T10:10:14.000Z;0;-
4;w_chris;«Не болтай!» (nicht flüstern) die selben Methoden hat man unter Stalin angewandt. Tyrannische Regime enden früher oder später immer in dieser Form.;2021-07-27T19:09:31.000Z;0;-
5;tam_rsnr;Was hat der Umstand, dass sie dich für einen Jungen hielten damit zu tun, dass sie dich gleich wieder frei gelassen haben? Und warum haben sie Elisabeth nicht auch mitgenommen?;2021-07-27T12:50:17.000Z;1 like;-
6;hauptstadtlady50;Liebe Sophie, es stimmt mich traurig 😢 wenn ich lese, dass du und deine Familie nicht einmal euren Nachbarn trauen könnt. Seid bitte weiter vorsichtig.;2021-07-27T10:07:58.000Z;1 like;-
7;ichbinjuedin_ichbindeutsche;Es muss schrecklich gewesen sein seinen Nachbarn und Bekannten nicht trauen zu können.;2021-07-27T07:32:19.000Z;3 likes;-
8;soccergolflife;u;2021-07-26T23:12:10.000Z;1 like;-
9;soccergolflife;ballbasting;2021-07-26T23:12:06.000Z;0;-
10;monatslohn_wien_koksbaron;"Ist es in Ordnung das Lied ""Erika"" heute noch zu singen? @ichbinsophiescholl";2021-07-26T21:01:09.000Z;0;-
11;esony.4ever;😢;2021-07-26T19:47:33.000Z;0;-
12;anjamuller565;Alleine der Gedanke dass die Gestapo vor der Tür steht und Deiner Familie etwas antut...schrecklich.;2021-07-26T19:24:06.000Z;8 likes;-
13;linus.kaiser;Dass die Bündischen Jugendorganisationen und ihre Zeichen verboten wurden und sie dadurch zum Widerstand erklärt wurden und häufig auch Widerstandsgruppen (z.B. als Edelweisspiraten) formten sehen sich heutige deutsche Pfadfinder Organisationen immer noch in der tradition dieser und währe alle anderen Nationen ihre Pfadfinder modernisieren bleiben Deutsche Pfadfinder bei alten (Schwarz-)Zelten, Jujas (Segeltuch Jacken), Liedgut, weil wir als Pfadfinder uns dadurch identifizieren, dass diese diese Dinge ganz klare Zeichen des Widerstands gegen die Menschenverachtende NS Diktatur waren und sind.;2021-07-26T19:10:09.000Z;4 likes;-
14;schein27;wie gern würd ich dich unterstützen;2021-07-26T18:36:14.000Z;6 likes;-
15;simsalabim238;In welchem Jahr war das Sophie.?das war vor Beginn deiner Story, oder?;2021-07-26T18:34:07.000Z;1 like;-
