Link: ;https://www.instagram.com/p/CXgYhTisoB_/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;clarathepet;Hattet Ihr zur Weihnachtszeit zumindest etwas Gedanken und Ruhe zu den Festtagen,oder blieb alles toternst und ohne Emphatie von Mitbürgern?;2021-12-17T10:24:44.000Z;0;-
2;d.ana.w;😂😂;2021-12-16T17:15:40.000Z;0;-
3;henrik_ele;@jana_schr_ ich verstehe nicht welches Problem du mit der Seite hast;2021-12-16T09:43:20.000Z;0;-
4;michi.rom.8.31;Viel öfter Briefe schreiben und nicht erst dann, wenn es eine Antwort gab. Vielleicht kann er das ja auch machen und dann hört ihr viel öfter voneinander 😊;2021-12-16T09:14:24.000Z;0;-
5;fraanciuum;Ich muss bei diesen Posts so häufig an meinen Opa denken, der in Russland gekämpft hat, wegen Krankheit nach einer Ewigkeit aus der Kriegsgefangenschaft dort kam und dann in mein Heimatdorf flüchtete, wo er meine Oma kennenlernte. Er hat nie viel vom Krieg erzählt, nur wenn er einiges an Alkohol intus hatte und diese Geschichten waren immer grausam. Er hat sich auch sein ganzes restliches Leben lang geweigert, grünes Gemüse zu essen, weil er sich in der Gefangenschaft von Gräsern und Unkraut ernährt hat.;2021-12-15T23:17:26.000Z;3 likes;-
6;christianpintz;Ich kann es nicht mehr mitmachen, so tun als wärest Du noch da und dein Schicksal wäre mir nicht bekannt 😔 Verstehst Du mich?;2021-12-15T22:34:32.000Z;2 likes;-
7;viktoriarischow;Hat der Fritz auch Leute erschossen? Ist er ein Verbrecher?;2021-12-15T21:58:57.000Z;0;-
8;natalie.hanke.14;Liebe Sophie, neben den Briefen und Päckchen, die Du Fritz schickst, kannst Du vor allen Dingen für ihn da sein, indem Du jeden Tag für ihn betest. Der Herr möge Euch beide bewahren!;2021-12-15T21:21:39.000Z;0;-
9;ankegopfert;Meine Oma hat vergebens auf Brief von ihren Mann in Stalingrad gewartet hat hat nicht geschrieben. Du hast eine Glück.;2021-12-15T20:50:41.000Z;0;-
10;ellie.ella40;Vllt kannst du ihm ein Foto schicken und etwas für ihn zeichnen? Es muntert ihn vllt auf,wenn du ihn an schöne Erlebnisse von euch beiden erinnerst. Wenn man an etwas Schönes denkt, geht es einem gleich viel besser. Oder du schreibst ihm, wie du dir die Zukunft mit ihm ausmalst!❤️;2021-12-15T19:15:51.000Z;0;-
11;sarahkatze;Der Bruder meiner Oma war zur selben Zeit in Stalingrad. Das letzte Lebenszeichen von ihm war ein Brief, welcher Weihnachten 1942 an kam. Er wurde gerade mal 19 Jahr alt. Weil mich sein Schicksal bewegt hat, habe ich mehr zu dem Kampf um Stalingrad gelesen, insbesondere wie das Leben der Soldaten dort aussah. Es ist erschütternd. 😢;2021-12-15T18:54:50.000Z;8 likes;-
12;silvrfawn;Du kannst für Fritz da sein, indem du vorallem auf dich selber aufpasst, vorallem im Wiederstand.❤️;2021-12-15T18:28:23.000Z;2 likes;-
13;holzivic;Kannte Fritz schon die neue Adresse oder funktioniert das Postamt so reibungslos mit Nachsendeanträgen?;2021-12-15T17:19:42.000Z;3 likes;-
14;lenchen009;Fritz war doch im Stalinggrader Winter, oder? Weiß man ob er das überlebt hat?;2021-12-15T17:03:58.000Z;11 likes;-
15;flottehlotte;In welchem Jahr passiert das alles gerade?🤗;2021-12-15T16:50:27.000Z;1 like;-
16;kommakatze;Hallo #TeamSoffer, ich habe genau die gleiche Strickjacke mit identischen Knöpfen von meiner Oma geerbt, nur in Beige. Sie hatte sie so spätestens ab den 60ern an, kann natürlich sein, dass die Jacke selbst schon deutlich älter ist. Wie genau konntet ihr bei der Kleidung der Darsteller auf Authentizität achten? Ich frage mich natürlich jetzt, ob meine Jacke schon 100 Jahre alt sein könnte ☺️;2021-12-15T16:47:22.000Z;4 likes;-
17;christinemayr21;Immer fest daran glauben, das Dein Liebster heil und gesund zurück kommt! Er wird das spüren! Und immer weiter schreiben. Auch wenn nicht alle Briefe ankommen, werden ihn sicher einige erreichen, die ihm Mut machen, liebe Sophie!;2021-12-15T16:37:28.000Z;0;-
18;heikerahls;🌹Fritz spürt Deine Liebe in seinem Herzen und Du gibst ihm Hoffnung auf ein Leben mit Dir nach dem Krieg ❤️🕊;2021-12-15T16:04:03.000Z;0;-
19;jay.golightly;Das ist so furchtbar, Sophie 😢;2021-12-15T15:12:32.000Z;2 likes;-
20;hasemaus1973;Ich hoffe sehr, das dein Fritz dein Päckchen bekommt. Es muss furchtbar sein, in diesem Krieg zu kämpfen.;2021-12-15T14:50:37.000Z;6 likes;-
21;giusy79_;Fritz nimmt sich Zeit zum Briefeschreiben weil du ihm wichtig bist ❤️ Es wäre alles so schön ohne den hässlichen Krieg!;2021-12-15T14:28:23.000Z;17 likes;-
22;sarawen9;Liebe Sophie, bekommst du nun nicht eventuell verdächtige Nachfragen von der Witwe, da sie doch nach der letzten Woche denkt, dass Fritz gestorben sei? Oder hatte sie das gar nicht mitbekommen?;2021-12-15T14:20:16.000Z;24 likes;-
