Link: ;https://www.instagram.com/p/CaYHSFfs401/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;jawiesodasdenn;"Für alle zum Nachlesen: ein Interview
mit Lilo: www.sueddeutsche.de/politik/die-weisse-rose-sophie-scholl-war-in-alexander-schmorell-verknallt-1.1094704!amp";2022-02-26T21:03:07.000Z;0;-
2;neukoellntravel;🖤;2022-02-26T10:24:12.000Z;1 like;-
3;wednesday0710;😢😢😢. Mein Herz 🔥. Nie wieder Krieg! Nie wieder!;2022-02-26T07:52:30.000Z;0;-
4;suridrei;So viele mutige junge Menschen, die viel zu früh sinnlos ihr Leben lassen mussten. 😢;2022-02-25T22:07:38.000Z;0;-
5;ewanemalory;@david_hugo waw it's a beautiful picture. 😍❤️;2022-02-25T21:44:58.000Z;0;-
6;karsten.schroeder;😢😢😢;2022-02-25T19:13:46.000Z;0;-
7;my.kind.of.pics;Ich hätte mir gehofft, dass er es schafft 😢;2022-02-25T18:02:17.000Z;0;-
8;jenniferfeargus;❤️;2022-02-25T17:16:46.000Z;0;-
9;firehorsetaurus;🕯🙏🏻🕯🙏🏻🕯;2022-02-25T14:03:42.000Z;0;-
10;aboutanja_;Ich finde es absolut bewundernswert was für starke Worte diese noch jungen Menschen vor ihrem Tod finden! Wow.;2022-02-25T13:36:17.000Z;8 likes;-
11;_inazet;🕯🖤 Er hätte nicht zurück nach München kommen sollen 😢;2022-02-25T13:25:29.000Z;1 like;-
12;pippilotchen;Ist doch immer wieder fasziniert welche Sprache genutzt wurde. Klingt immer so poetisch. Niemand würde heute so sprechen. Spannend wie sich das verändert hat.;2022-02-25T10:54:14.000Z;2 likes;-
13;michaelaschara;🖤🖤🖤;2022-02-25T10:29:19.000Z;0;-
14;autmnriver;😢😢😢;2022-02-25T10:15:50.000Z;0;-
15;_anne_hess_;❤️;2022-02-25T09:34:01.000Z;1 like;-
16;larissa.schweikert;So, so starke und mutige Menschen, die fuer ihre Meinung und die Gerechtigkeit alles gegeben habe. Wahre Vorbilder!!;2022-02-25T09:08:24.000Z;6 likes;-
17;susi66399;😔;2022-02-25T08:20:40.000Z;1 like;-
18;gwen_gloeckchen;😢 Oooooh, Alex...;2022-02-25T08:16:55.000Z;3 likes;-
19;franzi_.xo;@ichbinsophiescholl Wurden die Fluchthelfer*innen auch bestraft?;2022-02-25T08:10:11.000Z;0;-
20;_isilovestodance_;Wie traurig 😪;2022-02-25T08:06:39.000Z;0;-
21;jana.elisa;Stimmt es, dass Alexander schmorell von seiner Bekannten verraten und deswegen verhaftet wurde ?;2022-02-25T08:05:50.000Z;8 likes;-
22;skandalnudeleiske;Kann man den Live Talk noch irgendwo finden ? Hatte an dem Tag leider keine Zeit;2022-02-25T07:54:39.000Z;5 likes;-
23;sina.do.mar;Mir fehlen die Worte für diese beeindruckenden Menschen - danke, dass sie Zeit weiterleben dürfen! 🧡;2022-02-25T07:53:29.000Z;2 likes;-
24;nils_epunto;3/3: Ist das Zitat erwiesenermaßen von Alexander Schmorell und wenn ja von wann ist das? Starke Worte;2022-02-25T07:43:01.000Z;1 like;-
25;frauecki;"Ich frage mich, wie Leute wie der ""Henker"" nach dem Krieg weiterleben konnten...haben sie irgendwann verstanden dem ""Falschen"" gehörig gewesen zu sein...holten sie die grausamen Bilder ein und lebten sie mit Schuldgefühlen bis an ihr Lebensende ?";2022-02-25T07:39:23.000Z;9 likes;-
26;isi_pi_si;🖤;2022-02-25T07:27:19.000Z;0;-
27;klettersteigfan;🖤;2022-02-25T07:23:26.000Z;0;-
28;carolins.world;🖤🖤;2022-02-25T07:23:26.000Z;0;-
29;misses_biggs;😢;2022-02-25T07:21:26.000Z;0;-
30;team_wedemann_holz;😢😢😢;2022-02-25T07:00:16.000Z;2 likes;-
31;barbara.haker;@ichbinsophiescholl wo kann man die Interviews mit den Schauspieler*innen sehen? Irgendwie wird mir nichts angezeigt, auch nicht wann sie zu sehen sdind/waren?;2022-02-25T06:56:59.000Z;0;-
32;omadorette20;🕯️;2022-02-25T06:46:49.000Z;1 like;-
33;hawaii070502;🖤;2022-02-25T06:46:21.000Z;0;-
34;fraeulein_regen;Wenn er vielleicht nicht nach München zurück gekehrt wäre, hätte er es geschafft 😢🖤;2022-02-25T06:38:54.000Z;61 likes;-
35;a_buecherwurm;Was passierte eigentlich mit Hansi Hirzel? Wie lange war er dabei?;2022-02-25T06:27:59.000Z;11 likes;-
36;yvonnejaenich;🕯️🕊️;2022-02-25T06:19:05.000Z;1 like;-
37;tatjana131;@ichbinsophiescholl warum wurde das Urteil bei Sophie und Hans Scholl eigentlich so extrem schnell vollzogen und bei den anderen hat man sich mehrere Monate Zeit genommen?;2022-02-25T06:14:18.000Z;5 likes;-
38;helgadancke;Und jetzt startet Putin einen Krieg mit ähnlich absurden Begründungen wie Hitler. Wir dürfen nicht zulassen, dass sich die Geschichte wiederholt. Eure Dokumentation hat mir noch viel klarer gezeigt , welche Verantwortung wir haben.;2022-02-25T06:11:13.000Z;151 likes;-
39;katrinhaaks;🦋🖤🦋;2022-02-25T06:03:35.000Z;0;-
40;valerie_9817;Warum werden alle verhaftet außer Traute?;2022-02-25T05:58:10.000Z;7 likes;-
41;oachkatzlx;🖤;2022-02-25T05:57:46.000Z;1 like;-
42;enusve;❤️😢;2022-02-25T05:56:06.000Z;1 like;-
43;ramona.bohm.315;sind die live Gespräche mit den schauspielern nicht abgespeichert.😒;2022-02-25T05:54:33.000Z;2 likes;-
44;sonjagoerner;Ich frage mich, wie sie auf die anderen gekommen sind. Hans und Sophie haben ja sicher nichts verraten. 🧐;2022-02-25T05:51:49.000Z;0;-
