Link: ;https://www.instagram.com/p/CQajy2VgUVj/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;millenialfyerfly;Ein bisschen, aber ich verzeihlich 😂;2021-07-10T12:12:31.000Z;0;-
2;glenn_quagmire.0;Xaxaxxaax;2021-07-06T20:30:50.000Z;0;-
3;vallikonich;Aufsteigen, Treten, Zack - glücklicher !;2021-07-03T19:38:34.000Z;0;-
4;vallikonich;Aufsteigen, Treten, Zack - glückliche;2021-07-03T19:38:34.000Z;0;-
5;mmarwedel;Ich finde nicht das es egoistisch ist. Es ist Klever. Auch ich bin ein Freund des Rad fahrrens, man spart allerhand Geld.;2021-06-28T17:07:10.000Z;0;-
6;schoolsven;❤️😍;2021-06-27T12:57:11.000Z;0;-
7;ronja._1408_;Sophie, ich denk an euch, jeden Tag.;2021-06-25T19:21:08.000Z;2 likes;-
8;beatrice_englaender;Wie cool dass es mit dem Rad geklappt hat. Ich freu mich für dich 🥰;2021-06-25T12:40:59.000Z;1 like;-
9;mark_gierling;So interessant ich das Projekt ja finde…aber wenn „Sophie Scholl“ hier auf Instagramm auch auf Kommentare (z. B. zum Thema Fahrrad & Umwelt) antwortet, geht ihr, liebe Macher*innen, aus meiner Sicht zu weit. Klar, es lässt sich einiges aus Briefen ableiten, aber das wird der historischen Person, die sich nicht mehr dazu äußern kann, nicht gerecht. Das sog. „Dritte Reich“ war kein Ort, an dem man „Dinge“ und Meinungen postet. Tut mir leid, wenn ich mich hier mal kritisch äußern muss.;2021-06-24T20:08:50.000Z;0;-
10;mojohanss;❤️;2021-06-24T19:23:27.000Z;0;-
11;_kaiwenweibo;ich finde es super dass man versucht die Geschichte die so essenziell wichtig für die Freiheit und Demokratie des 21. Jahrhundert in Deutschland ist, so persönlich und so genau wie möglich zu zeigen. Viel mehr interaktion als in einem Film einfach super!❤️;2021-06-24T11:18:53.000Z;0;-
12;mxaxix08;Neee;2021-06-24T07:27:03.000Z;0;-
13;vallikonich;Aufsteigen, Treten, Zack - glücklicher !;2021-06-24T07:03:17.000Z;0;-
14;vallikonich;Aufsteigen, Treten, Zack - glückliche;2021-06-24T07:02:47.000Z;0;-
15;erla.peters;👍;2021-06-24T04:38:11.000Z;0;-
16;erla.peters;👍;2021-06-24T04:37:47.000Z;0;-
17;erla.peters;👍;2021-06-24T04:36:42.000Z;0;-
18;jane100494;Hi, wie wär's mal mit einer Info zu den Machern dieses Accounts?;2021-06-23T18:31:42.000Z;11 likes;-
19;l3naninja;Zb,;2021-06-23T16:21:56.000Z;0;-
20;wolke.1973;"Liebe Sophie, ein Hoch auf alle Mütter😍....egal wie Alt die "" Kinder "" sind , man macht sich ja doch immer Sorgen und möchte dass es ihnen gut geht 😊 wann besuchst du deine Eltern mal wieder, oder hast du Angst dass dir etwas "" raus rutscht "" und du sie in euer Geheimnis einweihen musst...Eltern kann man ja immer schlecht so Wichtiges verheimlichen...ganz liebe Grüße";2021-06-23T14:36:17.000Z;0;-
21;startraum;Wo sind die Schuhe her?? 😘;2021-06-23T13:52:40.000Z;0;-
22;_toni.guacamoli_;Ich wollte mal nach einem Update eurerseits fragen wie ihr mit der konstruktiven Bitte nach Kennzeichnung fiktiver Inhalte umgehen möchtet, gab es vielleicht innerhalb der Redaktion Vorschläge dies z.B. mit einem Sonderzeichen oder einem Hinweis in der Überschrift innerhalb der Texte zu kennzeichnen? Ich finde das Projekt interessant aber es schwierig wenn nur innerhalb der Kommentare auf diese Thema eingegangen wird, da diese nicht unbedingt für alle zugänglich sind - Stichwort Barrierefreiheit (Menschen die z.B. Screenreader nutzen hören sich ja nicht unbedingt die ganze Kommentarspalte an);2021-06-23T10:24:55.000Z;2 likes;-
23;bluesman3147;Sehr glücklich über dieses Format.👏;2021-06-23T10:11:10.000Z;0;-
24;gebhardt294;Du hast so ein hübsches Lächeln ja mit deim Fahrrad ja...😃😃;2021-06-23T05:36:38.000Z;1 like;-
25;gebhardt294;Du hast so ein hübsches Lächeln ja mit deim Fahrrad ja...😃😃;2021-06-23T05:35:23.000Z;1 like;-
26;tinlemar;Liebes #teamsoffer, unter diesem post leisten wieder einmal tolle user:innen einen grossen Beitrag, indem sie historische Hintergründe liefern, die, zum heutigen post z.B., die Situation in der Gesellschaft beleuchten. Wollte dies nicht die Redaktion übernehmen? Gibt's da bald mehr dazu? Viele Grüße.;2021-06-23T02:30:12.000Z;8 likes;-
27;acaseofemergency;ich liebe liebe liebe dieses Format! Geschichte sollte jungen Menschen viel öfter so einfach und aufregend näher gebracht werden. Das ist so verdammt wichtig! Viel Respekt an euch und möge diese Art der Aufklärung mehr Anhang finden.;2021-06-22T22:08:29.000Z;25 likes;-
28;wakki01;Schön ein eigenes Rad ist toll und man ist umweltbewusst unterwegs 👏👏👏;2021-06-22T21:29:50.000Z;1 like;-
29;ax_m_rei;Nee ein Rad 🚲 braucht man einfach… hast du richtig gemacht;2021-06-22T21:22:01.000Z;1 like;-
30;heiplberlin;Ist das nicht ein Gehweg in Berlin?;2021-06-22T21:08:30.000Z;0;-
31;its_me_zazie;Alles richtig gemacht! Mein Fahrrad sieht fast genauso aus! Aber deine Schuhe finde ich auch toll… 🥰;2021-06-22T19:59:42.000Z;1 like;-
32;vervain1;👏👏👏 Klasse😍;2021-06-22T19:11:24.000Z;0;-
33;wei.phi;Euer Account ist das beste was ich seit langem auf Instagram gesehen habe. Die Geschichtlichen Ereignisse aus der Sicht einer wahren starken Persönlichkeit gesehen ist ein toller Beitrag um die geschichtliche Bildung, gerade in diesen schweren politischen Zeiten zu fördern.;2021-06-22T19:06:09.000Z;22 likes;-
34;dr.volkertiemann;Wie stolz du in die Kamera schaust. Kann ich verstehen. Mein Vater machte während des Krieges eine Ausbildung zum Zweiradmechaniker. Die Tochter des örtlichen Pfarrers heiratete einen Radkau;2021-06-22T18:34:45.000Z;0;-
35;meritdano;Ein schönes Fahrrad! Als Student hatte ich auch so eins aus Holland 😊;2021-06-22T18:14:48.000Z;1 like;-
36;kajazm;Sis du bist so strong;2021-06-22T17:44:07.000Z;1 like;-
37;acuschla;"Ein Rad ist schon etwas sehr persönliches. Also nein, nicht egoistisch ;)";2021-06-22T17:39:14.000Z;1 like;-
38;who.needs.a.name;Für dich, und nur für dich allein wurde Instagram gemacht..! Dein Feed zaubert mir ein Lächeln ins Gesicht und hinterlässt trotzdem eine unfassbare Leere.. Danke!;2021-06-22T17:37:49.000Z;1 like;-
39;ika.wael;Liebe Sophie, in unserer Zeit ist es bsonders wichtig, sich mit Seelenmenschen wie Dir und Hans verbunden zu wissen.;2021-06-22T17:34:04.000Z;2 likes;-
40;greenbutler.eu;🚲🚲🚲👏;2021-06-22T17:19:16.000Z;1 like;-
41;viktoriarischow;Weißt du, Sophie, dass heute vor 80 Jahren begann in Russland Großer Vaterländischer Krieg. 27 Millionen hat uns (Russen) der Sieg gekostet. Schade, dass ganz viele, und vor allem Europa, jetzt vergessen haben, wer die Nazis besiegt hat! Niemals vergessen!!!! Hört ihr???? Niemals!!!!!!;2021-06-22T17:18:05.000Z;1 like;-
42;anjamuller565;Nein das ist nicht egoistisch. Mir gefällt Dein Rad. Das macht auch unabhängiger. Viel Spaß bei Deinen Radtouren.;2021-06-22T16:57:40.000Z;4 likes;-
43;sanusaradmz;Ihr macht einen mega tollen Job❤️ Super klasse👏;2021-06-22T16:33:21.000Z;2 likes;-
44;huerm05;❤️❤️;2021-06-22T16:26:51.000Z;1 like;-
45;_yoga_tanz;Man muss auch manchmal an sich selbst denken.;2021-06-22T16:19:26.000Z;1 like;-
46;clemenskropp;Wunderschönes Rad 😍 auch wenn so eine Stempelbremse ziemlich unpraktisch ausschaut, die wesentlich besser dosierbare Cantilever-Bremse kam erst ab den 30er Jahren auf. Radfahren ist Freiheit, auch hat Hitler die Radwegbenutzungspflicht eingeführt , um die Straßen den Autos vorzubehalten.;2021-06-22T16:13:22.000Z;0;-
47;hauptstadtlady50;Dass freut mich sehr für dich 👏liebe Sophie, nein ich finde es in keiner Weise egoistisch. Wünsche dir einen wunderbaren und gesunden Dienstag Nachmittag 🙋‍♀️ 🌞 😍.;2021-06-22T15:27:34.000Z;2 likes;-
48;_dream._.horse_;Nein überhaupt nicht, du hast da alles richtig gemacht😊 Nichts geht über das eigene Fahrrad und dann noch so ein tolles😍;2021-06-22T15:00:23.000Z;1 like;-
49;bogner.anita;Liebe Sophie ❤️ eine Mutter ❤️will immer und alle Zeit nur das beste für ihre Kinder ! Du bist kein bisschen egoistisch 🙂;2021-06-22T14:59:37.000Z;2 likes;-
50;darth_vato58;Te queiro mucho Sophie 😍;2021-06-22T14:46:42.000Z;0;-
51;lupuscolonia;🙌👏;2021-06-22T14:33:30.000Z;0;-
52;missyvonl;"Das ist nicht egoistisch 🤗.
Ich hätt das auch so gemacht. Pass gut auf dich auf, liebe Sophie. In München Rad zu fahren ist ziemlich abenteuerlich.";2021-06-22T14:17:59.000Z;1 like;-
53;tobywerder;Egoistisch ist das nicht ich würde es genauso machen😄;2021-06-22T13:41:37.000Z;1 like;-
54;mitpinselundfarbe;Ich finde es auch ein ganz tolles Projekt. So macht Geschichte lernen bestimmt mehr Spaß als nur aus Büchern zu lesen. Kompliment an die Macher und kreativen Köpfe dahinter. 👏;2021-06-22T13:41:10.000Z;1 like;-
55;netterholger;Sophie, du bist clever mit dem Rad;2021-06-22T13:39:37.000Z;1 like;-
56;ryanmufatofficial;Du siehst sehr gluecklich aus 😃;2021-06-22T13:34:36.000Z;1 like;-
57;lischens.welt;Ja, das ist egoistisch. Aber dadurch ist es noch lange nicht schlecht. ❤️ Es ist dein Leben und die Dinge, die dir am Herzen liegen, definierst du ganz allein. Und dann darfst du dich auch dafür einsetzen, dass sie Wirklichkeit werden - im Kleinen mit deinem eigenen Fahrrad ebenso wie im Großen in der Mitgestaltung deines Umfeldes und der Welt, in der du lebst.;2021-06-22T13:19:49.000Z;2 likes;-
58;btrix1411;Ach so bist du viel flexibler unterwegs;2021-06-22T13:06:35.000Z;1 like;-
59;gabyd166;Mama war auch mal jung, vielleicht würde sie nur lachen über ihr Mädchen 😃;2021-06-22T12:31:44.000Z;2 likes;-
60;frau.busfahrerin;Oooh ich freu mich so für dich mich. Ich könnte auch nicht mehr ohne mein Rad leben. Es gibt einen so viel Freiheit und ich kann damit so toll entspannen. 😍;2021-06-22T12:28:13.000Z;1 like;-
61;matrx.51;Das Kaugummi da aufm Boden triggerd mich!;2021-06-22T12:23:27.000Z;1 like;-
62;frauenvondamals;Korrektur: *als Spazierengehende getarnte junge Menschen;2021-06-22T12:12:27.000Z;4 likes;-
63;pandas_food_diary;Es geht doch nichts über das eigene Fahrrad. Ich kann dich vollkommen verstehen. 🌸;2021-06-22T11:56:49.000Z;2 likes;-
64;mairimkyrwaw;Liebe Sophie...Nein, alles richtig gemacht! Freu dich und genieße, wir haben nur das eine Leben...und ich finde deine Schuhe wunderhübsch. Kleine Dinge...wir sollten sie schätzen😊❤;2021-06-22T11:51:34.000Z;2 likes;-
65;sebfischer2;Nein, es ist ja auch für eine wichtige Mission;2021-06-22T11:50:31.000Z;1 like;-
66;nikko_belic;Viel Spaß mit dem Fahrrad. Fahr vorsichtig ❤️;2021-06-22T11:29:16.000Z;2 likes;-
67;heman.marvel;Schones Fahrrad, schones hertzen👏;2021-06-22T11:18:20.000Z;1 like;-
68;raul_mccallister007;❤️;2021-06-22T11:16:59.000Z;1 like;-
69;ulrikemunner;Auf keinen Fall,ist das egoistisch.Du brauchst das Rad,für günstige Unternehmungen.Dann bist du auch nicht so unter Beobachtung.;2021-06-22T11:09:14.000Z;3 likes;-
70;beatevonzahn;Liebe Sophie, in Zeiten wo man nicht weiß, was das morgen bringt braucht es Lichtblicke. Sich den Fahrtwind auf dem Fahrrad um die Nase und durch das Haar wehen lassen, sich auf holprigen Landstraßen durchrütteln zu lassen, den Blick FREI über weite Felder schweifen zu lassen und dort Rehe zu entdecken, durch Münchens kleine treiben lassen… das sind solche Lichtblicke und dafür brauchtest du DEIN Rad und nur dieses. Genieße die Zeit mit ihm, so oft du kannst! Pass auf dich auf…;2021-06-22T11:00:29.000Z;3 likes;-
71;linditarosaj;Edel schick schaust du aus;2021-06-22T10:52:23.000Z;0;-
72;mew.juli;Hallo, finde die Idee hinter dem Account sehr schön und anschaulich. Wäre cool, wenn sowas auch mit anderen berühmten Persönlichkeiten möglich wäre, wie zum Beispiel Rosa Parks. Naja hätte auch nochmal ne Frage und zwar hat Sophie das, was sie hier in ihren Videobotschaften erzählt, in einem Tagebuch aufgeschrieben oder woher habt ihr die ausführlichen Infos bzw. Quellen?;2021-06-22T10:38:45.000Z;114 likes;-
73;missbeauty1204;Geht halt nix über das eigene Radl 🤗;2021-06-22T10:33:41.000Z;1 like;-
74;gerlachbianca;"Ich finde es toll, dass diese Geschichte so gut angenommen wird, ich ""verfolge"" dich jeden Tag, ich möchte das nicht mehr missen!!!!🙂";2021-06-22T10:33:04.000Z;1 like;-
75;gerlachbianca;❤️;2021-06-22T10:30:27.000Z;1 like;-
76;_yoz_75;Hey Sophie ich wünsche dir viel Spaß mit deinem Fahrrad und sei vorsichtig;2021-06-22T10:19:46.000Z;1 like;-
77;rpiakatharina;Es freut mich so sehr für Dich ❣️;2021-06-22T10:14:40.000Z;2 likes;-
