,Id/Reply-Id,User,Comment,Date,Likes,Reply To CommentId,Link,Filename
9,10,multitude.of.drops,"Liebes Team hinter Sophie, mich würde Mal interessieren ob es einen bestimmten Grund gibt, weshalb ihr auf manchen Fotos das SWR Logo macht und auf manchen nicht 🤔 Meine Vermutung war, dass es auf den Fotos ist, die Nazipropaganda zeigen, um sie deutlich als Teil eines solchen Projekts zu kennzeichnen. Aber auf dem Plakat zum Verdunkeln ist zb kein Logo drauf... Bin einfach neugierig.😊",2022-01-07T12:58:19.000Z,4 likes,-,https://www.instagram.com/p/CYbSIO_MsEj/,comments-295592494998822966.csv
2,3,eleirbag_essov,"Ihr seid auf himmlische Weise zusammen geschmiedet, ihr vertraut einander in großer Freiheit, ihr geht nun gemeinsam durch dick und dünn, durch hell und dunkel ; diese Verbindung gibt euch Kraft, und ihr dürft spüren : Gemeinsam können wir mehr als allein!",2021-06-13T23:17:11.000Z,0,-,https://www.instagram.com/p/CQBPUn-rYcr/,comments5887725245100549857.csv
9,10,eleirbag_essov,"Ihr seid auf himmlische Weise zusammen geschmiedet, ihr vertraut einander in großer Freiheit, ihr geht nun gemeinsam durch dick und dünn, durch hell und dunkel ; diese Verbindung gibt euch Kraft, und ihr dürft spüren : Gemeinsam können wir mehr als allein!",2021-06-13T06:25:02.000Z,1 like,-,https://www.instagram.com/p/CQBPUn-rYcr/,comments5887725245100549857.csv
15,16,liebeleinenladenlauenau,....unter der Laterne ist's am Dunkelsten..... 😉👍,2022-01-14T12:40:40.000Z,10 likes,-,https://www.instagram.com/p/CYtNWBZlNB6/,comments6007312751865124505.csv
15,16,lindwurmallee,Ich erinnere mich dunkel daran das Quartett und Brettspiel im Geschichtsunterricht gehabt zu haben.,2021-12-28T12:37:20.000Z,2 likes,-,https://www.instagram.com/p/CYBburusFKK/,comments7898478158277816780.csv
34,30,wonghorst,"„Starker Geist, weiches Herz - das will ich immer haben“ mit Blick auf die Geschichte und das Ende von Sophie ist dies sehr berührend. Für mich eine Lichtgestalt in der Dunkelheit.",2021-05-22T17:42:40.000Z,0,-,https://www.instagram.com/p/CPLRi48nrz7/,comments8355353662295954093.csv
12,10,elmalu95,"Ich kann mich noch gut an eine Geschichte meiner Oma erinnern. Sie erzählte mir mal, das sie und ihre Familie abends ängstlich im Haus saßen und einen dunkeln Mann auf das Haus zukommen sahen. Alle hatten furchtbare Panik vor diesem Mann bis schließlich eine von ihnen erkannte, dass es ihr Vater war, der gerade von der Front schwer verwundet mit einer schusswunde in der linken Brust, zurück kam. Sie versorgten ihn so gut es eben ging. Leider hat er es dennoch nicht geschafft. Noch heute bekomme ich eine Gänsehaut wenn ich an diese Geschichte denke. Der Blick meiner Oma, wie er in die Vergangenheit verschwand als sie das so erzählte. Ihre Stimme, der Ton. Sie war ganz und gar in Erinnerungen versunken. Und auch ich konnte keinen Ton rausbringen. Ich starrte sie nur an, hörte zu und war und bin bis heute geschockt über diese Erinnerungen und die Stärke, die sie einfach auch als Person ausmacht.",2021-09-08T13:02:31.000Z,8 likes,-,https://www.instagram.com/p/CTjMDCrjFP6/,comments4768888214613560086.csv
22,12,gabielpunkt,"Wir, die wir glücklicherweise keinen Krieg erleben mussten, können uns nicht ansatzweise vorstellen, wie es damals gewesen sein muss. Ständig um sein Leben fürchten zu müssen - schrecklich! Meine Mutter hat erzählt, dass es ihr als Kind nach Einschlag einer Bombe in ihrem Garten wortwörtlich die Sprache verschlagen hat. Sie konnte lange Zeit nicht mehr flüssig sprechen. Die notwendigen Verdunkelungen sitzen ihr noch so in den Knochen, dass sie heute sehr wenig sparsam mit Strom umgeht. In allen Räumen Festbeleuchtung. Sie hat sich geschworen, nie mehr im Dunkeln zu sitzen. Mir ist es rätselhaft, wie diese Generation ihre Traumata überwinden konnte. Psychologischen Beistand hatten sie ja damals nicht",2021-09-08T10:24:41.000Z,26 likes,-,https://www.instagram.com/p/CTjMDCrjFP6/,comments4768888214613560086.csv
28,29,changed.by.popular.demand,"„Wir feiern morgens um 7 Uhr Gemeinschaftsmesse. Es sind im ganzen 12 Mann. Ein kurzer Spaziergang zur Saar. Vater hat eingeladen, wir sitzen mit Sechsen im Lokal. Dann bin ich für die Familie da, wir sind seit langem zusammen, es geht familiär zu, wie wir es von früher gewohnt sind. Bei Dunkelheit ein kurzer Spaziergang mit Vater. Am Abend ist wieder die Familie zusammen.“ Willi Graf: Briefe und Aufzeichnungen, S. 91",2021-12-25T11:41:37.000Z,4 likes,-,https://www.instagram.com/p/CX5mhF5MoAW/,comments1324460612858698161.csv
18,19,stefanesser8315,"""Die Dunkelheit ist großzügig und geduldig und gewinnt Immer, aber im Herzen ihrer Stärke liegt Schwäche: Eine einzelne Kerze genügt, um sie zurückzudrängen. Liebe ist mehr als eine Kerze. Liebe kann Sterne entzünden."" ❤️🕯️",2021-08-01T18:06:25.000Z,8 likes,-,https://www.instagram.com/p/CSCaMn2j6Hg/,comments1063667496254767808.csv
23,22,atelier.rotkehlchen,"Ich bin heute bei Dunkelheit durch die Hauptstraße unserer Altstadt gefahren. An jedem Stolperstein brannte eine Kerze. Es waren viele Kerzen, für so eine kleine Stadt.",2021-11-10T03:25:21.000Z,1 like,-,https://www.instagram.com/p/CWEK2fXMuwx/,comments850110884387814236.csv
59,48,sommerschaf,"Einer der dunkelsten Momente in unserer Geschichte und es wird noch Schlimmer. Was würden wir heute machen, wenn Synagogen brennen oder Moscheen???",2021-11-09T19:54:48.000Z,1 like,-,https://www.instagram.com/p/CWEK2fXMuwx/,comments850110884387814236.csv
58,18-2,katharina.helling,"Wg der Gefahr von Luftangriffen musste man bei Einbruch der Dunkelheit ohnehin „verdunkeln“ - das galt grds, konnte also auch in „normalen“ Wohnungen Probleme nach sich ziehen.",2021-11-16T13:05:42.000Z,9 likes,18,https://www.instagram.com/p/CWVgNyuMRr0/,comments8903630083275150296.csv
118,107,xorron1975,Tiefer Respekt und Hochachtung vor diesem Mut in den dunkelsten Stunden deutschlands sich gegen das Terrorregieme aufzulehen. Niemals vergessen dein Mut ❤️❤️❤️.,2021-05-10T07:40:09.000Z,1 like,-,https://www.instagram.com/p/COqYF8OKIYE/,comments-4907282836930085199.csv
