,Id/Reply-Id,User,Comment,Date,Likes,Reply To CommentId,Link,Filename
221,127-19,tinlemar,"@die.hummi Das Problem ist,dass vei einigen posts die Fiktion nicht sofort deutlicj wird,sondern erst durch Nachfrage. Diese Subjektivierung entpolitisiert. Warum dies kritisch zu sehen ist, wird hier sehr gut eingeordnet. Im DLF-Beitrag ab ca. Min. 13 und im Artikel von Hr. Czollek. Die Erinnerungskultur in Deutschland benötigt immer den gesamten histirischen Hintetgrund. Ich glaube nicht, dass sich alle user die Zeit zur jeweils richtigen historischen Einordnung z.B. d. Quellencheck nehmen und das ist das kritische an dieser Methode der Geschichtspräsentation. Aus der Dlf Audiothek | Deutschlandfunk - Der Tag | Der Tag - Warum der Fußball mehr Frauen braucht
https://srv.deutschlandradio.de/dlf-audiothek-audio-teilen.3265.de.html?mdm:audio_id=927089 https://www.woz.ch/2120/erinnerungskultur/buergerliche-mitte-bedeutet-auch-heute-meistens-eine-legitimierung-rechter",2021-06-08T19:46:31.000Z,6 likes,127,https://www.instagram.com/p/CP0SHTyrOdC/,comments-1117551051760120097.csv
94,41-13,katharina.helling,"@ frau_kapuze also was, was für mich ist oder nicht, entscheide ich ja tatsächlich selber;)
Und wenn Menschen, wie Willi Graf, die es tatsächlich gab, die auch im Widerstand waren, die nicht weniger geleistet haben, als Sophie Scholl hier in einer Weise dargestellt werden, dass viele der Follower:innen ihn zB verdächtigen, das Parteiabzeichen verloren haben könnte und er ein frauenfeindlicher Risikofaktor für die Gruppe sei, dann empfinde ich es als meine Pflicht da kritisch zu sein. Neben Sophie und Hans Scholl haben schon kaum andere Platz in der deutschen Erinnerungskultur, der Platz für andere muss nicht noch kleiner gemacht werden.und btw die Intention des Kanals ist nach eigenen Worten der Macher:innen:

Der Kanal soll die User*innen bestärken in
dem Gedanken, dass man seinem eigenen moralischen
Kompass folgen sollte und jeder etwas bewirken kann.",2021-12-01T17:03:53.000Z,11 likes,41,https://www.instagram.com/p/CW8A790Mp-s/,comments3603593403683059925.csv
102,41-21,fraunora.h,"@ frau_kapuze Ich würde mich freuen, wenn du im Sinne eines sachlichen Austauschs ein wenig Aggressivität aus deinen Kommentaren nehmen könntest. Danke.
Sicher hat hier niemand die Wahrheit gepachtet. Aber wenn man sich mit der Person Sophie Scholl beschäftigt hat und auch mit den gedanklichen Auseinandersetzungen in den Widerstandskreisen selbst, zu denen einiges an Material an Widerstandsschriften überliefert ist, dann ist das eine deutlich wahrscheinlicher als das andere. Dass sich Sophie Scholl aus Naivität und Übermut hingestellt hätte, um zu sagen, sie würde Hitler erschießen, passt wenig zu dem, was sie u.a. mit Fritz Hartnagel austauscht. Ihre Motivlage ist eine andere. Es gab gerade in christlichen Kreisen, zu denen Sophie Scholl, aber auch die Herren Professoren zählten, ausufernde Diskussionen darüber, inwiefern Widerstand gegen Hitler überhaupt legitim sei und wenn ja, wie der aussehen könnte und welche Rolle das Töten darin spielt. Sophie Scholl war ein gläubiger Mensch. Hältst du es vor dem Hintergrund wahrscheinlich, dass sie aus Übermut rumposaunt, sie würde Hitler töten, weil sie sich grad so mutig fühlt wegen eines besorgten Stapels Papier? Denn das ist ja hier der offerierte Kontext.
Und zum Film: Du kannst ein interaktives Social Media Projekt nicht mit einem Film vergleichen. Hier sind komplett andere Erzählstrukturen und Mechanismen am Werk. Die Plattform ist mehrdimensional in der Ansprache. Es gibt einen Rückkanal. Und die Zeitspanne beträgt knapp 10 Monate und nicht 90-120 Minuten. Der Rückkanal wird ganz gezielt eingesetzt. Es soll eine emotionale Bindung über einen langen Zeitraum erzeugt werden. Würde man Schindlers Liste so fragmentarisch erzählen wie diese Geschichte, gäbe es sicher mehr zu kritisieren. Und sicher haben wir auch zu diesem Film heute eine andere Haltung als damals, weil es Entwicklungen gab im Umgang mit Quellen und Erinnerungskultur. Von daher: Nicht vergleichbar.",2021-12-02T13:27:06.000Z,6 likes,41,https://www.instagram.com/p/CW8A790Mp-s/,comments3603593403683059925.csv
41,42,changed.by.popular.demand,"@juliiaa.sy bei @bpb_de gibt es sehr viel Material zum Thema digitale Geschichtsvermittlung, ansonsten gibt es hier @socmedhistory und sonst (nicht ganz instagram, aber in die Richtung) „Geschichte auf YouTube
Neue Herausforderungen für Geschichtsvermittlung und historische Bildung
Herausgegeben von: Christian Bunnenberg und Nils Steffen“ und
„Geschichte in den Social Media
Nationalsozialismus und Holocaust in Erinnerungskulturen auf Facebook, Twitter, Pinterest und Instagram“ von
Hannes Burkhardt. Wenn mir noch was einfällt, kommentiere ich hier.",2022-01-04T20:26:58.000Z,2 likes,-,https://www.instagram.com/p/CYTzPM8MaoX/,comments-6556673865046132735.csv
35,36,karen_147_,"Ich war von der ersten Stunde an dabei, ich liege über dem Altersdurchschnitt hier, bin aber mit der Erinnerungskultur an die Naziverbrechen und an die Weiße Rose groß geworden. Schon als junges Mädchen habe ich den beeindruckenden Film ‚Die weiße Rose‘ mit Lena Stolze als Sophie Scholl gesehen und nie wieder vergessen.
Diese starke junge Frau, die für ihre Ideale, für ihren Gerechtigkeitssinn starb beeinflusst mich bis heute.
Das Projekt hier endet an meinem Geburtstag… das wird schwer. Ich habe das Gefühl, Sophie zu kennen.
Ich danke allen Beteiligten für diese wunderbare Umsetzung und den zahlreichen Kommentatoren für so gut recherchierte Hintergrundinformationen!
🙏🏼",2022-02-15T01:32:21.000Z,57 likes,-,https://www.instagram.com/p/CZ-CyQlMDUF/,comments6030069363728820937.csv
158,92-3,em_vaupunkt,"@ichbinsophiescholl .....""Erinnerung wachhalten""....ist zu schwach. Das ist nur eine Floskel. Diese Formulierung ist gefährlich. Sie beruhigt nur die sich erinnernde Mehrheitsgesellschaft. @ichbinsophiescholl ihr habt doch einen Bildungsauftrag, oder? Ihr wollt doch was bewegen, oder? Wir müssen aus der bloßen Erinnerungskultur raus. Gewalt gegen Jüd*Innen und Anschläge auf jüdische Einrichtungen passieren so oft (jetzt wird auch manchmal in Medien drüber berichtet.) Folgt jüdischen Aktivist*Innen. Solidaridiert euch mit Ihnen. Lernt von ihnen. Hört ihre Podcasts. Lest ihre Bücher. Informiert dann selbst über Antisemitismus, sprecht ihn an. Duldet ihn nicht.",2021-11-10T06:24:44.000Z,5 likes,92,https://www.instagram.com/p/CWEK2fXMuwx/,comments850110884387814236.csv
37,27,i_chh,"Eigentlich scheue ich mich diesen Vergleich zu machen, aber ab wann ist Kommentare löschen gleich zu setzen mit Bücher verbrennen? Man stelle sich eine Zukunft vor wo Monopole wie Facebook, Instagram, Google, YouTube den gesamten öffentlichen digitalen Raum von unliebsamen Meinungen ""frei halten"". Wir erleben gerade wie die Werbeindustrie eine digitale Überwachungsinfrastruktur aufbaut die von heute auf morgen von einem totalitären Regime zur Totalkontrolle der Bürger missbraucht werden kann. Es gibt einen guten Grund warum Geheimdienste in Deutschland so wenig Befugnisse nach dem zweiten Weltkrieg bekommen haben. Aber diese Lehre aus dem zweiten Weltkrieg, keine Infrastruktur zu haben die von einem totalitären System übernommen werden kann, haben wir vollkommen über Bord geworfen. Wir müssen Erinnerungskultur ganz neu verstehen. Die Gefahr für Demokratie geht heute von der Werbeindustrie aus und der Objektifizierung des Menschen als Datenressource die maximal erschlossen werden soll. Heute werden wir nicht mehr nach Hautfarbe und Schädelform vermessen, sondern durch Algorithmen die dein Verhalten und Denken vorher sagen können. Wenn wir eine echte Erinnerungskultur haben wollen die nicht nur aus Lippenbekenntnissen besteht und sozial akzeptierten Phrasen, müssen wir fragen, welche Strukturen es einem Faschismus der Zukunft ermöglichen groß zu werden. Und das geht nicht indem man eine Menschengruppe idenifiziert die am ehesten den Bildern des alten Totalitarismus entsprechen. Die Objektifizierung und Degradierung des Menschen als Datenressource, die mit den Prinzipien der behavioral Economics in das Verhalten ""genudged/geschubst"" wird - dieses Menschenbild eines Menschen ohne freien Willen der sich nicht selbst seines Verstandes bedienen kann, wird die Quelle des Faschismus des Totalitarismus der Zukunft. Das ist das Erstbeweger-Prinzip das gezogen werden muss bevor es an Momentum gewinnt.",2021-05-13T00:11:00.000Z,2 likes,-,https://www.instagram.com/p/COsqM85qZx2/,comments6833525200870954952.csv
207,86-22,_anacrohnistich_,"@chiaras.karotte aber von „diesen Leuten“ habe ich bisher auch sachliche Argumente gelesen, von Ihnen bisher ausschließlich spamartige Beleidigungen unter jedem Kommentar, die teilweise den Straftatbestand erfüllen. Wo genau jetzt Ihr Verhalten konstruktiv und „besser als die Gegenseite“ sein soll, erschließt sich mir nicht.

Das hier ist ein geschichtliches Projekt begleitet von Historikerinnen. Dieses Projekt wird, wie bei allem in der wissenschaftlichen Welt, einer Peer Review unterzogen. Und es gibt auch in HistorikerInnen-Kreisen, in Geschichtslehrerverbänden, bei Stiftungen zu Erinnerungskultur usw. Diskussion und Kritik am Projekt und das ist gut und wichtig.",2021-05-23T03:52:57.000Z,5 likes,86,https://www.instagram.com/p/CPLYhQFnWAp/,comments-8968321985349809604.csv
222,86-37,_anacrohnistich_,"@chiaras.karotte ich weiß auch nicht, was Pronomina überhaupt hier in einer geschichtsdidaktischen und erinnerungskulturellen Diskussion zu suchen haben.",2021-05-23T12:22:28.000Z,3 likes,86,https://www.instagram.com/p/CPLYhQFnWAp/,comments-8968321985349809604.csv
279,95-3,geierandrea2017,"@jorinde.wiese das muss besser werden oder es wird 1 „Leuchtturmprojekt, das mit dem warnenden Zusatz „so auf keinen Fall Erfolg herstellen“ in die Geschichtsdidaktik eingehen wird. #Erinnerungskultur",2021-05-23T07:28:40.000Z,1 like,95,https://www.instagram.com/p/CPLYhQFnWAp/,comments-8968321985349809604.csv
