,Id/Reply-Id,User,Comment,Date,Likes,Reply To CommentId,Link,Filename
20,20,ella_0573,"Meine Großeltern lebten in der Geschwister-Scholl-Straße und als Kind (in der DDR) hat es mich interessiert, warum die Straße diesen Namen trägt. Als ich mich bei meinen Großeltern, in der Bibliothek und bei meiner Geschichtslehrerin schlau machte, war ich schon ziemlich beeindruckt, dass junge Leute für ihre Ideale und gegen eine Diktatur ihr Leben auf‘s Spiel setzen. Mich hat es trotzdem erschüttert, dass man sie hingerichtet hat. Deshalb war und bin ich froh, dass man sie ehrt, in dem man Straßen und Schulen ihren Namen gibt, damit die Erinnerung an ihren Mut und Zivilcourage bleibt.",2021-05-30T09:36:00.000Z,0,-,https://www.instagram.com/p/CPdrSgmHJ40/,comments5985912540677325883.csv
73,60,claeuschen85,"Als erstes möchte ich mal sagen, dass ich es toll finde wieviele Menschen auf dich Sophie und auf euer Projekt reagieren. Das Gedanken und Gefühle hier ihren Platz finden können. Meine Großeltern haben diese Zeit auch erlebt mit Vertreibung und Einzug in den Krieg. Ich glaube sie hätten sich sehr gefreut wenn sie das hier mitbekommen hätten. Als zweites stosse ich in Gedanken mit euch an, ihr seit mutig und tapfer ,lasst euch das nicht nehmen. Ihr seit wunderbar.",2021-05-29T18:50:13.000Z,5 likes,-,https://www.instagram.com/p/CPdrSgmHJ40/,comments5985912540677325883.csv
95,80,hauptstadtlady50,"Liebe Sophie, dieser Account berührt mich sehr. Die Eltern meines Vater waren Juden, er wurde 1939 (er starb 2001) geboren und verbrachte die ersten Lebensjahre mit seiner Mutter in einem Versteck während sein Vater Bergen Belsen überlebte. Da die Eltern meiner Mutter ein behindertes Kind hatten und es vor den Behörden versteckten haben auch sie Repressalien erlebt. Anfang der 60er Jahre lernten sich dann meine Eltern kennen und lieben, ich würde 1964 geboren. Ich habe den Schmerz, die Angst und das Trauma meiner Großeltern als Kind und Jugendliche miterlebt und leider auch mit erlebt, dass mein Vater nur durch Gewalt an seinen Kindern mit seinem Trauma umgehen könnte. Als ich deshalb einmal meine Großeltern fragte warum sie nach 1945 geblieben sind antworteten sie: "" dies ist und war auch unser Land. Viele große Dichter und Denker waren Juden. Danke dass ihr die Erinnerung lebend haltet.",2021-05-29T17:46:07.000Z,982 likes,-,https://www.instagram.com/p/CPdrSgmHJ40/,comments5985912540677325883.csv
124,90,chewieswife,"Bin dankbar, dass ich mit meinen Großeltern so viel darüber reden konnte! 🙏",2021-07-29T14:57:28.000Z,1 like,-,https://www.instagram.com/p/CR6bBaMMf-N/,comments-8602687962045849809.csv
207,127-11,chewieswife,@elalalilou ganz genau so ist es. Meine Großeltern hatten/haben alle zwischen 5-10 Geschwister. Das war alles andere als einfach.,2021-07-29T14:56:08.000Z,4 likes,127,https://www.instagram.com/p/CR6bBaMMf-N/,comments-8602687962045849809.csv
209,127-13,ichbinjuedin_ichbindeutsche,"@elalalilou hallo. Meine Großeltern waren Juden, mein Großvater war Offizier im 1. Weltkrieg und arbeitete für den Regierungspräsidten von Münster. Er glaubte, dass er und seine Familie sicher sein werden. Zudem war er der Ansicht viele große Künstler:innen der Vergangenheit waren Juden und Deutschland kulturelle geprägt haben. Deshalb haben sie nicht an Flucht gedacht bis mein Großvater in seiner Dienststelle verhaftet wurde. Meine Großmutter wurde gewarnt und konnte sich verstecken. Im Gegensatz zu vielen anderen entschieden sie nach der Befreiung in Deutschland zu bleiben und als ich irgendwann fragte warum bekam ich die Antwort: ""dies ist auch unsere Land.",2021-07-29T19:29:53.000Z,10 likes,127,https://www.instagram.com/p/CR6bBaMMf-N/,comments-8602687962045849809.csv
40,22,wanderlust_sundee,"Ich verfolge den Kanal täglich.. und dieses bedrückende Gefühl das mir fast die Luft raubt wenn ich eure Story sehe... danke dafür.. ! Man versteht und fühlt, ja man lebt förmlich un der Zeit unserer Großeltern.. danke dafür.. man kennt die Geschichte aus dem Unterricht, aber hier lebt man sie... danke dafür... und es zeigt einem das sowas NIE NIE mehr passieren darf und wir die Verantwortlichen sind das zu verhindern.. DANKE DAFÜR! Ganz ganz tolles Projekt ❤️",2021-06-08T10:57:37.000Z,2 likes,-,https://www.instagram.com/p/CP0SHTyrOdC/,comments-1117551051760120097.csv
42,23,wanderlust_sundee,"Ich verfolge den Kanal täglich.. und dieses bedrückende Gefühl das mir fast die Luft raubt wenn ich eure Story sehe... danke dafür.. ! Man versteht und fühlt, ja man lebt förmlich un der Zeit unserer Großeltern.. danke dafür.. man kennt die Geschichte aus dem Unterricht, aber hier lebt man sie... danke dafür... und es zeigt einem das sowas NIE NIE mehr passieren darf und wir die Verantwortlichen sind das zu verhindern.. DANKE DAFÜR! Ganz ganz tolles Projekt ❤️",2021-06-08T10:57:12.000Z,4 likes,-,https://www.instagram.com/p/CP0SHTyrOdC/,comments-1117551051760120097.csv
371,332,bauerhartmut,"👏DANKE !! Excellent 👏 Aufarbeitung des Lebens meiner Großeltern., ich bin Ü60 Generation , als ich Kind war wurde mir immer erzählt , das die Russen und Amerikaner den Krieg vom Zaun gebrochen hatten ! Mit dem Alter stellte ich fest , das es in unserer Gesamten Familie stramme Nazis 😢 gab und auf der anderen Seite KPD und SPD Leute .... Ich fühlte mich bei den Letzteren besser aufgehoben 😊 hoffe mal das Du viel Kraft und Energie hast das ganze hier gut über die Bühne bringst 👏👏 Heute brauchen wir mehr denn je Leute wie Dich ! Deutschland braucht keine 💩AfD und andere Faschisten💩 ! !",2021-05-04T12:30:53.000Z,19 likes,-,https://www.instagram.com/p/COcrpobqzgm/,comments-7972830837056155095.csv
63,31-8,katharina.helling,"@pat.paverea Ich fand Jungs tatsächlich - im allgemeinen - noch nie doof. Hab immer schon mit jedem geredet. Aber ja, natürlich gibt es Einstellungen, die sich bei mir geändert haben. Ich weiß aber nicht, was es damit zu tun hat, dass sich Einstellungen einer Person im Laufe der Zeit ändern können, wenn hier Menschen, Einstellungen zugeschrieben werden, für die es keine Belege gibt. Und die sie - wie man an vielen Kommentaren sehr deutlich erkennen kann - in einem sehr unsympathischen Licht erscheinen lassen. Gibt es dafür Belege - fein. Gibt es keine und es entspringt vor allem der Phantasie von Drehbuchautor:innen finde ich es kritikwürdig. Dann hätte man eine gänzlich fiktive Geschichte erfinden müssen und nicht wg der Popularität und den deswgen erwarteten höheren Erfolgschancen jemanden nehmen dürfen, den es tatsächlich gab. Menschen die eigene Beweggründe, Ziele hatten und die Nachfahren haben, die es schmerzen kann, wenn die Geschichten ihrer Eltern/Großeltern/(Groß)Tanten/(Groß)Onkel .... so erzählt werden.",2021-12-01T17:40:00.000Z,6 likes,31,https://www.instagram.com/p/CW8A790Mp-s/,comments3603593403683059925.csv
74,63,tesapluskitty,"Ich habe damals den Struwwelpeter und Grimms und Andersens Märchen in der Originalversion bei meinen Großeltern gelesen, meine Mutter hat die Märchen immer nur zensiert vorgelesen, bei ihr war der böse Wolf der liebe Hund 😂",2021-05-22T14:30:34.000Z,2 likes,-,https://www.instagram.com/p/CPLRi48nrz7/,comments8355353662295954093.csv
15,10-3,elmalu95,"@ulrikemunner meine Großeltern gehören für mich zu den stärksten Menschen dieser Welt. Sie haben trotz aller Schicksale nie verlernt zu lieben und zu lachen. Ich bin ihnen sehr dankbar. Wir können so vieles von ihnen lernen. Ich höre Ihnen einfach so gerne zu, wenn sie von früher erzählen. Keine Doku könnte das besser als sie",2021-09-08T15:58:08.000Z,4 likes,10,https://www.instagram.com/p/CTjMDCrjFP6/,comments4768888214613560086.csv
34,20,jonas_mkn,"Meine Urgroßeltern hatten einen Obst- und Gemüseladen in Hamburg. Meine Urgroßmutter hat den Laden komplett alleine geschmissen, weil mein Urgroßvater in einer Kaserne in Harburg stationiert war - nur zum Kartoffeln verladen half er, dafür fuhr sie mit dem LKW alleine den Weg nach Harburg und ließ ihren Gatten vom Dienst befreien, zur Versorgung der Bevölkerung. Das passierte häufiger und als er eines Tages vom Kartoffen verladen zurückkehrte, war er der Einzige überlebende seiner Einheit, weil in der Zwischenzeit die Harburger Kaserne ausgebombt wurde. Das ist ein wichtiger Baustein unserer Familiengeschichte.",2021-09-08T09:20:25.000Z,89 likes,-,https://www.instagram.com/p/CTjMDCrjFP6/,comments4768888214613560086.csv
57,31,christophergreverode,"Ich werde immer ein bißchen belächelt, wenn ich sage, daß ich - mit meinen 51 Jahren - beim Erklingen von Sirenen den Reflex habe, in den Keller zu gehen, aber die Erzählungen meiner Großeltern von den Bombardierungen waren für mich als Kind so plastisch, so echt, daß ich bis heute das Gefühl habe, mich selbst an diese Kriegssituationen zu erinnern... Was gut ist, denn mit dem Aussterben der Zeitzeugen verblassen die Schrecken des Krieges beinden nachfolgenden Generationen, und das ist gefährlich und macht unsensibel.",2021-09-08T06:39:39.000Z,175 likes,-,https://www.instagram.com/p/CTjMDCrjFP6/,comments4768888214613560086.csv
12,13,teachers4future9,Ich vermisse meine Großeltern,2021-12-25T17:45:33.000Z,2 likes,-,https://www.instagram.com/p/CX5mhF5MoAW/,comments1324460612858698161.csv
