,Id/Reply-Id,User,Comment,Date,Likes,Reply To CommentId,Link,Filename
14,12,hauptstadtlady50,"❤️lichen Glückwunsch an Inge. Mit 25 Jahren noch nicht verheiratet? Ich weiß von meinen Tanten, dass meine Großmutter sie ab 18 gedrängt hat damit auch ja vor ihrem 21 Geburtstag verheiratet sind. Selbst bei ihren 7 Enkelinen begann sie zu drängen, aber nur 2 heirateten dann in den 80ern vor ihrem 21 Geburtstag. Ich war aber schon 26 als ich endlich heiratete, an meinem 21 Geburtstag meinte sie dann zu mir: ""Kind was soll ohne Mann nur aus dir werden."" ich war die einzige Enkelin die Abitur machte und studiert. Genießt Inges Geburtstag 🙋‍♀️🌞😍.",2021-08-11T14:06:54.000Z,1 like,-,https://www.instagram.com/p/CSbhSJ9DjIW/,comments4140759960054195220.csv
13,13,kathrinkollmer,Mein Großvater Mütterlicher Seite kam aus der Ukraine 44 in Deutschland als Zwangsarbeiter an. 😢Seine Liebe zur Großmutter in der er verliebt war hielten sie Geheim wegen der GESTAPO und der SS in Straubing nach dem Krieg Mai 45 wollte er seine Familie suchen doch es gab kein Lebenszeichen 😢😢,2021-05-30T13:45:54.000Z,0,-,https://www.instagram.com/p/CPdrSgmHJ40/,comments5985912540677325883.csv
209,127-13,ichbinjuedin_ichbindeutsche,"@elalalilou hallo. Meine Großeltern waren Juden, mein Großvater war Offizier im 1. Weltkrieg und arbeitete für den Regierungspräsidten von Münster. Er glaubte, dass er und seine Familie sicher sein werden. Zudem war er der Ansicht viele große Künstler:innen der Vergangenheit waren Juden und Deutschland kulturelle geprägt haben. Deshalb haben sie nicht an Flucht gedacht bis mein Großvater in seiner Dienststelle verhaftet wurde. Meine Großmutter wurde gewarnt und konnte sich verstecken. Im Gegensatz zu vielen anderen entschieden sie nach der Befreiung in Deutschland zu bleiben und als ich irgendwann fragte warum bekam ich die Antwort: ""dies ist auch unsere Land.",2021-07-29T19:29:53.000Z,10 likes,127,https://www.instagram.com/p/CR6bBaMMf-N/,comments-8602687962045849809.csv
12,13,sylvajurgensen,Das Lieblingslied meiner Großmutter,2021-09-29T20:56:21.000Z,4 likes,-,https://www.instagram.com/p/CUZ_oNUDdl5/,comments3623479848134682769.csv
34,20,jonas_mkn,"Meine Urgroßeltern hatten einen Obst- und Gemüseladen in Hamburg. Meine Urgroßmutter hat den Laden komplett alleine geschmissen, weil mein Urgroßvater in einer Kaserne in Harburg stationiert war - nur zum Kartoffeln verladen half er, dafür fuhr sie mit dem LKW alleine den Weg nach Harburg und ließ ihren Gatten vom Dienst befreien, zur Versorgung der Bevölkerung. Das passierte häufiger und als er eines Tages vom Kartoffen verladen zurückkehrte, war er der Einzige überlebende seiner Einheit, weil in der Zwischenzeit die Harburger Kaserne ausgebombt wurde. Das ist ein wichtiger Baustein unserer Familiengeschichte.",2021-09-08T09:20:25.000Z,89 likes,-,https://www.instagram.com/p/CTjMDCrjFP6/,comments4768888214613560086.csv
158,159,bibidebrix,"Ich erinnere mich, daß meine Großmutter das mal erzählt hatte. Vom Jahrgang her noch ein paar Jahre jünger als du, durfte auch nicht rauchen. Es ist ungesund, ja, aber das sollte man jedem selbst überlassen.",2022-01-04T13:20:27.000Z,7 likes,-,https://www.instagram.com/p/CYTzPM8MaoX/,comments-6556673865046132735.csv
28,17-5,ichbinjuedin_ichbindeutsche,"@ulrikemunner es gab aber auch viele die diese Lage ausnutzen. Mein Großvater war Offizier im 1. Weltkrieg und arbeitete im Büro des Regierungspräsidenten in Münster deshalb glaubte er sicher zu sein. 1939 gehörte er zu den ersten Juden, die verhaftet wurden, seine Frau wurde gewarnt und konnte hochschwanger flüchten. Sie versteckte sich auf einem kleinen Bauernhof im Münsterland und bekam hier ihr Kind, etwa nach einem Jahr erpresste der Bauer sie zum Sex und schließlich wurde sie schwanger und brachte 1942 eine Tochter zur Welt. Nach dem Kriegsende, der Befreiung und dem wiederfinden seiner Familie erkannte mein Großvater sie als seine Tochter an. Aber es gab Spannungen und Konflikte, die selbst wir Kinder (ich bin 1964 geboren) mitbekamen. Mein Großvater hat seinen Sohn (mein Vater) geliebt weil er sein Sohn und Stammhalter war, aber er hat ihn auch verabscheut denn seinetwegen lieferte sich meine Großmutter diesem Bauern aus. Mein Großvater hat meine Tante irgendwie geliebt denn ihretwegen waren meine Großmutter und mein Vater in Sicherheit, aber als Tochter eines Nazis hat er sie auch verabscheut.",2021-08-22T18:00:27.000Z,2 likes,17,https://www.instagram.com/p/CS1bkb8sZJn/,comments1630443717066312072.csv
34,21,frauenvondamals,"""So schön ist sein Alltag aber garantiert nur in seiner Vorstellung""?
Euer Ernst?
Frage für eine Großmutter Jahrgang 1916, die auf diese Formulierung wahrscheinlich eher nicht gekommen wäre, wenn sie sich den Alltag ihres Mannes an der Ostfront vorstellt. Bitte fragt jemanden um Rat, wie sich das bearbeiten lässt.",2021-08-26T13:07:52.000Z,16 likes,-,https://www.instagram.com/p/CTCd6mxjNRX/,comments-1422782014079165493.csv
20,21,heikegumz,"Renée Sintenis' Werke wurden ja ab 1934 aus öffentlichen Sammlungen entfernt, weil ihre Großmutter Jüdin war. Ist bekannt/belegt, wie Sophie Scholl in Kontakt mit ihrer Kunst kam, @ichbinsophiescholl ?",2021-06-24T11:32:29.000Z,6 likes,-,https://www.instagram.com/p/CQf3vjKHh_m/,comments-218649363217994149.csv
18,16,katja.rufa,"Wenn ich mich richtig erinnere, gehört mein Großvater zu den Soldaten, die damals in Stalingrad eingekesselt waren.
Er hat nie viel erzählt von der Zeit. Wenn, dann davon wie sehr sie Hunger gelitten haben. Einmal hat er davon erzählt, dass sie das Fleisch, eines seit mehreren Tagen toten Pferdes gegessen haben. Als meine Großmutter fragte, ob sie denn das Fleisch zumindest gebraten hätten, war seine Antwort nur, wir hatten kein Feuer.
Selbst bis ins hohe Alter wurde bei meinen Großeltern kein noch so trockenes Brotstück weg geworfen. Wenn meine Großmutter darum bat, dass frische Brot zu essen und das alte Stück wegwerfen wollte, sagte mein Opa immer, wir wären froh gewesen, wir hätten damals trockenes Brot zum essen gehabt.",2021-09-30T20:42:33.000Z,181 likes,-,https://www.instagram.com/p/CUclbiQsezP/,comments1431119132924083735.csv
20,17,___eva__maria___,"Ich kann dazu auch das Projekt Starless in Stalingrad empfehlen. Die dort veröffentlichte Feldpost eines in Stalingrad stationierten Soldaten ist sehr berührend. Ein Bruder meiner Urgroßmutter ist leider in Stalingrad gefallen, die Familie erfuhr nie wirklich etwas um abschließen zu können.",2021-09-30T20:26:37.000Z,1 like,-,https://www.instagram.com/p/CUclbiQsezP/,comments1431119132924083735.csv
106,83,miriam_eva_hofmann_art,Meine Mutter und Großmutter haben viele Bombenangriffe im Keller überstehen müssen. Meine Patentante war auch Kölnerin. Es gibt Briefe wie sie ihr Entsetzten über die Trümmer und zerstörte Hohestr. beschreibt.,2021-06-29T19:44:58.000Z,0,-,https://www.instagram.com/p/CQtcnzhsjDH/,comments-4138837821188628794.csv
32,20,marie.thie,"Wir sind am Wochenende noch alte Briefe (auch um die Jahre 42 rum) bei meiner Großmutter durchgegangen, von ihrem Onkel (als Bruder & Schwester aber aufgewachsen) aus Russland versendet. Schrecklich, herzzerreißend, hat auch Karten gemalt und Gedichte von dort geschrieben (ist mit Anfang 20 nicht lebend zurückgekommen).... ein unfassbares Leid. (""Russland, du Mörder meiner Jugend"" heißt es zB).",2021-10-05T15:43:01.000Z,28 likes,-,https://www.instagram.com/p/CUpt_dMMcXu/,comments2121195711148302200.csv
33,34,hauptstadtlady50,"So packe ich auch die Koffer, habe es von meiner Großmutter gelernt 🙋‍♀️🌞😍.",2021-07-25T10:09:30.000Z,1 like,-,https://www.instagram.com/p/CRvpvT0qM5N/,comments5679444712897488245.csv
28,19-4,eileen_a_tieno,"@k_lschb_ch Mein Urgroßvater war bei der SS. Meine Urgroßmutter wusste, was er da getan hat. Sie hat das immer ""nett"" umschrieben mit ""er hat im Osten gearbeitet""... Ob die Menschen in Köln wussten, was in Ravensbrück passiert, kann man heute schwer sagen, aber unwahrscheinlich ist es nicht, dass nicht alle unwissend waren und zumindest die Menschen, die in der Nähe der KZs gelebt haben, wussten was da passiert.",2021-06-30T15:51:23.000Z,7 likes,19,https://www.instagram.com/p/CQvb607sC8F/,comments-6143990218264557167.csv
33,19-9,eileen_a_tieno,"@k_lschb_ch Was Bares für Rares angeht, gebe ich dir Recht. Wie gesagt mein Urgroßvater war bei der SS. Der Verlobungsring meiner Mutter wurde aus einzelnen Schmuckstücken meiner Urgroßmutter gemacht. Da wurde Gold zusammen geschmolzen und einzelne Rubine eingesetzt. Einen einzelnen Rubin hab ich noch. Der Ring existiert natürlich auch noch. Meine Eltern haben nie hinterfragt, dass meine Urgroßmutter einzelne Ohrringe etc. und einzelne Steine für einen Verlobungsring übrig hatte. Sie ist leider zu früh gestorben als das ich hätte fragen können, aber ich habe mal in einem Buch von einem Überlebenden gelesen, dass sich SS Wachleute in KZs manchmal mit Schmuckstücken haben bestechen lassen. Meine Urgroßeltern sind ins Ruhrgebiet ""geflüchtet"" - als meine Mutter meine Urgroßmutter in den 1980ern kennengelernt hat, hatte meine Urgroßmutter noch ganze Schmucksets und diverse Pelzmäntel aus den 30ern und 40ern. Sie war richtig stolz drauf und hat alles penibel gepflegt und zusammen gehalten. Es ist eher untypisch für sie, dass sie Schmuckstücke verloren haben soll. Die Wahrheit darüber werde ich wohl nie herausfinden. Meine Oma redet nicht darüber. Ich hab auch vor 2-3 Jahren erst erfahren, dass mein Großvater Brüder hatte. Die waren auch bei der SS. Sind im Krieg gefallen. Du hast übrigens einen Punkt erwähnt, den ich nie bedacht habe. In der jüdischen Bevölkerung gab es Wissen über die KZs. Warum hätten alle anderen nichts davon wissen sollen?",2021-06-30T16:56:24.000Z,16 likes,19,https://www.instagram.com/p/CQvb607sC8F/,comments-6143990218264557167.csv
36,19-12,eileen_a_tieno,"@k_lschb_ch Ich wüsste aber auch keinen Grund nicht offen darüber zu reden. Mein Urgroßvater hat zeitlebens nicht von seiner NS Ideologie abgelassen. Er hat Nazi Propaganda Bücher mitgenommen als er mit seiner Familie vor den Konsequenzen seiner Ideologie nach Westen geflohen ist. Nicht alle sind bis heute erhalten geblieben, aber die Tatsache allein, dass er diese Bücher beim Packen des Notwendigsten mitgenommen hat, sagt viel. Es sagt auch viel über meine Urgroßmutter, dass sie Schmuck und Pelze mitgenommen hat. Es heißt die Familie hätte ein Fuhrunternehmen gehabt und es wäre ihnen im Krieg gut gegangen. Nachprüfen kann ich das nicht, weil ich zum einen nicht mal den Ort kenne, wo meine Familie gelebt hat, noch kenne ich die Geburtsdaten meiner Urgroßeltern. Ich weiß tatsächlich fast gar nichts, weil meine Oma beharrlich schweigt. Was ich mit Sicherheit weiß, ist dass mein Urgroßvater nicht einfach nur ein Soldat war, der Befehle befolgt hat. Er hat ein Fernglas aufgehoben, das Teil seiner Ausrüstung war. Dieses Fernglas war (meiner Recherche nach) Bestandteil der Zusatzausrüstung für Gruppenführer, Zugführer und Kompaniechefs. Kompaniechefs hatten den untersten Offiziersgrad, wenn ich das grad richtig im Kopf habe. Jedenfalls hatten einfache Soldaten diese Ferngläser nicht. Dazu gibt es eine Ledertasche mit seinem Namen drin. Das Fernglas funktioniert bis heute übrigens einwandfrei. Von der Familie mütterlicherseits weiß ich fast nichts, aber der Großvater auf der Seite war bei der HJ. Meine Oma auf der Seite hat den Krieg als Kind erlebt. Ich denke nicht, dass sie sich an viel erinnern kann, aber wenn sie erzählt, dann mit Vorliebe davon wie ihre Mutter flüchten musste. An eine Beteiligung ihrer Familie kann sie sich nicht erinnern. Ich denke in vielen Familien ist es ähnlich wie in meiner. Es ist als gäbe es vor 1945 nicht. Darüber wird nicht gesprochen.",2021-06-30T19:33:47.000Z,10 likes,19,https://www.instagram.com/p/CQvb607sC8F/,comments-6143990218264557167.csv
84,30-1,sui_los_gatos,"@jessy.paintapicture Die Familie meiner Großmutter stammte auch aus Köln. Ihre Wohnung wurde auch zerbombt. Der Dom sollte meines Wissens auch zerstört werden, aber ein britischer Offizier hat sich geweigert, den Befehl zu erteilen. An einer Stelle wurde der Dom leicht zerstört. Köln insgesamt war glaube ich bis zu 90% zerbombt.",2021-06-30T12:45:34.000Z,2 likes,30,https://www.instagram.com/p/CQvb607sC8F/,comments-6143990218264557167.csv
85,30-2,jessy.paintapicture,"Ja, soweit ich informiert bin, sollte auch der Dom zerstört werden, wer auch immer das verhindert hat, danke! Und dennoch ein Wunder, dass dieses riesige Gebäude noch steht, drum herum war alles kaputt. Von meiner Familie wurde, soweit ich weiß, auch alles zerstört. Zumindest hat mein Urgroßvater nach dem Krieg in einer Garten Kolonie ein Haus gebaut und dort mit meiner Urgroßmutter bis kurz vor ihrem Tod gelebt. Eigentlich ist das nicht erlaubt, aber Leute wie sie hatten ein lebenslanges Wohnrecht in der Gartenkolonie. Als ich klein war gehörte uns der Garten links daneben, rechts daneben einem anderen Teil der Familie, ich glaube irgendeinem cousin meiner Mutter oder so",2021-06-30T15:46:23.000Z,4 likes,30,https://www.instagram.com/p/CQvb607sC8F/,comments-6143990218264557167.csv
11,12,stefan_gruenert,"Meine Großmutter stammt aus der Pfalz und alleinerziehend drei Kinder durch den Krieg gebracht. Hinter ihrem Haus war ein kleiner Acker, auf dem neben Erdbeeren und Himbeeren auch Kartoffeln angepflanzt wurden. In einem Jahr in den 70ern mussten wir ihr Käfer von den Pflanzen sammeln. In kleinen Eimern haben meine Schwester und ich die Krabbeltiere im Klo weggespült. Ich kann mich daran erinnern, dass sie davon erzählt hat wie im Krieg eine Kartoffelkäferplage die ernte auf ihrem Acker beinahe vollständig vernichtet hatte. Vielleicht war das ja die zitierte probeweise aussetzung? Ein weiteres puzzleteil das zum Gesamtbild eines menschenverachtenden Regimes passt. Danke für die gute Arbeit!",2021-06-29T07:38:23.000Z,0,-,https://www.instagram.com/p/CQqGPxaHlUK/,comments713602746425152412.csv
12,13,stefan_gruenert,"Meine Großmutter stammt aus der Pfalz und alleinerziehend drei Kinder durch den Krieg gebracht. Hinter ihrem Haus war ein kleiner Acker, auf dem neben Erdbeeren und Himbeeren auch Kartoffeln angepflanzt wurden. In einem Jahr in den 70ern mussten wir ihr Käfer von den Pflanzen sammeln. In kleinen Eimern haben meine Schwester und ich die Krabbeltiere im Klo weggespült. Ich kann mich daran erinnern, dass sie davon erzählt hat wie im Krieg eine Kartoffelkäferplage die ernte auf ihrem Acker beinahe vollständig vernichtet hatte. Vielleicht war das ja die zitierte probeweise aussetzung? Ein weiteres puzzleteil das zum Gesamtbild eines menschenverachtenden Regimes passt. Danke für die gute Arbeit!",2021-06-29T07:24:02.000Z,162 likes,-,https://www.instagram.com/p/CQqGPxaHlUK/,comments713602746425152412.csv
14,13-2,wiebkewiedeck,@stefan_gruenert Alleinerziehend drei Kinder durch den Krieg gebracht. Deine Großmutter war eine sehr starke Frau und ihr gebührt jeder mögliche Respekt. 🙋🏼‍♀️Was für eine Leistung!!! ❤️,2021-06-29T19:29:00.000Z,17 likes,13,https://www.instagram.com/p/CQqGPxaHlUK/,comments713602746425152412.csv
363,226,d.r_e_wert,"Meine Großmutter hat gekämpft, dass mein Vater nicht auf so ein Nazi Internat musste. „Ihr habt mir meinen Mann genommen, meinen Sohn brauche ich hier auf den Hof.“ (mein Vater 12 Jahre)",2021-05-16T09:51:03.000Z,1 like,-,https://www.instagram.com/p/CO7bXwbnI-F/,comments-6495335396302545305.csv
