,Id/Reply-Id,User,Comment,Date,Likes,Reply To CommentId,Link,Filename
0,1,jana_il_86,Helden seid ihr wahre Helden 😢,2022-01-13T13:51:03.000Z,0,-,https://www.instagram.com/p/CReCzWRouMn/,comments-7599934469228987964.csv
123,103,anke.de.jonge,Wenn unsere Jugend von heute nur wüsste welche Freiheit ihr ihnen für heute geschenkt habt. Ihr seid und sind immer noch Helden!,2021-05-29T17:21:47.000Z,2 likes,-,https://www.instagram.com/p/CPdrSgmHJ40/,comments5985912540677325883.csv
169,135,nicole_cvlk,Helden! ❤️,2021-05-29T16:46:56.000Z,1 like,-,https://www.instagram.com/p/CPdrSgmHJ40/,comments5985912540677325883.csv
95,65-1,katharina.helling,"@ichbinsophiescholl mir war das bisher gar nicht bekannt, dass ein zu starker ‚Realitätsbezug‘ nach NS-Ideologie problematisch war. Dachte bislang eher abstrakte, in NS-Sprache ‚infantile‘ Darstellungen, die mit Bildern geistig Behinderter verglichen wurden oder aber zu ‚negativ‘ waren und Verfall/Krankheit etc thematisierten und so nicht zum idealisierten, militarisierten deutschen Heldenmythos passten und vermeintlich ‚zersetzend‘ wirken würden, wurden als entartet verboten. Die Bilder unterstützter Künstler waren in der Darstellung ja grds sehr ‚realistisch‘ - also konkret - in der Darstellung. Bei den Bilder Modersohn-Beckers hätte ich jetzt eher eine zu abstrakte Darstellung vermutet. Habt ihr das was zum nachlesen bzgl Realismus in der Kunst in der NS Zeit? Oder hab ich Eure Erklärung falsch verstanden?",2021-07-07T14:29:58.000Z,1 like,65,https://www.instagram.com/p/CRBj-vMMbu6/,comments-2043556838132162494.csv
97,65-3,katharina.helling,"@ichbinsophiescholl Lieben Dank für die Antwort! Wobei der Vorwurf eines ‚(vermeintlich) zu starken Realtitätsbezug‘ ja eben bei gerade diesen Stilrichtungen seltsam/unplausibel ist. Weil Kunstwerk dieser Gattungen gerade eben weniger bis gar keinen Realitätsbezug aufweisen (erst recht keinen heldenhaften, ideologisierten), im Gegensatz zur Historien- und Landschaftsmalerei. Also müsste - und so dachte ich bislang sei es gewesen - wurde entarteter Kunst vorgeworfen eben gerade vermeintlich keinen ‚Realitätsbezug‘ zu haben, weil abstrakt oder nicht der Ästhetik/Heldenhaftigkeit entsprechend.
Abstrakter Kunst vorzuwerfen der Realitätsbezug sei zu groß ist doch ein Widerspruch in sich (und auch für die Ideologie/Propaganda nicht förderlich). Das war das was ich nicht verstehe (und bisher anders ‚wusste‘).",2021-07-07T15:36:30.000Z,0,65,https://www.instagram.com/p/CRBj-vMMbu6/,comments-2043556838132162494.csv
101,65-7,anbu1203,"@zuagroastebayrischeschwaebin „zu großer Realitätsbezug“ bezog sich auf Bilder, die die ungeschminkte Realität zeigten. Eben nicht die heile Familie, strahlende Kriegshelden, durchtrainierte gesunde Körper, …sondern Leid, Verstümmelungen, Zerstörung - die Wahrheit eben. Das wollten die Nazis nicht, es sollte keine Zweifel an der Führung geben.",2021-07-09T08:35:49.000Z,2 likes,65,https://www.instagram.com/p/CRBj-vMMbu6/,comments-2043556838132162494.csv
33,30,tiertina,"Von Herzen Dank für dieses kostbare Projekt, das dieser Heldin so gerecht wird",2021-05-23T22:13:27.000Z,3 likes,-,https://www.instagram.com/p/CPOLN4gqi3k/,comments-8118962044013558012.csv
113,104-3,yomaart,"@voll.muttiviert 💐 genau daran musste ich auch denken, als ich den Film gesehen habe, der auch mich sehr berührt hat 😍 Krass, wieviel wir all diesen HeldInnen + Helden von damals zu verdanken haben 😍 Einige von uns wären zu der Zeit wohl auch geköpft worden.",2021-05-15T13:08:34.000Z,1 like,104,https://www.instagram.com/p/CO3NpGSHm4S/,comments-7958830101172431688.csv
68,67,konsti_k_1969,"Wow, bin total begeistert von der Umsetzung. Die Mitglieder der weißen Rose waren Helden, die für Ihre mutigen Taten mit dem Leben bezahlt haben. Es ist auch nach so langer Zeit einfach nur traurig. Aber die Dämonen leben ja leider immer noch. Siehe „Fliegenschiss in der Deutschen Geschichte“. Einfach nur widerlich 🤮",2021-05-06T19:39:47.000Z,1 like,-,https://www.instagram.com/p/COcrpobqzgm/,comments-7972830837056155095.csv
131,129,spracherwerb,"""Es ist nicht wie im Film, da stirbt der Held zum Schluss, damit man nicht so lange ohne ihn auskommen muss. Es ist nicht wie im Film, man kann nicht einfach geh'n, man kann auch nicht zurückspul'n um das Ende nicht zu seh'n"" (Farin Urlaub) krasses Projekt. Hab Gänsehaut.",2021-05-05T16:52:59.000Z,1 like,-,https://www.instagram.com/p/COcrpobqzgm/,comments-7972830837056155095.csv
297,277,zeitreise68,"Eine Heldin unserer Zeit, ich bin mal gespannt wie realistisch die Zeit und Gesellschaft wiedergegeben wird.",2021-05-04T15:19:10.000Z,3 likes,-,https://www.instagram.com/p/COcrpobqzgm/,comments-7972830837056155095.csv
342,307,markvonstackelberg,Ihr wart und seid meine Helden!,2021-05-04T13:22:48.000Z,0,-,https://www.instagram.com/p/COcrpobqzgm/,comments-7972830837056155095.csv
101,41-20,fraunora.h,"@ frau_kapuze Nein, natürlich war ich nicht dabei. Ich tu aber auch nicht so als ob. Und mache das auch deutlich im Umgang mit den Quellen. Und die Schwächen dieses Projektes sind mMn teilweise gefährlich, weil sie ein sehr enges Bild zeichnen. Zum Beispiel, wenn es darum geht, Sophie als potentielle Hitler-Attentäterin hinzustellen. Das Originalzitat lautet: ""Im Januar 43 besuchte sie mich in Stuttgart u. erzählte mir vom Münchner Kreis, sie würden u.a. um Flugblätter drucken. ,Siehst du: einer muß anfangen, Mut zu haben. Ich weiß es endlich: wenn ich Gelegenheit hätte, Hitler zu erschießen, so müßte ich es tun, auch als Mädchen.’"" - Das kleine Wörtchen ""müsste"" macht hier einen relevanten Unterschied. Es zeigt nämlich, dass sie es als Pflicht angesehen hätte und nicht aus Übermut heraus oder um ihr Selbstbewusstsein im Kampf gegen Hitler herauszustellen. Sie erklärt es als zwingende Konsequenz ihres radikalen Denkens und Handelns. Das ist etwas anderes als das, was hier daraus gemacht wird. Und zwar daraus gemacht wird aus Effekthascherei. Sophie Scholl ging es nicht um einen Effekt. Auch nicht darum, eine Heldin zu sein. Ihr ging es darum, aus ihrer Haltung ein konsequentes Handeln abzuleiten.",2021-12-02T10:38:45.000Z,5 likes,41,https://www.instagram.com/p/CW8A790Mp-s/,comments3603593403683059925.csv
1,2,_.ma._rco_,"@ichbinsophiescholl - Hut ab vor allem die Hauptdarstellerin treibt mir immer wieder Gänsehaut auf den Körper. Da ich die Geschichte von sofi Scholl zwar schon oft gelesen oder gesehen habe aber das hier ist persönlich. Man fühlt sich persönlich mit ihr verbunden und durchfühlt die Angst, die Wut die Verzweiflung und dieser Zeit. Ein grandioses Projekt das diese wunderbare Organisation „die weiße Rose“ wie in eine Zeitreise bringt als wie wäre man dabei. Und was diese Menschen emotional auf sich genommen haben. Das sind für mich wahre Helden der Geschichte. @lunawedler Wahnsinnige Leistung ❤️",2021-05-28T20:52:52.000Z,15 likes,-,https://www.instagram.com/p/CPLRi48nrz7/,comments8355353662295954093.csv
62,63,katrinpfeifer1979,"Ich weine bittere Tränen: während wir uns an die Schicksale dieser Held:innen erinnern, sterben in Europa gerade Menschen, weil an Autokrat seine Macht demonstrieren möchte… #niemalswieder?!",2022-02-24T16:38:25.000Z,78 likes,-,https://www.instagram.com/p/CaXXk5LsFy3/,comments-1655005810632088831.csv
35,36,thiloinsta,Leider erst jetzt entdeckt. Was für ein tolles Projekt! Für mich bist Du Sophie eine der größten deutschen Heldinnen!! Wer weiss wie man selber in dieser Zeit gewesen wäre. Danke Dir!,2021-12-25T10:32:00.000Z,2 likes,-,https://www.instagram.com/p/CX5mhF5MoAW/,comments1324460612858698161.csv
25,17-2,heikegumz,"@ulrikemunner Es gab die sog. ""Stillen Helden"" und natürlich ist die Zahl kaum korrekt zu ermitteln. Die israelische Holocaust-Gedenkstätte Yad Vashem hat bis heute mehr als 27.000 Frauen und Männer für diese Hilfsaktionen als „Gerechte unter den Völkern“ geehrt. Das wären ca. 0,034% der damaligen Bevölkerung. Das sind nicht wirklich viele, selbst wenn man davon ausgehen kann, dass noch einige dazu kommen, weil gerade wenn die Juden, denen geholfen wurde, nicht überlebt haben, diese auch nicht mehr von dem Hilfsversuch berichten können.

Das ändert natürlich nichts an auch meinem Respekt vor dem Mut dieser Menschen (von denen sich allerdings einige auch parallel am Eigentum der von ihnen Versteckten bereichert haben). Es ist nur eben eine Legende, dass in Wirklichkeit ganz viele Menschen versucht haben zu helfen.",2021-08-22T10:11:29.000Z,6 likes,17,https://www.instagram.com/p/CS1bkb8sZJn/,comments1630443717066312072.csv
26,17-3,heikegumz,"@heikegumz Webseite zur Gedenkstätte für die ""stillen Helden"" mit kurzen Infos hier: https://www.gedenkstaette-stille-helden.de/stille-helden/ Längerer, wenn auch schon etwas älterer Artikel hier https://www.bpb.de/geschichte/nationalsozialismus/dossier-nationalsozialismus/39566/stille-helden?p=all#footnodeid_28-28",2021-08-22T10:13:46.000Z,6 likes,17,https://www.instagram.com/p/CS1bkb8sZJn/,comments1630443717066312072.csv
69,70,praxisdrharrer,"Auch mich beeindruckt dieses Projekt sehr . Es ist , als ob die Zeit wiederkehrt ! Eine Chance aus der Geschichte zu lernen haben wir ! Gerade jetzt ! Das Schicksal dieser so tapferen jungen Helden bleibt unvergessen . Schrecklich was Menschen Menschen antun !",2022-02-14T19:59:04.000Z,3 likes,-,https://www.instagram.com/p/CZ-CyQlMDUF/,comments6030069363728820937.csv
24,23,steffivonnorf,#ichbinsophiescholl wir hätten mehr Heldinnen wie dich gebraucht! Danke das du so gekämpft hast.,2021-11-10T01:10:21.000Z,1 like,-,https://www.instagram.com/p/CWEK2fXMuwx/,comments850110884387814236.csv
78,43-4,katja_d_brauer,"@mirkomitka ja das geht mit auch so. Es ist so super umgesetzt das Ganze. Manchmal möchte ich schreiben: Tu es nicht Sophie, das ist es nicht wert! Ich glaube ich wäre kein Mitläufer der Nazis gewesen, aber ich hätte aus Feigheit und Bequemlichkeit keinen Widerstand geleistet. Die Oma meiner Freundin hatte als Dienstmädchen im Privathaus eines Bürgermeisters gearbeitet. Als der Amtsinhaber Gefahr lief nicht mehr gewählt zu werden trat er in die Partei ein. Aus Anstand kündigte sie daraufhin und bekam bis zum Kriegsende nirgendwo mehr eine Arbeit, war teilweise obdachlos, bettelte und Schlimmeres, wurde sogar mehrmals verhaftet. Gelang ihr aber immer wieder den Hals aus der Schlinge zu ziehen. Diese Zeit war die Schlimmste ihres Lebens gewesen sagte sie, aber sie war bis zu ihrem Tod 2014 mehr als stolz darauf ihren ""eigenen stillen Widerstand"" geleistet zu haben, trotz aller Umstände, die das mit sich brachte. Eine großartige Person bis ins hohe Alter war sie. Und ich bin überzeugt es gab mehr dieser ""stillen Helden"". Umso enttäuschter bin ich von mir, weil ich keiner gewesen wäre.",2021-11-12T22:20:42.000Z,11 likes,43,https://www.instagram.com/p/CWLdz-ispLs/,comments-4958895408540558416.csv
34,35,tinalisa.bt,Meine Großeltern waren auch so mutig❤️ob ich das könnte glaube ich nicht😮ihr seid wirklich mutig❤️Helden,2022-01-13T10:51:17.000Z,2 likes,-,https://www.instagram.com/p/CYqTCFnMfeo/,comments-7096531823970314533.csv
72,60,engel_patricia27,Man fühlt sich als wer am in dieser Zeit und würde es erleben. Sowas darf nicht vergessen werden und vor allen nicht mehr passirten. Danke für alle die helden und Heldin dieser zeit,2021-05-11T14:42:43.000Z,0,-,https://www.instagram.com/p/COsqM85qZx2/,comments6833525200870954952.csv
179,158,willyams035,"you know, when i get drawn into Sophies and Hans’ story, i feel so utterly in awe of their courage to never give up. in Holland these Maydays are the days where we remember both the beginning (10/05/1940) and the end (05/05/1945) of WW2. but when i see what is happening in nowadays Israel, where the original Palestine people lost any right to, for instance, the right to their own roof over their head, the right to know that that place is most defenitely their own, i cannot understand that Israelis claim that years before they accuired these places. why did they wait more than 70 years to come up with that claim?? to me it seems like the state of Israel wants to completely allianate the Palestine inhabitants. from the bottom of my heart, i do not believe the people who died in the concentrationcamps held the ideal to claim/steal the property of palestinia people. does no Israeli remember the proverb ‘do not do unto others that what you do not wish to happen on your own’??",2021-05-10T21:51:27.000Z,0,-,https://www.instagram.com/p/COsqM85qZx2/,comments6833525200870954952.csv
