,Id/Reply-Id,User,Comment,Date,Likes,Reply To CommentId,Link,Filename
0,1,jana_il_86,Helden seid ihr wahre Helden 😢,2022-01-13T13:51:03.000Z,0,-,https://www.instagram.com/p/CReCzWRouMn/,comments-7599934469228987964.csv
123,103,anke.de.jonge,Wenn unsere Jugend von heute nur wüsste welche Freiheit ihr ihnen für heute geschenkt habt. Ihr seid und sind immer noch Helden!,2021-05-29T17:21:47.000Z,2 likes,-,https://www.instagram.com/p/CPdrSgmHJ40/,comments5985912540677325883.csv
169,135,nicole_cvlk,Helden! ❤️,2021-05-29T16:46:56.000Z,1 like,-,https://www.instagram.com/p/CPdrSgmHJ40/,comments5985912540677325883.csv
95,65-1,katharina.helling,"@ichbinsophiescholl mir war das bisher gar nicht bekannt, dass ein zu starker ‚Realitätsbezug‘ nach NS-Ideologie problematisch war. Dachte bislang eher abstrakte, in NS-Sprache ‚infantile‘ Darstellungen, die mit Bildern geistig Behinderter verglichen wurden oder aber zu ‚negativ‘ waren und Verfall/Krankheit etc thematisierten und so nicht zum idealisierten, militarisierten deutschen Heldenmythos passten und vermeintlich ‚zersetzend‘ wirken würden, wurden als entartet verboten. Die Bilder unterstützter Künstler waren in der Darstellung ja grds sehr ‚realistisch‘ - also konkret - in der Darstellung. Bei den Bilder Modersohn-Beckers hätte ich jetzt eher eine zu abstrakte Darstellung vermutet. Habt ihr das was zum nachlesen bzgl Realismus in der Kunst in der NS Zeit? Oder hab ich Eure Erklärung falsch verstanden?",2021-07-07T14:29:58.000Z,1 like,65,https://www.instagram.com/p/CRBj-vMMbu6/,comments-2043556838132162494.csv
97,65-3,katharina.helling,"@ichbinsophiescholl Lieben Dank für die Antwort! Wobei der Vorwurf eines ‚(vermeintlich) zu starken Realtitätsbezug‘ ja eben bei gerade diesen Stilrichtungen seltsam/unplausibel ist. Weil Kunstwerk dieser Gattungen gerade eben weniger bis gar keinen Realitätsbezug aufweisen (erst recht keinen heldenhaften, ideologisierten), im Gegensatz zur Historien- und Landschaftsmalerei. Also müsste - und so dachte ich bislang sei es gewesen - wurde entarteter Kunst vorgeworfen eben gerade vermeintlich keinen ‚Realitätsbezug‘ zu haben, weil abstrakt oder nicht der Ästhetik/Heldenhaftigkeit entsprechend.
Abstrakter Kunst vorzuwerfen der Realitätsbezug sei zu groß ist doch ein Widerspruch in sich (und auch für die Ideologie/Propaganda nicht förderlich). Das war das was ich nicht verstehe (und bisher anders ‚wusste‘).",2021-07-07T15:36:30.000Z,0,65,https://www.instagram.com/p/CRBj-vMMbu6/,comments-2043556838132162494.csv
101,65-7,anbu1203,"@zuagroastebayrischeschwaebin „zu großer Realitätsbezug“ bezog sich auf Bilder, die die ungeschminkte Realität zeigten. Eben nicht die heile Familie, strahlende Kriegshelden, durchtrainierte gesunde Körper, …sondern Leid, Verstümmelungen, Zerstörung - die Wahrheit eben. Das wollten die Nazis nicht, es sollte keine Zweifel an der Führung geben.",2021-07-09T08:35:49.000Z,2 likes,65,https://www.instagram.com/p/CRBj-vMMbu6/,comments-2043556838132162494.csv
113,104-3,yomaart,"@voll.muttiviert 💐 genau daran musste ich auch denken, als ich den Film gesehen habe, der auch mich sehr berührt hat 😍 Krass, wieviel wir all diesen HeldInnen + Helden von damals zu verdanken haben 😍 Einige von uns wären zu der Zeit wohl auch geköpft worden.",2021-05-15T13:08:34.000Z,1 like,104,https://www.instagram.com/p/CO3NpGSHm4S/,comments-7958830101172431688.csv
68,67,konsti_k_1969,"Wow, bin total begeistert von der Umsetzung. Die Mitglieder der weißen Rose waren Helden, die für Ihre mutigen Taten mit dem Leben bezahlt haben. Es ist auch nach so langer Zeit einfach nur traurig. Aber die Dämonen leben ja leider immer noch. Siehe „Fliegenschiss in der Deutschen Geschichte“. Einfach nur widerlich 🤮",2021-05-06T19:39:47.000Z,1 like,-,https://www.instagram.com/p/COcrpobqzgm/,comments-7972830837056155095.csv
342,307,markvonstackelberg,Ihr wart und seid meine Helden!,2021-05-04T13:22:48.000Z,0,-,https://www.instagram.com/p/COcrpobqzgm/,comments-7972830837056155095.csv
1,2,_.ma._rco_,"@ichbinsophiescholl - Hut ab vor allem die Hauptdarstellerin treibt mir immer wieder Gänsehaut auf den Körper. Da ich die Geschichte von sofi Scholl zwar schon oft gelesen oder gesehen habe aber das hier ist persönlich. Man fühlt sich persönlich mit ihr verbunden und durchfühlt die Angst, die Wut die Verzweiflung und dieser Zeit. Ein grandioses Projekt das diese wunderbare Organisation „die weiße Rose“ wie in eine Zeitreise bringt als wie wäre man dabei. Und was diese Menschen emotional auf sich genommen haben. Das sind für mich wahre Helden der Geschichte. @lunawedler Wahnsinnige Leistung ❤️",2021-05-28T20:52:52.000Z,15 likes,-,https://www.instagram.com/p/CPLRi48nrz7/,comments8355353662295954093.csv
25,17-2,heikegumz,"@ulrikemunner Es gab die sog. ""Stillen Helden"" und natürlich ist die Zahl kaum korrekt zu ermitteln. Die israelische Holocaust-Gedenkstätte Yad Vashem hat bis heute mehr als 27.000 Frauen und Männer für diese Hilfsaktionen als „Gerechte unter den Völkern“ geehrt. Das wären ca. 0,034% der damaligen Bevölkerung. Das sind nicht wirklich viele, selbst wenn man davon ausgehen kann, dass noch einige dazu kommen, weil gerade wenn die Juden, denen geholfen wurde, nicht überlebt haben, diese auch nicht mehr von dem Hilfsversuch berichten können.

Das ändert natürlich nichts an auch meinem Respekt vor dem Mut dieser Menschen (von denen sich allerdings einige auch parallel am Eigentum der von ihnen Versteckten bereichert haben). Es ist nur eben eine Legende, dass in Wirklichkeit ganz viele Menschen versucht haben zu helfen.",2021-08-22T10:11:29.000Z,6 likes,17,https://www.instagram.com/p/CS1bkb8sZJn/,comments1630443717066312072.csv
26,17-3,heikegumz,"@heikegumz Webseite zur Gedenkstätte für die ""stillen Helden"" mit kurzen Infos hier: https://www.gedenkstaette-stille-helden.de/stille-helden/ Längerer, wenn auch schon etwas älterer Artikel hier https://www.bpb.de/geschichte/nationalsozialismus/dossier-nationalsozialismus/39566/stille-helden?p=all#footnodeid_28-28",2021-08-22T10:13:46.000Z,6 likes,17,https://www.instagram.com/p/CS1bkb8sZJn/,comments1630443717066312072.csv
69,70,praxisdrharrer,"Auch mich beeindruckt dieses Projekt sehr . Es ist , als ob die Zeit wiederkehrt ! Eine Chance aus der Geschichte zu lernen haben wir ! Gerade jetzt ! Das Schicksal dieser so tapferen jungen Helden bleibt unvergessen . Schrecklich was Menschen Menschen antun !",2022-02-14T19:59:04.000Z,3 likes,-,https://www.instagram.com/p/CZ-CyQlMDUF/,comments6030069363728820937.csv
78,43-4,katja_d_brauer,"@mirkomitka ja das geht mit auch so. Es ist so super umgesetzt das Ganze. Manchmal möchte ich schreiben: Tu es nicht Sophie, das ist es nicht wert! Ich glaube ich wäre kein Mitläufer der Nazis gewesen, aber ich hätte aus Feigheit und Bequemlichkeit keinen Widerstand geleistet. Die Oma meiner Freundin hatte als Dienstmädchen im Privathaus eines Bürgermeisters gearbeitet. Als der Amtsinhaber Gefahr lief nicht mehr gewählt zu werden trat er in die Partei ein. Aus Anstand kündigte sie daraufhin und bekam bis zum Kriegsende nirgendwo mehr eine Arbeit, war teilweise obdachlos, bettelte und Schlimmeres, wurde sogar mehrmals verhaftet. Gelang ihr aber immer wieder den Hals aus der Schlinge zu ziehen. Diese Zeit war die Schlimmste ihres Lebens gewesen sagte sie, aber sie war bis zu ihrem Tod 2014 mehr als stolz darauf ihren ""eigenen stillen Widerstand"" geleistet zu haben, trotz aller Umstände, die das mit sich brachte. Eine großartige Person bis ins hohe Alter war sie. Und ich bin überzeugt es gab mehr dieser ""stillen Helden"". Umso enttäuschter bin ich von mir, weil ich keiner gewesen wäre.",2021-11-12T22:20:42.000Z,11 likes,43,https://www.instagram.com/p/CWLdz-ispLs/,comments-4958895408540558416.csv
34,35,tinalisa.bt,Meine Großeltern waren auch so mutig❤️ob ich das könnte glaube ich nicht😮ihr seid wirklich mutig❤️Helden,2022-01-13T10:51:17.000Z,2 likes,-,https://www.instagram.com/p/CYqTCFnMfeo/,comments-7096531823970314533.csv
72,60,engel_patricia27,Man fühlt sich als wer am in dieser Zeit und würde es erleben. Sowas darf nicht vergessen werden und vor allen nicht mehr passirten. Danke für alle die helden und Heldin dieser zeit,2021-05-11T14:42:43.000Z,0,-,https://www.instagram.com/p/COsqM85qZx2/,comments6833525200870954952.csv
627,511,hikko98mo,Liebe euch! Echte Helden ❤️,2021-05-09T18:26:21.000Z,5 likes,-,https://www.instagram.com/p/COqYF8OKIYE/,comments-4907282836930085199.csv
46,32,lagrancostanza,"@ichbinsophiescholl Ich würde euch sehr darum bitten, dass ihr zu den Kommentaren in diesem Post Stellung nehmt, die die Wehrmacht verherrlichen und als Helden verklären. Warum lasst ihr zu, dass solche Ansichten hier verbreitet werden?",2021-05-23T08:11:26.000Z,8 likes,-,https://www.instagram.com/p/CPLYhQFnWAp/,comments-8968321985349809604.csv
248,90-3,jenniferniklas,"ich kenne einige Geschichten von meiner Oma aus dem Krieg, aber keine von meinem Opa, außer dass er Pferde gepflegt hat, vor Stalingrad eine Lungenentzündung bekam und dann nach irgendwo weit weg in ein Krankenhaus kam. Ich habe meine Großeltern gemeinsam zu ihrer Migrationsgeschichte per Video befragt. Über den Krieg hat er sich nur mit meinem Stiefopa unterhalten, und da haben wir die beiden in Ruhe alleine reden lassen und sind gar nicht auf die Idee gekommen das aufzunehmen. Klar war da Druck, ich kann nicht sagen, wie der Anteil der jenigen war, die freiwillig oder erzwungen dort hin sind. Mir ist nur wichtig, dass es keine Verherrlichung gibt (Das waren ja keine Helden sondern eher Kanonenfutter bis Täter) und dass wir, in ganz Europa, den rechtsradikalen Populismus besser in den Griff bekommen. Kipppunkte gibt es auch in Gesellschaften. Aber ich seh uns auf einem guten Weg, und dieser Account als einen aufklärenden, spannenden und unterhaltsamen Beitrag auch die jüngeren Generation mitnehmen in eine schuldfreie Verantwortungskultur. Damit ""nie wieder"" nicht zur Floskel wird.🙌",2021-05-22T21:53:15.000Z,1 like,90,https://www.instagram.com/p/CPLYhQFnWAp/,comments-8968321985349809604.csv
341,109-18,gentianahime,"@mxycl_ dann denk mal scharf darüber nach, was „für sein Land kämpfen“ bedeutet. Kleiner Tipp: an Menschen töten, Vergewaltigungen, Städte Brandschatzen und dem Einsatz von Biowaffen ist rein gar nichts heldenhaft.",2021-05-23T11:23:36.000Z,1 like,109,https://www.instagram.com/p/CPLYhQFnWAp/,comments-8968321985349809604.csv
362,113,waldrandapfel,Solche Zeitungen sind manipuliert von der Diktatur. Deswegen sind unabhängige Medien und der Widerstand so wichtig: sie trauen sich Missstände aufzudecken und sind die wahren Helden🙏,2021-05-22T14:07:14.000Z,106 likes,-,https://www.instagram.com/p/CPLYhQFnWAp/,comments-8968321985349809604.csv
26,27,o.dani.g.o,"Dieses Foto.... Ihr als Geschwister, Ihr als Widerständler, Ihr als Menschen. Ihr als Schauspieler, Ihr als Darsteller. Bei diesem Foto bekomme ich Gänsehaut. Dieses Foto verwischt 2021 und 1942. Ich bin euch nahe, ich kenn euch nicht, ich hab euch leider nie gekannt. Ich möchte euch warnen, ich kenne das Ende eures Lebens. Ich kenne euren Job und das Projekt. Dieses Foto macht euch posthum unsterblicher als Ihr für mich eh schon seid und jetzt in 2021 zu Helden. Ihr habt damals Widerstand geleistet und habt aufgeklärt und ihr tut es heute wieder. Dieses Foto... macht euch für immer zu einem Teil meines Lebens. Danke. ❤️❤️❤️",2021-07-22T19:29:26.000Z,9 likes,-,https://www.instagram.com/p/CRo0-uOssou/,comments2179785680752607977.csv
74,42-5,heikegumz,"@katrinkiesewetter Ja, dieser Ausdruck klingt nach ""Heldentod"" und wir erleben es heute als beschönigend und wenig nachvollziehbar angesichts des Todes eines Menschen. Und weil es dazu noch keine Umfragen gab, wissen wir nicht, wie viele Deutsche das damals tatsächlich so empfunden haben. Aber erst mal gab es genug Menschen, die mit der völkisch-nationalistischen Politik Hitlers einverstanden waren, um ihn ins Amt zu wählen. Und auch als immer deutlicher wurde, dass die Politik auf Krieg hinausläuft, gab es genug Menschen, die auch das gestützt haben. Es war damit nicht die alleinige Verantwor-tung Hitlers, sondern die der Millionen Deutscher, die ihn in seiner Politik unterstützt haben – das wird verschleiert mit einem Ausdruck wie ""für Hitler gestorben"". Letztlich sind die Soldaten vllt. nicht alle ""für"" das deutsche Vaterland gestorben – aber alle ""wegen"" eines deutschen Vaterlan-des, das sich in großen Teilen positiv oder zumindest nicht negativ zu den nationalistisch-völkischen Expansionsplänen des Nationalsozialismus verhalten hat.",2021-10-01T06:47:10.000Z,3 likes,42,https://www.instagram.com/p/CUclbiQsezP/,comments1431119132924083735.csv
