,Id/Reply-Id,User,Comment,Date,Likes,Reply To CommentId,Link,Filename
33,30,tiertina,"Von Herzen Dank für dieses kostbare Projekt, das dieser Heldin so gerecht wird",2021-05-23T22:13:27.000Z,3 likes,-,https://www.instagram.com/p/CPOLN4gqi3k/,comments-8118962044013558012.csv
113,104-3,yomaart,"@voll.muttiviert 💐 genau daran musste ich auch denken, als ich den Film gesehen habe, der auch mich sehr berührt hat 😍 Krass, wieviel wir all diesen HeldInnen + Helden von damals zu verdanken haben 😍 Einige von uns wären zu der Zeit wohl auch geköpft worden.",2021-05-15T13:08:34.000Z,1 like,104,https://www.instagram.com/p/CO3NpGSHm4S/,comments-7958830101172431688.csv
297,277,zeitreise68,"Eine Heldin unserer Zeit, ich bin mal gespannt wie realistisch die Zeit und Gesellschaft wiedergegeben wird.",2021-05-04T15:19:10.000Z,3 likes,-,https://www.instagram.com/p/COcrpobqzgm/,comments-7972830837056155095.csv
101,41-20,fraunora.h,"@ frau_kapuze Nein, natürlich war ich nicht dabei. Ich tu aber auch nicht so als ob. Und mache das auch deutlich im Umgang mit den Quellen. Und die Schwächen dieses Projektes sind mMn teilweise gefährlich, weil sie ein sehr enges Bild zeichnen. Zum Beispiel, wenn es darum geht, Sophie als potentielle Hitler-Attentäterin hinzustellen. Das Originalzitat lautet: ""Im Januar 43 besuchte sie mich in Stuttgart u. erzählte mir vom Münchner Kreis, sie würden u.a. um Flugblätter drucken. ,Siehst du: einer muß anfangen, Mut zu haben. Ich weiß es endlich: wenn ich Gelegenheit hätte, Hitler zu erschießen, so müßte ich es tun, auch als Mädchen.’"" - Das kleine Wörtchen ""müsste"" macht hier einen relevanten Unterschied. Es zeigt nämlich, dass sie es als Pflicht angesehen hätte und nicht aus Übermut heraus oder um ihr Selbstbewusstsein im Kampf gegen Hitler herauszustellen. Sie erklärt es als zwingende Konsequenz ihres radikalen Denkens und Handelns. Das ist etwas anderes als das, was hier daraus gemacht wird. Und zwar daraus gemacht wird aus Effekthascherei. Sophie Scholl ging es nicht um einen Effekt. Auch nicht darum, eine Heldin zu sein. Ihr ging es darum, aus ihrer Haltung ein konsequentes Handeln abzuleiten.",2021-12-02T10:38:45.000Z,5 likes,41,https://www.instagram.com/p/CW8A790Mp-s/,comments3603593403683059925.csv
35,36,thiloinsta,Leider erst jetzt entdeckt. Was für ein tolles Projekt! Für mich bist Du Sophie eine der größten deutschen Heldinnen!! Wer weiss wie man selber in dieser Zeit gewesen wäre. Danke Dir!,2021-12-25T10:32:00.000Z,2 likes,-,https://www.instagram.com/p/CX5mhF5MoAW/,comments1324460612858698161.csv
24,23,steffivonnorf,#ichbinsophiescholl wir hätten mehr Heldinnen wie dich gebraucht! Danke das du so gekämpft hast.,2021-11-10T01:10:21.000Z,1 like,-,https://www.instagram.com/p/CWEK2fXMuwx/,comments850110884387814236.csv
72,60,engel_patricia27,Man fühlt sich als wer am in dieser Zeit und würde es erleben. Sowas darf nicht vergessen werden und vor allen nicht mehr passirten. Danke für alle die helden und Heldin dieser zeit,2021-05-11T14:42:43.000Z,0,-,https://www.instagram.com/p/COsqM85qZx2/,comments6833525200870954952.csv
11,4-1,ichbinsophiescholl,"@claudiadriesen #TeamSoffer Sophie war keine furchtlose Heldin. Auch wenn sie häufiger das Gefühl von Angst verspürte, was in einigen Briefen an Fritz deutlich zu erkennen ist, war sie in Bezug auf ihre Widerstandsaktivitäten bis zuletzt unbeugsam. Auch in dem Verhör nach ihrer Verhaftung machte sie ihre abneigende Haltung gegenüber dem NS-Regime vor den Beamten deutlich: «als weiteren und schliesslich als hauptsächlichsten Grund für meine Abneigung gegen die Bewegung möchte ich anführen, dass nach meiner Auffassung die geistige Freiheit des Menschen in einer Weise eingeschränkt wird, die meinem inneren Wesen widerspricht. Zusammenfassend möchte ich die Erklärung abgeben, dass ich für meine Person mit dem Nationalsozialismus nichts zu tun haben will.» (Gottschalk, S. 324). Die vielen erhaltenen Dokumente rund um Sophie Scholl zeichnen ein klares Bild davon, dass sie sich nie hat beugen lassen und sich in ihrer Haltung und ihren Widerstandsaktivitäten bewusst war.",2021-11-17T11:57:41.000Z,6 likes,4,https://www.instagram.com/p/CWVgNyuMRr0/,comments8903630083275150296.csv
99,88,arbeiter_jugend,"Sophie war eine Heldin, du bist es nicht.",2021-05-10T11:00:16.000Z,0,-,https://www.instagram.com/p/COqYF8OKIYE/,comments-4907282836930085199.csv
129,62,headtalking,...die letzten 10 Monte einer Heldin!!,2021-05-22T17:34:00.000Z,0,-,https://www.instagram.com/p/CPLYhQFnWAp/,comments-8968321985349809604.csv
