,Id/Reply-Id,User,Comment,Date,Likes,Reply To CommentId,Link,Filename
75,25-15,hannaah.marleen,"@finanightmare ein Masken Attest zu bekommen bei nachweislich (!) ausreichend gesundheitlichen Beeinträchtigungen ist nicht schwer.
Wenn man sich das ganze natürlich selber einredet, oder gar nicht erst zum Arzt geht, tja dann kann man auch nicht mehr helfen.
Übernimm die Verantwortung dafür, dann bist du auch an keiner kurzen Leine.
Ständig dieses Gesülze, wo ein Wille, da auch ein Weg.
Sich von so einem Text angesprochen zu fühlen, wegen solchen Lappalien die man selber ganz einfach vermeiden könnte, ist absolut egozentrisch und verharmlosend.",2021-09-05T08:56:38.000Z,4 likes,25,https://www.instagram.com/p/CTXmBk9sXp0/,comments2817478948136942729.csv
44,45,emaerce_em,"Der Psychologe Sigmund Freud hätte Dir sicher helfen können, leider ist er aber vor drei Jahren gestorben. Der hat nämlich irgendwas mit Traumdeutung gemacht.",2021-06-12T14:30:59.000Z,0,-,https://www.instagram.com/p/CQBPUn-rYcr/,comments5887725245100549857.csv
18,19,ines_s_2,"Ich führe kein Tagebuch. Aber ich kann mir gut vorstellen, dass es dabei helfen kann, mit Gefühlen umzugehen.",2021-07-06T10:06:30.000Z,1 like,-,https://www.instagram.com/p/CQ9BmkbMm9a/,comments-1346449236312338322.csv
32,33,veroamaverita,"Es gibt meiner Meinung nach oft nichts besseres, als das, was man an unruhigen, zu vielen Gedanken und Dingen, die einen beschäftigen, in ein Buch zu schreiben und ich mache das seit meinem 12. Lebensjahr. Bin jetzt 31 und will es nicht missen- schafft so viel Übersicht im Kopf und kann dabei helfen, positiver zu denken😊",2021-07-05T21:13:25.000Z,1 like,-,https://www.instagram.com/p/CQ9BmkbMm9a/,comments-1346449236312338322.csv
86,72,___michael___16,Jep. Ein Tagebuch kann echt helfen. Positive Momente nicht zu vergessen oder negative Gedanken aufzuschreiben und sie damit weniger negativ zu machen.,2021-07-05T17:47:16.000Z,2 likes,-,https://www.instagram.com/p/CQ9BmkbMm9a/,comments-1346449236312338322.csv
109,78,empoweris_chris129,So ruhig bleiben - Respekt. Gute Routinen und ein fester Glaube helfen da sehr!,2021-07-29T15:22:36.000Z,21 likes,-,https://www.instagram.com/p/CR6bBaMMf-N/,comments-8602687962045849809.csv
29,20-1,angi_glamsquadmuc,"@herrhundebraten Masken wurden auch schon während der Spanischen Grippe getragen. Helfen gegen Viren genauso wie hier wohl als Schutz vor Staub oder Chemikalien in der Produktion. Nicht vergessen, Maske tragen ist ein SCHUTZ. Traurig, dass man die Menschen heutzutage dazu zwingen muss und sie es nicht freiwillig tun. Manche begreifen es halt nicht. Wie mit dem Gurt im Auto. Was war das damals für ein Geplärre. Ähnlich wie jetzt.",2021-08-26T06:25:57.000Z,23 likes,20,https://www.instagram.com/p/CTAa6UcMTRt/,comments7160782469194747215.csv
11,12,smalltalk201,"Wut ist ein schlechter Berater, aber ein guter Motor. Sie wird euch helfen, neue Pläne zu schmieden und umzusetzen. Mit Vorsicht.",2021-10-26T07:23:22.000Z,3 likes,-,https://www.instagram.com/p/CVdRvWYMCD-/,comments-6540537801188095117.csv
55,56,tealridinghood,"Ich habe mal gelesen, dass es helfen soll, sich auf die andere Seite umzudrehen. Ist bestimmt Quatsch, aber ich mache das seither und vielleicht ist es nur Placebo, aber es hilft!",2022-02-09T22:55:56.000Z,4 likes,-,https://www.instagram.com/p/CZxeDHQMIbe/,comments-5188413546873641890.csv
23,19,frauenvondamals,"@ichbinsophiescholl Eure letzte Antwort, in der ihr euch an eure Kritiker:innen wendet macht mich traurig, denn sie liest sich für mich manipulativ. Niemand kritisiert hier Menschen für ihren Kenntnisstand. Im Gegenteil wurde hier die Kritik kritisiert - und da (das wisst ihr!) hier so viel sachliche Kritik bereits als unsachlich und überzogen bezeichnet wurde, muss doch möglich sein, zurückzufragen und sich eventuell auch dagegen zu verwahren. Niemand, wirklich niemand ist hier, um andere User:innen zu kritisieren. Wir bieten Kontext, helfen euch in unserer Freizeit bei eurer Arbeit (nämlich Kontext zu liefern). Ich wünsche mir von euch, dass ihr klarmacht, dass sachliche Kritik erwünscht ist - ohne das Ganze durch ein ""Aber"" zu relativieren.
Und zu dem Punkt, das hier sei alles neu: Es gibt tolle Fachleute im Bereich Public History. Es gibt Eva Stories. Es gibt Leute, die dieses Projekt nicht nur inhaltlich, sondern auch (umsetzungs)technisch hätten beraten können. Es gibt dieses Wissen bereits. Es wurde nur nicht zur Kenntnis genommen, weil man offenbar unterschätzt hat, wie dieses Medium funktioniert und wo seine Potenziale, aber auch Fallen sind.",2021-06-08T12:06:19.000Z,12 likes,-,https://www.instagram.com/p/CP0SHTyrOdC/,comments-1117551051760120097.csv
