,Id/Reply-Id,User,Comment,Date,Likes,Reply To CommentId,Link,Filename
76,49-1,ichbinsophiescholl,@bella261986 Das werden wir! Hoffentlich ein kleiner Lichtblick!,2021-08-11T10:17:23.000Z,4 likes,49,https://www.instagram.com/p/CSbhSJ9DjIW/,comments4140759960054195220.csv
37,16-1,katharina.helling,"Im Dritten Reich wurde mit den Nürnberger Gesetzen von 1935 bestimmt, dass ""Reichsbürger"", und damit Inhaber dieser Rechte, nur noch war, wer ""deutschen oder artverwandten Blutes"" war und wer durch sein Verhalten bewies, dass er ""gewillt und geeignet ist in Treue dem deutschen Volk und Reich zu dienen. Staatsangehörige waren ab diesem Zeitpunkt, jene, die ""dem Schutzverband des Deutschen Reiches angehören und im dafür besonders verpflichtet sind.""
Mit der Elften Vorordnung zum Reichsbürgergesetz von 1941 wurde eingeführt, dass Juden auch ihre Staatsangehörigkeit mit dem Verlassen des Reichsgebietes (zB auch wegen Deportation) verlieren, zugleich gingen ihr gesamtes Eigentum und Vermögen einschließlich ggf. bestehender Ansprüche aus Lebens- und Rentenversicherungen an den Staat über.
Aus ideologischen Gründen wurden auch zahlreiche andere Personen ausgebürgert - die Regelung, dass man ""gewillt und geeignet ist in Treue dem deutschen Volk und Reich zu dienen"" eröffnete den Rahmen hierfür.
//
Dass der Verlust der Staatsbürgerschaft und der damit verbundenen Rechte heute relativ enge Grenzen hat, war Folge der Erfahrungen dieser Zeit. Unter die @dieanachronistin gab es dazu mal einen Post vom 09. Juli 202, der insbesondere auch darauf eingeht welche Folge dies u. a. nach sich zog… (hab ich heute nochmal in meiner Story geteilt) und ein Highlight ""Ausbürgerung"".
◽️",2021-10-02T19:31:20.000Z,11 likes,16,https://www.instagram.com/p/CUiabMZMcdV/,comments6714673389731389952.csv
39,16-3,katharina.helling,"@typisch_lea2604 freu mich über Dein Interesse :)
Die Infos trage ich aus verschiedenen Quellen zusammen, hier hatte ich das Zitat aus dem Tagebuch und dachte eine Erklärung zu den Ehrenbürgerrechten könnte da evtl gut sein, weil das vielen evtl kein genauer Begriff ist und was das ggf auf unser heutiges Leben für ganz konkrete Auswirkungen hat, ist eh immer spannend. Die Quellen, die ich benutzt habe verlinke ich seit neuestem 🙈 über den Link in meiner Bio.
Ganz unten sind da auch ein paar allgemeine Seiten. Die Chronologie des Holocaust zB - das sind allerdings ‚nur‘ sehr nüchterne Fakten/Zahlen und https://die-quellen-sprechen.de - da sind ganz viele Quellen zum anhören und/oder lesen zur Verfolgung und Ermordung der europäischen Juden im deutschen Reich und in den besetzten/annektierten Gebieten.
Ansonsten gibt es natürlich zahlreiche weitere Seiten gut und verlässliche Infos bekommst Du auch bei bpb.de (Bundeszentrale für politische Bildung) oder dhm.de (Deutsches Historisches Museum).
Und zuletzt vielleicht noch @annefrankhouse_official - auf deren YouTubeKanal gibt es ein ähnliches Projekt wie dieses zu Anne Frank (ist aber bereits abgeschlossen, die Videos und Erklärvideos dazu, sind aber noch alle abrufbar).
Ich hoffe das war nicht zu viel 😅. Aber so hoffentlich etwas dabei dass dir einen guten (tieferen) Einstieg ermöglicht.",2021-10-03T11:49:58.000Z,2 likes,16,https://www.instagram.com/p/CUiabMZMcdV/,comments6714673389731389952.csv
167,155,tazi0812,"""Jeder Bürger hat die Pflicht, für die Freiheit zu kämpfen""... in der heutigen Situation wieder ganz present... Nicht vergleichbar mit damals, aber dieser Satz hat gerade heute einen Beigeschmack.",2021-05-15T16:41:57.000Z,2 likes,-,https://www.instagram.com/p/CO5l7RJKnSp/,comments-2172984867313599691.csv
225,198,macphisto_75,"Liebe Sophie, ich schreibe Dir zum allerersten Mal, dabei habe ich das Gefühl, dass wir uns schon seit langer Zeit kennen. Ich lebe auf der anderen Seite der Welt, Deine Geschichte ist aber universeller denn je. Den Satz ""Jeder Bürger hat die Pflicht, für die Freiheit zu kämpfen"", werde ich in meinem Unterricht zitieren! Grüss' mir den Christoph und den Hans ganz dolle!",2021-05-15T16:21:13.000Z,25 likes,-,https://www.instagram.com/p/CO5l7RJKnSp/,comments-2172984867313599691.csv
249,206-5,havinnupelda,"@sneakerbrot ich kann natürlich nicht beurteilen, wie provokant du deine Punkte geäußert hast oder wie uneinsichtig du warst, aber ""blockieren"" klingt nicht so, als ob vorher eine solidarische Gesprächskultur da war. Deine Anschuldigungen hier klingen jedoch auch nicht sonderlich solidarisch. Nur weil man sich einem Thema, das für einen selber schon längst geklärt ist, nicht mehr stellen möchte, heißt es nicht, dass man es ""nicht ertrage"". Nur weil man es nicht schafft, jemanden vom Gegenteil zu überzeugen und deshalb nicht mehr diskutieren möchte, heißt es nicht, dass man sich nicht selber hinterfragen könne. Manchmal fehlt einem auch schlichtweg die Erfahrung Standpunkte angemessen in Worte zu fassen. Einen Freund, der plötzlich (vielleicht) rechte Ansichten vertritt, nicht umstimmen zu wollen, halte ich jedoch auch für sehr schade.",2021-05-15T16:55:38.000Z,5 likes,206,https://www.instagram.com/p/CO5l7RJKnSp/,comments-2172984867313599691.csv
33,34,katharina.helling,"Arbeitet Robert Scholl nicht aktuell noch? Die Weiterarbeit an den Akten ermöglicht der Familie während der Sippenhaft letztendlich ja auch die geheime Kommunikation über „Kassiber“ (Gefängnisbargon für kleine Briefchen, die über die Akten, geschmuggelt wurden) zu schreiben.
Ich meine dass Robert Scholl die Jahresabschlüsse seiner Kunden für das Geschäftsjahr 1942 noch abschließen durfte und erst danach sein Wirtschafts- und Steuertreuhandbüro auflösen musste.",2022-02-07T10:45:03.000Z,14 likes,-,https://www.instagram.com/p/CZrCEQgMane/,comments-4403609334488336834.csv
5,4-2,ichbinsophiescholl,"@martycatfly #TeamSoffer Die Beziehung von Fritz und Sophie war von einigen Höhen und Tiefen gekennzeichnet, was unter anderem auf ihre unterschiedlichen Ansichten zurückzuführen ist. Sophie befand sich häufig im Zwiespalt , da sie nicht immer mit Fritz' Einstellungen und Werten konform ging. Sie äußerte auch häufig Kritik an seinem Beruf (z.B. Gottschalk, S. 174). Sie hatte jedoch ein sehr starkes Pflichtbewusstsein und wusste, dass eine Trennung dazu führen würde, dass es ihm noch schlechter an der Front gehen würde. Zeitweise waren sie sogar getrennt, haben jedoch wieder zusammen gefunden. Aus dem Briefwechsel zwischen Sophie und Fritz wird auch immer deutlicher, dass Fritz zunehmend mit seiner Rolle im Krieg als Soldat haderte.",2021-11-22T12:19:16.000Z,1 like,4,https://www.instagram.com/p/CWi3Eg0qS2a/,comments-6591898246194155205.csv
6,4-3,katharina.helling,"@ichbinsophiescholl dann ist Sophie eurer Meinung nach vor allem wegen ihres Pflichtgefühls zu dieser Zeit mit Fritz Hartnagel (noch) zusammen? Das kann ich ihren Briefen nicht entnehmen. Mir scheint sie haben ihre Differenzen zu diesem Zeitpunkt weitestgehend überwunden und Fritz würde, wie er oft schreibt selbst am liebsten aus seiner Rolle als (jetzt) Hauptmann bei der Wehrmacht ausbrechen. Er hat da da ja einen sehr großen Wandel durchgemacht, wie aus den teils heftigen Diskussionen aus dem Briefwechsel zwischen den beiden deutlich zu entnehmen ist. Aber das liegt doch (im Herbst 1942) deutlich in der Vergangenheit. Und diese gemeinsame Überwindung der Differenzen hat sie doch so nah zusammengebracht, wie sie es zuvor noch nicht waren. Also so kommt es mir vor.",2021-11-22T13:53:50.000Z,1 like,4,https://www.instagram.com/p/CWi3Eg0qS2a/,comments-6591898246194155205.csv
12,10,finanightmare,"1. Asylpolitik - entweder alle Menschen bedingungslos aufnehmen und vernünftig integrieren oder auch endlich die Waffenexporte stoppen und damit aufhören uns mitverantwortlich für das Leid zu machen. 2. Umwelt/Klimapolitik und Tierschutz: vernünftige Energie Alternativen für alle Menschen und vor allem bezahlbar, ebenso wie Bus und Bahn, damit weniger Auto gefahren wird, Flüge hingegen sollten deutlich teurer werden und Kurzstreckenflüge verboten werden. Vegane znd regionale Ernährung sollte mehr gefördert werden und die Tiere ENDLICH mit dem nötigen Respekt behandelt werden - am liebsten gleiche Rechte wie Menschen. 3. Coronapolitik: Alle Maßnahmen für Kinder und Jugendliche aufheben, fette Entschädigungen zahlen an die Impfgeschädigten und an Hinterbliebene von Impftoten. Die vulnerablen Gruppen endlich sinnvoll und strukturiert schützen, anstatt immer mehr sinnlose Maßnahmen zu erlassen. Impfpflicht sollte definiert niemals zur Debatte stehen, denn 'My body - My choice!', vor allem bei der Anzahl an ungeimpften Pfleger:innen und so ist eine Impfpflicht für diese Gruppe einfach der endgültige Untergang unseres Gesundheitssystems.... oh.. es gäbe so viele Punkte...",2021-11-21T19:26:42.000Z,10 likes,-,https://www.instagram.com/p/CWi3Eg0qS2a/,comments-6591898246194155205.csv
