,Id/Reply-Id,User,Comment,Date,Likes,Reply To CommentId,Link,Filename
27,28,hindelotta,"Ahnt er, dass es euer letzter Spaziergang sein wird? Oder war es zu dieser Zeit eh immer so, dass man fürchten musste, sich nicht mehr wiederzusehen? Ich kann, nein ich will mir diese Gefühlslage als Mutter und Oma garnicht vorstellen.",2022-02-07T12:00:00.000Z,1 like,-,https://www.instagram.com/p/CZrCEQgMane/,comments-4403609334488336834.csv
72,34-14,heikegumz,"@kathafuer Nach den Quellen, die ich kenne und denen, auf die #TeamSoffer bislang verweist, schreibt Hartnagel 1942 nur, DASS er Urlaubsgesuche bearbeitet. Was zu seinen Aufgaben als Hauptmann gehört, also erst mal nichts Besonderes ist, weil Wehrmachtssoldaten eben hin und wieder Fronturlaub erhielten.
Die Aussage, dass er versucht hat, in der Situation vor Stalingrad BESONDERS VIELE Soldaten zu beurlauben, findet sich im redaktionellen Kommentar zu den Briefen in ""Scholl/Hartnagel (2005). Damit wir uns nicht verlieren."", ohne weiteren Beleg. Da die Briefe von Thomas Hartnagel, seinem Sohn, herausgegeben wurden, würde ich vermuten, dass er dies auf Basis von Gesprächen mit seinem Vater so darstellt. Eine andere Quelle kenne ich zumindest nicht – vllt. hat @ichbinsophiescholl #TeamSoffer ja noch weitere?
Selbst wenn Fritz Hartnagel sich so verhalten hat, hat es dann aber eine ""radikal subjektive Sophie"" nie erfahren, weil er zumindest in den bislang veröffentlichten Briefen an sie nicht davon berichtet.",2021-11-22T07:35:18.000Z,4 likes,34,https://www.instagram.com/p/CWi3Eg0qS2a/,comments-6591898246194155205.csv
74,34-16,heikegumz,"@ichbinsophiescholl Ja, genau. Das ist der redaktionelle Kommentar von Thomas Hartnagel, auf den ich mich in meinem vorigen Kommentar auch bezog. Das ist die m.W. einzige Quelle (und die konnte Sophie Scholl nicht kennen).",2021-11-22T13:02:03.000Z,2 likes,34,https://www.instagram.com/p/CWi3Eg0qS2a/,comments-6591898246194155205.csv
50,21,red_winona,"Das ist ja das tückische an einer Diktatur. Es wird solange alles schön und kleingeredet, bis der wahre Hintergrund zutage tritt. Und dann wird Angst und Schrecken verbreitet, dass alle ganz automatisch oder aus dem Drang zum Überleben heraus, in dieser Spirale aus Angst und Resignation bleiben. Es könnt ja schlimmer sein.... Zum Glück gibt es Menschen wie euch!",2021-09-03T18:36:29.000Z,11 likes,-,https://www.instagram.com/p/CTXmBk9sXp0/,comments2817478948136942729.csv
64,25-4,non_cerise,"@finanightmare kann dich absolut verstehen. Geht mir fast genauso, ich habe auch einen Attest aber lasse mir nichts verbieten und Versuche so wie vorher zu leben. Leider werde ich sehr oft im Alltag beschimpft und gegängelt. Die Maske ist ein Symbol und wenn du es nicht trägst, bist du automatisch Abschaum. Mobbing ist Salon-fähig geworden. Mein Bild über die Menschheit hat sich stark geändert und etwas in mir ausgelöst, was nie wieder gehen wird. Ich bin jeden Tag erschüttert. Halte trotzdem durch ❤️",2021-09-04T10:00:58.000Z,5 likes,25,https://www.instagram.com/p/CTXmBk9sXp0/,comments2817478948136942729.csv
27,25,buecherjunge_dd,"Clemens Brentano hat tatsächlich eine Erzählung DIE ROSE geschrieben. Vermutlich aber hatte Hans Scholl den 1929 erschienenen Roman DIE WEISSE ROSE von B. Traven gelesen. In diesem geht es um Indios die in México ein Hacienda dieses Namens betreiben. Das Buch kam bei der Büchergilde Gutenberg heraus und Travens Bücher, auch auf dem NS Index, waren ziemlich bekannt. Passt hervorragend für Namen der Gruppe.",2021-05-30T08:23:55.000Z,0,-,https://www.instagram.com/p/CPdrSgmHJ40/,comments5985912540677325883.csv
33,27-2,ichbinsophiescholl,"@jo.sch_aefchen #teamsoffer Wie genau Hans auf den Namen kam ist heute nicht mehr mit Sicherheit festzustellen. In einem Verhör sagte er, er habe ihn willkürlich gewählt, es wird jedoch diskutiert, dass die Schriften Brenatos, sowie B. Travens Roman „Die weiße Rose"" Hans in der Namensgebung beeinflusst hätten. Sophie hingegen stellte in ihrem Verhör einen Bezug zu der französischen Revolution her. Mehr dazu kannst du beispielsweise in Maren Gottschalks Biografie von Sophie Scholl „Wie schwer ein Menschenleben wiegt"" ab Seite 229 nachlesen. Wir freuen uns sehr über dein ausgeprägtes Interesse an Sophie und der Weißen Rose! Liebe Grüße 🌸",2021-05-30T19:11:31.000Z,1 like,27,https://www.instagram.com/p/CPdrSgmHJ40/,comments5985912540677325883.csv
52,41,ulrike.kranz,"Es schmerzt, dass heute in Europa Menschen wieder für politischen Widerstand gefoltert werden wie Roman Protassewitsch.",2021-05-29T21:55:04.000Z,0,-,https://www.instagram.com/p/CPdrSgmHJ40/,comments5985912540677325883.csv
1,2,colouroflina,Der Bruder meiner Oma war damals in einem Deutsch Aufsatz ehrlich. Er sollte schreiben was Hitler und der Krieg Deutschland tolles bringen würde... Wegen seiner ehrlichen Worte kam er in ein Arbeitserziehungslager und wurde dort gefoltert. Eine ganz schlimme Zeit!,2021-08-05T18:29:26.000Z,13 likes,-,https://www.instagram.com/p/CR6bBaMMf-N/,comments-8602687962045849809.csv
82,62,davjul06,"Meine Oma wurde damals von ihrer Nachbar angezeigt, weil sie zu ihr sagte: ""Hitler soll ein guter Mann sein? Er nimmt uns unsere Männer und Söhne weg!"" Wurde daraufhin geladen und vor Angst sagte sie nur: ""Was soll ich gesagt haben? HH"" Ihr wurde zum Glück geglaubt... - das war das schlimmste Erlebnis für meine Oma.... schlimme und abscheuliche Zeit! 😔",2021-07-29T16:54:27.000Z,1 like,-,https://www.instagram.com/p/CR6bBaMMf-N/,comments-8602687962045849809.csv
