,Id/Reply-Id,User,Comment,Date,Likes,Reply To CommentId,Link,Filename
1,2,heikegumz,"- Hilfe für jüdische Menschen oder politisch Verfolgte und versuchen, sie vor Deportation zu bewahren (wie u.a. die jüdische Widerstandskämpferin Marianne Cohn, die auch im Altern von 21 Jahren ermordet wurde oder auch Mitglieder der sog. ""Roten Kapelle"")
- Nazi-Propaganda verhindern (wie u.a. Hella Hirsch und Marianne Joachim aus der Gruppe Baum, die auch mit 21 Jahren hingerichtet wurden)
- und selbst einen Text für ein Flugblatt entwerfen und mit dem Widerstand beginnen.",2021-10-03T14:42:27.000Z,3 likes,-,https://www.instagram.com/p/CUiabMZMcdV/,comments6714673389731389952.csv
36,16,katharina.helling,"🗓 02.10.1942
""Die Justizpressestelle beim Volksgerichtshof teilt uns mit: Die vom Volksgerichtshof wegen landesverräterischer Feindbegünstigung zum Tod und zum Verlust der bürgerlichen Ehrenrechte auf Lebenszeit verurteilte 21 Jahre alte Juliette Kechele aus Esslingen ist am 2. Oktober hingerichtet worden. Die Verurteilte hat es unternommen, während des Krieges den Feindmächten durch Hetzpropaganda Vorschub zu leisten.""
//
""Aus der Zeitung"" - zitiert nach Anna Haag, ""Denken ist heute überhaupt nicht mehr in Mode"", S. 223 Anna Haag lebte in Stuttgart, ich denke der Artikel befasst sich also mit einem Fall der in Stuttgart verhandelt wurde. Über Juliette Kechele konnte ich leider aber nichts weiteres in Erfahrung bringen.
//
Unter ""bürgerlichen Ehrenrechten"" versteht man die Bürgerrechte, die einem Staatsbürger auf Grund seiner Staatsangehörigkeit zustehen - das aktive und passive Wahlrecht, sowie das Recht, öffentliche Ämter auszuüben (Definition nach Politiklexikon - bpb.de). Eine Verlust dieser Rechte ""auf Lebenszeit"" ist heute grds nicht mehr möglich. Das passive Wahlrecht (""gewählt werden können"") geht bei Freiheitsstrafen ab einem Jahr verloren, die Amtsfähigkeit wird (für 5 Jahre) aufgehoben. Das aktive Wahlrecht kann unter bestimmten Voraussetzungen aberkannt werden (meines Wissens nur zeitlich befristet, spätestens seit dem Urteil des BVerfG vom 21. Februar 2019, das Wahlrechtsausschlüsse für ""Vollbetreute"" und wegen Schuldunfähigkeit untergebrachter Straftäter als verfassungswidrig einstufte).
⤵️",2021-10-02T19:30:54.000Z,17 likes,-,https://www.instagram.com/p/CUiabMZMcdV/,comments6714673389731389952.csv
92,85,isabellchen1990,"Die immer lauter werdenden, die Halbwissen propagierenden und die immer Recht habenden, alle in meiner Familie vertreten😅",2021-05-15T20:08:35.000Z,1 like,-,https://www.instagram.com/p/CO5l7RJKnSp/,comments-2172984867313599691.csv
9,10,multitude.of.drops,"Liebes Team hinter Sophie, mich würde Mal interessieren ob es einen bestimmten Grund gibt, weshalb ihr auf manchen Fotos das SWR Logo macht und auf manchen nicht 🤔 Meine Vermutung war, dass es auf den Fotos ist, die Nazipropaganda zeigen, um sie deutlich als Teil eines solchen Projekts zu kennzeichnen. Aber auf dem Plakat zum Verdunkeln ist zb kein Logo drauf... Bin einfach neugierig.😊",2022-01-07T12:58:19.000Z,4 likes,-,https://www.instagram.com/p/CYbSIO_MsEj/,comments-295592494998822966.csv
52,41,ulrike.kranz,"Es schmerzt, dass heute in Europa Menschen wieder für politischen Widerstand gefoltert werden wie Roman Protassewitsch.",2021-05-29T21:55:04.000Z,0,-,https://www.instagram.com/p/CPdrSgmHJ40/,comments5985912540677325883.csv
9,8,gockel_blume,"Schrecklich! Ich denke immer wieder an meinen Opa, der war soldat bei den scheiß Nazis 😵😵",2021-07-30T16:21:01.000Z,0,-,https://www.instagram.com/p/CR6bBaMMf-N/,comments-8602687962045849809.csv
10,8-1,myslee667,"Es ist ganz wichtig, sich kritisch mit der Familiengeschichte auseinander zu setzen und seine eigene Meinung zu bilden. Mein Opa wurde mit 16 zum Kriegsdienst gezwungen. Der musste Schützengräben ausheben und hat es gehasst. Sein Vater war überzeugter Nazi, hat aber rechtzeitig alles im Garten verbuddelt, weshalb er nie angeklagt wurde. Er war ein zu kleines Licht. Familiengeschichte zu kennen ist wichtig, auch wenn man sich heute dafür schämen möchte. Du triffst deine eigenen Entscheidungen. Du bist nicht dein Opa und nicht für seine Haltung verantwortlich",2021-10-16T13:01:52.000Z,2 likes,8,https://www.instagram.com/p/CR6bBaMMf-N/,comments-8602687962045849809.csv
96,74,daniela.unity_,"Hallo Sophie & #teamsoffer Danke für dieses tolle Projekt. 👏 Weil hier viele über Flucht kommtentieren bzw nachdenken: ich finde das deshalb furchtbar u schön zugleich, weil die ""Flüchtlingsdiskussion"" in Europa sonst immer ""andersherum"" geführt wird. Flüchtlinge, das sind die anderen ... und wir EuropäerInnen haben verdammt verschiedene Meinungen dazu. Hier versetzen wir uns in diese Überlegungen. Möge auch das uns in unserer Zeit die Augen öffnen. Nochmals danke, die Seite ist unglaublich gut. Über Sophie Scholl u die Weiße Rose hatte ich mein erstes Schulreferat gehalten u war schon als ganz junges Mädchen fasziniert, gerührt u beeindruckt von der Unbeirrbarkeit u der Stärke, die darin liegt, das für einen moralisch Richtige zu tun. Sophie war und ist ein und mein Vorbild darin und auch hier lebt sie in dieser ultramodernen Form weiter. ❤️👏",2021-07-29T15:49:09.000Z,151 likes,-,https://www.instagram.com/p/CR6bBaMMf-N/,comments-8602687962045849809.csv
101,76-1,heikegumz,"@der_landfotograf In allen Ländern erschwerten oder verunmöglichten strenge Einreisebestimmungen eine Flucht auf legalem Weg. Auch die Schweiz hat nicht jede*n aufgenommen, man brauchte ein Visum. In Bezug auf jüdische Deutsche (auch wenn dies die Scholls nicht betraf) wurde dort am 13.8.42 eine Einreisesperre für alle Ausländer*innen erlassen, die allein aus rassischen Gründen verfolgt wurden.

Zur Emigration in die USA mussten Emigrant*innen seit 1924 vor der Abreise bei einem amerikanischen Konsulat im eigenen Land ein Visum beantragen. Seit Juni 41 waren jedoch alle diplomatischen Vertretungen der USA in Deutschland und in den besetzten Teilen Europa geschlossen.",2021-07-29T19:07:42.000Z,3 likes,76,https://www.instagram.com/p/CR6bBaMMf-N/,comments-8602687962045849809.csv
73,54,re1908ro,Das war das Lieblingslied meines Opas (Jahrgang 1902). ❤️,2021-09-28T10:49:14.000Z,2 likes,-,https://www.instagram.com/p/CUXAn2CjiX3/,comments1875758334397051765.csv
