,Id/Reply-Id,User,Comment,Date,Likes,Reply To CommentId,Link,Filename
52,48,lukasgemeindefuerth,"Menschen, die stets aus der (versteckten) Rolle des Opfers agieren und dadurch unantastbar und stets im Recht sind (und ihre Verletztheit auf jedes Thema übertragen und letztlich immer nur selbst Thema sind)",2021-05-16T09:15:04.000Z,1 like,-,https://www.instagram.com/p/CO5l7RJKnSp/,comments-2172984867313599691.csv
5,6,ichbinsophiescholl,"#TeamSoffer Die heutige Situation mit der Hitler-Diktatur zu vergleichen ist unangebracht. Solche Aussagen widersprechen nicht nur jeglichen Fakten, sondern sind auch respektlos den damaligen Opfern gegenüber. Wir freuen uns über angeregte Diskussionen, behalten uns aber vor, bei Verstößen gegen unsere Netiquette etwaige Kommentare zu entfernen.",2021-09-04T17:07:40.000Z,203 likes,-,https://www.instagram.com/p/CTXmBk9sXp0/,comments2817478948136942729.csv
32,19-5,fraeulein_fruchtzwerg,"@finanightmare dann lass dir ein Attest vom Arzt ausstellen und erfreue dich deiner ""Freiheit"" . Wenn dir keiner eins ausstellen will wird das wohl seine Gründe haben. Hört doch einfach Mal auf euch dauernd in diese Opferrolle zu stecken. Es nervt nur.",2021-09-05T06:33:11.000Z,10 likes,19,https://www.instagram.com/p/CTXmBk9sXp0/,comments2817478948136942729.csv
33,19-6,hannaah.marleen,"@fraeulein_fruchtzwerg ach die Dame behauptet ja auch sie könne aus gesundheitlichen Gründen keine Maske tragen und könne nirgendwo hin weil sie kein Attest bekäme - das stinkt doch bis zum Himmel.
Da wird nur eine Opferrolle suggeriert, um selber keine Verantwortung zu übernehmen.",2021-09-05T08:59:57.000Z,3 likes,19,https://www.instagram.com/p/CTXmBk9sXp0/,comments2817478948136942729.csv
77,25-17,hannaah.marleen,"@gund.el gut gesagt! Viel ist in den Köpfen ohne dass man es vermutlich ernsthaft probiert hat.
Aber sich in die Opferrolle zu stellen ist ja für manche bekanntlich immer leichter…",2021-09-05T09:02:14.000Z,3 likes,25,https://www.instagram.com/p/CTXmBk9sXp0/,comments2817478948136942729.csv
98,90,queenofthebottom,"Danke für dieses außergewöhnliche Projekt. In Zeiten, in denen sich Wirrköpfe mit den Opfern des Naziregimes vergleichen, ist dies eine unglaublich gute Idee, quasi hautnah zu zeigen, wie es in einer echten Diktatur zugeht und welche Risiken die Tapferen eingegangen sind, die Courage zeigten.",2021-05-07T09:04:00.000Z,1 like,-,https://www.instagram.com/p/COSgCgjHW5T/,comments-7074237024033071735.csv
199,183,el_batos,"Hi Sophie, dein Opfer und Einsatz bleibt unvergessen. Ich frage mich was deine Meinung zur heutigen Israelischen Siedlungspolitik wäre? https://www.instagram.com/reel/COd3Sg7gNjl/?igshid=157whago83xcx",2021-05-05T06:29:07.000Z,0,-,https://www.instagram.com/p/COSgCgjHW5T/,comments-7074237024033071735.csv
34,24,fraunora.h,"Nach ihrer Befreiung litten viele Zwangsarbeiterinnen und Zwangsarbeiter unter den psychischen und physischen Folgeschäden der Zwangsarbeit, besonders im Alter. In vielen osteuropäischen Ländern leben einige nach dem Zusammenbruch der sozialistischen Gesellschaften am Rand des Existenzminimums. Individuelle Entschädigungsansprüche oder wenigstens Lohnnachzahlungen wurden ihnen verweigert; die deutschen Regierungen und die von der Zwangsarbeit profitierenden Betriebe lehnten – von wenigen Ausnahmen abgesehen – jede Verantwortung ab.

Das 1953 in Kraft getretene Bundesentschädigungsgesetz schloss im Ausland lebende sowie nicht rassistisch oder politisch Verfolgte weitgehend von seinen Leistungen aus.

[…]

Erst Ende des 20. Jahrhunderts beschäftigte die Entschädigung der Zwangsarbeiterinnen und Zwangsarbeiter wieder die nationale und internationale Öffentlichkeit.
[…]

Nach langwierigen internationalen Verhandlungen wurde am 12. August 2000 durch ein Bundesgesetz die Stiftung „Erinnerung, Verantwortung und Zukunft“ (EVZ) gegründet. Deutsche Unternehmen beteiligten sich mit rund fünf Milliarden DM an dem 10-Milliarden-DM-Fonds zur Entschädigung der ehemaligen Zwangsarbeiter und anderer NS-Opfer sowie zur Einrichtung eines speziellen Fonds „Erinnerung und Zukunft“. Nach Feststellung der ""Rechtssicherheit"" durch den Bundestag am 30. Mai 2001 konnten die Auszahlungen beginnen. Zwischen 2001 und 2007 erhielten die Überlebenden eine einmalige Zahlung zwischen 500 und 7.700 Euro. Kriegsgefangene sowie westeuropäische zivile Zwangsarbeiterinnen und Zwangsarbeiter blieben von der Entschädigung ausgeschlossen.
Quelle: bpb.de - Der lange Weg zur Entschädigung (2.6.2016) aus dem Dossier zur NS Zwangsarbeit",2021-08-25T18:33:04.000Z,29 likes,-,https://www.instagram.com/p/CTAa6UcMTRt/,comments7160782469194747215.csv
145,89-5,sylkewatter,"@ichbinsophiescholl Also mich stört ein gewisses Maß an künstlerischer Freiheit, aus dramaturgischen Gründen, nicht. Wie zb. Sophie manchmal Sätze sagen zu lassen, die, vom Wortschatz und Satzbau, eher in die heutige Zeit passen, als in die 40 Jahre, weil man eben auch eine gewisse Zielgruppe erreichen möchte und das mit angepasstem Sprachgebrauch teilweise leichter ist. Aber Sophie quasi von Beginn an Mitglied der weißen Rose werden zu lassen macht aus ihr und den gesamten Mitgliedern der Bewegung Menschen, die sie schlichtweg nicht waren! 😔 Warum wird die Authentizität von Sophie für die Dramaturgie geopfert? Das wird der Person Sophie Scholl einfach nicht gerecht! Auch sie derart abzurunden und ihr alle Ecken und Kanten zu nehmen, vermittelt unweigerlich das Gefühl, sie sei so wie sie war, nicht ""gut genug"" für dieses Projekt gewesen! Das ist ein Schlag gegen alles für was sie stand und auch wofür sie starb 😔",2021-06-08T19:49:32.000Z,7 likes,89,https://www.instagram.com/p/CP0SHTyrOdC/,comments-1117551051760120097.csv
236,170-16,kelja_tanzt,"@historicalroyalfamily was für eine harte Zeit. Und es zeigt immer wieder deutlich, was ich immer sage: ein Krieg hat noch niemals Vorteile gebracht oder jemanden glücklich gemacht. Denn es wird immer auf beiden Seiten früher oder später unendlich viele Opfer und schrecklich leidende Menschen geben. Selbst wenn ein Krieg für eine Seite erst einmal gewonnen scheint. Kriege sind das Überflussigste, was man sich vorstellen kann. All die Kraft, die Menschen in Zerstörung und Qual stecken, könnten sie 1000 x effektiver in Liebe und Fürsorge investieren.",2021-05-14T20:03:21.000Z,59 likes,170,https://www.instagram.com/p/CO3NpGSHm4S/,comments-7958830101172431688.csv
344,211-4,jaylee.art,"@sandra8en ich habe nicht über die Liebe geurteilt. Ich habe mich für Sophies christlichen Glauben ausgesprochen und den Kern klargestellt und damit erklären wollen, dass Christen die Seele als wertvoller ansehen als das Herz. Ich weiß, dass die romantische Liebe bei Vielen zum Leben gehört und Gott hat auch diese mit Gutem Gedanken erschaffen und Sex gehört da natürlich auch dazu! Ich habe mich lediglich an der Aussage ""aber viel wichtiger ist doch"" etwas gestört, denn das ist übergriffig und klingt als würde Sophie nicht wissen, was wichtig für sie ist. Christen sind nicht immer nur Kultopfer von gruseligen Kirchen die manipulieren. Christen in der Mehrheit sind so selbstbestimmt wie Menschen die sich dem Atheismus zuwenden. Sich selbst einzuschränken und sich an Frömmigkeit, wie es Sophie nennt, zu versuchen ist daher ebenso berechtigt, wie sich selbst in anderen Dingen zu disziplinieren. Aus welchen Gründen dann auch immer. Das ist als Christ oft auch eine sehr intime Sache zwischen Jesus und dem Mensch und weniger etwas was von ""oben"" kommt. Eine Predigt oder Bibelstelle kann der Auslöser sein, und dann geht man als Christ auf die Suche und betet viel darüber und macht das mit Jesus zusammen, in dem Wissen dass er einen liebt und Geduld hat und einen Stück für Stück verändert und hilft, gut mit anderen Menschen (und dem Partner) umzugehen.",2021-05-15T07:16:47.000Z,15 likes,211,https://www.instagram.com/p/CO3NpGSHm4S/,comments-7958830101172431688.csv
64,31-9,maja_furiaroja,"@pat.paverea Ich habe hier konstruktive Kritik formuliert. Ich denke, dass gerade auf einem solchen Kanal diese auch erwünscht ist. Schließlich wurden schon einige Anregungen der Community aufgenommen. Und ich finde es sehr wichtig, dass sich die Macher des Projektes im Klaren darüber sind, dass sie hier für sehr viele Follower ein Bild der Mitglieder der Weißen Rose prägen. Das ist auch eine Verantwortung. Immer wieder liest man hier Posts oder Kommentare, dass Willi Graf nicht vertrauenswürdig sei. Als Angehörige muss das schwer zu ertragen sein. Ich würde nicht wollen, dass mein Vorfahre, der sein Leben geopfert hat und in monatelangen Verhören und Folterungen niemanden verraten hat, in so einem schlechten Licht erscheint. Vor allem da es dazu eben keinerlei Belege gibt. Das ist einfach fies!",2021-12-01T18:11:34.000Z,8 likes,31,https://www.instagram.com/p/CW8A790Mp-s/,comments3603593403683059925.csv
105,41-24,a_derian_creature,"@ fraunora.h Ich möchte mich an dieser Stelle nur mal für deine sachkundigen Kommentare hier bedanken. Ich lese hier nun schon eine Weile deie Kritiken und Anmerkung zu diedem Projekt und finde deine Kommentare immer sehr hilfreich für ein weitreichenderes Bild oder eine kontroverse Sichtweise der hier dargestellten Situationen und Ereignisse. Vielen Dank, dass du deine Zeit auch für solche Diskussionen opferst; dem ein doer anderen Mitleser öffnet das bestimmt die Augen.",2021-12-02T22:02:16.000Z,6 likes,41,https://www.instagram.com/p/CW8A790Mp-s/,comments3603593403683059925.csv
63,31-6,brombeer_eis,"@christophergreverode ich auch, mit 47 bekomme ich seit ich denken kann, richtig Panik und Stress, wenn ich Sirenen höre bzw eher hörte, hier gibts keine mehr. Das hat sich tief eingebrannt und dabei bin ich so glücklich, nie einen Krieg erlebt zu haben. Unvorstellbar, wie es Kriegsopfern gehen muss 😢 (egal, aus welchem Land)",2021-09-08T11:13:23.000Z,6 likes,31,https://www.instagram.com/p/CTjMDCrjFP6/,comments4768888214613560086.csv
26,27,changed.by.popular.demand,"„Sabotage in Rüstungs- und kriegswichtigen Betrieben, Sabotage in allen Versammlungen, Kundgebungen, Festlichkeiten, Organisationen, die durch die nationalsozialistische Partei ins Leben gerufen werden. Verhinderung des reibungslosen Ablaufs der Kriegsmaschine (einer Maschine, die nur für einen Krieg arbeitet, der allein um die Rettung und Erhaltung der nationalsozialistischen Partei und ihrer Diktatur geht). Sabotage auf allen wissenschaftlichen und geistigen Gebieten, die für eine Fortführung des gegenwärtigen Krieges tätig sind - sei es in Universitäten, Hochschulen, Laboratorien, Forschungsanstalten, technischen Büros. Sabotage in allen Veranstaltungen kultureller Art, die das ""Ansehen"" der Faschisten im Volke heben könnten. Sabotage in allen Zweigen der bildenden Künste, die nur im geringsten im Zusammenhang mit dem Nationalsozialismus stehen und ihm dienen. Sabotage in allem Schrifttum, allen Zeitungen, die im Solde der ""Regierung"" stehen, für ihre Ideen, für die Verbreitung der braunen Lüge kämpfen. Opfert nicht einen Pfennig bei Straßensammlungen (auch wenn sie unter dem Deckmantel wohltätiger Zwecke durchgeführt werden). Denn dies ist nur eine Tarnung.“
#wirsindeuerbösesgewissen #flugblattweisserose",2021-12-25T11:48:24.000Z,6 likes,-,https://www.instagram.com/p/CX5mhF5MoAW/,comments1324460612858698161.csv
14,15,ichbinsophiescholl,"#TeamSoffer Die heutige Pandemie-Situation mit der Hitler-Diktatur zu vergleichen ist nicht angebracht. Solche Aussagen widersprechen nicht nur jeglichen Fakten, sondern sind außerdem respektlos gegenüber den unzähligen Opfern der damaligen Zeit. Wir behalten uns daher vor, entsprechende Kommentare zu entfernen.",2021-11-10T08:13:55.000Z,339 likes,-,https://www.instagram.com/p/CWEK2fXMuwx/,comments850110884387814236.csv
92,70,ajkwack,"Heute im jahr 2021 haben wir vor einigen Häusern jener Juden, die Opfer der Nazis wurden sogenannte Stolpersteine im Bordstein angebracht. Auf diesen stehen Name, Geburtstag, Tag der Verschleppung, Todesort und wenn nachvollziehen auch der Tag bzw. Das Jahr. Am heutigen Tag werden diese von Freiwilligen geputzt, Blumen niedergelegt und Kerzen angezündet, um nie zu vergessen.",2021-11-09T18:58:43.000Z,24 likes,-,https://www.instagram.com/p/CWEK2fXMuwx/,comments850110884387814236.csv
5,3-3,polterrick,"@polterrick als ich von eurer Idee las, hielt ich die für gut. Die Umsetzung stinkt mir nur. V.a. wenn man hier dieses Verklären und Täter-zu-Opfer-drehen Geseier lesen muss. Ihr breitet hier nicht historischem Lernen die Bühne, sondern gebt dem falschen politischen Lager hier eine Bühne sich ein neues Narrativ zu spinnen.",2022-02-21T22:11:57.000Z,2 likes,3,https://www.instagram.com/p/CTPE6WSMqHO/,comments7112534007855354463.csv
19,7-1,heikegumz,@heikegumz Einzelne Biografien der Ulmer Opfer der NS-Verfolgung z. B. hier: https://stolpersteine-fuer-ulm.de/biografien-der-personen-fuer-die-in-ulm-stolperstein-verlegt-worden-sind/,2021-10-09T11:25:52.000Z,9 likes,7,https://www.instagram.com/p/CUzNglLjOGa/,comments-1366958349633190310.csv
4,5,andre.shndr,"„Opferbereitschaft der Soldaten..“
Zu der damaligen Zeit war das „ehrenhaft“. Ihr solltet eher stolz auf eure Großväter sein.
Das wird immer wieder vergessen.
In der heutigen Zeit sind es weit unter einem Prozent der Männer, die so für ihre Familie oder Land kämpfen würden.

UNABHÄNGIG DAVON WAS ALLES PASSIERT IST.",2021-05-26T08:19:10.000Z,2 likes,-,https://www.instagram.com/p/CPLYhQFnWAp/,comments-8968321985349809604.csv
42,31-2,ichbinsophiescholl,"@lazy_coding #teamsoffer Die heutige Situation mit der Hitler-Diktatur zu vergleichen ist unangebracht. Solche Aussagen widersprechen nicht nur jeglichen Fakten, sondern sind auch respektlos den damaligen Opfern gegenüber.",2021-05-23T09:50:23.000Z,193 likes,31,https://www.instagram.com/p/CPLYhQFnWAp/,comments-8968321985349809604.csv
127,60,qeldelar,"Und die Männer und Frauen zu Hause sollen auch Opferbereitschaft aufbringen. Opfer bringen. Essen, Metall und alles andere nützliche zur Front. Als hätte man aus dem Großen Krieg nicht gelernt.",2021-05-22T17:46:29.000Z,0,-,https://www.instagram.com/p/CPLYhQFnWAp/,comments-8968321985349809604.csv
144,73,spontacts.flowdate,Wie viele Menschen schon auf dem Altar der Ideologien geopfert wurden! Es gilt generell misstrauisch zu sein gegenüber Konzepten vermeintlich alleinseligmachender Glaubenssätze mit dem Beigeschmack von Überlegenheitsdenken.,2021-05-22T15:56:30.000Z,3 likes,-,https://www.instagram.com/p/CPLYhQFnWAp/,comments-8968321985349809604.csv
227,86-42,gentianahime,"@mothcoat Man sollte sich bewusst machen, dass bei diesem Account auch Menschen mitlesen und kommentieren, die direkt von den Verbrechen der Wehrmacht betroffen waren oder ihren Angehörigen. Seit Tagen werden hier in den Kommentaren diese Verbrechen relativiert und der Opfer-Mythos angeblich unfreiwillig eingezogener Soldaten bemüht. Wenn er dann damit prahlt, dass sein Großvater bei der Wehrmacht war, dessen Verbrechen relativiert und auch noch für mitgefühl heischt, dann platzt mir als Angehörige von Menschen, die durch solche Großväter großes Leid erfahren haben, die Hutschnur.",2021-05-23T15:06:39.000Z,2 likes,86,https://www.instagram.com/p/CPLYhQFnWAp/,comments-8968321985349809604.csv
261,92-6,ichbinsophiescholl,"@dietrichhernmarck #teamsoffer Die heutige Situation mit der Hitler-Diktatur zu vergleichen ist unangebracht. Solche Aussagen widersprechen nicht nur jeglichen Fakten, sondern sind auch respektlos den damaligen Opfern gegenüber.",2021-05-23T10:44:29.000Z,86 likes,92,https://www.instagram.com/p/CPLYhQFnWAp/,comments-8968321985349809604.csv
263,92-8,manukzo,@ichbinsophiescholl in wie fern ist es respektlos gegenüber den opfern von damals?,2021-05-23T14:30:10.000Z,0,92,https://www.instagram.com/p/CPLYhQFnWAp/,comments-8968321985349809604.csv
