,Id/Reply-Id,User,Comment,Date,Likes,Reply To CommentId,Link,Filename
79,25-19,finanightmare,"@spiegelbilderfotografie bei mir is es psychisch, ich werde da an Traumata getriggert. Und leider ist es bei psychischen Sachen extrem schwer eine zu bekommen. Mein nächster Termin ist im Oktober, da bekomme ich eventuell endlich eine..",2021-09-05T16:03:20.000Z,1 like,25,https://www.instagram.com/p/CTXmBk9sXp0/,comments2817478948136942729.csv
95,80,hauptstadtlady50,"Liebe Sophie, dieser Account berührt mich sehr. Die Eltern meines Vater waren Juden, er wurde 1939 (er starb 2001) geboren und verbrachte die ersten Lebensjahre mit seiner Mutter in einem Versteck während sein Vater Bergen Belsen überlebte. Da die Eltern meiner Mutter ein behindertes Kind hatten und es vor den Behörden versteckten haben auch sie Repressalien erlebt. Anfang der 60er Jahre lernten sich dann meine Eltern kennen und lieben, ich würde 1964 geboren. Ich habe den Schmerz, die Angst und das Trauma meiner Großeltern als Kind und Jugendliche miterlebt und leider auch mit erlebt, dass mein Vater nur durch Gewalt an seinen Kindern mit seinem Trauma umgehen könnte. Als ich deshalb einmal meine Großeltern fragte warum sie nach 1945 geblieben sind antworteten sie: "" dies ist und war auch unser Land. Viele große Dichter und Denker waren Juden. Danke dass ihr die Erinnerung lebend haltet.",2021-05-29T17:46:07.000Z,982 likes,-,https://www.instagram.com/p/CPdrSgmHJ40/,comments5985912540677325883.csv
20,17-4,bastet.of.re,"Wenn man bedenkt, dass das damals als Kinderlied bezeichnet wurde… 🙈wie schrecklich. Und wie traumatisiert diese ganze Generation davon gewesen ist…",2021-09-29T20:02:47.000Z,12 likes,17,https://www.instagram.com/p/CUZ_oNUDdl5/,comments3623479848134682769.csv
47,48,ava.santimea,"da ich sehr oft Albträume habe die zu real erscheinen oder traumatische Erinnerungen beinhalten, und ich nach dem Aufwachen oft noch halb im Traum festhänge, habe ich mir diverse Strategie angeeignet, mich im hier und jetzt zu verankern und den Traum ziehen zu lassen. ich reorientiere mich dabei in Zeit und Raum und mache mir bewusst, dass der Traum vorbei ist und die Realität noch die altbekannte ist. das hilft viel mehr, als lange über die Trauminhalte nachzudenken.",2022-02-09T23:27:49.000Z,1 like,-,https://www.instagram.com/p/CZxeDHQMIbe/,comments-5188413546873641890.csv
231,170-11,historicalroyalfamily,"@drjfrohne Ja. Ich glaube auch, dass das Trauma die beiden zusammengeschweißt hat. Elisabeth war nach der Sippenhaft und Verlust der Geschwister natürlich absolut fertig. Fritz hat sie dort dann getröstet.",2021-05-14T19:36:53.000Z,38 likes,170,https://www.instagram.com/p/CO3NpGSHm4S/,comments-7958830101172431688.csv
22,12,gabielpunkt,"Wir, die wir glücklicherweise keinen Krieg erleben mussten, können uns nicht ansatzweise vorstellen, wie es damals gewesen sein muss. Ständig um sein Leben fürchten zu müssen - schrecklich! Meine Mutter hat erzählt, dass es ihr als Kind nach Einschlag einer Bombe in ihrem Garten wortwörtlich die Sprache verschlagen hat. Sie konnte lange Zeit nicht mehr flüssig sprechen. Die notwendigen Verdunkelungen sitzen ihr noch so in den Knochen, dass sie heute sehr wenig sparsam mit Strom umgeht. In allen Räumen Festbeleuchtung. Sie hat sich geschworen, nie mehr im Dunkeln zu sitzen. Mir ist es rätselhaft, wie diese Generation ihre Traumata überwinden konnte. Psychologischen Beistand hatten sie ja damals nicht",2021-09-08T10:24:41.000Z,26 likes,-,https://www.instagram.com/p/CTjMDCrjFP6/,comments4768888214613560086.csv
23,12-1,_brazen_heart_,"Die konnten ihre Traumata auch nicht oder nicht ganz überwinden😢. Ich habe gelesen, dass sich manche Sachen, Ängste z.B. sogar auf die nächsten Generationen übertragen konnten.",2021-09-08T13:58:14.000Z,4 likes,12,https://www.instagram.com/p/CTjMDCrjFP6/,comments4768888214613560086.csv
24,12-2,sissihupp,"@_brazen_heart_ ja, das stimmt. Traumata koennen sich in den Genen verankern und werden dann vererbt. Das ist wirklich Wahnsinn, ich konnte es kaum glauben, es ist korrekt, was du sagst.",2021-09-08T14:59:24.000Z,6 likes,12,https://www.instagram.com/p/CTjMDCrjFP6/,comments4768888214613560086.csv
27,14,isalto380,Wie viele Traumatisierte muss es deswegen heute noch geben ... 😢😢😢,2021-09-08T10:08:37.000Z,2 likes,-,https://www.instagram.com/p/CTjMDCrjFP6/,comments4768888214613560086.csv
59,25-2,gockel_blume,"@zuckerfrei_ohne_verzicht mein Opa war Soldat bei den Nazis, außer dass er Traumata vom Krieg davontrug weiß ich wenig über seine Taten in der NS-Zeit.... meinem Papa fällt es leider schwer sich an seine Geschichten zu erinnern, gibt aber auch zu, nicht sonderlich interessiert gewesen zu sein und das findet er jetzt schade. Vielleicht wollte er das auch nicht glauben. Was ich schon verstehen kann. Trotzdem schade",2021-08-21T12:01:14.000Z,6 likes,25,https://www.instagram.com/p/CS1bkb8sZJn/,comments1630443717066312072.csv
13,14,dieanachronistin,"CN Gewalt/Mord/Suizid

7. November 1938: ""Herschel Grynszpan betritt die deutsche Botschaft in Paris. In seiner Tasche ein Revolver. Vor kurzem hatte ihn ein Brief seiner Schwester erreicht: Die ganze Familie deportiert von Deutschland nach Polen.

Grynszpan fragt die Vorzimmerdame nach dem Botschaftssekretär und wird von ihr ohne weitere Nachfragen zu Ernst vom Rath vorgelassen. Grynszpan zögert nicht. Historischen Berichten zufolge schreit der 17-Jährige: ""Sie sind ein schmutziger Deutscher und jetzt übergebe ich Ihnen im Namen von 12000 verfolgten Juden die Quittung"".

Dann feuert er fünf Schüsse auf Rath, ein Projektil durchschlägt seine Milz. Zwei Tage später ist der Diplomat tot. Die französischen Behörden verhaften Herschel Grynszpan, er wird wegen Mordes angeklagt. In Berlin aber instrumentalisiert man die Tat sofort.

Die Nazis stellen Grynszpan als Teil einer jüdischen Weltverschwörung dar. Auf Geheiß von Propagandaminister Joseph Goebbels wurde überall im Reich Gewalt gegen jüdische Deutsche entfesselt.

Hunderte werden in der ""Reichspogromnacht"" vom 9. auf den 10. November ermordet oder in den Suizid getrieben, unzählige Menschen misshandelt, bedroht und traumatisiert. Tausende Synagogen, jüdische Einrichtungen, Friedhöfe und Geschäfte werden angezündet, geschändet und verwüstet. 30 000 Juden werden in Konzentrationslager verschleppt.""

Quelle: https://www.sueddeutsche.de/politik/ns-geschichte-das-raetsel-um-herschel-grynszpan-1.3301760",2021-11-07T14:32:35.000Z,6 likes,-,https://www.instagram.com/p/CV-ATuRoT1w/,comments-2648938795085248280.csv
2,3,likeabird.inflight,"Sonst gehts euch gut oder?! Wie kann man das so verharmlosen. Von wegen gefeiert. Habt ihr überhaupt eine Ahnung was die Deutschen mit Russen gemacht haben? Vergewal*** und ermordet. Die beiden Brüder waren danach so traumatisierte, dass sie sich dem Widerstand angeschlossen haben und ihr macht hier ne nette Geschichte draus?! Absolut geschmacklos.",2022-02-21T12:56:26.000Z,6 likes,-,https://www.instagram.com/p/CTPE6WSMqHO/,comments7112534007855354463.csv
97,53-6,moritz.werthschulte,"@dominushka Zum traumatischen Aspekt: Sicher ist die Verletzung komolett sinnlos, aber das ist meistens bei Verletzungen so. Trotzdem mussten und müssen diese Patienten ja adäquat versorgt werden. Zumindest vom Lerneffekt kann man so eine Famulatur denke ich gar nicht hoch genug einschätzen. Ich möchte im PJ nach Südafrika gehen, um dort Traumamedizin sehr ähnlich einem Kriegsgebiet lernen zu können.",2021-07-14T16:19:42.000Z,4 likes,53,https://www.instagram.com/p/CRT2q8XMMke/,comments-3337212455704306646.csv
103,53-12,dominushka,"@moritz.werthschulte es ging mir um die Kriegsfamulatur. Das ne Famulatur notwendig ist sollte klar sein, und auch Autounfälle oder was man sonst so im Krankenhaus findet ist quasi sinnlos aber im Soldaten zusammenzuflicken aufgrund eines Krieges den die eigene Regierung angezettelt hat aus noch sinnloseren Gründen ist anders traumatisierend.
Fand in so nem Kontext die Aussage etwas unpassend.",2021-07-14T17:33:24.000Z,12 likes,53,https://www.instagram.com/p/CRT2q8XMMke/,comments-3337212455704306646.csv
104,53-13,moritz.werthschulte,"@dominushka Dass der 2. Weltkrieg scheiße war und die Nazis Verbrecher darüber brauchen wir uns nicht streiten. Aber die verletzten Menschen sind ja dann nun mal da und müsssn versorgt werden - übrigens der Grund, warum damals das Rote Kreuz gegründet wurde. Aus Sicht der Studenten ist so ein Einsatz glaube ich sehr lehrreich, aber definitiv traumatisierend. Ich denke aber, dass sie das vor vollrm Wehrdienst und einem Einsatz als Soldat bewahrt hat.",2021-07-14T17:39:29.000Z,10 likes,53,https://www.instagram.com/p/CRT2q8XMMke/,comments-3337212455704306646.csv
35,31,cologne_countryside_old_school,Mein Vater hat den Krieg als Kind/Jugendlicher in Köln erlebt. Nur selten (unter hohem 'Pegel') hat er von seinen Erlebnissen berichtet. So hatten sie zum Schluss gar keinen Schulunterricht mehr (ca. 1 Jahr?) und er hatte permanent Angst vor dem nächsten Bombenangriff. Das hat ihn für sein ganzes Leben geprägt und traumatisiert. Nie wieder Krieg!!,2021-06-30T06:46:27.000Z,1 like,-,https://www.instagram.com/p/CQtcnzhsjDH/,comments-4138837821188628794.csv
36,32,cologne_countryside_old_school,Mein Vater hat den Krieg als Kind/Jugendlicher in Köln erlebt. Nur selten (unter hohem 'Pegel') hat er von seinen Erlebnissen berichtet. So hatten sie zum Schluss gar keinen Schulunterricht mehr (ca. 1 Jahr?) und er hatte permanent Angst vor dem nächsten Bombenangriff. Das hat ihn für sein ganzes Leben geprägt und traumatisiert. Nie wieder Krieg!!,2021-06-30T06:44:35.000Z,0,-,https://www.instagram.com/p/CQtcnzhsjDH/,comments-4138837821188628794.csv
54,46,wiebkewiedeck,"Ich hatte einmal einen Traum.
Es war dunkel, mir ging es nicht gut. Seit Tagen beschäftigten mich schwierige Themen wie Krankheit und Loslassen.
Ich stand auf einer grünen Wiese und spürte, dass gleich etwas Wichtiges passieren wird. Und da - ein riesiger Drache kam aus dem Dunkeln auf die Lichtung. Er hat große, grüne Schuppen und furchterregende Augen. Er baute sich vor mir auf und spie Wolken aus Feuer in meine Richtung.
Ich drehte mich um und griff einen Feuerlöscher, den ich zufällig am Wiesenrand fand. Zischend verschwanden die Flammen und der Drache schaute mich verdutzt an. Ich schaute neugierig zurück. Langsam ging ich auf ihn zu und zog an den Schuppen seines Halses seinen Kopf zu mir herunter.
""Wer bist Du?"" flüsterte ich ihm ins Ohr.
Er wurde auf einmal ganz klein, schrumpfte zusammen und wand sich wie ein sanftes Haustier um meine Knie.
""Ich bin Deine Angst."" sagte er leise.
Seine Augen füllten sich mit Tränen. Ich war erstaunt einerseits und hatte andererseits sofort Mitleid mit ihm. Große Tränen kullerten sein inzwischen kleines Gesicht hinunter. ""Was ist mit Dir?"" fragte ich.
""Ich möchte auch von Dir liebgehabt werden."" flüsterte er fast tonlos. Braune Augen sahen mich bittend an. Mein Herz atmete tief durch und öffnete sich weit.
Ich wachte auf. - - - - - - - - Was mir dieser Traum sagen wollte, ist inzwischen mein Lebensmotto : Wo die Angst ist, ist der Weg.... Denn die Angst ist ein wichtiges Gefühl, das uns etwas sagen möchte. Als Psychologin erlebe ich immer wieder, dass Menschen ihre Angst nicht mögen. Dabei hat sie spannende Antworten parat, wenn wir uns ehrlich fragen, wovor wir Angst haben. Du, liebe @ichbinsophiescholl hast Angst, dass Du Fritz verlieren könntest. Das heißt, er ist Dir sehr wichtig. Du möchtest ihm nicht schaden. Und Dich selbst dabei trotzdem nicht verraten. Und Dir ist bewusst, dass Krieg eine furchtbare, zerstörerische, unmenschliche Situation ist, in der sich niemand mehr sicher fühlen kann. Krieg bringt Menschen emotional und körperlich an ihre Grenzen und traumatisiert ganze Generationen. Und weil Dir das Dein Herz sagt, bist Du im Widerstand. Und das ist so mutig!!!!❤️",2021-07-17T20:53:48.000Z,13 likes,-,https://www.instagram.com/p/CRcOWPMsPD3/,comments2421875500100512488.csv
66,64,schultzmayerschmitt,"Es gibt keinen Heldentod im Krieg, denn er ist immer falsch!! Selbst die, die ihn überleben, sterben dort ein bisschen. Mein Opa war als minderjähriger junger Mann jahrelang in Kriegsgefangenschaft. Der darauf folgende Alkoholismus war letztlich der Grund dafür, dass er recht früh gestorben ist. Manchmal frag ich mich, was ohne diese traumatisierenden Erfahrungen in meiner Familie anders gewesen wäre. Ich glaub, ne ganze Menge...",2021-08-23T15:20:30.000Z,1 like,-,https://www.instagram.com/p/CS6MvKtD91X/,comments6008866202857888736.csv
107,103,heikekohnen.x,"Mein Opa war in Russland in Gefangenschaft. Er war ein lieber Opa. Aber er war traumatisiert und redete auch mir uns Kindern nur über den Krieg. Im Nachhinein weiß ich, er hätte eine Therapie benötigt. Aber auch eine Therapie würde diese Erlebnisse nicht wegzaubern.
Im Prinzip war er ein armer Mann, der in der Zeitschleife festhing. 1990 starb er nichtmal 80jährig…",2021-08-23T11:53:47.000Z,2 likes,-,https://www.instagram.com/p/CS6MvKtD91X/,comments6008866202857888736.csv
190,163,blumen.reich,"So viel Tod, Trauer, Schmerz; so viel menschliches Leid, Entsetzen, Traumatisierung. Und wofür? Für nichts! Und es passiert immer noch, auch jetzt, in dieser Minute. Schauen wir nach Afghanistan, aber nicht nur dort. Warum lernt die Menschheit nichts dazu?",2021-08-23T08:43:49.000Z,4 likes,-,https://www.instagram.com/p/CS6MvKtD91X/,comments6008866202857888736.csv
7,8,the.possum.way.of.living,"Habe einige Interviews mit Inge gelesen und fand die alle sehr bewegend. Obwohl das ganze sie sehr traumatisiert hat, auch ihre eigene Verhaftungen, war sie so unglaublich stark und hat später ja auch noch viel geleistet für die Gesellschaft. Eine tolle Frau 💕",2021-10-28T15:42:19.000Z,0,-,https://www.instagram.com/p/CVhqjQWDeo8/,comments2374527239806175433.csv
33,29-5,minousmagiques,"@ichbinsophiescholl ich denke jede Person die eine deutsche Schulbildung erlitten hat ist ausreichend traumatisiert & auf den laufenden über deutsche Kriegsverbrechen.
Danke für dieses Projekt.
Deutsche Helden sind nicht mehr erwünscht.
Die Deutschen nicht in der Lage Gefühle zuzulassen.....
♥️
Bisous",2021-05-19T13:09:39.000Z,27 likes,29,https://www.instagram.com/p/CPBa7dTnZDz/,comments8984968377741028930.csv
