,Id/Reply-Id,User,Comment,Date,Likes,Reply To CommentId,Link,Filename
36,16,katharina.helling,"🗓 02.10.1942
""Die Justizpressestelle beim Volksgerichtshof teilt uns mit: Die vom Volksgerichtshof wegen landesverräterischer Feindbegünstigung zum Tod und zum Verlust der bürgerlichen Ehrenrechte auf Lebenszeit verurteilte 21 Jahre alte Juliette Kechele aus Esslingen ist am 2. Oktober hingerichtet worden. Die Verurteilte hat es unternommen, während des Krieges den Feindmächten durch Hetzpropaganda Vorschub zu leisten.""
//
""Aus der Zeitung"" - zitiert nach Anna Haag, ""Denken ist heute überhaupt nicht mehr in Mode"", S. 223 Anna Haag lebte in Stuttgart, ich denke der Artikel befasst sich also mit einem Fall der in Stuttgart verhandelt wurde. Über Juliette Kechele konnte ich leider aber nichts weiteres in Erfahrung bringen.
//
Unter ""bürgerlichen Ehrenrechten"" versteht man die Bürgerrechte, die einem Staatsbürger auf Grund seiner Staatsangehörigkeit zustehen - das aktive und passive Wahlrecht, sowie das Recht, öffentliche Ämter auszuüben (Definition nach Politiklexikon - bpb.de). Eine Verlust dieser Rechte ""auf Lebenszeit"" ist heute grds nicht mehr möglich. Das passive Wahlrecht (""gewählt werden können"") geht bei Freiheitsstrafen ab einem Jahr verloren, die Amtsfähigkeit wird (für 5 Jahre) aufgehoben. Das aktive Wahlrecht kann unter bestimmten Voraussetzungen aberkannt werden (meines Wissens nur zeitlich befristet, spätestens seit dem Urteil des BVerfG vom 21. Februar 2019, das Wahlrechtsausschlüsse für ""Vollbetreute"" und wegen Schuldunfähigkeit untergebrachter Straftäter als verfassungswidrig einstufte).
⤵️",2021-10-02T19:30:54.000Z,17 likes,-,https://www.instagram.com/p/CUiabMZMcdV/,comments6714673389731389952.csv
43,24-3,wiebkewiedeck,"@linus_smg_tf Ich denke nicht, dass ein Überwachungsstaat eine Lösung wäre, so wie Du das auch nicht gut fändest. 😄Und ehrlich gesagt, habe ich auch hier noch keine komplexen Lösungen parat, denn die Frage von @ichbinsophiescholl war ja eher die, wo wir uns gern politisch einmischen würden.... Aber zu den Delikten, die Du direkt angesprochen hast und die das menschliche Miteinander angehen, habe ich tatsächlich einen Ansatz, den ich bereits verfolge. All die Übergriffe (Femzide, Häusliche Gewalt, Kinderpornographische Delikte, Kindesmissbrauch, Kindesmisshandlung) finden zu 98% in familiären Beziehungen statt. Es hat also etwas mit Strukturen von Menschen zu tun, die sich kennen, miteinander leben. Dort wird Vertrauen und Macht missbraucht. Bisher wenden wir uns als Gesellschaft vor allem an die Betroffenen. Doch durch meine Arbeit weiss ich, wie wichtig es ist, die Menschen zu erreichen, die Gewalt ausüben, BEVOR sie Gewalt ausüben. Prävention ist ein Ansatz, den ich durch die ""Initiative Zukunft Ohne Gewalt - Gewaltfreie Familien, Beziehungen, Gesellschaft"" verfolge, die ich erst letztes Jahr gegründet habe. Wenn Du im Netz recherchierst, wirst Du unsere Startnextkampagne finden. Wir sind noch ganz jung als Initiative und in den nächsten Wochen geht unsere Website online. Wir bereiten gerade eine Feldstudie vor, über die wir herausfinden wollen, wie Präventionsmaßnahmen potenzielle Täter*innen wirklich erreichen können. Also, ich denke, wie müssen als Menschen in vielen Handlungsfeldern unsere eigene Verantwortung erkennen, die jeder von uns selbst hat. So wie @ichbinsophiescholl auch Verantwortung übernommen hat. Das ist ja auch das, was uns hier alle fasziniert und warum so viele Menschen diesem Account folgen. Da hat eine junge, ganz normale Frau in einer sehr schwierigen, komplexen Zeit Verantwortung übernommen. Und tatsächlich kann das jede*r von uns. Verantwortung übernehmen. 🙋🏼‍♀️",2021-11-22T10:22:17.000Z,3 likes,24,https://www.instagram.com/p/CWi3Eg0qS2a/,comments-6591898246194155205.csv
11,10-1,letschgizwetschgi,@valeriu_clim unterschied: die nazis haben angefangen und die sowjetunion hat gegen faschisten gekämpft. Ohne diese wären die nazis nicht besiegt worden. Krieg ist immer scheiße aber dein Kommentar verharmlost die Nazis und setzt die Täter gleich mit denen die damals tatsächlich für den Frieden gekämpft haben...,2021-09-27T19:11:13.000Z,2 likes,10,https://www.instagram.com/p/CUU-fZ9sCcM/,comments3887405318381844416.csv
14,10-4,letschgizwetschgi,"Wie gesagt Krieg ist immer scheiße und natürlich hat auch die Sowjetunion schlechte sachen gemacht, aber die täter mit den befreiern gleichzusetzen ist widerwärtig und verharmlost was die nazis alles getan haben (und weiterführen hätten können ohne die Sowjetunion)",2021-09-28T07:48:30.000Z,0,10,https://www.instagram.com/p/CUU-fZ9sCcM/,comments3887405318381844416.csv
17,10-7,letschgizwetschgi,"Ist und bleibt eine Verharmlosung der Täterschaft der Deutschen, ihrer Verantwortung für den Krieg und den Holocaust, ihre Taten mit den Befreiern gleichzusetzen und damit zu relativieren",2021-10-03T21:07:31.000Z,0,10,https://www.instagram.com/p/CUU-fZ9sCcM/,comments3887405318381844416.csv
51,29-2,heikegumz,"@ichbinsophiescholl Das verstehe ich nicht: Inwiefern wurde das Verhalten von ""Friedrich"" durch den Krieg beeinflusst oder ist ""durch den Krieg ans Licht gekommen""?

Zwangsarbeit ist keine unvermeidliche Folge des Krieges – diese Form der Bagatellisierung hat u.a. dazu beigetragen, dass in Westdeutschland Täter i.d.R. geringe oder gar Strafen erhielten.

Was ich sehe, ist ein Mensch, der in einem totalitären, menschenverachtenden System nahezu unbegrenzte Macht über andere Menschen erhalten hat – das hat aber m.E. wenig bis nichts mit dem Krieg zu tun. Oder habe ich die Erklärung falsch verstanden?",2021-08-25T19:24:01.000Z,6 likes,29,https://www.instagram.com/p/CTAa6UcMTRt/,comments7160782469194747215.csv
55,29-6,katharina.helling,"@heikegumz oh, ja! Das auch! Wollte gerade auch noch nachschieben, dass es mich an Experimente wie ‚Die Welle‘ oder das ‚Standord-Prison-Experiment.
Und wäre es der ‚wahre Charakter‘ kommt man (leicht) zu dem Schluss das wären alles Monster gewesen. Es waren aber ganz normale Menschen, die mitgemacht haben, die Täter:innen waren..",2021-08-26T09:15:53.000Z,4 likes,29,https://www.instagram.com/p/CTAa6UcMTRt/,comments7160782469194747215.csv
101,41-20,fraunora.h,"@ frau_kapuze Nein, natürlich war ich nicht dabei. Ich tu aber auch nicht so als ob. Und mache das auch deutlich im Umgang mit den Quellen. Und die Schwächen dieses Projektes sind mMn teilweise gefährlich, weil sie ein sehr enges Bild zeichnen. Zum Beispiel, wenn es darum geht, Sophie als potentielle Hitler-Attentäterin hinzustellen. Das Originalzitat lautet: ""Im Januar 43 besuchte sie mich in Stuttgart u. erzählte mir vom Münchner Kreis, sie würden u.a. um Flugblätter drucken. ,Siehst du: einer muß anfangen, Mut zu haben. Ich weiß es endlich: wenn ich Gelegenheit hätte, Hitler zu erschießen, so müßte ich es tun, auch als Mädchen.’"" - Das kleine Wörtchen ""müsste"" macht hier einen relevanten Unterschied. Es zeigt nämlich, dass sie es als Pflicht angesehen hätte und nicht aus Übermut heraus oder um ihr Selbstbewusstsein im Kampf gegen Hitler herauszustellen. Sie erklärt es als zwingende Konsequenz ihres radikalen Denkens und Handelns. Das ist etwas anderes als das, was hier daraus gemacht wird. Und zwar daraus gemacht wird aus Effekthascherei. Sophie Scholl ging es nicht um einen Effekt. Auch nicht darum, eine Heldin zu sein. Ihr ging es darum, aus ihrer Haltung ein konsequentes Handeln abzuleiten.",2021-12-02T10:38:45.000Z,5 likes,41,https://www.instagram.com/p/CW8A790Mp-s/,comments3603593403683059925.csv
34,30,changed.by.popular.demand,"Und leider ist erst in diesem Sommer, im Juni, ein Brandanschlag auf die neu aufgebaute Synagoge in Ulm verübt worden. Der Täter ist immer noch nicht gefasst. Antisemitismus ist weiter ein Problem bei uns und wir dürfen die Augen nicht davor verschließen.",2021-11-09T21:27:43.000Z,4 likes,-,https://www.instagram.com/p/CWEK2fXMuwx/,comments850110884387814236.csv
81,62,jawiesodasdenn,"Liebe Sophie, leider ist diese Art der Ungerechtigkeit noch lange nicht vorbei. Auch 83jahre später gibt es Menschen, die keinen Respekt vor jüdischem Leben, Schaffen und Kultur haben. Letztes Jahr gab es eine Ausstellung in Bochum über jüdische Sportler. Figuren wurden in der Fußgängerzone der Innenstadt aufgestellt. In der Nacht vom 9. auf den 10.11. ist dann folgendes passiert.: "" Die Täter haben in der Nacht vom 9. auf den 10. November die lebensgroßen Plexiglasfiguren der Leichtathletin Lilli Hennoch sowie der Turnolympiasieger Alfred und Gustav Felix Flatow zerstört. Bereits in den Wochen zuvor waren die Figur von Walther Bensemann beschädigt und die Stele der Brüder Flatow mit antisemitischen Parolen beschmiert worden. Die Veranstalter haben Anzeige gegen Unbekannt erstattet."" Quelle: WDR 1, 11.11.2020",2021-11-09T19:13:12.000Z,6 likes,-,https://www.instagram.com/p/CWEK2fXMuwx/,comments850110884387814236.csv
